,train_mse,test_mse,train_kg,test_kg
1.702E+11,0.31644124,0.33499998,-0.383225009,-0.483544848
1.702E+11,0.33235186,0.3257436,-0.386365294,-0.495927288
1.702E+11,0.23435931,0.23575372,-0.371064798,-0.493845816
1.702E+11,0.31789294,0.32287154,-0.357391245,-0.496743946
1.702E+11,0.44820282,0.4684699,-0.378817068,-0.505251074
1.702E+11,0.3485714,0.34798062,-0.374552331,-0.501607781
1.702E+11,0.33459008,0.34875047,-0.386893044,-0.481372197
1.702E+11,0.26343933,0.2823228,-0.388673533,-0.459647355
1.702E+11,0.2150191,0.22660716,-0.365367879,-0.510320689
1.702E+11,0.16281737,0.16013876,-0.344111661,-0.504704668
1.702E+11,0.32094094,0.36537915,-0.414001638,-0.48290719
1.702E+11,0.16139108,0.18745156,-0.339503466,-0.480399306
1.702E+11,0.3409888,0.39136803,-0.406841693,-0.487122838
1.702E+11,0.043559942,0.04958101,-0.300050538,-0.513924922
1.702E+11,0.08822177,0.104009576,-0.383936979,-0.4678835
1.702E+11,0.14018139,0.17547101,-0.435568015,-0.436865727
1.702E+11,0.368546,0.40362114,-0.422815791,-0.464092864
1.702E+11,0.13226934,0.15275389,-0.463373488,-0.438347336
1.702E+11,0.14019537,0.16639175,-0.432400986,-0.433768406
1.702E+11,0.038199067,0.043612827,-0.489997079,-0.403481502
1.702E+11,0.0355059,0.03548535,-0.463364211,-0.426440451
1.702E+11,0.06410973,0.07128142,-0.397434012,-0.412154934
1.702E+11,0.090253524,0.08454178,-0.470269305,-0.500212743
1.702E+11,0.020515172,0.01994852,-0.521810936,-0.514621026
1.702E+11,0.02854412,0.02599101,-0.495660648,-0.487449014
1.702E+11,0.014613256,0.014207425,-0.536215247,-0.497090083
1.702E+11,0.000965404,0.001002694,-0.773827022,-0.589001655
1.702E+11,0.004837784,0.005348971,-0.545681793,-0.454215123
1.702E+11,0.000589397,0.000571105,-0.903363913,-0.817514304
1.711E+11,0.06826824,0.07034612,-0.24717705,-0.44930225
1.711E+11,0.21767902,0.25083092,-0.383030544,-0.479273177
1.711E+11,0.10259809,0.12247247,-0.299317019,-0.451764645
1.711E+11,0.17656076,0.20618474,-0.351080041,-0.468389573
1.711E+11,0.06731134,0.072925314,-0.267288206,-0.463433247
1.711E+11,0.23254222,0.24509788,-0.378156731,-0.448892952
1.711E+11,0.11918044,0.12363028,-0.28779854,-0.439264499
1.711E+11,0.24987909,0.23386782,-0.36651729,-0.484429131
1.711E+11,0.16668774,0.16962971,-0.324703964,-0.469894353
1.711E+11,0.18351936,0.19780385,-0.33526611,-0.487410036
1.711E+11,0.40492386,0.55192256,-0.394505255,-0.492301709
1.711E+11,0.06357156,0.059368163,-0.25919566,-0.498749828
1.711E+11,0.09160311,0.11630458,-0.309493765,-0.461861262
1.711E+11,0.14402694,0.16484511,-0.332496706,-0.46143165
1.711E+11,0.5232776,1.0022521,-0.413888305,-0.494983732
1.711E+11,0.16066952,0.22030835,-0.345047994,-0.484583968
1.711E+11,0.024365088,0.02912922,-0.222679542,-0.403730953
1.711E+11,0.4527203,0.46054924,-0.387369529,-0.501011023
1.711E+11,0.3550906,0.40121853,-0.367572933,-0.490901576
1.711E+11,0.19529943,0.24316357,-0.333135206,-0.485766508
1.711E+11,0.082292564,0.107621476,-0.279993925,-0.482988572
1.711E+11,0.16356489,0.28559998,-0.326808953,-0.499395928
1.711E+11,0.2111692,0.28750387,-0.346332988,-0.473203209
1.711E+11,0.2586715,0.5125254,-0.360527766,-0.474686652
1.711E+11,0.050501343,0.08485188,-0.232338387,-0.496563718
1.711E+11,0.48994312,0.50676507,-0.392882723,-0.47852671
1.711E+11,0.2992611,0.30068505,-0.358096992,-0.48586514
1.711E+11,0.28154054,0.254235,-0.355685498,-0.497482214
1.711E+11,0.09701541,0.094172336,-0.285977873,-0.471133799
1.711E+11,0.04530305,0.05426903,-0.221389395,-0.466644504
1.711E+11,0.02436079,0.048342686,-0.15442038,-0.429674996
1.711E+11,0.08609746,0.18015176,-0.271596052,-0.424889991
1.711E+11,0.07699158,0.16280472,-0.260469686,-0.433094628
1.711E+11,0.11632624,0.21189988,-0.279735933,-0.441298428
1.711E+11,0.03130496,0.045655034,-0.178429082,-0.409098244
1.711E+11,0.36533898,0.7220737,-0.40309042,-0.452415897
1.711E+11,0.1739212,0.36225638,-0.359910904,-0.431446882
1.711E+11,0.08635589,0.17806491,-0.316922825,-0.43633431
1.711E+11,0.15652747,0.45085314,-0.39262707,-0.441672172
1.711E+11,0.03480541,0.11887921,-0.249951557,-0.404656486
1.711E+11,0.041284386,0.118410446,-0.204948926,-0.503136516
1.711E+11,0.025902918,0.067047045,-0.174114239,-0.426461134
1.711E+11,0.009189156,0.015985595,-0.019107116,-0.408630728
1.711E+11,0.11658064,0.12539418,-0.286030328,-0.470289952
1.711E+11,0.041855995,0.101415716,-0.194794024,-0.473286382
1.711E+11,0.004796897,0.002181257,-0.802877302,-0.246729466
1.703E+11,0.16453233,0.14445592,-0.342773528,-0.51368905
1.703E+11,0.094006464,0.089721195,-0.269899835,-0.500278407
1.703E+11,0.12619483,0.123467386,-0.306566757,-0.476069897
1.703E+11,0.2156805,0.21582676,-0.356887017,-0.466078618
1.703E+11,0.156294,0.16110498,-0.321330769,-0.449950994
1.703E+11,0.27445024,0.27751303,-0.335537633,-0.468394577
1.703E+11,0.15141746,0.14863625,-0.31512473,-0.481415075
1.703E+11,0.10588651,0.1037566,-0.307675755,-0.469887131
1.703E+11,0.036542114,0.032145564,-0.197955244,-0.498167693
1.703E+11,0.06739804,0.042784657,-0.455986638,-0.483636066
1.703E+11,0.03681199,0.027902648,-0.395051149,-0.478045765
1.703E+11,0.05098837,0.039304927,-0.341339141,-0.441118214
1.703E+11,0.25153506,0.23123749,-0.389072187,-0.468474382
