Metric,Step,Value
test_kge_171100050801,0,0.6102525826643213
test_kge_171100050801,1,0.7717126355195119
test_kge_171100050801,2,0.5113785789521571
test_kge_171100050801,3,0.7720545567532118
test_kge_171100050801,4,0.7183614782293365
test_kge_171100050801,5,0.8185963135772811
test_kge_171100050801,6,0.9209258391219608
test_kge_171100050801,7,0.7767936561237525
test_kge_171100050801,8,0.8115633580676076
test_kge_171100050801,9,0.8290305034164738
test_kge_171100050801,10,0.6087821399016284
test_kge_171100050801,11,0.8017021974751652
test_kge_171100050801,12,0.7896103217840544
test_kge_171100050801,13,0.8098307103746377
test_kge_171100050801,14,0.7587660641070749
test_kge_171100050801,15,0.6064374567808501
test_kge_171100050801,16,0.7536124321875215
test_kge_171100050801,17,0.7786767588591313
test_kge_171100050801,18,0.6504225796012704
test_kge_171100050801,19,0.7579219172994154
test_kge_171100050801,20,0.8566278436202325
test_kge_171100050801,21,0.726283686385995
test_kge_171100050801,22,0.7675556389029639
test_kge_171100050801,23,0.82266277524616
test_kge_171100050801,24,0.4762088302251426
test_kge_171100050801,25,0.40764613143410966
test_kge_171100050801,26,0.15069218933714168
test_kge_171100050801,27,0.41846978227039444
test_kge_171100050801,28,0.44279546659414626
test_kge_171100050801,29,0.16609027595265746
avg_training_mse,0,0.002907361176030524
avg_training_mse,1,0.0013529546089822075
avg_training_mse,2,0.0010335420873214972
avg_training_mse,3,0.0009880447853473835
avg_training_mse,4,0.0009287370033096325
avg_training_mse,5,0.000896582269313346
avg_training_mse,6,0.0008678863861654326
avg_training_mse,7,0.000848803728679827
avg_training_mse,8,0.000840384453686051
avg_training_mse,9,0.0008500477393863024
avg_training_mse,10,0.0008460334107506454
avg_training_mse,11,0.0008582551821310557
avg_training_mse,12,0.0008327878727530411
avg_training_mse,13,0.0010906581996986675
avg_training_mse,14,0.0010036615131671746
avg_training_mse,15,0.0009116988610023989
avg_training_mse,16,0.0008697511458555095
avg_training_mse,17,0.0011477396377697563
avg_training_mse,18,0.0008814990477792417
avg_training_mse,19,0.0016207838032866852
avg_training_mse,20,0.0010598812867431474
avg_training_mse,21,0.000914235041831975
avg_training_mse,22,0.0012617546534484732
avg_training_mse,23,0.001457798827199173
avg_training_mse,24,0.004707599568830148
avg_training_mse,25,0.014655471717963426
avg_training_mse,26,0.018437633141274695
avg_training_mse,27,0.026224224186234935
avg_training_mse,28,0.02626421167614191
avg_training_mse,29,0.031116444521435353
train_mse_170602070705,0,-500.0
train_mse_170602070705,1,-500.0
train_mse_170602070705,2,-500.0
train_mse_170602070705,3,-500.0
train_mse_170602070705,4,-500.0
train_mse_170602070705,5,-500.0
train_mse_170602070705,6,-500.0
train_mse_170602070705,7,-500.0
train_mse_170602070705,8,-500.0
train_mse_170602070705,9,-500.0
train_mse_170602070705,10,-500.0
train_mse_170602070705,11,-500.0
train_mse_170602070705,12,-500.0
train_mse_170602070705,13,-500.0
train_mse_170602070705,14,-500.0
train_mse_170602070705,15,-500.0
train_mse_170602070705,16,-500.0
train_mse_170602070705,17,-500.0
train_mse_170602070705,18,-500.0
train_mse_170602070705,19,-500.0
train_mse_170602070705,20,-500.0
train_mse_170602070705,21,-500.0
train_mse_170602070705,22,-500.0
train_mse_170602070705,23,-500.0
train_mse_170602070705,24,-500.0
train_mse_170602070705,25,-500.0
train_mse_170602070705,26,-500.0
train_mse_170602070705,27,-500.0
train_mse_170602070705,28,-500.0
train_mse_170602070705,29,-500.0
test_mse_170602070705,0,0.00283735990524292
test_mse_170602070705,1,0.0025877165608108044
test_mse_170602070705,2,0.0014518644893541932
test_mse_170602070705,3,0.0012716040946543217
test_mse_170602070705,4,0.00208237930200994
test_mse_170602070705,5,0.001946775009855628
test_mse_170602070705,6,0.010482987388968468
test_mse_170602070705,7,0.002301582368090749
test_mse_170602070705,8,0.0065062581561505795
test_mse_170602070705,9,0.004572076257318258
test_mse_170602070705,10,0.0025066540110856295
test_mse_170602070705,11,0.0015406524762511253
test_mse_170602070705,12,0.010249238461256027
test_mse_170602070705,13,0.006031627766788006
test_mse_170602070705,14,0.003007989376783371
test_mse_170602070705,15,0.001963843358680606
test_mse_170602070705,16,0.0022331243380904198
test_mse_170602070705,17,0.0043343170545995235
test_mse_170602070705,18,0.0020536978263407946
test_mse_170602070705,19,0.0012152029667049646
test_mse_170602070705,20,0.007180938497185707
test_mse_170602070705,21,0.0009778302628546953
test_mse_170602070705,22,0.012868618592619896
test_mse_170602070705,23,0.001022831886075437
test_mse_170602070705,24,0.032934363931417465
test_mse_170602070705,25,0.010416046716272831
test_mse_170602070705,26,0.009880506433546543
test_mse_170602070705,27,0.08416391909122467
test_mse_170602070705,28,0.1556650996208191
test_mse_170602070705,29,0.05536961182951927
train_kge_170602070705,0,-500.0
train_kge_170602070705,1,-500.0
train_kge_170602070705,2,-500.0
train_kge_170602070705,3,-500.0
train_kge_170602070705,4,-500.0
train_kge_170602070705,5,-500.0
train_kge_170602070705,6,-500.0
train_kge_170602070705,7,-500.0
train_kge_170602070705,8,-500.0
train_kge_170602070705,9,-500.0
train_kge_170602070705,10,-500.0
train_kge_170602070705,11,-500.0
train_kge_170602070705,12,-500.0
train_kge_170602070705,13,-500.0
train_kge_170602070705,14,-500.0
train_kge_170602070705,15,-500.0
train_kge_170602070705,16,-500.0
train_kge_170602070705,17,-500.0
train_kge_170602070705,18,-500.0
train_kge_170602070705,19,-500.0
train_kge_170602070705,20,-500.0
train_kge_170602070705,21,-500.0
train_kge_170602070705,22,-500.0
train_kge_170602070705,23,-500.0
train_kge_170602070705,24,-500.0
train_kge_170602070705,25,-500.0
train_kge_170602070705,26,-500.0
train_kge_170602070705,27,-500.0
train_kge_170602070705,28,-500.0
train_kge_170602070705,29,-500.0
test_kge_170602070705,0,0.7504685407798911
test_kge_170602070705,1,0.7463773770890909
test_kge_170602070705,2,0.928901751621832
test_kge_170602070705,3,0.9114289890665086
test_kge_170602070705,4,0.7640345729707829
test_kge_170602070705,5,0.7231345158395871
test_kge_170602070705,6,0.20745135208996623
test_kge_170602070705,7,0.6860469429590459
test_kge_170602070705,8,0.41743464650364737
test_kge_170602070705,9,0.5269202686993526
test_kge_170602070705,10,0.6850931754386347
test_kge_170602070705,11,0.8876741222407757
test_kge_170602070705,12,0.17350893690986702
test_kge_170602070705,13,0.4053244238009307
test_kge_170602070705,14,0.7082393997557835
test_kge_170602070705,15,0.7147325560549436
test_kge_170602070705,16,0.7183177705663417
test_kge_170602070705,17,0.513916132395617
test_kge_170602070705,18,0.8512275426204815
test_kge_170602070705,19,0.8102884801880728
test_kge_170602070705,20,0.30326750930861046
test_kge_170602070705,21,0.9093680618649167
test_kge_170602070705,22,-0.008805454284825931
test_kge_170602070705,23,0.9470616557224635
test_kge_170602070705,24,0.08721253483184854
test_kge_170602070705,25,0.4736283299707885
test_kge_170602070705,26,0.41108416909654066
test_kge_170602070705,27,-1.907610749040741
test_kge_170602070705,28,-3.273463882132054
test_kge_170602070705,29,-1.0698178034361066
train_mse_170103020302,0,-500.0
train_mse_170103020302,1,-500.0
train_mse_170103020302,2,-500.0
train_mse_170103020302,3,-500.0
train_mse_170103020302,4,-500.0
train_mse_170103020302,5,-500.0
train_mse_170103020302,6,-500.0
train_mse_170103020302,7,-500.0
train_mse_170103020302,8,-500.0
train_mse_170103020302,9,-500.0
train_mse_170103020302,10,-500.0
train_mse_170103020302,11,-500.0
train_mse_170103020302,12,-500.0
train_mse_170103020302,13,-500.0
train_mse_170103020302,14,-500.0
train_mse_170103020302,15,-500.0
train_mse_170103020302,16,-500.0
train_mse_170103020302,17,-500.0
train_mse_170103020302,18,-500.0
train_mse_170103020302,19,-500.0
train_mse_170103020302,20,-500.0
train_mse_170103020302,21,-500.0
train_mse_170103020302,22,-500.0
train_mse_170103020302,23,-500.0
train_mse_170103020302,24,-500.0
train_mse_170103020302,25,-500.0
train_mse_170103020302,26,-500.0
train_mse_170103020302,27,-500.0
train_mse_170103020302,28,-500.0
train_mse_170103020302,29,-500.0
test_mse_170103020302,0,0.005332623608410358
test_mse_170103020302,1,0.0036087234038859606
test_mse_170103020302,2,0.0061211842112243176
test_mse_170103020302,3,0.002365490421652794
test_mse_170103020302,4,0.002328627509996295
test_mse_170103020302,5,0.0026561194099485874
test_mse_170103020302,6,0.008723272010684013
test_mse_170103020302,7,0.0021018667612224817
test_mse_170103020302,8,0.002762783085927367
test_mse_170103020302,9,0.003227440407499671
test_mse_170103020302,10,0.0020555295050144196
test_mse_170103020302,11,0.0015259074280038476
test_mse_170103020302,12,0.008130498230457306
test_mse_170103020302,13,0.0044870576821267605
test_mse_170103020302,14,0.00243855407461524
test_mse_170103020302,15,0.0017695837887004018
test_mse_170103020302,16,0.0017532677156850696
test_mse_170103020302,17,0.001839691773056984
test_mse_170103020302,18,0.0039031633641570807
test_mse_170103020302,19,0.005229448899626732
test_mse_170103020302,20,0.0028002457693219185
test_mse_170103020302,21,0.0027486912440508604
test_mse_170103020302,22,0.013529238291084766
test_mse_170103020302,23,0.002254471881315112
test_mse_170103020302,24,0.007206907961517572
test_mse_170103020302,25,0.00414319196715951
test_mse_170103020302,26,0.015126855112612247
test_mse_170103020302,27,0.03938305750489235
test_mse_170103020302,28,0.0847572609782219
test_mse_170103020302,29,0.02054092288017273
train_kge_170103020302,0,-500.0
train_kge_170103020302,1,-500.0
train_kge_170103020302,2,-500.0
train_kge_170103020302,3,-500.0
train_kge_170103020302,4,-500.0
train_kge_170103020302,5,-500.0
train_kge_170103020302,6,-500.0
train_kge_170103020302,7,-500.0
train_kge_170103020302,8,-500.0
train_kge_170103020302,9,-500.0
train_kge_170103020302,10,-500.0
train_kge_170103020302,11,-500.0
train_kge_170103020302,12,-500.0
train_kge_170103020302,13,-500.0
train_kge_170103020302,14,-500.0
train_kge_170103020302,15,-500.0
train_kge_170103020302,16,-500.0
train_kge_170103020302,17,-500.0
train_kge_170103020302,18,-500.0
train_kge_170103020302,19,-500.0
train_kge_170103020302,20,-500.0
train_kge_170103020302,21,-500.0
train_kge_170103020302,22,-500.0
train_kge_170103020302,23,-500.0
train_kge_170103020302,24,-500.0
train_kge_170103020302,25,-500.0
train_kge_170103020302,26,-500.0
train_kge_170103020302,27,-500.0
train_kge_170103020302,28,-500.0
train_kge_170103020302,29,-500.0
test_kge_170103020302,0,0.7741177264043894
test_kge_170103020302,1,0.7350271820219557
test_kge_170103020302,2,0.6045255781939043
test_kge_170103020302,3,0.9367930660986497
test_kge_170103020302,4,0.8947081621321009
test_kge_170103020302,5,0.9210783639134662
test_kge_170103020302,6,0.5181394444578872
test_kge_170103020302,7,0.9274914294462888
test_kge_170103020302,8,0.7882826099277151
test_kge_170103020302,9,0.7395526906757309
test_kge_170103020302,10,0.9070619301308349
test_kge_170103020302,11,0.9538308284358081
test_kge_170103020302,12,0.5683989898131419
test_kge_170103020302,13,0.6606251090719456
test_kge_170103020302,14,0.8614991361964448
test_kge_170103020302,15,0.9481151278816241
test_kge_170103020302,16,0.960409704238155
test_kge_170103020302,17,0.9158317168512707
test_kge_170103020302,18,0.6935748393444746
test_kge_170103020302,19,0.6039264277795278
test_kge_170103020302,20,0.7621192710084798
test_kge_170103020302,21,0.8656052015563778
test_kge_170103020302,22,0.30213424392868915
test_kge_170103020302,23,0.9133527311165124
test_kge_170103020302,24,0.7588168782535183
test_kge_170103020302,25,0.9042130271608548
test_kge_170103020302,26,0.6293636506041089
test_kge_170103020302,27,-0.1173567563859792
test_kge_170103020302,28,-1.0900824679026986
test_kge_170103020302,29,0.5630540193880975
train_mse_170602080505,0,-500.0
train_mse_170602080505,1,-500.0
train_mse_170602080505,2,-500.0
train_mse_170602080505,3,-500.0
train_mse_170602080505,4,-500.0
train_mse_170602080505,5,-500.0
train_mse_170602080505,6,-500.0
train_mse_170602080505,7,-500.0
train_mse_170602080505,8,-500.0
train_mse_170602080505,9,-500.0
train_mse_170602080505,10,-500.0
train_mse_170602080505,11,-500.0
train_mse_170602080505,12,-500.0
train_mse_170602080505,13,-500.0
train_mse_170602080505,14,-500.0
train_mse_170602080505,15,-500.0
train_mse_170602080505,16,-500.0
train_mse_170602080505,17,-500.0
train_mse_170602080505,18,-500.0
train_mse_170602080505,19,-500.0
train_mse_170602080505,20,-500.0
train_mse_170602080505,21,-500.0
train_mse_170602080505,22,-500.0
train_mse_170602080505,23,-500.0
train_mse_170602080505,24,-500.0
train_mse_170602080505,25,-500.0
train_mse_170602080505,26,-500.0
train_mse_170602080505,27,-500.0
train_mse_170602080505,28,-500.0
train_mse_170602080505,29,-500.0
test_mse_170602080505,0,0.0015904564643278718
test_mse_170602080505,1,0.0014618090353906155
test_mse_170602080505,2,0.000701001612469554
test_mse_170602080505,3,0.0009617619798518717
test_mse_170602080505,4,0.0010409948881715536
test_mse_170602080505,5,0.0007080716895870864
test_mse_170602080505,6,0.004949191119521856
test_mse_170602080505,7,0.0007698561530560255
test_mse_170602080505,8,0.003787948051467538
test_mse_170602080505,9,0.0027319828514009714
test_mse_170602080505,10,0.0007959320791997015
test_mse_170602080505,11,0.001487094210460782
test_mse_170602080505,12,0.005841304548084736
test_mse_170602080505,13,0.0012501117307692766
test_mse_170602080505,14,0.0006756376824341714
test_mse_170602080505,15,0.0008795284666121006
test_mse_170602080505,16,0.00070156593574211
test_mse_170602080505,17,0.0024312534369528294
test_mse_170602080505,18,0.0022922619245946407
test_mse_170602080505,19,0.0035502733662724495
test_mse_170602080505,20,0.003554446157068014
test_mse_170602080505,21,0.0011646714992821217
test_mse_170602080505,22,0.007010968867689371
test_mse_170602080505,23,0.0019262246787548065
test_mse_170602080505,24,0.040314432233572006
test_mse_170602080505,25,0.013272106647491455
test_mse_170602080505,26,0.019059540703892708
test_mse_170602080505,27,0.09726006537675858
test_mse_170602080505,28,0.15372657775878906
test_mse_170602080505,29,0.04338987171649933
train_kge_170602080505,0,-500.0
train_kge_170602080505,1,-500.0
train_kge_170602080505,2,-500.0
train_kge_170602080505,3,-500.0
train_kge_170602080505,4,-500.0
train_kge_170602080505,5,-500.0
train_kge_170602080505,6,-500.0
train_kge_170602080505,7,-500.0
train_kge_170602080505,8,-500.0
train_kge_170602080505,9,-500.0
train_kge_170602080505,10,-500.0
train_kge_170602080505,11,-500.0
train_kge_170602080505,12,-500.0
train_kge_170602080505,13,-500.0
train_kge_170602080505,14,-500.0
train_kge_170602080505,15,-500.0
train_kge_170602080505,16,-500.0
train_kge_170602080505,17,-500.0
train_kge_170602080505,18,-500.0
train_kge_170602080505,19,-500.0
train_kge_170602080505,20,-500.0
train_kge_170602080505,21,-500.0
train_kge_170602080505,22,-500.0
train_kge_170602080505,23,-500.0
train_kge_170602080505,24,-500.0
train_kge_170602080505,25,-500.0
train_kge_170602080505,26,-500.0
train_kge_170602080505,27,-500.0
train_kge_170602080505,28,-500.0
train_kge_170602080505,29,-500.0
test_kge_170602080505,0,0.9365176392855655
test_kge_170602080505,1,0.9334608871658168
test_kge_170602080505,2,0.927601301689343
test_kge_170602080505,3,0.8996888572136102
test_kge_170602080505,4,0.8994301098846446
test_kge_170602080505,5,0.9342044640102457
test_kge_170602080505,6,0.6530766234294567
test_kge_170602080505,7,0.9521889736862814
test_kge_170602080505,8,0.641722953477069
test_kge_170602080505,9,0.7122240572669739
test_kge_170602080505,10,0.9117506907957426
test_kge_170602080505,11,0.8377643998537997
test_kge_170602080505,12,0.6107440945587119
test_kge_170602080505,13,0.8663683941492772
test_kge_170602080505,14,0.9640145981333009
test_kge_170602080505,15,0.9040411582579682
test_kge_170602080505,16,0.9321050089209547
test_kge_170602080505,17,0.7405460957079822
test_kge_170602080505,18,0.7650652450379443
test_kge_170602080505,19,0.6514873564356471
test_kge_170602080505,20,0.6560576388767729
test_kge_170602080505,21,0.9129506976489289
test_kge_170602080505,22,0.4809854933079336
test_kge_170602080505,23,0.7716303965289903
test_kge_170602080505,24,0.3655211886680231
test_kge_170602080505,25,0.7211948086998552
test_kge_170602080505,26,0.5052244245629014
test_kge_170602080505,27,-1.0962157947806137
test_kge_170602080505,28,-1.731469160545378
test_kge_170602080505,29,-0.012931853072114308
train_mse_171100060202,0,-500.0
train_mse_171100060202,1,-500.0
train_mse_171100060202,2,-500.0
train_mse_171100060202,3,-500.0
train_mse_171100060202,4,-500.0
train_mse_171100060202,5,-500.0
train_mse_171100060202,6,-500.0
train_mse_171100060202,7,-500.0
train_mse_171100060202,8,-500.0
train_mse_171100060202,9,-500.0
train_mse_171100060202,10,-500.0
train_mse_171100060202,11,-500.0
train_mse_171100060202,12,-500.0
train_mse_171100060202,13,-500.0
train_mse_171100060202,14,-500.0
train_mse_171100060202,15,-500.0
train_mse_171100060202,16,-500.0
train_mse_171100060202,17,-500.0
train_mse_171100060202,18,-500.0
train_mse_171100060202,19,-500.0
train_mse_171100060202,20,-500.0
train_mse_171100060202,21,-500.0
train_mse_171100060202,22,-500.0
train_mse_171100060202,23,-500.0
train_mse_171100060202,24,-500.0
train_mse_171100060202,25,-500.0
train_mse_171100060202,26,-500.0
train_mse_171100060202,27,-500.0
train_mse_171100060202,28,-500.0
train_mse_171100060202,29,-500.0
test_mse_171100060202,0,0.01812153123319149
test_mse_171100060202,1,0.004829077515751123
test_mse_171100060202,2,0.03340630605816841
test_mse_171100060202,3,0.00527303759008646
test_mse_171100060202,4,0.012574812397360802
