Metric,Step,Value
test_mse_170200110703,0,0.01190919615328312
test_mse_170200110703,1,0.03460625931620598
test_mse_170200110703,2,0.002316269790753722
test_mse_170200110703,3,0.010266144759953022
test_mse_170200110703,4,0.017438571900129318
test_mse_170200110703,5,0.0036097911652177572
test_mse_170200110703,6,0.006140042562037706
test_mse_170200110703,7,0.02777422033250332
test_mse_170200110703,8,0.011044258251786232
test_mse_170200110703,9,0.011683761142194271
test_mse_170200110703,10,0.027511240914463997
test_mse_170200110703,11,0.007361407857388258
test_mse_170200110703,12,0.0032151048071682453
test_mse_170200110703,13,0.02126202918589115
test_mse_170200110703,14,0.026255862787365913
test_mse_170200110703,15,0.01898203417658806
test_mse_170200110703,16,0.0036992530804127455
test_mse_170200110703,17,0.010301468893885612
test_mse_170200110703,18,0.0030856344383209944
test_mse_170200110703,19,0.015979422256350517
test_mse_170200110703,20,0.005782810039818287
test_mse_170200110703,21,0.013171108439564705
test_mse_170200110703,22,0.010198469273746014
test_mse_170200110703,23,0.014611320570111275
test_mse_170200110703,24,0.008439073339104652
test_mse_170200110703,25,0.0026672901585698128
test_mse_170200110703,26,0.009522134438157082
test_mse_170200110703,27,0.009086440317332745
test_mse_170200110703,28,0.00490625249221921
test_mse_170200110703,29,0.006673919036984444
train_mse_170200090208,0,-500.0
train_mse_170200090208,1,-500.0
train_mse_170200090208,2,-500.0
train_mse_170200090208,3,-500.0
train_mse_170200090208,4,-500.0
train_mse_170200090208,5,-500.0
train_mse_170200090208,6,-500.0
train_mse_170200090208,7,-500.0
train_mse_170200090208,8,-500.0
train_mse_170200090208,9,-500.0
train_mse_170200090208,10,-500.0
train_mse_170200090208,11,-500.0
train_mse_170200090208,12,-500.0
train_mse_170200090208,13,-500.0
train_mse_170200090208,14,-500.0
train_mse_170200090208,15,-500.0
train_mse_170200090208,16,-500.0
train_mse_170200090208,17,-500.0
train_mse_170200090208,18,-500.0
train_mse_170200090208,19,-500.0
train_mse_170200090208,20,-500.0
train_mse_170200090208,21,-500.0
train_mse_170200090208,22,-500.0
train_mse_170200090208,23,-500.0
train_mse_170200090208,24,-500.0
train_mse_170200090208,25,-500.0
train_mse_170200090208,26,-500.0
train_mse_170200090208,27,-500.0
train_mse_170200090208,28,-500.0
train_mse_170200090208,29,-500.0
test_mse_170602070704,0,0.0017253145342692733
test_mse_170602070704,1,0.005085874814540148
test_mse_170602070704,2,0.0032162948045879602
test_mse_170602070704,3,0.0029147835448384285
test_mse_170602070704,4,0.0009933698456734419
test_mse_170602070704,5,0.004428305197507143
test_mse_170602070704,6,0.00312163052149117
test_mse_170602070704,7,0.001672996673732996
