Metric,Step,Value
train_mse_170200110502,0,-500.0
train_mse_170200110502,1,-500.0
train_mse_170200110502,2,-500.0
train_mse_170200110502,3,-500.0
train_mse_170200110502,4,-500.0
train_mse_170200110502,5,-500.0
train_mse_170200110502,6,-500.0
train_mse_170200110502,7,-500.0
train_mse_170200110502,8,-500.0
train_mse_170200110502,9,-500.0
train_mse_170200110502,10,-500.0
train_mse_170200110502,11,-500.0
train_mse_170200110502,12,-500.0
train_mse_170200110502,13,-500.0
train_mse_170200110502,14,-500.0
train_mse_170200110502,15,-500.0
train_mse_170200110502,16,-500.0
train_mse_170200110502,17,-500.0
train_mse_170200110502,18,-500.0
train_mse_170200110502,19,-500.0
train_mse_170200110502,20,-500.0
test_kge_170602080108,0,0.4971249327816111
test_kge_170602080108,1,0.748582620032656
test_kge_170602080108,2,0.9546348700039887
test_kge_170602080108,3,0.6787308803302361
test_kge_170602080108,4,0.948877149958447
test_kge_170602080108,5,0.9123402322672102
test_kge_170602080108,6,-0.08844565862758191
test_kge_170602080108,7,0.4592729365828425
test_kge_170602080108,8,0.5505178383404605
test_kge_170602080108,9,0.5952190499600156
test_kge_170602080108,10,0.514823830260769
test_kge_170602080108,11,0.02054582834203167
test_kge_170602080108,12,0.4921364208237916
test_kge_170602080108,13,0.3740404361289802
test_kge_170602080108,14,0.8988525898531534
test_kge_170602080108,15,0.38800702670586595
test_kge_170602080108,16,0.7959591532527864
test_kge_170602080108,17,0.428684467678522
test_kge_170602080108,18,0.5160774873711895
test_kge_170602080108,19,0.896372599492554
test_kge_170602080108,20,0.7588458472842545
train_mse_170200110301,0,-500.0
train_mse_170200110301,1,-500.0
train_mse_170200110301,2,-500.0
train_mse_170200110301,3,-500.0
train_mse_170200110301,4,-500.0
train_mse_170200110301,5,-500.0
train_mse_170200110301,6,-500.0
train_mse_170200110301,7,-500.0
train_mse_170200110301,8,-500.0
train_mse_170200110301,9,-500.0
train_mse_170200110301,10,-500.0
train_mse_170200110301,11,-500.0
train_mse_170200110301,12,-500.0
train_mse_170200110301,13,-500.0
train_mse_170200110301,14,-500.0
train_mse_170200110301,15,-500.0
train_mse_170200110301,16,-500.0
train_mse_170200110301,17,-500.0
train_mse_170200110301,18,-500.0
train_mse_170200110301,19,-500.0
train_mse_170200110301,20,-500.0
test_kge_170602080505,0,0.8783240287918764
test_kge_170602080505,1,0.9303716486473961
test_kge_170602080505,2,0.6758300496926679
test_kge_170602080505,3,0.9813239869592292
test_kge_170602080505,4,0.740277478035616
test_kge_170602080505,5,0.6307546338268579
test_kge_170602080505,6,0.38589634591805466
test_kge_170602080505,7,0.9176564206921978
test_kge_170602080505,8,0.9458366227983932
test_kge_170602080505,9,0.9404940124996759
test_kge_170602080505,10,0.9231547627959034
test_kge_170602080505,11,0.4419739029834302
test_kge_170602080505,12,0.8716162924946182
test_kge_170602080505,13,0.7344112966993035
test_kge_170602080505,14,0.8083948311361637
test_kge_170602080505,15,0.7625144378082241
test_kge_170602080505,16,0.8749635274672618
test_kge_170602080505,17,0.8440479263991325
test_kge_170602080505,18,0.8450576375058279
test_kge_170602080505,19,0.7807707139670564
test_kge_170602080505,20,0.7014976227179586
test_mse_171100060102,0,0.01643402688205242
test_mse_171100060102,1,0.00817100703716278
test_mse_171100060102,2,0.0091393506154418
test_mse_171100060102,3,0.019306261092424393
test_mse_171100060102,4,0.042882081121206284
test_mse_171100060102,5,0.04001585766673088
test_mse_171100060102,6,0.022482722997665405
test_mse_171100060102,7,0.0045439573004841805
test_mse_171100060102,8,0.021745752543210983
test_mse_171100060102,9,0.034874070435762405
test_mse_171100060102,10,0.009865780360996723
test_mse_171100060102,11,0.006430169101804495
test_mse_171100060102,12,0.03331509232521057
test_mse_171100060102,13,0.006157127674669027
test_mse_171100060102,14,0.02806839346885681
test_mse_171100060102,15,0.011147056706249714
test_mse_171100060102,16,0.01492469385266304
test_mse_171100060102,17,0.0061944108456373215
test_mse_171100060102,18,0.030080029740929604
test_mse_171100060102,19,0.12587778270244598
test_mse_171100060102,20,0.05282860994338989
test_mse_171100050402,0,0.01152452826499939
test_mse_171100050402,1,0.011666626669466496
test_mse_171100050402,2,0.013335979543626308
test_mse_171100050402,3,0.016047485172748566
test_mse_171100050402,4,0.03125668689608574
test_mse_171100050402,5,0.03723614662885666
test_mse_171100050402,6,0.014647419564425945
test_mse_171100050402,7,0.005358806811273098
test_mse_171100050402,8,0.01903557777404785
test_mse_171100050402,9,0.023831889033317566
test_mse_171100050402,10,0.009438066743314266
test_mse_171100050402,11,0.005035826936364174
test_mse_171100050402,12,0.016137678176164627
test_mse_171100050402,13,0.004600090906023979
test_mse_171100050402,14,0.023730359971523285
test_mse_171100050402,15,0.00888032279908657
test_mse_171100050402,16,0.01260741613805294
test_mse_171100050402,17,0.007182628847658634
test_mse_171100050402,18,0.013753424398601055
test_mse_171100050402,19,0.03302735835313797
test_mse_171100050402,20,0.025715770199894905
train_kge_170200090202,0,-500.0
train_kge_170200090202,1,-500.0
train_kge_170200090202,2,-500.0
train_kge_170200090202,3,-500.0
train_kge_170200090202,4,-500.0
train_kge_170200090202,5,-500.0
train_kge_170200090202,6,-500.0
train_kge_170200090202,7,-500.0
train_kge_170200090202,8,-500.0
train_kge_170200090202,9,-500.0
train_kge_170200090202,10,-500.0
train_kge_170200090202,11,-500.0
train_kge_170200090202,12,-500.0
train_kge_170200090202,13,-500.0
train_kge_170200090202,14,-500.0
train_kge_170200090202,15,-500.0
train_kge_170200090202,16,-500.0
train_kge_170200090202,17,-500.0
train_kge_170200090202,18,-500.0
train_kge_170200090202,19,-500.0
train_kge_170200090202,20,-500.0
train_kge_170602070105,0,-500.0
train_kge_170602070105,1,-500.0
train_kge_170602070105,2,-500.0
train_kge_170602070105,3,-500.0
train_kge_170602070105,4,-500.0
train_kge_170602070105,5,-500.0
train_kge_170602070105,6,-500.0
train_kge_170602070105,7,-500.0
train_kge_170602070105,8,-500.0
train_kge_170602070105,9,-500.0
train_kge_170602070105,10,-500.0
train_kge_170602070105,11,-500.0
train_kge_170602070105,12,-500.0
train_kge_170602070105,13,-500.0
train_kge_170602070105,14,-500.0
train_kge_170602070105,15,-500.0
train_kge_170602070105,16,-500.0
train_kge_170602070105,17,-500.0
train_kge_170602070105,18,-500.0
train_kge_170602070105,19,-500.0
train_kge_170602070105,20,-500.0
test_mse_170200090108,0,0.004754108842462301
test_mse_170200090108,1,0.00372174265794456
test_mse_170200090108,2,0.007983755320310593
test_mse_170200090108,3,0.007058304734528065
test_mse_170200090108,4,0.021039912477135658
test_mse_170200090108,5,0.026985494419932365
test_mse_170200090108,6,0.031035643070936203
test_mse_170200090108,7,0.007203645538538694
test_mse_170200090108,8,0.008547836914658546
test_mse_170200090108,9,0.013281748630106449
test_mse_170200090108,10,0.004544137045741081
test_mse_170200090108,11,0.00844184122979641
test_mse_170200090108,12,0.013335357420146465
test_mse_170200090108,13,0.004890322219580412
test_mse_170200090108,14,0.013779344037175179
test_mse_170200090108,15,0.003936032764613628
test_mse_170200090108,16,0.006970209069550037
test_mse_170200090108,17,0.009828222915530205
test_mse_170200090108,18,0.013421546667814255
test_mse_170200090108,19,0.03055816888809204
test_mse_170200090108,20,0.016208147630095482
train_kge_170200110301,0,-500.0
train_kge_170200110301,1,-500.0
train_kge_170200110301,2,-500.0
train_kge_170200110301,3,-500.0
train_kge_170200110301,4,-500.0
train_kge_170200110301,5,-500.0
train_kge_170200110301,6,-500.0
train_kge_170200110301,7,-500.0
