Metric,Step,Value
test_kge_170602070902,0,0.09882716242779799
test_kge_170602070902,1,-0.12879433925088368
test_kge_170602070902,2,-0.8499340207111044
test_kge_170602070902,3,0.7743691920183646
test_kge_170602070902,4,0.626463469314708
test_kge_170602070902,5,0.9050904222746451
test_kge_170602070902,6,0.15956715115094133
test_kge_170602070902,7,0.13351802415472314
test_kge_170602070902,8,0.3746691175375647
test_kge_170602070902,9,0.27471935325185715
test_kge_170602070902,10,0.2643583593875857
test_kge_170602070902,11,0.9087837034553894
test_kge_170602070902,12,0.23115450934189663
test_kge_170602070603,0,0.014236644850927238
test_kge_170602070603,1,-0.15402797480841435
test_kge_170602070603,2,-0.7940908565191835
test_kge_170602070603,3,0.7481010172516958
test_kge_170602070603,4,0.5675714532031065
test_kge_170602070603,5,0.6305097772387289
test_kge_170602070603,6,-0.0013768762664105871
test_kge_170602070603,7,0.03985250203367574
test_kge_170602070603,8,0.24835131245408015
test_kge_170602070603,9,0.16562568072019823
test_kge_170602070603,10,0.17409114184112218
test_kge_170602070603,11,0.8323887276249082
test_kge_170602070603,12,0.09411307411687042
train_mse_171100051004,0,-500.0
train_mse_171100051004,1,-500.0
train_mse_171100051004,2,-500.0
train_mse_171100051004,3,-500.0
train_mse_171100051004,4,-500.0
train_mse_171100051004,5,-500.0
train_mse_171100051004,6,-500.0
train_mse_171100051004,7,-500.0
train_mse_171100051004,8,-500.0
train_mse_171100051004,9,-500.0
train_mse_171100051004,10,-500.0
train_mse_171100051004,11,-500.0
train_mse_171100051004,12,-500.0
test_kge_170602080302,0,0.5795953050709335
test_kge_170602080302,1,0.3184963236797428
test_kge_170602080302,2,-0.28758256773657065
test_kge_170602080302,3,0.8307256653409469
test_kge_170602080302,4,0.9154001107635382
test_kge_170602080302,5,0.7973859944706451
test_kge_170602080302,6,0.6283393139926479
test_kge_170602080302,7,0.5991284424325214
test_kge_170602080302,8,0.7915114109197916
test_kge_170602080302,9,0.7026164316792238
test_kge_170602080302,10,0.6814016057719547
test_kge_170602080302,11,0.731318656585127
test_kge_170602080302,12,0.6712721299412037
train_kge_170602070802,0,-500.0
train_kge_170602070802,1,-500.0
train_kge_170602070802,2,-500.0
train_kge_170602070802,3,-500.0
train_kge_170602070802,4,-500.0
train_kge_170602070802,5,-500.0
train_kge_170602070802,6,-500.0
train_kge_170602070802,7,-500.0
train_kge_170602070802,8,-500.0
train_kge_170602070802,9,-500.0
train_kge_170602070802,10,-500.0
train_kge_170602070802,11,-500.0
train_kge_170602070802,12,-500.0
test_mse_171100090103,0,0.011064129881560802
test_mse_171100090103,1,0.012550410814583302
test_mse_171100090103,2,0.009390171617269516
test_mse_171100090103,3,0.05403809994459152
test_mse_171100090103,4,0.06161363795399666
test_mse_171100090103,5,0.017868349328637123
test_mse_171100090103,6,0.009727315045893192
test_mse_171100090103,7,0.02719329297542572
test_mse_171100090103,8,0.017066068947315216
test_mse_171100090103,9,0.027125105261802673
test_mse_171100090103,10,0.03754299506545067
test_mse_171100090103,11,0.02507929317653179
test_mse_171100090103,12,0.03253320977091789
train_kge_170200110301,0,-500.0
train_kge_170200110301,1,-500.0
train_kge_170200110301,2,-500.0
train_kge_170200110301,3,-500.0
train_kge_170200110301,4,-500.0
train_kge_170200110301,5,-500.0
train_kge_170200110301,6,-500.0
train_kge_170200110301,7,-500.0
train_kge_170200110301,8,-500.0
train_kge_170200110301,9,-500.0
train_kge_170200110301,10,-500.0
train_kge_170200110301,11,-500.0
train_kge_170200110301,12,-500.0
train_kge_170103040901,0,-500.0
train_kge_170103040901,1,-500.0
train_kge_170103040901,2,-500.0
train_kge_170103040901,3,-500.0
train_kge_170103040901,4,-500.0
train_kge_170103040901,5,-500.0
train_kge_170103040901,6,-500.0
train_kge_170103040901,7,-500.0
train_kge_170103040901,8,-500.0
train_kge_170103040901,9,-500.0
train_kge_170103040901,10,-500.0
train_kge_170103040901,11,-500.0
train_kge_170103040901,12,-500.0
test_mse_171100050705,0,0.028023619204759598
test_mse_171100050705,1,0.028158608824014664
test_mse_171100050705,2,0.02352665364742279
test_mse_171100050705,3,0.01240867655724287
test_mse_171100050705,4,0.017233045771718025
test_mse_171100050705,5,0.013464441522955894
test_mse_171100050705,6,0.027564071118831635
test_mse_171100050705,7,0.008607594296336174
test_mse_171100050705,8,0.009327693842351437
test_mse_171100050705,9,0.014186187647283077
test_mse_171100050705,10,0.009088759310543537
test_mse_171100050705,11,0.008775630965828896
test_mse_171100050705,12,0.010627898387610912
test_kge_170602070705,0,0.2419817524748029
test_kge_170602070705,1,0.09713699651260488
test_kge_170602070705,2,-0.409631436485407
test_kge_170602070705,3,0.9466088756588289
test_kge_170602070705,4,0.7884298614262184
test_kge_170602070705,5,0.8609429368225207
test_kge_170602070705,6,0.3528461155318895
test_kge_170602070705,7,0.2739006098379376
test_kge_170602070705,8,0.5391212483068943
test_kge_170602070705,9,0.42166728214719107
test_kge_170602070705,10,0.4181080026213261
test_kge_170602070705,11,0.880590260391065
test_kge_170602070705,12,0.45591791504042334
test_mse_170602080412,0,0.0032220869325101376
test_mse_170602080412,1,0.003523780032992363
test_mse_170602080412,2,0.008758832700550556
test_mse_170602080412,3,0.0014960417756810784
test_mse_170602080412,4,0.0007663031574338675
test_mse_170602080412,5,0.0008076593512669206
test_mse_170602080412,6,0.0012467257911339402
test_mse_170602080412,7,0.0018774288473650813
test_mse_170602080412,8,0.0008840950322337449
test_mse_170602080412,9,0.0010781500022858381
test_mse_170602080412,10,0.0012186586391180754
test_mse_170602080412,11,0.0010285174939781427
test_mse_170602080412,12,0.0013008156092837453
test_kge_170602070707,0,-0.40338282973997686
test_kge_170602070707,1,-0.4282578846084364
test_kge_170602070707,2,-0.9145896490694887
test_kge_170602070707,3,0.7762416046011125
test_kge_170602070707,4,0.3530394618006062
test_kge_170602070707,5,0.20172969470972935
test_kge_170602070707,6,-0.272905073562433
test_kge_170602070707,7,-0.3392497013910962
test_kge_170602070707,8,0.05065418941258826
test_kge_170602070707,9,-0.12006290307270051
test_kge_170602070707,10,-0.19171751403716453
test_kge_170602070707,11,0.6579942809924783
test_kge_170602070707,12,-0.01816935277986209
train_mse_170200110101,0,-500.0
train_mse_170200110101,1,-500.0
train_mse_170200110101,2,-500.0
train_mse_170200110101,3,-500.0
train_mse_170200110101,4,-500.0
train_mse_170200110101,5,-500.0
train_mse_170200110101,6,-500.0
train_mse_170200110101,7,-500.0
train_mse_170200110101,8,-500.0
train_mse_170200110101,9,-500.0
train_mse_170200110101,10,-500.0
train_mse_170200110101,11,-500.0
train_mse_170200110101,12,-500.0
train_mse_171100060402,0,-500.0
train_mse_171100060402,1,-500.0
train_mse_171100060402,2,-500.0
train_mse_171100060402,3,-500.0
train_mse_171100060402,4,-500.0
train_mse_171100060402,5,-500.0
train_mse_171100060402,6,-500.0
train_mse_171100060402,7,-500.0
train_mse_171100060402,8,-500.0
train_mse_171100060402,9,-500.0
train_mse_171100060402,10,-500.0
train_mse_171100060402,11,-500.0
train_mse_171100060402,12,-500.0
train_mse_170200110403,0,-500.0
train_mse_170200110403,1,-500.0
train_mse_170200110403,2,-500.0
train_mse_170200110403,3,-500.0
train_mse_170200110403,4,-500.0
train_mse_170200110403,5,-500.0
train_mse_170200110403,6,-500.0
train_mse_170200110403,7,-500.0
train_mse_170200110403,8,-500.0
train_mse_170200110403,9,-500.0
train_mse_170200110403,10,-500.0
train_mse_170200110403,11,-500.0
train_mse_170200110403,12,-500.0
test_mse_170200090106,0,0.02201862446963787
test_mse_170200090106,1,0.00734226917847991
test_mse_170200090106,2,0.024837326258420944
test_mse_170200090106,3,0.02835029549896717
test_mse_170200090106,4,0.026272011920809746
test_mse_170200090106,5,0.011295431293547153
test_mse_170200090106,6,0.016969097778201103
test_mse_170200090106,7,0.00812336802482605
test_mse_170200090106,8,0.007571016438305378
test_mse_170200090106,9,0.0075305853970348835
test_mse_170200090106,10,0.009211365133523941
test_mse_170200090106,11,0.012366654351353645
test_mse_170200090106,12,0.01048390194773674
train_kge_170103020102,0,-500.0
train_kge_170103020102,1,-500.0
train_kge_170103020102,2,-500.0
train_kge_170103020102,3,-500.0
train_kge_170103020102,4,-500.0
train_kge_170103020102,5,-500.0
train_kge_170103020102,6,-500.0
train_kge_170103020102,7,-500.0
train_kge_170103020102,8,-500.0
train_kge_170103020102,9,-500.0
train_kge_170103020102,10,-500.0
train_kge_170103020102,11,-500.0
train_kge_170103020102,12,-500.0
test_mse_171100050801,0,0.01812349632382393
test_mse_171100050801,1,0.022381747141480446
test_mse_171100050801,2,0.021994698792696
test_mse_171100050801,3,0.05880608409643173
test_mse_171100050801,4,0.0692317932844162
test_mse_171100050801,5,0.02321869693696499
test_mse_171100050801,6,0.018552279099822044
test_mse_171100050801,7,0.020759135484695435
test_mse_171100050801,8,0.017426587641239166
test_mse_171100050801,9,0.0273209810256958
test_mse_171100050801,10,0.03696872293949127
test_mse_171100050801,11,0.027579791843891144
test_mse_171100050801,12,0.02619982324540615
test_kge_170602070901,0,0.08653030615363255
test_kge_170602070901,1,-0.06052476107519089
test_kge_170602070901,2,-0.64306287738082
test_kge_170602070901,3,0.8815991116013031
test_kge_170602070901,4,0.6744508100924287
test_kge_170602070901,5,0.8059584725045836
test_kge_170602070901,6,0.19168852411216009
test_kge_170602070901,7,0.13012354423764128
test_kge_170602070901,8,0.4024899078530665
test_kge_170602070901,9,0.2740401971954617
test_kge_170602070901,10,0.27636540330302917
test_kge_170602070901,11,0.8843282101102399
test_kge_170602070901,12,0.2942444963654257
train_kge_170200090108,0,-500.0
train_kge_170200090108,1,-500.0
train_kge_170200090108,2,-500.0
train_kge_170200090108,3,-500.0
train_kge_170200090108,4,-500.0
train_kge_170200090108,5,-500.0
train_kge_170200090108,6,-500.0
train_kge_170200090108,7,-500.0
train_kge_170200090108,8,-500.0
train_kge_170200090108,9,-500.0
train_kge_170200090108,10,-500.0
train_kge_170200090108,11,-500.0
train_kge_170200090108,12,-500.0
train_mse_170200090208,0,-500.0
train_mse_170200090208,1,-500.0
train_mse_170200090208,2,-500.0
train_mse_170200090208,3,-500.0
train_mse_170200090208,4,-500.0
train_mse_170200090208,5,-500.0
train_mse_170200090208,6,-500.0
train_mse_170200090208,7,-500.0
train_mse_170200090208,8,-500.0
train_mse_170200090208,9,-500.0
train_mse_170200090208,10,-500.0
train_mse_170200090208,11,-500.0
train_mse_170200090208,12,-500.0
test_kge_171100051004,0,0.651296340664002
test_kge_171100051004,1,0.7040343391586654
test_kge_171100051004,2,0.7131463410870726
test_kge_171100051004,3,0.3504235037579987
test_kge_171100051004,4,0.28839615208329694
test_kge_171100051004,5,0.5880261338672903
test_kge_171100051004,6,0.7231003366295985
test_kge_171100051004,7,0.42132412505626116
test_kge_171100051004,8,0.48712750459987386
test_kge_171100051004,9,0.4424143785226148
test_kge_171100051004,10,0.38616614192228105
test_kge_171100051004,11,0.4420515139895963
test_kge_171100051004,12,0.39084651499783996
train_kge_170103040601,0,-500.0
train_kge_170103040601,1,-500.0
train_kge_170103040601,2,-500.0
train_kge_170103040601,3,-500.0
train_kge_170103040601,4,-500.0
train_kge_170103040601,5,-500.0
train_kge_170103040601,6,-500.0
train_kge_170103040601,7,-500.0
train_kge_170103040601,8,-500.0
train_kge_170103040601,9,-500.0
train_kge_170103040601,10,-500.0
train_kge_170103040601,11,-500.0
train_kge_170103040601,12,-500.0
train_mse_170602070105,0,-500.0
train_mse_170602070105,1,-500.0
train_mse_170602070105,2,-500.0
train_mse_170602070105,3,-500.0
train_mse_170602070105,4,-500.0
train_mse_170602070105,5,-500.0
train_mse_170602070105,6,-500.0
train_mse_170602070105,7,-500.0
train_mse_170602070105,8,-500.0
train_mse_170602070105,9,-500.0
train_mse_170602070105,10,-500.0
train_mse_170602070105,11,-500.0
train_mse_170602070105,12,-500.0
test_mse_170200110301,0,0.03601932153105736
test_mse_170200110301,1,0.015129988081753254
test_mse_170200110301,2,0.04086565971374512
test_mse_170200110301,3,0.014226973056793213
test_mse_170200110301,4,0.013208966702222824
test_mse_170200110301,5,0.008665467612445354
test_mse_170200110301,6,0.022553561255335808
test_mse_170200110301,7,0.009768816642463207
test_mse_170200110301,8,0.00984107330441475
test_mse_170200110301,9,0.00773368077352643
test_mse_170200110301,10,0.005106637720018625
test_mse_170200110301,11,0.005468900315463543
test_mse_170200110301,12,0.011855581775307655
test_mse_170103020102,0,0.012684370391070843
test_mse_170103020102,1,0.009912523441016674
test_mse_170103020102,2,0.02208137698471546
test_mse_170103020102,3,0.001566821476444602
test_mse_170103020102,4,0.0012800744734704494
test_mse_170103020102,5,0.003955563064664602
test_mse_170103020102,6,0.010844854637980461
test_mse_170103020102,7,0.006113886833190918
test_mse_170103020102,8,0.004741816781461239
test_mse_170103020102,9,0.0058305575512349606
test_mse_170103020102,10,0.004218967631459236
test_mse_170103020102,11,0.001212595496326685
test_mse_170103020102,12,0.006281453650444746
train_kge_171100050801,0,-500.0
train_kge_171100050801,1,-500.0
train_kge_171100050801,2,-500.0
train_kge_171100050801,3,-500.0
train_kge_171100050801,4,-500.0
train_kge_171100050801,5,-500.0
train_kge_171100050801,6,-500.0
train_kge_171100050801,7,-500.0
train_kge_171100050801,8,-500.0
train_kge_171100050801,9,-500.0
train_kge_171100050801,10,-500.0
train_kge_171100050801,11,-500.0
train_kge_171100050801,12,-500.0
test_kge_170602071107,0,-0.3255547689591918
test_kge_170602071107,1,-0.39599191913073795
test_kge_170602071107,2,-0.991506828900077
test_kge_170602071107,3,0.7257329292037045
test_kge_170602071107,4,0.36964284077330645
test_kge_170602071107,5,0.24038198703072022
test_kge_170602071107,6,-0.2871921993058284
test_kge_170602071107,7,-0.24749347306489922
test_kge_170602071107,8,0.03824523575423877
test_kge_170602071107,9,-0.0717257452307829
test_kge_170602071107,10,-0.22925164625293193
test_kge_170602071107,11,0.649205001867258
test_kge_170602071107,12,0.005783018968532616
test_kge_170103020302,0,0.6483482615454363
test_kge_170103020302,1,0.746172102218444
test_kge_170103020302,2,0.4885946518154294
test_kge_170103020302,3,0.7090364252007832
test_kge_170103020302,4,0.7926492181732125
test_kge_170103020302,5,0.9291819690272421
test_kge_170103020302,6,0.6573895416481138
test_kge_170103020302,7,0.8668502627158334
test_kge_170103020302,8,0.8979480095729226
test_kge_170103020302,9,0.8876328604667242
test_kge_170103020302,10,0.9111309670695492
test_kge_170103020302,11,0.7303636537223513
test_kge_170103020302,12,0.9197620714319777
train_kge_170200090302,0,-500.0
train_kge_170200090302,1,-500.0
train_kge_170200090302,2,-500.0
train_kge_170200090302,3,-500.0
train_kge_170200090302,4,-500.0
train_kge_170200090302,5,-500.0
train_kge_170200090302,6,-500.0
train_kge_170200090302,7,-500.0
train_kge_170200090302,8,-500.0
train_kge_170200090302,9,-500.0
train_kge_170200090302,10,-500.0
train_kge_170200090302,11,-500.0
train_kge_170200090302,12,-500.0
train_kge_170200090105,0,-500.0
train_kge_170200090105,1,-500.0
train_kge_170200090105,2,-500.0
train_kge_170200090105,3,-500.0
train_kge_170200090105,4,-500.0
train_kge_170200090105,5,-500.0
train_kge_170200090105,6,-500.0
train_kge_170200090105,7,-500.0
train_kge_170200090105,8,-500.0
train_kge_170200090105,9,-500.0
train_kge_170200090105,10,-500.0
train_kge_170200090105,11,-500.0
train_kge_170200090105,12,-500.0
train_mse_171100060202,0,-500.0
train_mse_171100060202,1,-500.0
train_mse_171100060202,2,-500.0
train_mse_171100060202,3,-500.0
train_mse_171100060202,4,-500.0
train_mse_171100060202,5,-500.0
train_mse_171100060202,6,-500.0
train_mse_171100060202,7,-500.0
train_mse_171100060202,8,-500.0
train_mse_171100060202,9,-500.0
train_mse_171100060202,10,-500.0
train_mse_171100060202,11,-500.0
train_mse_171100060202,12,-500.0
test_mse_170200110501,0,0.004025900270789862
test_mse_170200110501,1,0.0015416312962770462
test_mse_170200110501,2,0.00292541878297925
test_mse_170200110501,3,0.0047009591944515705
test_mse_170200110501,4,0.0019923646468669176
test_mse_170200110501,5,0.0013090010033920407
test_mse_170200110501,6,0.0026413556188344955
test_mse_170200110501,7,0.0010666712187230587
test_mse_170200110501,8,0.0009495249250903726
test_mse_170200110501,9,0.0011870776070281863
test_mse_170200110501,10,0.0009165480150841177
test_mse_170200110501,11,0.003393177641555667
test_mse_170200110501,12,0.0014956954400986433
test_mse_170200110101,0,0.011662538163363934
test_mse_170200110101,1,0.02133176103234291
test_mse_170200110101,2,0.007910705171525478
test_mse_170200110101,3,0.07870958000421524
test_mse_170200110101,4,0.07732655853033066
test_mse_170200110101,5,0.029891962185502052
test_mse_170200110101,6,0.010316487401723862
test_mse_170200110101,7,0.027443770319223404
test_mse_170200110101,8,0.0252697616815567
test_mse_170200110101,9,0.03198828548192978
test_mse_170200110101,10,0.04607197642326355
test_mse_170200110101,11,0.043414946645498276
test_mse_170200110101,12,0.03189915418624878
train_kge_170602070705,0,-500.0
train_kge_170602070705,1,-500.0
train_kge_170602070705,2,-500.0
train_kge_170602070705,3,-500.0
train_kge_170602070705,4,-500.0
train_kge_170602070705,5,-500.0
train_kge_170602070705,6,-500.0
train_kge_170602070705,7,-500.0
train_kge_170602070705,8,-500.0
train_kge_170602070705,9,-500.0
train_kge_170602070705,10,-500.0
train_kge_170602070705,11,-500.0
train_kge_170602070705,12,-500.0
train_kge_170200110403,0,-500.0
train_kge_170200110403,1,-500.0
train_kge_170200110403,2,-500.0
train_kge_170200110403,3,-500.0
train_kge_170200110403,4,-500.0
train_kge_170200110403,5,-500.0
train_kge_170200110403,6,-500.0
train_kge_170200110403,7,-500.0
train_kge_170200110403,8,-500.0
train_kge_170200110403,9,-500.0
train_kge_170200110403,10,-500.0
train_kge_170200110403,11,-500.0
train_kge_170200110403,12,-500.0
train_mse_170200090302,0,-500.0
train_mse_170200090302,1,-500.0
train_mse_170200090302,2,-500.0
train_mse_170200090302,3,-500.0
train_mse_170200090302,4,-500.0
train_mse_170200090302,5,-500.0
train_mse_170200090302,6,-500.0
train_mse_170200090302,7,-500.0
train_mse_170200090302,8,-500.0
train_mse_170200090302,9,-500.0
