Metric,Step,Value
test_mse_170602070105,0,0.013726148754358292
test_mse_170602070105,1,0.0017164371674880385
test_mse_170602070105,2,0.0034926049411296844
test_mse_170602070105,3,0.0018637210596352816
test_mse_170602070105,4,0.000867093272972852
test_mse_170602070105,5,0.001286978367716074
test_mse_170602070105,6,0.0018547779181972146
test_mse_170602070105,7,0.0017559373518452048
test_mse_170602070105,8,0.003684576600790024
test_mse_170602070105,9,0.004115646705031395
test_mse_170602070105,10,0.0019635052885860205
test_mse_170602070105,11,0.001998330932110548
test_mse_170602070105,12,0.0016913088038563728
test_mse_170602070105,13,0.0024227211251854897
test_kge_170602080108,0,0.8465818957878211
test_kge_170602080108,1,0.06340330257322102
test_kge_170602080108,2,0.5102667469577825
test_kge_170602080108,3,0.442905263174581
test_kge_170602080108,4,0.45125501018442027
test_kge_170602080108,5,0.3919868053411706
test_kge_170602080108,6,0.4581473231006272
test_kge_170602080108,7,0.1139940284371801
test_kge_170602080108,8,0.532687054435701
test_kge_170602080108,9,0.7705424444790271
test_kge_170602080108,10,0.18920900622766512
test_kge_170602080108,11,0.059729712243349886
test_kge_170602080108,12,0.3872756278692061
test_kge_170602080108,13,0.43348771168074274
test_mse_170602070705,0,0.0018551251851022243
test_mse_170602070705,1,0.006354968994855881
test_mse_170602070705,2,0.0012384910369291902
test_mse_170602070705,3,0.0036387736909091473
test_mse_170602070705,4,0.0038712332025170326
test_mse_170602070705,5,0.003816145472228527
test_mse_170602070705,6,0.003127171890810132
test_mse_170602070705,7,0.006156373303383589
test_mse_170602070705,8,0.003967932891100645
test_mse_170602070705,9,0.0013599955709651113
test_mse_170602070705,10,0.007482035085558891
test_mse_170602070705,11,0.00868905894458294
test_mse_170602070705,12,0.0063417209312319756
test_mse_170602070705,13,0.0053960359655320644
train_kge_171100060102,0,-500.0
train_kge_171100060102,1,-500.0
train_kge_171100060102,2,-500.0
train_kge_171100060102,3,-500.0
train_kge_171100060102,4,-500.0
train_kge_171100060102,5,-500.0
train_kge_171100060102,6,-500.0
train_kge_171100060102,7,-500.0
train_kge_171100060102,8,-500.0
train_kge_171100060102,9,-500.0
train_kge_171100060102,10,-500.0
train_kge_171100060102,11,-500.0
train_kge_171100060102,12,-500.0
train_kge_171100060102,13,-500.0
train_kge_170602070105,0,-500.0
train_kge_170602070105,1,-500.0
train_kge_170602070105,2,-500.0
train_kge_170602070105,3,-500.0
train_kge_170602070105,4,-500.0
train_kge_170602070105,5,-500.0
train_kge_170602070105,6,-500.0
train_kge_170602070105,7,-500.0
train_kge_170602070105,8,-500.0
train_kge_170602070105,9,-500.0
train_kge_170602070105,10,-500.0
train_kge_170602070105,11,-500.0
train_kge_170602070105,12,-500.0
train_kge_170602070105,13,-500.0
test_mse_170602070704,0,0.00876656360924244
test_mse_170602070704,1,0.0018396173836663365
test_mse_170602070704,2,0.0028132800944149494
test_mse_170602070704,3,0.0018605684163048863
test_mse_170602070704,4,0.0012190357083454728
test_mse_170602070704,5,0.0010978610953316092
test_mse_170602070704,6,0.0015492273960262537
test_mse_170602070704,7,0.0008253453997895122
test_mse_170602070704,8,0.0008621138986200094
test_mse_170602070704,9,0.002764976117759943
test_mse_170602070704,10,0.0009205571841448545
test_mse_170602070704,11,0.00174340617377311
test_mse_170602070704,12,0.0014707279624417424
test_mse_170602070704,13,0.002973860362544656
test_mse_170602070902,0,0.0016207541339099407
test_mse_170602070902,1,0.017834248021245003
test_mse_170602070902,2,0.005052042659372091
test_mse_170602070902,3,0.010199157521128654
test_mse_170602070902,4,0.01011277548968792
test_mse_170602070902,5,0.011183718219399452
test_mse_170602070902,6,0.007529933471232653
test_mse_170602070902,7,0.018095171079039574
test_mse_170602070902,8,0.006014819722622633
test_mse_170602070902,9,0.003454286605119705
test_mse_170602070902,10,0.015596489422023296
