Metric,Step,Value
train_kge_1711000504,0,0.7784577942741726
train_kge_1711000504,1,0.9122814448793581
train_kge_1711000504,2,0.8693628160580066
train_kge_1711000504,3,0.8987568237203457
train_kge_1711000504,4,0.8803371780846386
train_kge_1711000504,5,0.9566209680281594
train_kge_1711000504,6,0.9562797744862562
train_kge_1711000504,7,0.885622882819325
train_kge_1711000504,8,0.9199401570709211
train_kge_1711000504,9,0.9835133808902669
train_mse_1711000510,0,0.02148168347775936
train_mse_1711000510,1,0.014543527737259865
train_mse_1711000510,2,0.020539717748761177
train_mse_1711000510,3,0.010885605588555336
train_mse_1711000510,4,0.014367733150720596
train_mse_1711000510,5,0.01315142773091793
train_mse_1711000510,6,0.009231362491846085
train_mse_1711000510,7,0.00622742110863328
train_mse_1711000510,8,0.005863429047167301
train_mse_1711000510,9,0.004673413001000881
test_mse_1711000504,0,0.018465513363480568
test_mse_1711000504,1,0.008502193726599216
test_mse_1711000504,2,0.007962713949382305
test_mse_1711000504,3,0.007338046561926603
test_mse_1711000504,4,0.004858690779656172
test_mse_1711000504,5,0.0043129394762218
test_mse_1711000504,6,0.00419284962117672
test_mse_1711000504,7,0.004987458232790232
test_mse_1711000504,8,0.004858618136495352
test_mse_1711000504,9,0.004030238837003708
train_mse_1711000509,0,0.009805578738451004
train_mse_1711000509,1,0.006547193508595228
train_mse_1711000509,2,0.0063248262740671635
train_mse_1711000509,3,0.01133465301245451
train_mse_1711000509,4,0.004081320948898792
train_mse_1711000509,5,0.003827424719929695
train_mse_1711000509,6,0.003945342730730772
train_mse_1711000509,7,0.004477465525269508
train_mse_1711000509,8,0.004080071579664946
train_mse_1711000509,9,0.004223756492137909
train_kge_1711000510,0,0.703741576179532
train_kge_1711000510,1,0.8228801175400521
train_kge_1711000510,2,0.6415917976477237
train_kge_1711000510,3,0.8240897588653792
train_kge_1711000510,4,0.8586392543987982
train_kge_1711000510,5,0.7873677315425891
train_kge_1711000510,6,0.8594613002945514
train_kge_1711000510,7,0.9189092453856719
train_kge_1711000510,8,0.9363513484005677
train_kge_1711000510,9,0.9215597483458482
train_kge_1711000509,0,0.8349455332994713
train_kge_1711000509,1,0.8928214108035682
train_kge_1711000509,2,0.9126973733581281
train_kge_1711000509,3,0.6760255208466643
train_kge_1711000509,4,0.9276517978462673
train_kge_1711000509,5,0.889158863881634
train_kge_1711000509,6,0.9370448942520544
train_kge_1711000509,7,0.8607430861737214
train_kge_1711000509,8,0.9298667291196379
train_kge_1711000509,9,0.9311704299915525
train_mse_1711000505,0,0.040446240454912186
train_mse_1711000505,1,0.028454404324293137
train_mse_1711000505,2,0.014667869545519352
train_mse_1711000505,3,0.009673657827079296
train_mse_1711000505,4,0.008432040922343731
train_mse_1711000505,5,0.007223271764814854
train_mse_1711000505,6,0.010344518348574638
train_mse_1711000505,7,0.006063336040824652
train_mse_1711000505,8,0.004727184772491455
train_mse_1711000505,9,0.003510148962959647
test_kge_1711000510,0,0.36200967165352427
test_kge_1711000510,1,0.479216644111904
test_kge_1711000510,2,0.3237238057943427
test_kge_1711000510,3,0.5375820562478537
test_kge_1711000510,4,0.5080704288335566
test_kge_1711000510,5,0.4860579432376303
test_kge_1711000510,6,0.5354281996210017
test_kge_1711000510,7,0.6299603748335332
test_kge_1711000510,8,0.699791474740139
test_kge_1711000510,9,0.6736327016666559
test_mse_1711000506,0,0.04354320839047432
test_mse_1711000506,1,0.019975822418928146
test_mse_1711000506,2,0.02928101271390915
test_mse_1711000506,3,0.026132266968488693
test_mse_1711000506,4,0.028709612786769867
test_mse_1711000506,5,0.022835686802864075
test_mse_1711000506,6,0.013273057527840137
test_mse_1711000506,7,0.017814967781305313
test_mse_1711000506,8,0.018295718356966972
test_mse_1711000506,9,0.02322680875658989
train_mse_1711000507,0,0.028330130502581596
train_mse_1711000507,1,0.01603320799767971
train_mse_1711000507,2,0.01906490884721279
train_mse_1711000507,3,0.015084614045917988
train_mse_1711000507,4,0.01519677136093378
train_mse_1711000507,5,0.010302252136170864
train_mse_1711000507,6,0.012977935373783112
train_mse_1711000507,7,0.007759598549455404
train_mse_1711000507,8,0.00743603752925992
train_mse_1711000507,9,0.008156316354870796
test_mse_1711000505,0,0.03808940201997757
test_mse_1711000505,1,0.023947302252054214
test_mse_1711000505,2,0.009679371491074562
test_mse_1711000505,3,0.006201957818120718
test_mse_1711000505,4,0.0070167891681194305
test_mse_1711000505,5,0.007314792834222317
test_mse_1711000505,6,0.011430472135543823
test_mse_1711000505,7,0.007318657357245684
test_mse_1711000505,8,0.005361576098948717
