Metric,Step,Value
train_mse_1711000506,0,0.023551298305392265
train_mse_1711000506,1,0.018131567165255547
train_mse_1711000506,2,0.01083074975758791
train_mse_1711000506,3,0.009120369330048561
train_mse_1711000506,4,0.008701040409505367
train_mse_1711000506,5,0.008106484077870846
train_mse_1711000506,6,0.0077526383101940155
train_mse_1711000506,7,0.0045733219012618065
train_mse_1711000506,8,0.003538445569574833
train_mse_1711000506,9,0.004049691837280989
test_mse_1711000506,0,0.03392712399363518
test_mse_1711000506,1,0.02232380583882332
test_mse_1711000506,2,0.014660464599728584
test_mse_1711000506,3,0.01530920434743166
test_mse_1711000506,4,0.010374393314123154
test_mse_1711000506,5,0.02594417706131935
test_mse_1711000506,6,0.03004470467567444
test_mse_1711000506,7,0.025085872039198875
test_mse_1711000506,8,0.021125301718711853
test_mse_1711000506,9,0.02629086934030056
train_kge_1711000506,0,0.7682719837121192
train_kge_1711000506,1,0.9180308166012076
train_kge_1711000506,2,0.9379319659687543
train_kge_1711000506,3,0.9478312287184115
train_kge_1711000506,4,0.8968722062904937
train_kge_1711000506,5,0.8947118531619112
train_kge_1711000506,6,0.8605365526460609
train_kge_1711000506,7,0.9109642836795186
train_kge_1711000506,8,0.9546334087192679
train_kge_1711000506,9,0.9187022953346072
test_kge_1711000506,0,0.6186816004506945
test_kge_1711000506,1,0.7806797689366719
test_kge_1711000506,2,0.7992125344920105
test_kge_1711000506,3,0.8026018704472518
test_kge_1711000506,4,0.8966779319104808
test_kge_1711000506,5,0.7098997478850569
test_kge_1711000506,6,0.6533253063057154
test_kge_1711000506,7,0.6873442825957794
test_kge_1711000506,8,0.7310436133776536
test_kge_1711000506,9,0.7018091355931111
train_mse_1711000507,0,0.02078644372522831
train_mse_1711000507,1,0.014829154126346111
train_mse_1711000507,2,0.014329986646771431
train_mse_1711000507,3,0.013226097449660301
train_mse_1711000507,4,0.011966276913881302
train_mse_1711000507,5,0.00791106466203928
train_mse_1711000507,6,0.0066872150637209415
train_mse_1711000507,7,0.006377374287694693
train_mse_1711000507,8,0.005958272144198418
train_mse_1711000507,9,0.005666631739586592
test_mse_1711000507,0,0.025666261091828346
test_mse_1711000507,1,0.016655266284942627
test_mse_1711000507,2,0.020188068971037865
test_mse_1711000507,3,0.01923905871808529
test_mse_1711000507,4,0.02060352824628353
test_mse_1711000507,5,0.0126904072239995
test_mse_1711000507,6,0.013244234025478363
test_mse_1711000507,7,0.014574841596186161
test_mse_1711000507,8,0.01289881020784378
test_mse_1711000507,9,0.015769194811582565
train_kge_1711000507,0,0.8748678346278902
train_kge_1711000507,1,0.8665724453099839
train_kge_1711000507,2,0.9032221863547929
train_kge_1711000507,3,0.9079615840676731
train_kge_1711000507,4,0.8101548919548608
train_kge_1711000507,5,0.9642695840864951
train_kge_1711000507,6,0.9458187557829912
train_kge_1711000507,7,0.9156841732627191
train_kge_1711000507,8,0.9099502779312163
train_kge_1711000507,9,0.9002622420617528
train_mse_1711000505,0,0.014364209957420826
train_mse_1711000505,1,0.012171169742941856
train_mse_1711000505,2,0.005237451754510403
train_mse_1711000505,3,0.0032398838084191084
train_mse_1711000505,4,0.0032070502638816833
train_mse_1711000505,5,0.0100172720849514
train_mse_1711000505,6,0.002959652803838253
train_mse_1711000505,7,0.0022865014616400003
train_mse_1711000505,8,0.0023104725405573845
train_mse_1711000505,9,0.0021132132969796658
test_mse_1711000505,0,0.011205501854419708
test_mse_1711000505,1,0.014793328940868378
test_mse_1711000505,2,0.0058700283989310265
test_mse_1711000505,3,0.004724652040749788
test_mse_1711000505,4,0.00462788250297308
test_mse_1711000505,5,0.010339010506868362
test_mse_1711000505,6,0.004983263090252876
test_mse_1711000505,7,0.005094834603369236
test_mse_1711000505,8,0.005067774560302496
