Metric,Step,Value
test_kge_170602080503,0,0.8074779335783772
test_kge_170602080503,1,0.48970667069480034
test_kge_170602080503,2,-0.2637645573793934
test_kge_170602080503,3,0.9008604595278487
test_kge_170602080503,4,-0.2904415091568111
test_kge_170602080503,5,-0.0696182313611089
test_kge_170602080503,6,0.8977360737221376
test_kge_170602080503,7,0.8528033322337549
test_kge_170602080503,8,0.81586534985067
test_kge_170602080503,9,0.9080055918347747
test_kge_170602080503,10,0.9086319694521029
test_kge_170602080503,11,0.6663142336471599
test_kge_170602080503,12,0.8691996907178899
train_mse_171100060402,0,-500.0
train_mse_171100060402,1,-500.0
train_mse_171100060402,2,-500.0
train_mse_171100060402,3,-500.0
train_mse_171100060402,4,-500.0
train_mse_171100060402,5,-500.0
train_mse_171100060402,6,-500.0
train_mse_171100060402,7,-500.0
train_mse_171100060402,8,-500.0
train_mse_171100060402,9,-500.0
train_mse_171100060402,10,-500.0
train_mse_171100060402,11,-500.0
train_mse_171100060402,12,-500.0
test_mse_170602070105,0,0.003519213292747736
test_mse_170602070105,1,0.004914744291454554
test_mse_170602070105,2,0.01882309466600418
test_mse_170602070105,3,0.002921338891610503
test_mse_170602070105,4,0.016439013183116913
test_mse_170602070105,5,0.01710403710603714
test_mse_170602070105,6,0.01468572672456503
test_mse_170602070105,7,0.0030116725247353315
test_mse_170602070105,8,0.0045409915037453175
test_mse_170602070105,9,0.005229100584983826
test_mse_170602070105,10,0.0051872264593839645
test_mse_170602070105,11,0.01126085501164198
test_mse_170602070105,12,0.00738581083714962
train_kge_170200110101,0,-500.0
train_kge_170200110101,1,-500.0
train_kge_170200110101,2,-500.0
train_kge_170200110101,3,-500.0
train_kge_170200110101,4,-500.0
train_kge_170200110101,5,-500.0
train_kge_170200110101,6,-500.0
train_kge_170200110101,7,-500.0
train_kge_170200110101,8,-500.0
train_kge_170200110101,9,-500.0
train_kge_170200110101,10,-500.0
train_kge_170200110101,11,-500.0
train_kge_170200110101,12,-500.0
test_mse_170602070901,0,0.009782979264855385
test_mse_170602070901,1,0.006784055382013321
