Metric,Step,Value
test_kge_1711000504,0,0.5267556206643249
test_kge_1711000504,6,0.9600831209130459
test_kge_1711000504,13,0.8884757378595337
test_kge_1711000504,1,0.8685088691377649
test_kge_1711000504,2,0.726673269013521
test_kge_1711000504,9,0.7810873704660742
test_kge_1711000504,14,0.825131041551276
test_kge_1711000504,5,0.9116098297332798
test_kge_1711000504,8,0.7009094854152114
test_kge_1711000504,3,0.9052907310867916
test_kge_1711000504,16,0.8614413534703906
test_kge_1711000504,4,0.8465171582529775
test_kge_1711000504,11,0.9460905081310713
test_kge_1711000504,17,0.9255665628799716
test_kge_1711000504,7,0.8684457997188646
test_kge_1711000504,19,0.8340870234062332
test_kge_1711000504,10,0.8837049925434897
test_kge_1711000504,12,0.9662432951259965
test_kge_1711000504,18,0.7517068937230715
test_kge_1711000504,15,0.921216057552652
train_mse_1711000505,0,0.062206342816352844
train_mse_1711000505,14,0.007082075346261263
train_mse_1711000505,13,0.0037169053684920073
train_mse_1711000505,18,0.004986498970538378
train_mse_1711000505,2,0.026227226480841637
train_mse_1711000505,10,0.008535289205610752
train_mse_1711000505,17,0.003510467940941453
train_mse_1711000505,1,0.03351237252354622
train_mse_1711000505,7,0.006719901692122221
train_mse_1711000505,11,0.005399276968091726
train_mse_1711000505,16,0.008412311784923077
train_mse_1711000505,19,0.0047132708132267
train_mse_1711000505,4,0.01609603501856327
train_mse_1711000505,5,0.00891413725912571
train_mse_1711000505,6,0.012692020274698734
train_mse_1711000505,3,0.022953081876039505
train_mse_1711000505,8,0.011642057448625565
train_mse_1711000505,12,0.006168610882014036
train_mse_1711000505,9,0.0059253075160086155
train_mse_1711000505,15,0.0053092800080776215
train_mse_1711000507,2,0.03075774945318699
train_mse_1711000507,9,0.011165364645421505
train_mse_1711000507,16,0.00693593779578805
train_mse_1711000507,1,0.033460602164268494
train_mse_1711000507,0,0.052461400628089905
train_mse_1711000507,4,0.019070327281951904
train_mse_1711000507,12,0.00954228825867176
train_mse_1711000507,15,0.00917112361639738
train_mse_1711000507,11,0.010508487932384014
train_mse_1711000507,8,0.006943418178707361
train_mse_1711000507,13,0.00998725462704897
train_mse_1711000507,17,0.006242947652935982
train_mse_1711000507,18,0.005523838102817535
train_mse_1711000507,3,0.0160139761865139
train_mse_1711000507,6,0.011616810224950314
train_mse_1711000507,10,0.006537055131047964
train_mse_1711000507,5,0.013162092305719852
train_mse_1711000507,7,0.011914754286408424
train_mse_1711000507,14,0.0064787110313773155
train_mse_1711000507,19,0.005446762777864933
test_kge_1711000510,13,0.7727235703534208
test_kge_1711000510,5,0.6944769590207855
test_kge_1711000510,9,0.5863272132075624
test_kge_1711000510,1,0.42367289234656236
test_kge_1711000510,19,0.8945601446046385
test_kge_1711000510,4,0.6131423667566156
test_kge_1711000510,11,0.5435440771349039
test_kge_1711000510,10,0.7961048527583254
test_kge_1711000510,14,0.7651002087931148
test_kge_1711000510,0,0.2394545138870542
test_kge_1711000510,7,0.5895814504138513
