Metric,Step,Value
train_mse_171100051004,0,-500.0
train_mse_171100051004,1,-500.0
train_mse_171100051004,2,-500.0
train_mse_171100051004,3,-500.0
train_mse_171100051004,4,-500.0
train_mse_171100051004,5,-500.0
train_mse_171100051004,6,-500.0
train_mse_171100051004,7,-500.0
train_mse_171100051004,8,-500.0
train_mse_171100051004,9,-500.0
train_mse_171100051004,10,-500.0
train_mse_171100051004,11,-500.0
train_mse_171100051004,12,-500.0
train_mse_171100051004,13,-500.0
train_mse_171100051004,14,-500.0
train_mse_171100051004,15,-500.0
train_mse_171100051004,16,-500.0
train_mse_171100051004,17,-500.0
train_mse_171100051004,18,-500.0
train_mse_171100051004,19,-500.0
train_mse_171100051004,20,-500.0
train_mse_171100051004,21,-500.0
train_mse_171100051004,22,-500.0
train_mse_171100051004,23,-500.0
train_mse_171100051004,24,-500.0
train_mse_171100051004,25,-500.0
train_mse_171100051004,26,-500.0
train_mse_171100051004,27,-500.0
train_mse_171100051004,28,-500.0
train_mse_171100051004,29,-500.0
train_kge_170602070603,0,-500.0
train_kge_170602070603,1,-500.0
train_kge_170602070603,2,-500.0
train_kge_170602070603,3,-500.0
train_kge_170602070603,4,-500.0
train_kge_170602070603,5,-500.0
train_kge_170602070603,6,-500.0
train_kge_170602070603,7,-500.0
train_kge_170602070603,8,-500.0
train_kge_170602070603,9,-500.0
train_kge_170602070603,10,-500.0
train_kge_170602070603,11,-500.0
train_kge_170602070603,12,-500.0
train_kge_170602070603,13,-500.0
train_kge_170602070603,14,-500.0
train_kge_170602070603,15,-500.0
train_kge_170602070603,16,-500.0
train_kge_170602070603,17,-500.0
train_kge_170602070603,18,-500.0
train_kge_170602070603,19,-500.0
train_kge_170602070603,20,-500.0
train_kge_170602070603,21,-500.0
train_kge_170602070603,22,-500.0
train_kge_170602070603,23,-500.0
train_kge_170602070603,24,-500.0
train_kge_170602070603,25,-500.0
train_kge_170602070603,26,-500.0
train_kge_170602070603,27,-500.0
train_kge_170602070603,28,-500.0
train_kge_170602070603,29,-500.0
test_mse_170602070603,0,0.010354666039347649
test_mse_170602070603,1,0.00983079057186842
test_mse_170602070603,2,0.012861568480730057
test_mse_170602070603,3,0.004360798746347427
test_mse_170602070603,4,0.002572915982455015
test_mse_170602070603,5,0.005711703095585108
test_mse_170602070603,6,0.0021041736472398043
test_mse_170602070603,7,0.002479251939803362
test_mse_170602070603,8,0.016645003110170364
test_mse_170602070603,9,0.01027014758437872
test_mse_170602070603,10,0.006120349280536175
test_mse_170602070603,11,0.014264769852161407
test_mse_170602070603,12,0.011171308346092701
test_mse_170602070603,13,0.016170568764209747
test_mse_170602070603,14,0.0021455970127135515
test_mse_170602070603,15,0.0043144263327121735
test_mse_170602070603,16,0.016718437895178795
test_mse_170602070603,17,0.01340714655816555
test_mse_170602070603,18,0.009553481824696064
test_mse_170602070603,19,0.00901595875620842
test_mse_170602070603,20,0.003941443748772144
test_mse_170602070603,21,0.029288683086633682
test_mse_170602070603,22,0.04204133525490761
test_mse_170602070603,23,0.05511436238884926
test_mse_170602070603,24,0.010283231735229492
test_mse_170602070603,25,0.02771177515387535
test_mse_170602070603,26,0.007770888973027468
test_mse_170602070603,27,0.0838983803987503
test_mse_170602070603,28,0.06619169563055038
test_mse_170602070603,29,0.010085590183734894
test_kge_171100051004,0,0.34998624164699166
test_kge_171100051004,1,0.2514088176168723
test_kge_171100051004,2,0.5777786249961474
test_kge_171100051004,3,0.3108833452148656
test_kge_171100051004,4,0.33664902323903734
test_kge_171100051004,5,0.4503950736130935
test_kge_171100051004,6,0.39436623107125035
test_kge_171100051004,7,0.41940388452754596
test_kge_171100051004,8,0.5392458437402595
test_kge_171100051004,9,0.44771620405724044
test_kge_171100051004,10,0.5696122302960613
test_kge_171100051004,11,0.5331272598455905
test_kge_171100051004,12,0.609580090183615
test_kge_171100051004,13,0.5268653185274927
test_kge_171100051004,14,0.5382033232856878
test_kge_171100051004,15,0.3387978072618113
test_kge_171100051004,16,0.6984969257935429
test_kge_171100051004,17,0.5624202620888109
test_kge_171100051004,18,0.4299669296326064
test_kge_171100051004,19,0.8127369437944311
test_kge_171100051004,20,0.36568044847795445
test_kge_171100051004,21,0.8360992220647896
test_kge_171100051004,22,0.5951827066116625
test_kge_171100051004,23,0.40822959580254226
test_kge_171100051004,24,0.2059792995558729
test_kge_171100051004,25,0.3523613951033542
test_kge_171100051004,26,0.1672883328839866
test_kge_171100051004,27,0.5567627450784929
test_kge_171100051004,28,0.6065762364877132
test_kge_171100051004,29,0.3882532910230616
train_kge_170200090202,0,-500.0
train_kge_170200090202,1,-500.0
train_kge_170200090202,2,-500.0
train_kge_170200090202,3,-500.0
train_kge_170200090202,4,-500.0
train_kge_170200090202,5,-500.0
train_kge_170200090202,6,-500.0
train_kge_170200090202,7,-500.0
train_kge_170200090202,8,-500.0
train_kge_170200090202,9,-500.0
train_kge_170200090202,10,-500.0
train_kge_170200090202,11,-500.0
train_kge_170200090202,12,-500.0
train_kge_170200090202,13,-500.0
train_kge_170200090202,14,-500.0
train_kge_170200090202,15,-500.0
train_kge_170200090202,16,-500.0
train_kge_170200090202,17,-500.0
train_kge_170200090202,18,-500.0
train_kge_170200090202,19,-500.0
train_kge_170200090202,20,-500.0
train_kge_170200090202,21,-500.0
train_kge_170200090202,22,-500.0
train_kge_170200090202,23,-500.0
train_kge_170200090202,24,-500.0
train_kge_170200090202,25,-500.0
train_kge_170200090202,26,-500.0
train_kge_170200090202,27,-500.0
train_kge_170200090202,28,-500.0
train_kge_170200090202,29,-500.0
test_kge_170602070707,0,0.142799943473509
test_kge_170602070707,1,0.17115546041074792
test_kge_170602070707,2,-0.12105076217426247
test_kge_170602070707,3,0.5202075722016005
test_kge_170602070707,4,0.46839447820401947
test_kge_170602070707,5,0.012255007925386363
