Metric,Step,Value
test_mse_170200090302,0,0.0014715909492224455
test_mse_170200090302,1,0.0030177703592926264
test_mse_170200090302,2,0.002791654784232378
test_mse_170200090302,3,0.005508856847882271
test_mse_170200090302,4,0.0015953590627759695
test_mse_170200090302,5,0.0014390668366104364
test_mse_170200090302,6,0.001995655009523034
test_mse_170200090302,7,0.005566234700381756
test_mse_170200090302,8,0.004100831691175699
test_mse_170200090302,9,0.0040558879263699055
test_mse_170200090302,10,0.001720011350698769
test_mse_170200090302,11,0.004419297445565462
test_mse_170200090302,12,0.003651492763310671
test_mse_170200090302,13,0.003071853891015053
test_mse_170200090302,14,0.005440067034214735
test_mse_170200090302,15,0.002494039013981819
test_mse_170200090302,16,0.006475221831351519
test_mse_170200090302,17,0.003924019634723663
test_mse_170200090302,18,0.006674456410109997
test_mse_170200090302,19,0.01640213280916214
test_mse_170200090302,20,0.009267549030482769
test_mse_170200090302,21,0.013646653853356838
test_mse_170200090302,22,0.02681794762611389
test_mse_170200090302,23,0.014571585692465305
test_mse_170200090302,24,0.0071901921182870865
test_mse_170200090302,25,0.03050200268626213
test_mse_170200090302,26,0.018429765477776527
test_mse_170200090302,27,0.008319908753037453
test_mse_170200090302,28,0.008738740347325802
test_mse_170200090302,29,0.010791033506393433
test_mse_170200110703,0,0.00964738056063652
test_mse_170200110703,1,0.020095916464924812
test_mse_170200110703,2,0.00428742915391922
test_mse_170200110703,3,0.0035810323897749186
test_mse_170200110703,4,0.0293438658118248
test_mse_170200110703,5,0.013985888101160526
test_mse_170200110703,6,0.02585107460618019
test_mse_170200110703,7,0.00294024171307683
test_mse_170200110703,8,0.004780313465744257
test_mse_170200110703,9,0.010810238309204578
test_mse_170200110703,10,0.025186706334352493
test_mse_170200110703,11,0.01382757443934679
test_mse_170200110703,12,0.007041714154183865
test_mse_170200110703,13,0.009219174273312092
test_mse_170200110703,14,0.02240505814552307
test_mse_170200110703,15,0.015421977266669273
test_mse_170200110703,16,0.006345593836158514
test_mse_170200110703,17,0.006756503600627184
test_mse_170200110703,18,0.0211744774132967
test_mse_170200110703,19,0.054109059274196625
test_mse_170200110703,20,0.009131492115557194
test_mse_170200110703,21,0.06931079924106598
test_mse_170200110703,22,0.09768874943256378
test_mse_170200110703,23,0.04581954702734947
test_mse_170200110703,24,0.006763438694179058
test_mse_170200110703,25,0.028351712971925735
test_mse_170200110703,26,0.052901171147823334
test_mse_170200110703,27,0.00841448176652193
test_mse_170200110703,28,0.01179549191147089
test_mse_170200110703,29,0.022695742547512054
train_kge_170602070603,0,-500.0
train_kge_170602070603,1,-500.0
train_kge_170602070603,2,-500.0
train_kge_170602070603,3,-500.0
train_kge_170602070603,4,-500.0
train_kge_170602070603,5,-500.0
train_kge_170602070603,6,-500.0
train_kge_170602070603,7,-500.0
train_kge_170602070603,8,-500.0
train_kge_170602070603,9,-500.0
train_kge_170602070603,10,-500.0
train_kge_170602070603,11,-500.0
train_kge_170602070603,12,-500.0
train_kge_170602070603,13,-500.0
train_kge_170602070603,14,-500.0
train_kge_170602070603,15,-500.0
train_kge_170602070603,16,-500.0
