huc_id,Median Peak Swe
171100050101,
171100050102,
171100050201,
171100050202,
171100050203,
171100050301,
171100050302,
171100050303,
171100050304,
171100050305,
171100050306,
171100050401,0.577
171100050402,0.86425
171100050403,0.69475
171100050404,0.8213333
171100050405,0.5816667
171100050501,0.9114
171100050502,0.738
171100050503,0.953
171100050504,0.8262857
171100050505,0.92544446
171100050601,1.2067273
171100050602,0.5516
171100050603,0.671375
171100050604,0.79925
171100050605,1.451125
171100050606,0.9131429
171100050607,0.3875
171100050701,1.3153334
171100050702,1.215
171100050703,0.9595714
171100050704,0.6595
171100050705,0.964
171100050706,1.0286
171100050707,1.13275
171100050708,0.5392
171100050801,1.35575
171100050802,1.1045
171100050803,1.0605
171100050804,0.644
171100050805,0.4656666599999999
171100050901,0.4025
171100050902,0.701
171100050903,0.67575
171100050904,0.7465
171100050905,0.42525
171100051001,1.3388572
171100051002,0.96925
171100051003,0.7135
171100051004,0.8817143
171100051005,0.44433334
171100051006,0.564
171100051007,0.373
171100051101,0.23175
171100051102,0.699
171100051103,0.5181667
171100051104,0.0642
