Metric,Step,Value
test_r2_170300030303,0,0.8534370064735413
test_r2_170300030303,1,0.8460862636566162
test_r2_170300030303,2,0.8716228008270264
test_r2_170300030303,3,0.8633540272712708
test_r2_170300030303,4,0.8782819509506226
test_r2_170300030303,5,0.8716468811035156
test_r2_170300030303,6,0.8756297826766968
test_r2_170300030303,7,0.8673691749572754
test_r2_170300030303,8,0.8725526332855225
test_r2_170300030303,9,0.8780815601348877
test_kge_170300030303,0,0.8716996523190155
test_kge_170300030303,1,0.8414248568073984
test_kge_170300030303,2,0.8953211814302068
test_kge_170300030303,3,0.8527554678915086
test_kge_170300030303,4,0.9218002332849606
test_kge_170300030303,5,0.9036422932749647
test_kge_170300030303,6,0.8873068848281238
test_kge_170300030303,7,0.8687896419674657
test_kge_170300030303,8,0.9108208659116318
test_kge_170300030303,9,0.9270483756275304
train_mae_170300030303,0,0.0031671561300754547
train_mae_170300030303,1,0.002973944880068302
train_mae_170300030303,2,0.0029571407940238714
train_mae_170300030303,3,0.0028237728402018547
train_mae_170300030303,4,0.002856052713468671
train_mae_170300030303,5,0.002686829539015889
train_mae_170300030303,6,0.0026962487027049065
train_mae_170300030303,7,0.00263002747669816
train_mae_170300030303,8,0.0025998034980148077
train_mae_170300030303,9,0.00276265200227499
train_r2_170200110404,0,0.9628157019615173
train_r2_170200110404,1,0.9606673121452332
train_r2_170200110404,2,0.9654390811920166
train_r2_170200110404,3,0.9647089838981628
train_r2_170200110404,4,0.96408611536026
train_r2_170200110404,5,0.9672266244888306
train_r2_170200110404,6,0.964156985282898
train_r2_170200110404,7,0.9655241370201111
train_r2_170200110404,8,0.9653813242912292
train_r2_170200110404,9,0.967302680015564
test_mae_170200110403,0,0.0601511113345623
test_mae_170200110403,1,0.059466637670993805
test_mae_170200110403,2,0.0619247704744339
test_mae_170200110403,3,0.059485312551259995
test_mae_170200110403,4,0.060636308044195175
test_mae_170200110403,5,0.05930104851722717
test_mae_170200110403,6,0.05838404968380928
test_mae_170200110403,7,0.057652950286865234
test_mae_170200110403,8,0.05823545530438423
test_mae_170200110403,9,0.05171697959303856
test_mse_170200110403,0,0.010369420982897282
test_mse_170200110403,1,0.010061005130410194
test_mse_170200110403,2,0.011193497106432915
test_mse_170200110403,3,0.010377049446105957
test_mse_170200110403,4,0.010526720434427261
test_mse_170200110403,5,0.010049483738839626
test_mse_170200110403,6,0.009921488352119923
test_mse_170200110403,7,0.009476096369326115
test_mse_170200110403,8,0.009435240179300308
test_mse_170200110403,9,0.00782947987318039
test_mse_170200110405,0,0.005925505887717009
test_mse_170200110405,1,0.006212735548615456
test_mse_170200110405,2,0.006655012257397175
test_mse_170200110405,3,0.007635343354195356
test_mse_170200110405,4,0.00640660896897316
test_mse_170200110405,5,0.0066183991730213165
test_mse_170200110405,6,0.005871214903891087
test_mse_170200110405,7,0.006546197924762964
test_mse_170200110405,8,0.006484714802354574
test_mse_170200110405,9,0.007087876088917255
test_mae_170200110405,0,0.04792223870754242
test_mae_170200110405,1,0.04913369193673134
test_mae_170200110405,2,0.050191063433885574
test_mae_170200110405,3,0.0537542849779129
test_mae_170200110405,4,0.04885804280638695
test_mae_170200110405,5,0.04928518831729889
test_mae_170200110405,6,0.046445149928331375
test_mae_170200110405,7,0.04935751482844353
test_mae_170200110405,8,0.04878051578998566
test_mae_170200110405,9,0.05193016678094864
test_mse_170200110402,0,0.01578233577311039
test_mse_170200110402,1,0.014671878889203072
test_mse_170200110402,2,0.015305699780583382
test_mse_170200110402,3,0.014812516048550606
test_mse_170200110402,4,0.01723468489944935
test_mse_170200110402,5,0.015470248647034168
test_mse_170200110402,6,0.014598662033677101
test_mse_170200110402,7,0.01650620624423027
test_mse_170200110402,8,0.01646922342479229
test_mse_170200110402,9,0.014441506937146187
test_r2_170200110402,0,0.9198295474052429
test_r2_170200110402,1,0.9254704117774963
test_r2_170200110402,2,0.9222507476806641
test_r2_170200110402,3,0.9247559905052185
test_r2_170200110402,4,0.912451982498169
test_r2_170200110402,5,0.921414852142334
test_r2_170200110402,6,0.9258423447608948
test_r2_170200110402,7,0.9161524772644043
test_r2_170200110402,8,0.9163403511047363
test_r2_170200110402,9,0.9266406297683716
train_mae_170200110402,0,0.044604357331991196
train_mae_170200110402,1,0.04225626215338707
train_mae_170200110402,2,0.04393382370471954
train_mae_170200110402,3,0.0431799553334713
train_mae_170200110402,4,0.04484893009066582
train_mae_170200110402,5,0.04077274724841118
train_mae_170200110402,6,0.041259679943323135
train_mae_170200110402,7,0.04409078508615494
train_mae_170200110402,8,0.04278227686882019
train_mae_170200110402,9,0.04063021019101143
train_kge_170200110402,0,0.9496538929363063
train_kge_170200110402,1,0.9659990298637168
train_kge_170200110402,2,0.9408633105528657
train_kge_170200110402,3,0.9450548617259734
train_kge_170200110402,4,0.928755652225628
train_kge_170200110402,5,0.9485889481534542
train_kge_170200110402,6,0.9626474548721243
train_kge_170200110402,7,0.9297961160863244
train_kge_170200110402,8,0.9362199891069947
train_kge_170200110402,9,0.9510851355867604
train_r2_170200110402,0,0.9593202471733093
train_r2_170200110402,1,0.9632279276847839
train_r2_170200110402,2,0.9583441019058228
train_r2_170200110402,3,0.957605242729187
train_r2_170200110402,4,0.9580414295196533
train_r2_170200110402,5,0.9595221877098083
train_r2_170200110402,6,0.960159957408905
train_r2_170200110402,7,0.9529402256011963
train_r2_170200110402,8,0.9518874287605286
train_r2_170200110402,9,0.9582379460334778
train_mae_170200110403,0,0.03840092197060585
train_mae_170200110403,1,0.03838450461626053
train_mae_170200110403,2,0.03852945938706398
train_mae_170200110403,3,0.03684696927666664
train_mae_170200110403,4,0.03684752434492111
train_mae_170200110403,5,0.03666276857256889
train_mae_170200110403,6,0.036244478076696396
train_mae_170200110403,7,0.03680029511451721
train_mae_170200110403,8,0.03844970464706421
train_mae_170200110403,9,0.03716282546520233
train_mae_170200110405,0,0.03297559916973114
train_mae_170200110405,1,0.03327225521206856
train_mae_170200110405,2,0.03329884633421898
train_mae_170200110405,3,0.03651120886206627
train_mae_170200110405,4,0.03242229297757149
train_mae_170200110405,5,0.032927777618169785
train_mae_170200110405,6,0.03187842667102814
train_mae_170200110405,7,0.03218207135796547
train_mae_170200110405,8,0.03163105249404907
train_mae_170200110405,9,0.03422870114445686
test_kge_170200110405,0,0.8962983771492326
test_kge_170200110405,1,0.8794030407253767
test_kge_170200110405,2,0.8690732110964609
test_kge_170200110405,3,0.8367773689155334
test_kge_170200110405,4,0.886603998825366
test_kge_170200110405,5,0.8764268782707157
test_kge_170200110405,6,0.9071555688618022
test_kge_170200110405,7,0.8871906679565154
test_kge_170200110405,8,0.885697589046419
test_kge_170200110405,9,0.8540995199768459
train_r2_170200110406,0,0.9361356496810913
train_r2_170200110406,1,0.9412357211112976
train_r2_170200110406,2,0.9415152072906494
train_r2_170200110406,3,0.9422720074653625
train_r2_170200110406,4,0.9410883188247681
train_r2_170200110406,5,0.9373000860214233
train_r2_170200110406,6,0.939491331577301
train_r2_170200110406,7,0.9448310732841492
train_r2_170200110406,8,0.9349275827407837
train_r2_170200110406,9,0.9413243532180786
test_kge_170200110402,0,0.8748782090749173
test_kge_170200110402,1,0.9006089951805938
test_kge_170200110402,2,0.8789348949918537
test_kge_170200110402,3,0.8826137694455463
test_kge_170200110402,4,0.8517262852469406
test_kge_170200110402,5,0.8796383273310553
test_kge_170200110402,6,0.8955692292123706
test_kge_170200110402,7,0.8561046172042726
test_kge_170200110402,8,0.8596547593284818
test_kge_170200110402,9,0.8864261007512202
train_mse_170200110403,0,0.008538143709301949
train_mse_170200110403,1,0.00868889968842268
train_mse_170200110403,2,0.009274753741919994
train_mse_170200110403,3,0.008945136331021786
train_mse_170200110403,4,0.009086107835173607
train_mse_170200110403,5,0.008995185606181622
train_mse_170200110403,6,0.008902359753847122
train_mse_170200110403,7,0.008872533217072487
train_mse_170200110403,8,0.008184835314750671
train_mse_170200110403,9,0.008766040205955505
train_kge_170200110403,0,0.9295049123851222
train_kge_170200110403,1,0.9407513526298149
train_kge_170200110403,2,0.918616768424942
train_kge_170200110403,3,0.936142965493203
train_kge_170200110403,4,0.9291795278026518
train_kge_170200110403,5,0.9384359427996655
train_kge_170200110403,6,0.9400400775754207
train_kge_170200110403,7,0.9324539783618169
train_kge_170200110403,8,0.9317850784912415
train_kge_170200110403,9,0.9442840909981208
test_kge_170200110404,0,0.9264138889275586
test_kge_170200110404,1,0.9105304537290182
test_kge_170200110404,2,0.9427455677136157
test_kge_170200110404,3,0.9406864637130067
test_kge_170200110404,4,0.9301454276282208
test_kge_170200110404,5,0.956015431637814
test_kge_170200110404,6,0.9338480318531465
test_kge_170200110404,7,0.9330282145058034
test_kge_170200110404,8,0.9333707960296989
test_kge_170200110404,9,0.9481609476550633
train_kge_170200110405,0,0.9522178749493921
train_kge_170200110405,1,0.9275148540293461
train_kge_170200110405,2,0.9226280624653471
train_kge_170200110405,3,0.8894871950323349
train_kge_170200110405,4,0.9321236582124317
train_kge_170200110405,5,0.9200115026131629
train_kge_170200110405,6,0.9515320607310934
train_kge_170200110405,7,0.9409246237230082
train_kge_170200110405,8,0.9307525232251981
train_kge_170200110405,9,0.902921485373622
test_r2_170200110405,0,0.9283561706542969
test_r2_170200110405,1,0.9248833656311035
test_r2_170200110405,2,0.9195358753204346
test_r2_170200110405,3,0.9076829552650452
test_r2_170200110405,4,0.9225392937660217
test_r2_170200110405,5,0.9199785590171814
test_r2_170200110405,6,0.9290125966072083
test_r2_170200110405,7,0.9208515286445618
test_r2_170200110405,8,0.9215949177742004
test_r2_170200110405,9,0.9143022298812866
train_mse_170200110402,0,0.009785638190805912
train_mse_170200110402,1,0.008845644071698189
train_mse_170200110402,2,0.010020462796092033
train_mse_170200110402,3,0.010198187083005905
train_mse_170200110402,4,0.010093270801007748
train_mse_170200110402,5,0.009737071581184864
train_mse_170200110402,6,0.009583643637597561
train_mse_170200110402,7,0.011320379562675953
train_mse_170200110402,8,0.01157363597303629
train_mse_170200110402,9,0.010045998729765415
train_mae_170200110404,0,0.030234774574637413
train_mae_170200110404,1,0.029767904430627823
train_mae_170200110404,2,0.0269913487136364
train_mae_170200110404,3,0.026551632210612297
train_mae_170200110404,4,0.02657916210591793
train_mae_170200110404,5,0.025496896356344223
train_mae_170200110404,6,0.026122121140360832
train_mae_170200110404,7,0.025237353518605232
train_mae_170200110404,8,0.025708280503749847
train_mae_170200110404,9,0.024567341431975365
test_mse_170200110404,0,0.0035097296349704266
test_mse_170200110404,1,0.003990922123193741
test_mse_170200110404,2,0.0036098670680075884
test_mse_170200110404,3,0.0036657603923231363
test_mse_170200110404,4,0.003690495155751705
test_mse_170200110404,5,0.0036554879043251276
test_mse_170200110404,6,0.003846899839118123
test_mse_170200110404,7,0.0038212293293327093
test_mse_170200110404,8,0.003827521810308099
test_mse_170200110404,9,0.00363326957449317
train_kge_170200110406,0,0.9287810540079853
train_kge_170200110406,1,0.9267948476292985
train_kge_170200110406,2,0.927850230000007
train_kge_170200110406,3,0.9328599602582459
train_kge_170200110406,4,0.9205573494580742
train_kge_170200110406,5,0.9061463589284031
train_kge_170200110406,6,0.9084782697306508
train_kge_170200110406,7,0.9291202708204409
train_kge_170200110406,8,0.885404396610783
train_kge_170200110406,9,0.9207978581821691
train_mse_170300030303,0,6.097386358305812e-05
train_mse_170300030303,1,5.780492574558593e-05
train_mse_170300030303,2,5.627104837913066e-05
train_mse_170300030303,3,5.627593782264739e-05
train_mse_170300030303,4,5.421807145467028e-05
train_mse_170300030303,5,5.335332025424577e-05
train_mse_170300030303,6,5.366491313907318e-05
train_mse_170300030303,7,5.609736035694368e-05
train_mse_170300030303,8,5.2221090300008655e-05
train_mse_170300030303,9,5.492888521985151e-05
train_r2_170200110403,0,0.9529087543487549
train_r2_170200110403,1,0.9520772695541382
train_r2_170200110403,2,0.9488460421562195
train_r2_170200110403,3,0.9506640434265137
train_r2_170200110403,4,0.9498865008354187
train_r2_170200110403,5,0.9503879547119141
train_r2_170200110403,6,0.9508999586105347
train_r2_170200110403,7,0.9510644674301147
train_r2_170200110403,8,0.9548574090003967
train_r2_170200110403,9,0.9516518115997314
test_r2_170200110404,0,0.9507540464401245
test_r2_170200110404,1,0.9440022706985474
test_r2_170200110404,2,0.9493489861488342
test_r2_170200110404,3,0.9485647082328796
test_r2_170200110404,4,0.9482176899909973
test_r2_170200110404,5,0.9487088918685913
test_r2_170200110404,6,0.9460231065750122
test_r2_170200110404,7,0.9463832974433899
test_r2_170200110404,8,0.9462950229644775
test_r2_170200110404,9,0.9490206241607666
train_kge_170200110404,0,0.9440633575823083
train_kge_170200110404,1,0.9257949395304559
train_kge_170200110404,2,0.9536838459177609
train_kge_170200110404,3,0.9514164881884173
train_kge_170200110404,4,0.9412691849085606
train_kge_170200110404,5,0.9659506565666869
train_kge_170200110404,6,0.9389629063051932
train_kge_170200110404,7,0.9379741862294699
train_kge_170200110404,8,0.9330096498853001
train_kge_170200110404,9,0.9508663132009254
train_mse_170200110405,0,0.004236892331391573
train_mse_170200110405,1,0.004583327565342188
train_mse_170200110405,2,0.00478413375094533
train_mse_170200110405,3,0.0057935044169425964
train_mse_170200110405,4,0.0048555354587733746
train_mse_170200110405,5,0.005036226008087397
train_mse_170200110405,6,0.00453954329714179
train_mse_170200110405,7,0.0047919051721692085
train_mse_170200110405,8,0.0048017739318311214
train_mse_170200110405,9,0.005520746577531099
test_mae_170200110402,0,0.07259541004896164
test_mae_170200110402,1,0.07091681659221649
test_mae_170200110402,2,0.07128201425075531
test_mae_170200110402,3,0.06948002427816391
test_mae_170200110402,4,0.07593266665935516
test_mae_170200110402,5,0.07146162539720535
test_mae_170200110402,6,0.07060708105564117
test_mae_170200110402,7,0.073957659304142
test_mae_170200110402,8,0.07318349182605743
test_mae_170200110402,9,0.0704643651843071
test_kge_170200110403,0,0.8442983836179413
test_kge_170200110403,1,0.8589601794989785
test_kge_170200110403,2,0.8402050324584326
test_kge_170200110403,3,0.8578425570347066
test_kge_170200110403,4,0.8514680039316693
test_kge_170200110403,5,0.871328361480411
test_kge_170200110403,6,0.8720155567647808
test_kge_170200110403,7,0.8782232698085756
test_kge_170200110403,8,0.873897594086775
test_kge_170200110403,9,0.91121543764659
test_kge_170200110406,0,0.9078188760031018
test_kge_170200110406,1,0.8891689771212563
test_kge_170200110406,2,0.8880890631560021
test_kge_170200110406,3,0.8880191418409259
test_kge_170200110406,4,0.8713373335308994
test_kge_170200110406,5,0.8634015670399431
test_kge_170200110406,6,0.8618501078173744
test_kge_170200110406,7,0.8852528698612955
test_kge_170200110406,8,0.8189339016297492
test_kge_170200110406,9,0.865693390042106
test_r2_170200110406,0,0.9251718521118164
test_r2_170200110406,1,0.9122147560119629
test_r2_170200110406,2,0.9087420105934143
test_r2_170200110406,3,0.9029194116592407
test_r2_170200110406,4,0.8948904275894165
test_r2_170200110406,5,0.8931780457496643
test_r2_170200110406,6,0.8919413089752197
test_r2_170200110406,7,0.9007431268692017
test_r2_170200110406,8,0.8720835447311401
test_r2_170200110406,9,0.8872393369674683
test_kge_171100050502,0,0.9595549317324965
test_kge_171100050502,1,0.959171771999593
test_kge_171100050502,2,0.9522572188418083
test_kge_171100050502,3,0.9518672987811599
test_kge_171100050502,4,0.9394645783801584
test_kge_171100050502,5,0.9415130641653253
test_kge_171100050502,6,0.9546576112285418
test_kge_171100050502,7,0.9538924128991387
test_kge_171100050502,8,0.9366882906804261
test_kge_171100050502,9,0.9512394551059566
test_r2_170200110403,0,0.9265629649162292
test_r2_170200110403,1,0.9287471771240234
test_r2_170200110403,2,0.9207267761230469
test_r2_170200110403,3,0.9265089631080627
test_r2_170200110403,4,0.9254489541053772
test_r2_170200110403,5,0.928828775882721
test_r2_170200110403,6,0.9297353029251099
test_r2_170200110403,7,0.9328895807266235
test_r2_170200110403,8,0.9331789016723633
test_r2_170200110403,9,0.9445510506629944
test_mae_170200110404,0,0.03604849427938461
test_mae_170200110404,1,0.03859560191631317
test_mae_170200110404,2,0.0351933129131794
test_mae_170200110404,3,0.036182183772325516
test_mae_170200110404,4,0.03572467714548111
test_mae_170200110404,5,0.036165498197078705
test_mae_170200110404,6,0.03611612319946289
test_mae_170200110404,7,0.03659138083457947
test_mae_170200110404,8,0.03655441850423813
test_mae_170200110404,9,0.0351291298866272
train_mse_170200110404,0,0.003147329669445753
train_mse_170200110404,1,0.0033291711006313562
train_mse_170200110404,2,0.002925281412899494
train_mse_170200110404,3,0.0029870786238461733
train_mse_170200110404,4,0.003039795905351639
train_mse_170200110404,5,0.002773982472717762
train_mse_170200110404,6,0.003033797023817897
train_mse_170200110404,7,0.0029180797282606363
train_mse_170200110404,8,0.0029301687609404325
train_mse_170200110404,9,0.0027675426099449396
train_r2_170200110405,0,0.9618725180625916
train_r2_170200110405,1,0.9587550163269043
train_r2_170200110405,2,0.956947922706604
train_r2_170200110405,3,0.9478647112846375
train_r2_170200110405,4,0.9563054442405701
train_r2_170200110405,5,0.9546793699264526
train_r2_170200110405,6,0.9591490030288696
train_r2_170200110405,7,0.9568780064582825
train_r2_170200110405,8,0.9567891955375671
train_r2_170200110405,9,0.950319230556488
train_mae_170200090101,0,0.16779886186122894
train_mae_170200090101,1,0.1392134577035904
train_mae_170200090101,2,0.12062118947505951
train_mae_170200090101,3,0.09263315051794052
train_mae_170200090101,4,0.09138213098049164
train_mae_170200090101,5,0.07112407684326172
