Metric,Step,Value
test_mse_171100090102,0,0.028004612773656845
test_mse_171100090102,1,0.01409398578107357
test_mse_171100090102,2,0.00828529242426157
test_mse_171100090102,3,0.0135223139077425
test_mse_171100090102,4,0.021819503977894783
test_mse_171100090102,5,0.038367435336112976
test_mse_171100090102,6,0.010036010295152664
test_mse_171100090102,7,0.030038688331842422
test_mse_171100090102,8,0.0053733233362436295
test_mse_171100090102,9,0.026254137977957726
test_mse_171100090102,10,0.0051781837828457355
test_mse_171100090102,11,0.01357454713433981
test_mse_171100090102,12,0.004625620786100626
test_mse_171100090102,13,0.015169681049883366
test_mse_171100090102,14,0.014521571807563305
test_mse_171100090102,15,0.05925103276968002
test_r2_171100090102,0,0.7517776489257812
test_r2_171100090102,1,0.875076174736023
test_r2_171100090102,2,0.9265622496604919
test_r2_171100090102,3,0.8801432847976685
test_r2_171100090102,4,0.8066000938415527
test_r2_171100090102,5,0.6599254608154297
test_r2_171100090102,6,0.9110445976257324
test_r2_171100090102,7,0.7337483167648315
test_r2_171100090102,8,0.9523728489875793
test_r2_171100090102,9,0.7672931551933289
test_r2_171100090102,10,0.9541025161743164
test_r2_171100090102,11,0.8796802759170532
test_r2_171100090102,12,0.9590002298355103
test_r2_171100090102,13,0.8655416369438171
test_r2_171100090102,14,0.8712862133979797
test_r2_171100090102,15,0.4748210906982422
test_r2_170200090203,0,0.9540557861328125
test_r2_170200090203,1,0.8144643306732178
test_r2_170200090203,2,0.9542666673660278
test_r2_170200090203,3,0.876403272151947
test_r2_170200090203,4,0.9389371275901794
test_r2_170200090203,5,0.8894019722938538
test_r2_170200090203,6,0.8973839282989502
test_r2_170200090203,7,0.976311981678009
test_r2_170200090203,8,0.874205470085144
test_r2_170200090203,9,0.9591271281242371
test_r2_170200090203,10,0.8865113854408264
test_r2_170200090203,11,0.8831325769424438
test_r2_170200090203,12,0.9495291709899902
test_r2_170200090203,13,0.9698490500450134
test_r2_170200090203,14,0.9734078049659729
test_r2_170200090203,15,0.948809027671814
test_mae_171100080105,0,0.12024125456809998
test_mae_171100080105,1,0.05903535336256027
test_mae_171100080105,2,0.03607618436217308
test_mae_171100080105,3,0.07139556109905243
test_mae_171100080105,4,0.06609269976615906
test_mae_171100080105,5,0.07766339927911758
test_mae_171100080105,6,0.04932679980993271
test_mae_171100080105,7,0.11119920015335083
test_mae_171100080105,8,0.017662182450294495
test_mae_171100080105,9,0.0633799284696579
test_mae_171100080105,10,0.061637140810489655
test_mae_171100080105,11,0.03971302881836891
test_mae_171100080105,12,0.02575361728668213
test_mae_171100080105,13,0.08696886897087097
test_mae_171100080105,14,0.04454389587044716
test_mae_171100080105,15,0.10473759472370148
test_r2_171100050905,0,0.7687103748321533
test_r2_171100050905,1,0.46894097328186035
test_r2_171100050905,2,0.5502278804779053
test_r2_171100050905,3,0.8406049013137817
test_r2_171100050905,4,0.7590452432632446
test_r2_171100050905,5,0.7816447019577026
test_r2_171100050905,6,0.564201831817627
test_r2_171100050905,7,0.678362250328064
test_r2_171100050905,8,0.32812047004699707
test_r2_171100050905,9,0.7833759784698486
test_r2_171100050905,10,0.6827598214149475
test_r2_171100050905,11,0.6443349123001099
test_r2_171100050905,12,0.39694273471832275
test_r2_171100050905,13,0.7549938559532166
test_r2_171100050905,14,0.6284523010253906
test_r2_171100050905,15,0.7617980241775513
