Metric,Step,Value
1711000504_train_kge,0,0.9844078825949764
1711000505_train_kge,0,0.9959275371812804
1711000505_test_kge,0,0.6518399383904083
1711000506_test_mse,0,0.010381539352238178
1711000508_train_kge,0,0.9965964477830077
1711000508_test_kge,0,0.5750506683994432
1711000509_train_mse,0,1.0396455763839185e-05
1711000504_test_mse,0,0.01285575795918703
1711000507_test_kge,0,0.6351398101885251
1711000511_test_mse,0,0.00629053357988596
1711000509_test_mse,0,0.012078395113348961
1711000506_train_mse,0,3.36573866661638e-05
1711000504_train_mse,0,4.5221710024634376e-05
1711000505_train_mse,0,1.3076411960355472e-05
1711000508_train_mse,0,1.6578973372816108e-05
1711000508_test_mse,0,0.016802093014121056
1711000511_train_kge,0,0.9918254551651704
1711000506_test_kge,0,0.5101097906467619
1711000507_train_mse,0,1.093064474844141e-05
1711000507_test_mse,0,0.012926007620990276
1711000509_train_kge,0,0.9989402057668267
1711000505_test_mse,0,0.009000851772725582
1711000507_train_kge,0,0.9983532319532373
1711000511_train_mse,0,1.409813830832718e-05
1711000511_test_kge,0,0.5697508966066522
1711000506_train_kge,0,0.9902104120315505
1711000509_test_kge,0,0.6122495832257804
1711000504_test_kge,0,0.50704755951717
