Metric,Step,Value
test_mae_170103020101,0,0.04975122958421707
test_mae_170103020101,1,0.046835433691740036
test_mae_170103020101,2,0.1436057686805725
test_mae_170103020101,3,0.02818632684648037
test_mae_170103020101,4,0.08551628142595291
test_mae_170103020101,5,0.036502256989479065
test_mae_170103020101,6,0.05679869279265404
test_mae_170103020101,7,0.04686405509710312
test_mae_170103020101,8,0.04662390053272247
test_mae_170103020101,9,0.024015190079808235
test_kge_170200110501,0,0.8631523387228965
test_kge_170200110501,1,0.9164918584586835
test_kge_170200110501,2,0.05825603421159864
test_kge_170200110501,3,0.544667063979893
test_kge_170200110501,4,0.5896422237438488
test_kge_170200110501,5,0.8435439371006264
test_kge_170200110501,6,0.8533190734524596
test_kge_170200110501,7,0.8348131172436449
test_kge_170200110501,8,0.9417763764435017
test_kge_170200110501,9,0.8064381937866087
test_mae_170200090209,0,0.07804019004106522
test_mae_170200090209,1,0.08071936666965485
test_mae_170200090209,2,0.05895516276359558
test_mae_170200090209,3,0.12017793953418732
test_mae_170200090209,4,0.07705038785934448
test_mae_170200090209,5,0.07320165634155273
test_mae_170200090209,6,0.07957854866981506
test_mae_170200090209,7,0.07347843050956726
test_mae_170200090209,8,0.08351503312587738
test_mae_170200090209,9,0.09877651929855347
test_r2_171100050402,0,0.6951982975006104
test_r2_171100050402,1,0.7430869340896606
test_r2_171100050402,2,0.9063159823417664
test_r2_171100050402,3,0.6048759818077087
test_r2_171100050402,4,0.8830195665359497
test_r2_171100050402,5,0.8114759922027588
test_r2_171100050402,6,0.8842180371284485
test_r2_171100050402,7,0.8696422576904297
test_r2_171100050402,8,0.879270076751709
test_r2_171100050402,9,0.7466105222702026
test_mse_170200110502,0,0.020891668274998665
test_mse_170200110502,1,0.012621525675058365
test_mse_170200110502,2,0.015993021428585052
test_mse_170200110502,3,0.023280275985598564
test_mse_170200110502,4,0.008374849334359169
test_mse_170200110502,5,0.010540916584432125
test_mse_170200110502,6,0.006844860967248678
test_mse_170200110502,7,0.006977449636906385
test_mse_170200110502,8,0.006576784886419773
test_mse_170200110502,9,0.015467788092792034
test_kge_170602070707,0,-0.5930200861797768
test_kge_170602070707,1,-0.4268971652489866
test_kge_170602070707,2,-2.5338510033743056
test_kge_170602070707,3,0.5489287556743551
test_kge_170602070707,4,-1.111826688492501
test_kge_170602070707,5,-0.3867145568872028
test_kge_170602070707,6,-0.7825277881579107
test_kge_170602070707,7,-0.6802337486758343
test_kge_170602070707,8,-0.593103522525195
test_kge_170602070707,9,0.058473094742970466
test_r2_170200090105,0,0.6460747718811035
test_r2_170200090105,1,0.732128918170929
test_r2_170200090105,2,0.9573557376861572
test_r2_170200090105,3,0.6191112995147705
test_r2_170200090105,4,0.8995378017425537
test_r2_170200090105,5,0.8082871437072754
test_r2_170200090105,6,0.8083299398422241
test_r2_170200090105,7,0.8127869963645935
test_r2_170200090105,8,0.8403912782669067
test_r2_170200090105,9,0.6936852335929871
test_kge_170200110301,0,0.6641190016970759
test_kge_170200110301,1,0.782979157434274
test_kge_170200110301,2,0.8023111387229094
test_kge_170200110301,3,0.632945133296512
test_kge_170200110301,4,0.9360451457141575
test_kge_170200110301,5,0.9045896656912443
test_kge_170200110301,6,0.8232279797445785
test_kge_170200110301,7,0.8437209776501033
test_kge_170200110301,8,0.8723762178770549
test_kge_170200110301,9,0.6916141484944921
test_mae_170200090202,0,0.0734114944934845
test_mae_170200090202,1,0.07195780426263809
test_mae_170200090202,2,0.12479523569345474
test_mae_170200090202,3,0.07751888036727905
test_mae_170200090202,4,0.07355041056871414
test_mae_170200090202,5,0.07172515988349915
test_mae_170200090202,6,0.03709177300333977
test_mae_170200090202,7,0.05185549333691597
