Metric,Step,Value
train_kge_170200090302,0,0.8712240173344838
train_kge_170200090302,1,0.943641701761328
train_kge_170200090302,2,0.9377877062866359
train_kge_170200090302,3,0.930010309251762
train_kge_170200090302,4,0.9290788652673267
train_kge_170200090302,5,0.9328815408037425
train_kge_170200090302,6,0.9504846365808439
train_kge_170200090302,7,0.907628209428194
train_kge_170200090302,8,0.9363434790607597
train_kge_170200090302,9,0.9577759323679076
test_kge_170200090301,0,0.9464892972114388
test_kge_170200090301,1,0.9503992223348471
test_kge_170200090301,2,0.8432098408357479
test_kge_170200090301,3,0.8658463369308877
test_kge_170200090301,4,0.8691617958806497
test_kge_170200090301,5,0.8672563126903552
test_kge_170200090301,6,0.7809308883595651
test_kge_170200090301,7,0.7574465084856729
test_kge_170200090301,8,0.9299980132597052
test_kge_170200090301,9,0.8633997775580675
train_kge_171100050404,0,0.9851586282338859
train_r2_171100050404,0,0.9740378856658936
test_r2_170300010401,0,0.9278847575187683
test_r2_170300010401,1,0.9314626455307007
test_r2_170300010401,2,0.9199066162109375
test_r2_170300010401,3,0.9275780916213989
test_r2_170300010401,4,0.9143424034118652
train_mse_170200090208,0,0.011778312735259533
train_mse_170200090208,1,0.00984954833984375
train_mse_170200090208,2,0.007553191855549812
train_mse_170200090208,3,0.011136457324028015
train_mse_170200090208,4,0.0120938029140234
train_mse_170200090208,5,0.009874866344034672
train_mse_170200090208,6,0.015968777239322662
train_mse_170200090208,7,0.011513500474393368
train_mse_170200090208,8,0.008720562793314457
train_mse_170200090208,9,0.005694902502000332
train_mae_170200090208,0,0.06641117483377457
train_mae_170200090208,1,0.06425738334655762
train_mae_170200090208,2,0.05208146944642067
train_mae_170200090208,3,0.06747424602508545
train_mae_170200090208,4,0.07531033456325531
train_mae_170200090208,5,0.06494257599115372
train_mae_170200090208,6,0.08705135434865952
train_mae_170200090208,7,0.0686933696269989
train_mae_170200090208,8,0.060449015349149704
train_mae_170200090208,9,0.05136244371533394
train_mse_170200090209,0,0.005470770876854658
train_mse_170200090209,1,0.004104240331798792
train_mse_170200090209,2,0.0042753275483846664
train_mse_170200090209,3,0.003805442014709115
train_mse_170200090209,4,0.0031582084484398365
