Metric,Step,Value
train_mae_170200090209,0,0.06932023912668228
train_mae_170200090209,1,0.05267274007201195
train_mae_170200090209,2,0.06438098847866058
train_mae_170200090209,3,0.05890132486820221
train_mae_170200090209,4,0.0646752119064331
train_mae_170200090209,5,0.05729571357369423
train_mae_170200090209,6,0.06197177246212959
train_mae_170200090209,7,0.04841592535376549
train_mae_170200090209,8,0.04641137644648552
train_mae_170200090209,9,0.050398193299770355
train_mse_170200090301,0,0.002536752261221409
train_mse_170200090301,1,0.0017193452222272754
train_mse_170200090301,2,0.0016183274565264583
train_mse_170200090301,3,0.0017744475044310093
train_mse_170200090301,4,0.001879535848274827
train_mse_170200090301,5,0.0013995342887938023
train_mse_170200090301,6,0.001614263979718089
train_mse_170200090301,7,0.0019605737179517746
train_mse_170200090301,8,0.0016213105991482735
train_mse_170200090301,9,0.0014457970391958952
test_mse_170200090302,0,0.0009391773492097855
test_mse_170200090302,1,0.0018703235546126962
test_mse_170200090302,2,0.0016567971324548125
test_mse_170200090302,3,0.001123881316743791
test_mse_170200090302,4,0.0018811586778610945
test_mse_170200090302,5,0.0012924033217132092
test_mse_170200090302,6,0.001228655339218676
test_mse_170200090302,7,0.0011111359344795346
test_mse_170200090302,8,0.0007221251726150513
test_mse_170200090302,9,0.0009643725352361798
test_r2_170200090208,0,0.6433308124542236
test_r2_170200090208,1,0.5147280693054199
test_r2_170200090208,2,0.6630694270133972
test_r2_170200090208,3,0.7293056845664978
test_r2_170200090208,4,0.7521852850914001
test_r2_170200090208,5,0.7383600473403931
test_r2_170200090208,6,0.7138631939888
test_r2_170200090208,7,0.49787890911102295
test_r2_170200090208,8,0.6772384643554688
test_r2_170200090208,9,0.7889403104782104
train_kge_170200090208,0,0.7942934473191414
train_kge_170200090208,1,0.6746126184893573
train_kge_170200090208,2,0.8114061190987021
train_kge_170200090208,3,0.827630850895521
train_kge_170200090208,4,0.8767245353419577
train_kge_170200090208,5,0.8689073836970141
train_kge_170200090208,6,0.8603110171213597
train_kge_170200090208,7,0.6049472730293092
train_kge_170200090208,8,0.7810496133804852
train_kge_170200090208,9,0.8394789489891467
test_mse_170200090304,0,0.0007764477632008493
test_mse_170200090304,1,0.00044112102477811277
test_mse_170200090304,2,0.0004572994075715542
test_mse_170200090304,3,0.0004036775208078325
test_mse_170200090304,4,0.00047360960161313415
test_mse_170200090304,5,0.00045420211972668767
