Metric,Step,Value
train_mse_180400090101,0,0.04896794259548187
train_mse_180400090101,1,0.026735862717032433
train_mse_180400090101,2,0.03852931037545204
train_mse_180400090101,3,0.013454785570502281
train_mse_180400090101,4,0.012558184564113617
train_mse_180400090101,5,0.014192868024110794
train_mse_180400090101,6,0.009374034591019154
train_mse_180400090101,7,0.008485926315188408
train_mse_180400090101,8,0.007775471545755863
train_mse_180400090101,9,0.00796034000813961
test_kge_180400090106,0,0.9485623845641096
test_kge_180400090106,1,0.9490236575386605
test_kge_180400090106,2,0.9610778578780345
test_kge_180400090106,3,0.8839440802642803
test_kge_180400090106,4,0.7126923468680826
test_kge_180400090106,5,0.8362212586166994
test_kge_180400090106,6,0.887048177912272
test_kge_180400090106,7,0.9018322392860489
test_kge_180400090106,8,0.9251109537974627
test_kge_180400090106,9,0.9478777374611119
test_r2_180400090105,0,0.9327077269554138
test_r2_180400090105,1,0.9219788312911987
test_r2_180400090105,2,0.9212204217910767
test_r2_180400090105,3,0.9232284426689148
test_r2_180400090105,4,0.9170637130737305
test_r2_180400090105,5,0.9128659963607788
test_r2_180400090105,6,0.9230690002441406
test_r2_180400090105,7,0.9019492268562317
test_r2_180400090105,8,0.9099431037902832
test_r2_180400090105,9,0.9260807037353516
test_kge_180400090301,0,0.8051239930502933
test_kge_180400090301,1,0.9135042358208407
test_kge_180400090301,2,0.8677590433173652
test_kge_180400090301,3,0.836201385554233
test_kge_180400090301,4,0.8820917651433301
test_kge_180400090301,5,0.8773453287808582
test_kge_180400090301,6,0.9050159786564136
test_kge_180400090301,7,0.8652629314588128
test_kge_180400090301,8,0.8626582605601053
test_kge_180400090301,9,0.947523651814164
train_kge_180400090201,0,0.9631891632121619
train_kge_180400090201,1,0.9438542708266224
train_kge_180400090201,2,0.9741305852263172
train_kge_180400090201,3,0.8979837939514216
train_kge_180400090201,4,0.8776121194561936
train_kge_180400090201,5,0.9411610707425545
train_kge_180400090201,6,0.9582177604701799
train_kge_180400090201,7,0.9786854901141925
train_kge_180400090201,8,0.9450155032655031
train_kge_180400090201,9,0.961952425325763
test_r2_180400090102,0,0.9061573147773743
test_r2_180400090102,1,0.8948628902435303
test_r2_180400090102,2,0.9252883791923523
test_r2_180400090102,3,0.9216760396957397
test_r2_180400090102,4,0.9039955139160156
test_r2_180400090102,5,0.7920029759407043
test_r2_180400090102,6,0.8865646719932556
test_r2_180400090102,7,0.8946225047111511
test_r2_180400090102,8,0.8787134885787964
test_r2_180400090102,9,0.8627341985702515
test_mae_180400090102,0,0.056786105036735535
test_mae_180400090102,1,0.06086522713303566
test_mae_180400090102,2,0.05077734962105751
test_mae_180400090102,3,0.0528034083545208
test_mae_180400090102,4,0.061094000935554504
test_mae_180400090102,5,0.08764567971229553
test_mae_180400090102,6,0.06830093264579773
test_mae_180400090102,7,0.06476932764053345
test_mae_180400090102,8,0.06756168603897095
test_mae_180400090102,9,0.07315036654472351
train_mse_180400090202,0,0.0035411359276622534
train_mse_180400090202,1,0.003073403611779213
train_mse_180400090202,2,0.0030338044743984938
train_mse_180400090202,3,0.0025934388395398855
train_mse_180400090202,4,0.0023512381594628096
train_mse_180400090202,5,0.0026533317286521196
train_mse_180400090202,6,0.002699909033253789
train_mse_180400090202,7,0.0023262363392859697
train_mse_180400090202,8,0.0021405343431979418
train_mse_180400090202,9,0.0024396106600761414
train_kge_180400090101,0,0.6599303501973175
train_kge_180400090101,1,0.8285401772494522
train_kge_180400090101,2,0.6502933752853752
train_kge_180400090101,3,0.8227719987374699
train_kge_180400090101,4,0.8451371030693627
train_kge_180400090101,5,0.872536885331393
train_kge_180400090101,6,0.9568130523765574
train_kge_180400090101,7,0.9650051482322857
train_kge_180400090101,8,0.9653207194628712
train_kge_180400090101,9,0.9542410426306985
test_r2_180400090106,0,0.9232723116874695
test_r2_180400090106,1,0.9223144054412842
test_r2_180400090106,2,0.9244275093078613
test_r2_180400090106,3,0.9359509944915771
test_r2_180400090106,4,0.7442840337753296
test_r2_180400090106,5,0.8598237633705139
test_r2_180400090106,6,0.8720712661743164
test_r2_180400090106,7,0.844989001750946
test_r2_180400090106,8,0.8957537412643433
test_r2_180400090106,9,0.8961325883865356
test_mae_180400090101,0,0.1642192155122757
test_mae_180400090101,1,0.10501865297555923
test_mae_180400090101,2,0.13894693553447723
test_mae_180400090101,3,0.07049407809972763
test_mae_180400090101,4,0.0770183801651001
test_mae_180400090101,5,0.08188821375370026
test_mae_180400090101,6,0.06998356431722641
test_mae_180400090101,7,0.06087809056043625
test_mae_180400090101,8,0.060532622039318085
test_mae_180400090101,9,0.06619325280189514
train_r2_180400090101,0,0.6339901089668274
train_r2_180400090101,1,0.8001633286476135
train_r2_180400090101,2,0.7120134830474854
train_r2_180400090101,3,0.8994324803352356
train_r2_180400090101,4,0.9061341285705566
train_r2_180400090101,5,0.8939157128334045
train_r2_180400090101,6,0.9299339652061462
train_r2_180400090101,7,0.9365721344947815
train_r2_180400090101,8,0.9418823719024658
train_r2_180400090101,9,0.9405006170272827
train_r2_180400090104,0,0.9678295850753784
train_r2_180400090104,1,0.9502562880516052
train_r2_180400090104,2,0.9652079939842224
train_r2_180400090104,3,0.9649282693862915
train_r2_180400090104,4,0.9632310271263123
train_r2_180400090104,5,0.963594377040863
train_r2_180400090104,6,0.9382651448249817
train_r2_180400090104,7,0.972260057926178
train_r2_180400090104,8,0.9066339135169983
train_r2_180400090104,9,0.9649053812026978
test_r2_180400090202,0,0.914725124835968
test_r2_180400090202,1,0.9410203099250793
test_r2_180400090202,2,0.939038872718811
test_r2_180400090202,3,0.9511591792106628
test_r2_180400090202,4,0.9508981704711914
test_r2_180400090202,5,0.9469930529594421
test_r2_180400090202,6,0.9456189870834351
test_r2_180400090202,7,0.9519632458686829
test_r2_180400090202,8,0.9490193128585815
test_r2_180400090202,9,0.9431330561637878
train_r2_180400090301,0,0.9441043138504028
train_r2_180400090301,1,0.9639958739280701
train_r2_180400090301,2,0.9578782916069031
train_r2_180400090301,3,0.9547968506813049
train_r2_180400090301,4,0.9629252552986145
train_r2_180400090301,5,0.9627255797386169
train_r2_180400090301,6,0.9703869819641113
train_r2_180400090301,7,0.9625412821769714
train_r2_180400090301,8,0.9476232528686523
train_r2_180400090301,9,0.9639114737510681
train_mse_180400090303,0,0.0055740452371537685
train_mse_180400090303,1,0.004710560664534569
train_mse_180400090303,2,0.004314064979553223
train_mse_180400090303,3,0.003912192303687334
train_mse_180400090303,4,0.004048632457852364
train_mse_180400090303,5,0.0034125815145671368
train_mse_180400090303,6,0.00451319245621562
train_mse_180400090303,7,0.004188226535916328
