Metric,Step,Value
test_3_mse_171100050604,0,0.008449152112007141
test_3_mse_171100050604,1,0.010609271004796028
test_3_mse_171100050604,2,0.01027008518576622
test_3_mse_171100050604,3,0.010748902335762978
test_3_mse_171100050604,4,0.011138129979372025
test_3_mse_171100050604,5,0.013249865733087063
test_3_mse_171100050604,6,0.014036639593541622
test_3_mse_171100050604,7,0.011444630101323128
test_3_mse_171100050604,8,0.010702657513320446
test_3_mse_171100050604,9,0.012018734589219093
test_3_kge_171100050604,0,0.9163168154111111
test_3_kge_171100050604,1,0.8752768856691404
test_3_kge_171100050604,2,0.9304787643187562
test_3_kge_171100050604,3,0.9134729183967936
test_3_kge_171100050604,4,0.9296302111965048
test_3_kge_171100050604,5,0.9257667121381505
test_3_kge_171100050604,6,0.9240183534191411
test_3_kge_171100050604,7,0.9328419087898301
test_3_kge_171100050604,8,0.922860452689226
test_3_kge_171100050604,9,0.9351196445256927
test_3_r2_171100050604,0,0.9096356630325317
test_3_r2_171100050604,1,0.8865330219268799
test_3_r2_171100050604,2,0.8901606798171997
test_3_r2_171100050604,3,0.8850396871566772
test_3_r2_171100050604,4,0.880876898765564
test_3_r2_171100050604,5,0.8582916855812073
test_3_r2_171100050604,6,0.849877119064331
test_3_r2_171100050604,7,0.8775988221168518
test_3_r2_171100050604,8,0.8855342864990234
test_3_r2_171100050604,9,0.8714587688446045
test_3_mae_171100050604,0,0.05260036885738373
test_3_mae_171100050604,1,0.0588446743786335
test_3_mae_171100050604,2,0.05560567229986191
test_3_mae_171100050604,3,0.061248838901519775
test_3_mae_171100050604,4,0.055804889649152756
test_3_mae_171100050604,5,0.06115521490573883
test_3_mae_171100050604,6,0.061570487916469574
test_3_mae_171100050604,7,0.05715181678533554
test_3_mae_171100050604,8,0.05446093529462814
test_3_mae_171100050604,9,0.057483285665512085
train_3_mse_171100050604,0,0.004435839597135782
train_3_mse_171100050604,1,0.005179862957447767
train_3_mse_171100050604,2,0.004184141755104065
train_3_mse_171100050604,3,0.004301312379539013
train_3_mse_171100050604,4,0.004303505178540945
train_3_mse_171100050604,5,0.003990625496953726
train_3_mse_171100050604,6,0.004700886085629463
train_3_mse_171100050604,7,0.003909948281943798
train_3_mse_171100050604,8,0.00442811194807291
train_3_mse_171100050604,9,0.004078227560967207
train_3_kge_171100050604,0,0.9746293913583508
train_3_kge_171100050604,1,0.9296671792931893
train_3_kge_171100050604,2,0.9750721912932666
train_3_kge_171100050604,3,0.9550109180326254
train_3_kge_171100050604,4,0.9744612855165777
train_3_kge_171100050604,5,0.969867523197505
train_3_kge_171100050604,6,0.9727533988117417
train_3_kge_171100050604,7,0.974958202546653
train_3_kge_171100050604,8,0.9735486806934237
train_3_kge_171100050604,9,0.9682533013077042
train_3_r2_171100050604,0,0.9507325887680054
train_3_r2_171100050604,1,0.9424690008163452
train_3_r2_171100050604,2,0.953528106212616
train_3_r2_171100050604,3,0.9522267580032349
train_3_r2_171100050604,4,0.9522023797035217
train_3_r2_171100050604,5,0.9556774497032166
train_3_r2_171100050604,6,0.9477888345718384
train_3_r2_171100050604,7,0.956573486328125
train_3_r2_171100050604,8,0.9508184194564819
train_3_r2_171100050604,9,0.9547044634819031
train_3_mae_171100050604,0,0.036645930260419846
train_3_mae_171100050604,1,0.04347500205039978
train_3_mae_171100050604,2,0.03546512871980667
train_3_mae_171100050604,3,0.03851949796080589
train_3_mae_171100050604,4,0.03582996875047684
train_3_mae_171100050604,5,0.03495453670620918
train_3_mae_171100050604,6,0.03816640004515648
train_3_mae_171100050604,7,0.03387304022908211
train_3_mae_171100050604,8,0.03564446046948433
train_3_mae_171100050604,9,0.03490621969103813
test_0_mse_171100050604,0,0.021501967683434486
test_0_mse_171100050604,1,0.026168739423155785
test_0_mse_171100050604,2,0.047786369919776917
test_0_mse_171100050604,3,0.017277736216783524
test_0_mse_171100050604,4,0.021290255710482597
test_0_mse_171100050604,5,0.010154057294130325
test_0_mse_171100050604,6,0.011032838374376297
test_0_mse_171100050604,7,0.010999003425240517
test_0_mse_171100050604,8,0.015745192766189575
test_0_mse_171100050604,9,0.015561345964670181
test_0_kge_171100050604,0,0.8804646975792739
test_0_kge_171100050604,1,0.7691736315588318
test_0_kge_171100050604,2,0.5589301895981222
test_0_kge_171100050604,3,0.8864198716130298
test_0_kge_171100050604,4,0.8630710679075053
test_0_kge_171100050604,5,0.9214630686990901
test_0_kge_171100050604,6,0.8786599180567198
test_0_kge_171100050604,7,0.8626277364781159
test_0_kge_171100050604,8,0.7490829323982249
test_0_kge_171100050604,9,0.7108631174673287
test_0_r2_171100050604,0,0.7700348496437073
test_0_r2_171100050604,1,0.7201234102249146
test_0_r2_171100050604,2,0.48892122507095337
test_0_r2_171100050604,3,0.8152133226394653
test_0_r2_171100050604,4,0.7722991704940796
test_0_r2_171100050604,5,0.8914015889167786
test_0_r2_171100050604,6,0.8820029497146606
test_0_r2_171100050604,7,0.8823648691177368
test_0_r2_171100050604,8,0.83160400390625
test_0_r2_171100050604,9,0.8335702419281006
test_0_mae_171100050604,0,0.0958048403263092
test_0_mae_171100050604,1,0.1030847579240799
test_0_mae_171100050604,2,0.15618039667606354
test_0_mae_171100050604,3,0.07693035155534744
test_0_mae_171100050604,4,0.09264452010393143
test_0_mae_171100050604,5,0.0626833364367485
test_0_mae_171100050604,6,0.06684517115354538
test_0_mae_171100050604,7,0.06124879792332649
test_0_mae_171100050604,8,0.071341373026371
test_0_mae_171100050604,9,0.0734381228685379
train_0_mse_171100050604,0,0.025428883731365204
train_0_mse_171100050604,1,0.02466989867389202
train_0_mse_171100050604,2,0.0468972846865654
train_0_mse_171100050604,3,0.0181291326880455
train_0_mse_171100050604,4,0.026412546634674072
train_0_mse_171100050604,5,0.011860037222504616
train_0_mse_171100050604,6,0.015021062456071377
train_0_mse_171100050604,7,0.008578049018979073
train_0_mse_171100050604,8,0.010607578791677952
train_0_mse_171100050604,9,0.010654916986823082
train_0_kge_171100050604,0,0.8476051267824753
train_0_kge_171100050604,1,0.8068752517535289
train_0_kge_171100050604,2,0.5601116899513675
train_0_kge_171100050604,3,0.8555603896056028
train_0_kge_171100050604,4,0.8185474393104214
train_0_kge_171100050604,5,0.9269505685172093
train_0_kge_171100050604,6,0.8577708975516813
train_0_kge_171100050604,7,0.8807560730027858
train_0_kge_171100050604,8,0.7864870668805625
train_0_kge_171100050604,9,0.7637784038294618
train_0_r2_171100050604,0,0.7175698280334473
