Metric,Step,Value
train_r2_170200090105,0,0.9583993554115295
train_r2_170200090105,1,0.9604542851448059
train_r2_170200090105,2,0.9575567841529846
train_r2_170200090105,3,0.9603966474533081
train_r2_170200090105,4,0.9581880569458008
train_r2_170200090105,5,0.9570422768592834
train_r2_170200090105,6,0.9603284597396851
train_r2_170200090105,7,0.9679244160652161
train_r2_170200090105,8,0.9611424803733826
train_r2_170200090105,9,0.9671242237091064
train_kge_170200090101,0,0.8029823940378863
train_kge_170200090101,1,0.16595439179275673
train_kge_170200090101,2,0.2500310899638414
train_kge_170200090101,3,0.8203330656750839
train_kge_170200090101,4,0.8879693896522771
train_kge_170200090101,5,0.9145885821540911
train_kge_170200090101,6,0.9012882980661832
train_kge_170200090101,7,0.925942244063006
train_kge_170200090101,8,0.9331609702706091
train_kge_170200090101,9,0.9141776564754189
train_r2_170200090101,0,0.6643409729003906
train_r2_170200090101,1,0.13640326261520386
train_r2_170200090101,2,-0.23838937282562256
train_r2_170200090101,3,0.6811994314193726
train_r2_170200090101,4,0.7936574220657349
train_r2_170200090101,5,0.8298395872116089
train_r2_170200090101,6,0.8287408947944641
train_r2_170200090101,7,0.8557804822921753
train_r2_170200090101,8,0.8709253668785095
train_r2_170200090101,9,0.8594509959220886
test_mse_170200090104,0,0.014173750765621662
test_mse_170200090104,1,0.013564638793468475
test_mse_170200090104,2,0.016120821237564087
test_mse_170200090104,3,0.013500561937689781
test_mse_170200090104,4,0.013643980026245117
test_mse_170200090104,5,0.013949153013527393
test_mse_170200090104,6,0.01499845925718546
test_mse_170200090104,7,0.0139227956533432
test_mse_170200090104,8,0.014128568582236767
test_mse_170200090104,9,0.012649011798202991
test_mse_170200090102,0,0.02245122194290161
test_mse_170200090102,1,0.019962599501013756
test_mse_170200090102,2,0.016188303008675575
test_mse_170200090102,3,0.015078745782375336
test_mse_170200090102,4,0.026835545897483826
test_mse_170200090102,5,0.017011186107993126
test_mse_170200090102,6,0.018169036135077477
test_mse_170200090102,7,0.01767021417617798
test_mse_170200090102,8,0.017900364473462105
test_mse_170200090102,9,0.013448627665638924
test_r2_170200090102,0,0.8627423048019409
test_r2_170200090102,1,0.877956748008728
test_r2_170200090102,2,0.9010312557220459
test_r2_170200090102,3,0.907814621925354
test_r2_170200090102,4,0.8359382748603821
test_r2_170200090102,5,0.8960005044937134
test_r2_170200090102,6,0.888921856880188
test_r2_170200090102,7,0.8919714689254761
test_r2_170200090102,8,0.8905643820762634
test_r2_170200090102,9,0.9177805185317993
test_mae_170200090102,0,0.09417927265167236
test_mae_170200090102,1,0.09138431400060654
test_mae_170200090102,2,0.07819856703281403
test_mae_170200090102,3,0.0780620276927948
test_mae_170200090102,4,0.11200258880853653
test_mae_170200090102,5,0.08667407184839249
test_mae_170200090102,6,0.08513544499874115
test_mae_170200090102,7,0.08024785667657852
test_mae_170200090102,8,0.09260757267475128
test_mae_170200090102,9,0.0753561407327652
test_kge_170200090105,0,0.9523108511860308
test_kge_170200090105,1,0.9462931884212196
test_kge_170200090105,2,0.9489205963430544
test_kge_170200090105,3,0.9701974242227657
test_kge_170200090105,4,0.9601590511883717
test_kge_170200090105,5,0.9380305728836235
test_kge_170200090105,6,0.956017092184952
test_kge_170200090105,7,0.9524883085757824
test_kge_170200090105,8,0.928285405834191
test_kge_170200090105,9,0.9417530569412272
train_kge_170200090105,0,0.9702582914879894
train_kge_170200090105,1,0.968387071091066
train_kge_170200090105,2,0.9714024574534159
train_kge_170200090105,3,0.9692971310369373
train_kge_170200090105,4,0.9767055869019701
train_kge_170200090105,5,0.9628789834580832
train_kge_170200090105,6,0.9798099148631728
train_kge_170200090105,7,0.9577782223184561
train_kge_170200090105,8,0.9611232122419979
train_kge_170200090105,9,0.9662459274190228
train_kge_170200090103,0,0.851550127661856
train_kge_170200090103,1,0.9575910011953102
train_kge_170200090103,2,0.9790486199898206
train_kge_170200090103,3,0.8749029483048005
train_kge_170200090103,4,0.9680046662836171
train_kge_170200090103,5,0.9627704643173067
train_kge_170200090103,6,0.9645951715121146
train_kge_170200090103,7,0.9148935701308614
train_kge_170200090103,8,0.9413240511064671
train_kge_170200090103,9,0.9748919824528036
train_mse_170200090104,0,0.009482764638960361
train_mse_170200090104,1,0.008602645248174667
train_mse_170200090104,2,0.009854068979620934
train_mse_170200090104,3,0.008059474639594555
