Metric,Step,Value
test_mse_170103040901,0,0.0012784483842551708
test_kge_170103040901,0,0.9010891334104639
test_r2_170103040901,0,0.8943884372711182
test_mae_170103040901,0,0.01801469922065735
train_mse_170103040901,0,0.0008348996052518487
train_kge_170103040901,0,0.9614578964190547
train_r2_170103040901,0,0.9443164467811584
train_mae_170103040901,0,0.013520349748432636
test_mse_170103020101,0,0.0020024387631565332
test_kge_170103020101,0,0.9345915493109982
test_r2_170103020101,0,0.9277970194816589
train_kge_170103020101,0,0.9662431397041521
test_mae_170103020101,0,0.025427162647247314
train_mse_170103020101,0,0.0015675717731937766
train_r2_170103020101,0,0.9493429660797119
train_mae_170103020101,0,0.0222762543708086
test_kge_170103020102,0,0.8467257094486498
test_kge_170103020102,1,0.820950488286124
test_kge_170103020102,2,0.8561729186330082
test_kge_170103020102,3,0.8554635738555516
test_kge_170103020102,4,0.8599411171259355
test_kge_170103020102,5,0.8820151666039262
test_kge_170103020102,6,0.915701979214062
test_kge_170103020102,7,0.9065701855545922
test_kge_170103020102,8,0.9251863822318663
test_kge_170103020102,9,0.9299554034635698
train_kge_170103020102,0,0.9037584924338604
train_kge_170103020102,1,0.8946291101022097
train_kge_170103020102,2,0.8857850970767361
train_kge_170103020102,3,0.881204646010183
train_kge_170103020102,4,0.8755550804685863
train_kge_170103020102,5,0.9172500743715645
train_kge_170103020102,6,0.9044727101483405
train_kge_170103020102,7,0.867150419049454
train_kge_170103020102,8,0.9188077925635039
train_kge_170103020102,9,0.9327817842809631
test_r2_170103020102,0,0.8865323066711426
test_r2_170103020102,1,0.8761119842529297
test_r2_170103020102,2,0.8977728486061096
test_r2_170103020102,3,0.8981295824050903
test_r2_170103020102,4,0.8989924788475037
test_r2_170103020102,5,0.9066126346588135
test_r2_170103020102,6,0.921532154083252
test_r2_170103020102,7,0.9240825772285461
test_r2_170103020102,8,0.923891544342041
test_r2_170103020102,9,0.9221541881561279
test_mae_170103020102,0,0.028404898941516876
test_mae_170103020102,1,0.029843978583812714
test_mae_170103020102,2,0.026801271364092827
test_mae_170103020102,3,0.02688792161643505
test_mae_170103020102,4,0.027129221707582474
test_mae_170103020102,5,0.02618052065372467
test_mae_170103020102,6,0.023284906521439552
test_mae_170103020102,7,0.02268756739795208
test_mae_170103020102,8,0.022749219089746475
test_mae_170103020102,9,0.022766919806599617
train_r2_170103020102,0,0.9315450191497803
train_r2_170103020102,1,0.9270249605178833
train_r2_170103020102,2,0.9341979026794434
train_r2_170103020102,3,0.9320114850997925
train_r2_170103020102,4,0.9322340488433838
train_r2_170103020102,5,0.9405414462089539
train_r2_170103020102,6,0.9404730796813965
train_r2_170103020102,7,0.9307442307472229
train_r2_170103020102,8,0.9421594142913818
train_r2_170103020102,9,0.9423540830612183
train_mae_170103020102,0,0.021832726895809174
train_mae_170103020102,1,0.021776430308818817
train_mae_170103020102,2,0.02030046470463276
train_mae_170103020102,3,0.020198047161102295
train_mae_170103020102,4,0.020299086347222328
train_mae_170103020102,5,0.01904725283384323
train_mae_170103020102,6,0.018745239824056625
train_mae_170103020102,7,0.020102553069591522
train_mae_170103020102,8,0.018357684835791588
train_mae_170103020102,9,0.018288854509592056
test_mse_170103020102,0,0.002217876957729459
test_mse_170103020102,1,0.0024215555749833584
test_mse_170103020102,2,0.001998166088014841
test_mse_170103020102,3,0.001991192577406764
test_mse_170103020102,4,0.001974326791241765
test_mse_170103020102,5,0.0018253796733915806
test_mse_170103020102,6,0.001533758477307856
test_mse_170103020102,7,0.0014839072246104479
test_mse_170103020102,8,0.0014876408968120813
test_mse_170103020102,9,0.001521600061096251
train_mse_170103020102,0,0.001810810063034296
train_mse_170103020102,1,0.0019303765147924423
train_mse_170103020102,2,0.001740635372698307
train_mse_170103020102,3,0.0017984702717512846
train_mse_170103020102,4,0.0017925826832652092
train_mse_170103020102,5,0.001572831068187952
train_mse_170103020102,6,0.0015746394637972116
train_mse_170103020102,7,0.001831992412917316
train_mse_170103020102,8,0.0015300321392714977
train_mse_170103020102,9,0.0015248829731717706
train_mse_170103020103,0,0.0024214559234678745
train_mse_170103020103,1,0.0025613687466830015
train_mse_170103020103,2,0.0022304828744381666
train_mse_170103020103,3,0.0025713464710861444
train_mse_170103020103,4,0.001920461654663086
train_mse_170103020103,5,0.0020207841880619526
train_mse_170103020103,6,0.0017968182219192386
train_mse_170103020103,7,0.002465600147843361
train_mse_170103020103,8,0.0020332899875938892
train_mse_170103020103,9,0.002090442692860961
test_mae_170103020103,0,0.023157140240073204
test_mae_170103020103,1,0.02383420802652836
test_mae_170103020103,2,0.022964634001255035
test_mae_170103020103,3,0.02658623643219471
test_mae_170103020103,4,0.023328594863414764
test_mae_170103020103,5,0.02287360280752182
test_mae_170103020103,6,0.023289745673537254
test_mae_170103020103,7,0.02414604462683201
test_mae_170103020103,8,0.026711871847510338
test_mae_170103020103,9,0.025628672912716866
train_r2_170103020103,0,0.8995599746704102
train_r2_170103020103,1,0.8937565088272095
train_r2_170103020103,2,0.9074813723564148
train_r2_170103020103,3,0.8933426141738892
train_r2_170103020103,4,0.9203407764434814
train_r2_170103020103,5,0.9161794781684875
train_r2_170103020103,6,0.9254693984985352
train_r2_170103020103,7,0.8977288603782654
train_r2_170103020103,8,0.9156607389450073
train_r2_170103020103,9,0.9132901430130005
train_kge_170103020103,0,0.9051789093047249
train_kge_170103020103,1,0.8827967423528666
train_kge_170103020103,2,0.8953449429069159
train_kge_170103020103,3,0.8338236461339712
train_kge_170103020103,4,0.9302821519798615
train_kge_170103020103,5,0.8846627023004212
train_kge_170103020103,6,0.9002087257221807
train_kge_170103020103,7,0.8738756727690461
train_kge_170103020103,8,0.906162021029094
train_kge_170103020103,9,0.8916800228963467
test_r2_170103020103,0,0.9102984070777893
test_r2_170103020103,1,0.9087017774581909
test_r2_170103020103,2,0.9119595289230347
test_r2_170103020103,3,0.8902541399002075
test_r2_170103020103,4,0.9096708297729492
test_r2_170103020103,5,0.9118014574050903
test_r2_170103020103,6,0.9113625288009644
test_r2_170103020103,7,0.9018651843070984
test_r2_170103020103,8,0.8872087597846985
test_r2_170103020103,9,0.8878292441368103
test_kge_170103020103,0,0.9287171696898812
test_kge_170103020103,1,0.9290111235396458
test_kge_170103020103,2,0.9285726255083503
test_kge_170103020103,3,0.8903280470812771
test_kge_170103020103,4,0.9071876282439955
test_kge_170103020103,5,0.9314411931948651
test_kge_170103020103,6,0.9208095078424519
test_kge_170103020103,7,0.9225944210475064
test_kge_170103020103,8,0.9081301317101355
test_kge_170103020103,9,0.9188309701403693
train_mae_170103020103,0,0.02573161944746971
train_mae_170103020103,1,0.025287874042987823
train_mae_170103020103,2,0.023503916338086128
train_mae_170103020103,3,0.026059942319989204
train_mae_170103020103,4,0.02186393178999424
train_mae_170103020103,5,0.02248886041343212
train_mae_170103020103,6,0.021608639508485794
train_mae_170103020103,7,0.02515476942062378
train_mae_170103020103,8,0.022822219878435135
train_mae_170103020103,9,0.02241326868534088
train_mse_170103020201,0,0.0028895926661789417
train_mse_170103020201,1,0.0026378703769296408
train_mse_170103020201,2,0.0020720940083265305
train_mse_170103020201,3,0.0028407517820596695
train_mse_170103020201,4,0.0022926691453903913
train_mse_170103020201,5,0.0025582225061953068
train_mse_170103020201,6,0.0026499712839722633
train_mse_170103020201,7,0.0027080990839749575
train_mse_170103020201,8,0.002302472246810794
train_mse_170103020201,9,0.00276787462644279
test_mse_170103020103,0,0.0018814938375726342
test_mse_170103020103,1,0.0019149843137711287
test_mse_170103020103,2,0.0018466525943949819
test_mse_170103020103,3,0.0023019236978143454
test_mse_170103020103,4,0.0018946576165035367
test_mse_170103020103,5,0.0018499677535146475
test_mse_170103020103,6,0.0018591739935800433
test_mse_170103020103,7,0.0020583816803991795
test_mse_170103020103,8,0.002365800552070141
test_mse_170103020103,9,0.002352785784751177
train_kge_170103020201,0,0.8762635321357675
train_kge_170103020201,1,0.8574559815472566
train_kge_170103020201,2,0.9189594125178667
train_kge_170103020201,3,0.841388646636033
train_kge_170103020201,4,0.8747451807173319
train_kge_170103020201,5,0.8509455217598416
train_kge_170103020201,6,0.8498049178516175
train_kge_170103020201,7,0.8424696371815139
train_kge_170103020201,8,0.8793486729298291
train_kge_170103020201,9,0.8212661231767115
test_mse_170103020201,0,0.002625312888994813
test_mse_170103020201,1,0.0026023543905466795
test_mse_170103020201,2,0.002362665720283985
test_mse_170103020201,3,0.0029215742833912373
test_mse_170103020201,4,0.002612130017951131
test_mse_170103020201,5,0.0026496881619095802
test_mse_170103020201,6,0.0027315346524119377
test_mse_170103020201,7,0.0027497548144310713
test_mse_170103020201,8,0.002806285163387656
test_mse_170103020201,9,0.003346415003761649
test_mae_170103020201,0,0.029352491721510887
test_mae_170103020201,1,0.029848679900169373
test_mae_170103020201,2,0.027673298493027687
test_mae_170103020201,3,0.0327935554087162
test_mae_170103020201,4,0.02904602326452732
test_mae_170103020201,5,0.030489884316921234
test_mae_170103020201,6,0.03108077310025692
test_mae_170103020201,7,0.030900580808520317
test_mae_170103020201,8,0.03133540228009224
test_mae_170103020201,9,0.035400036722421646
train_r2_170103020201,0,0.8933502435684204
train_r2_170103020201,1,0.9026408791542053
train_r2_170103020201,2,0.9235226511955261
train_r2_170103020201,3,0.8951528668403625
train_r2_170103020201,4,0.9153816103935242
train_r2_170103020201,5,0.9055805206298828
train_r2_170103020201,6,0.9021942615509033
train_r2_170103020201,7,0.9000488519668579
train_r2_170103020201,8,0.9150198101997375
train_r2_170103020201,9,0.8978426456451416
test_kge_170103020201,0,0.838815453692142
test_kge_170103020201,1,0.8199930005804079
test_kge_170103020201,2,0.8803388267088184
test_kge_170103020201,3,0.7623629364983207
test_kge_170103020201,4,0.823132646710579
test_kge_170103020201,5,0.817842401460599
test_kge_170103020201,6,0.8011245050044427
test_kge_170103020201,7,0.7961753516342847
test_kge_170103020201,8,0.8225880334763207
test_kge_170103020201,9,0.7262077559041025
train_mae_170103020201,0,0.026816340163350105
train_mae_170103020201,1,0.026392890140414238
train_mae_170103020201,2,0.02357095293700695
train_mae_170103020201,3,0.027615398168563843
train_mae_170103020201,4,0.02397662028670311
train_mae_170103020201,5,0.025363001972436905
train_mae_170103020201,6,0.025844376534223557
train_mae_170103020201,7,0.02545732446014881
train_mae_170103020201,8,0.024631882086396217
train_mae_170103020201,9,0.027137286961078644
test_r2_170103020201,0,0.8692735433578491
test_r2_170103020201,1,0.8704167604446411
test_r2_170103020201,2,0.8823519945144653
test_r2_170103020201,3,0.8545213341712952
test_r2_170103020201,4,0.8699299693107605
test_r2_170103020201,5,0.8680597543716431
test_r2_170103020201,6,0.8639842867851257
test_r2_170103020201,7,0.8630770444869995
test_r2_170103020201,8,0.8602620959281921
test_r2_170103020201,9,0.8333665132522583
train_kge_170103020202,0,0.9218130163746976
train_kge_170103020202,1,0.9131551985715709
train_kge_170103020202,2,0.9035881020141608
train_kge_170103020202,3,0.8809823671466555
train_kge_170103020202,4,0.9158666213343007
train_kge_170103020202,5,0.8417462245445073
train_kge_170103020202,6,0.8470479494117696
train_kge_170103020202,7,0.8804352163241754
train_kge_170103020202,8,0.8750399097343224
train_kge_170103020202,9,0.869115735857787
train_r2_170103020202,0,0.9138654470443726
train_r2_170103020202,1,0.9194648265838623
train_r2_170103020202,2,0.9270811676979065
train_r2_170103020202,3,0.9188930988311768
train_r2_170103020202,4,0.9310582876205444
train_r2_170103020202,5,0.8954882621765137
train_r2_170103020202,6,0.9121280908584595
train_r2_170103020202,7,0.9248737096786499
train_r2_170103020202,8,0.9182408452033997
train_r2_170103020202,9,0.9132015705108643
train_r2_170103020301,0,0.9198718667030334
train_r2_170103020301,1,0.9052065014839172
train_r2_170103020301,2,0.9083818197250366
train_r2_170103020301,3,0.8954554796218872
train_r2_170103020301,4,0.8806273341178894
train_r2_170103020301,5,0.9121053218841553
train_r2_170103020301,6,0.9141623973846436
train_r2_170103020301,7,0.9055714011192322
train_r2_170103020301,8,0.8850130438804626
train_r2_170103020301,9,0.8950331211090088
test_mse_170103020202,0,0.001172669348306954
test_mse_170103020202,1,0.00132148084230721
test_mse_170103020202,2,0.00130448117852211
test_mse_170103020202,3,0.0015242000808939338
test_mse_170103020202,4,0.001336298999376595
test_mse_170103020202,5,0.002102725673466921
test_mse_170103020202,6,0.0019549387507140636
test_mse_170103020202,7,0.001928674872033298
test_mse_170103020202,8,0.0019757526461035013
test_mse_170103020202,9,0.0020152044016867876
train_mae_170103020301,0,0.014474381692707539
train_mae_170103020301,1,0.015039022080600262
train_mae_170103020301,2,0.014865642413496971
train_mae_170103020301,3,0.015080350451171398
train_mae_170103020301,4,0.017429303377866745
train_mae_170103020301,5,0.014621236361563206
train_mae_170103020301,6,0.014291606843471527
train_mae_170103020301,7,0.014163230545818806
train_mae_170103020301,8,0.01590258814394474
train_mae_170103020301,9,0.01596204936504364
train_mae_170103020202,0,0.01757992058992386
train_mae_170103020202,1,0.017133304849267006
train_mae_170103020202,2,0.015609976835548878
train_mae_170103020202,3,0.0167755875736475
train_mae_170103020202,4,0.015093445777893066
train_mae_170103020202,5,0.017077650874853134
train_mae_170103020202,6,0.016520021483302116
train_mae_170103020202,7,0.015598929487168789
train_mae_170103020202,8,0.015884768217802048
train_mae_170103020202,9,0.015634754672646523
test_r2_170103020202,0,0.8711362481117249
test_r2_170103020202,1,0.8547834753990173
test_r2_170103020202,2,0.8566515445709229
test_r2_170103020202,3,0.8325067758560181
test_r2_170103020202,4,0.8531551361083984
test_r2_170103020202,5,0.7689330577850342
test_r2_170103020202,6,0.785173237323761
test_r2_170103020202,7,0.7880593538284302
test_r2_170103020202,8,0.7828860282897949
test_r2_170103020202,9,0.7785507440567017
test_mae_170103020202,0,0.02012661285698414
test_mae_170103020202,1,0.021291807293891907
test_mae_170103020202,2,0.020644506439566612
test_mae_170103020202,3,0.02242811769247055
test_mae_170103020202,4,0.02056615799665451
test_mae_170103020202,5,0.025232631713151932
test_mae_170103020202,6,0.024770740419626236
test_mae_170103020202,7,0.024747377261519432
test_mae_170103020202,8,0.025167640298604965
test_mae_170103020202,9,0.024731876328587532
train_mse_170103020202,0,0.00113269267603755
train_mse_170103020202,1,0.0010590592864900827
train_mse_170103020202,2,0.0009589024120941758
train_mse_170103020202,3,0.0010665776208043098
train_mse_170103020202,4,0.0009066017810255289
train_mse_170103020202,5,0.0013743579620495439
train_mse_170103020202,6,0.0011555392993614078
train_mse_170103020202,7,0.0009879313874989748
train_mse_170103020202,8,0.0010751552181318402
train_mse_170103020202,9,0.0011414228938519955
test_kge_170103020202,0,0.845998734637268
test_kge_170103020202,1,0.7959394046095036
test_kge_170103020202,2,0.8073767748574269
test_kge_170103020202,3,0.749494211326287
test_kge_170103020202,4,0.8210314562707653
test_kge_170103020202,5,0.6703091773739249
test_kge_170103020202,6,0.689422625705803
test_kge_170103020202,7,0.70751963866809
test_kge_170103020202,8,0.7099042368310496
test_kge_170103020202,9,0.6870087824126974
test_kge_170103020301,0,0.8309994396579956
test_kge_170103020301,1,0.7975729049219611
test_kge_170103020301,2,0.8173286713483265
test_kge_170103020301,3,0.8145643043170716
test_kge_170103020301,4,0.7177225051016873
test_kge_170103020301,5,0.8327151764062436
test_kge_170103020301,6,0.8439626056357236
test_kge_170103020301,7,0.8316811256411855
test_kge_170103020301,8,0.7518972307555892
test_kge_170103020301,9,0.7433604294369113
test_mse_170103020301,0,0.0012390417978167534
test_mse_170103020301,1,0.0012300083180889487
test_mse_170103020301,2,0.00115526607260108
test_mse_170103020301,3,0.0011375301983207464
test_mse_170103020301,4,0.001494384603574872
test_mse_170103020301,5,0.001121724839322269
test_mse_170103020301,6,0.0009906018385663629
test_mse_170103020301,7,0.0011995340464636683
test_mse_170103020301,8,0.0014929473400115967
test_mse_170103020301,9,0.0014328217366710305
test_r2_170103020301,0,0.8373751640319824
test_r2_170103020301,1,0.8385607600212097
test_r2_170103020301,2,0.8483707308769226
test_r2_170103020301,3,0.8506985902786255
test_r2_170103020301,4,0.8038612604141235
test_r2_170103020301,5,0.8527730703353882
test_r2_170103020301,6,0.8699830174446106
test_r2_170103020301,7,0.8425605297088623
test_r2_170103020301,8,0.8040499091148376
test_r2_170103020301,9,0.8119414448738098
train_kge_170103020301,0,0.8980176474354818
train_kge_170103020301,1,0.8658157534574353
train_kge_170103020301,2,0.8921573647828005
train_kge_170103020301,3,0.8726190060175414
train_kge_170103020301,4,0.828120897173618
train_kge_170103020301,5,0.8793590426053697
train_kge_170103020301,6,0.8930435087031255
train_kge_170103020301,7,0.8919054782427127
train_kge_170103020301,8,0.8408393721964889
train_kge_170103020301,9,0.8362364570925209
test_mae_170103020301,0,0.019449850544333458
test_mae_170103020301,1,0.020177321508526802
test_mae_170103020301,2,0.019192863255739212
test_mae_170103020301,3,0.01859026774764061
test_mae_170103020301,4,0.021836593747138977
test_mae_170103020301,5,0.018912507221102715
test_mae_170103020301,6,0.017902499064803123
test_mae_170103020301,7,0.01935209147632122
test_mae_170103020301,8,0.021869631484150887
test_mae_170103020301,9,0.021947404369711876
train_mse_170103020301,0,0.0008918980020098388
train_mse_170103020301,1,0.001055136788636446
train_mse_170103020301,2,0.0010197927476838231
train_mse_170103020301,3,0.001163674402050674
train_mse_170103020301,4,0.0013287249021232128
train_mse_170103020301,5,0.0009783469140529633
train_mse_170103020301,6,0.0009554497082717717
train_mse_170103020301,7,0.0010510748252272606
train_mse_170103020301,8,0.0012799081159755588
train_mse_170103020301,9,0.0011683758348226547
train_kge_170103020302,0,0.8645089475767069
train_kge_170103020302,1,0.8600404748993834
train_kge_170103020302,2,0.9059452650009852
train_kge_170103020302,3,0.8616581121671925
train_kge_170103020302,4,0.8643381132591648
train_kge_170103020302,5,0.8599900030464033
train_kge_170103020302,6,0.8655367277407315
train_kge_170103020302,7,0.8705941911796566
train_kge_170103020302,8,0.8698876296695626
train_kge_170103020302,9,0.895838500188324
test_mse_170103020302,0,0.0037339625414460897
test_mse_170103020302,1,0.004189780913293362
test_mse_170103020302,2,0.0034827226772904396
test_mse_170103020302,3,0.004326143767684698
test_mse_170103020302,4,0.004015435930341482
test_mse_170103020302,5,0.004087342415004969
test_mse_170103020302,6,0.003918041009455919
test_mse_170103020302,7,0.0038878791965544224
test_mse_170103020302,8,0.004043336492031813
test_mse_170103020302,9,0.003243774874135852
test_kge_170103020302,0,0.8259302750130322
test_kge_170103020302,1,0.7853782119244489
test_kge_170103020302,2,0.836722442997986
test_kge_170103020302,3,0.7822581922489816
test_kge_170103020302,4,0.7873413948034984
test_kge_170103020302,5,0.7965163191803776
test_kge_170103020302,6,0.8068241750425147
test_kge_170103020302,7,0.8120464199043158
test_kge_170103020302,8,0.7872380365676676
test_kge_170103020302,9,0.8407385994832783
test_r2_170103020302,0,0.8482496738433838
test_r2_170103020302,1,0.8297249674797058
test_r2_170103020302,2,0.8584601879119873
test_r2_170103020302,3,0.8241831064224243
test_r2_170103020302,4,0.8368104696273804
test_r2_170103020302,5,0.8338881134986877
test_r2_170103020302,6,0.8407686352729797
test_r2_170103020302,7,0.8419944047927856
