Metric,Step,Value
test_kge_180400090104,0,0.7769324706038848
test_mae_180400090104,0,0.1419847011566162
test_mae_180400090504,0,0.02740299142897129
test_r2_180400090801,0,0.7937048673629761
test_kge_180400090201,0,0.7619313331817701
test_kge_180400090301,0,0.8686156008460832
test_r2_180400090401,0,0.7847567200660706
test_mae_180400090107,0,0.08475486934185028
test_r2_180400090301,0,0.8378920555114746
test_mae_180400090301,0,0.07728055864572525
test_kge_180400090401,0,0.7605807107626407
test_r2_180400090404,0,0.7492519617080688
test_kge_180400090501,0,0.7765101446414224
test_kge_180400090502,0,0.6950118435866085
test_mae_180400090503,0,0.11019550263881683
test_mse_180400090504,0,0.0032444342505186796
test_r2_180400090103,0,0.7007325887680054
test_mae_180400090103,0,0.11102171987295151
test_r2_180400090104,0,0.7023900747299194
test_mae_180400090106,0,0.09206797182559967
test_mse_180400090202,0,0.018049081787467003
test_kge_180400090302,0,0.49459948609504034
test_kge_180400090303,0,0.8177342743564245
test_r2_180400090303,0,0.8096500635147095
test_mse_180400090402,0,0.08136364817619324
test_r2_180400090402,0,0.7162333130836487
test_r2_180400090403,0,0.7703895568847656
test_kge_180400090404,0,0.5854943270379919
test_mae_180400090801,0,0.04620800539851189
test_r2_180400090107,0,0.7534384727478027
test_kge_180400090403,0,0.6951317984949614
test_r2_180400090503,0,0.7294223308563232
test_mse_180400090107,0,0.018482550978660583
test_mse_180400090303,0,0.009890102781355381
test_mae_180400090404,0,0.057410333305597305
test_kge_180400090801,0,0.8109287005145381
test_mae_180400090202,0,0.08173947036266327
test_r2_180400090302,0,0.5328530073165894
test_mae_180400090502,0,0.06516017019748688
test_mse_180400090101,0,0.053540028631687164
test_mse_180400090103,0,0.029377847909927368
test_kge_180400090106,0,0.8133322248498183
test_mae_180400090302,0,0.10213188081979752
test_kge_180400090103,0,0.7191961870769197
test_mse_180400090403,0,0.04481860622763634
test_mse_180400090503,0,0.04182415455579758
test_kge_180400090101,0,0.48188160532639523
test_mse_180400090104,0,0.05205819755792618
test_kge_180400090107,0,0.7106617056374926
test_kge_180400090202,0,0.42823544920204437
test_mse_180400090301,0,0.01814092881977558
test_kge_180400090601,0,0.6959600705974432
test_kge_180400090102,0,0.22703862054208257
test_mae_180400090102,0,0.17533758282661438
test_r2_180400090105,0,0.6858899593353271
test_r2_180400090106,0,0.8006369471549988
test_mse_180400090302,0,0.03871314600110054
test_mae_180400090401,0,0.12014233320951462
test_r2_180400090501,0,0.7228825092315674
test_r2_180400090502,0,0.7371436953544617
test_r2_180400090504,0,0.6392667293548584
test_r2_180400090601,0,0.7012498378753662
test_mae_180400090601,0,0.044277824461460114
test_kge_180400090105,0,0.7060255460282094
test_mse_180400090401,0,0.04930609464645386
test_mse_180400090404,0,0.010641975328326225
test_kge_180400090504,0,0.648806547179184
test_mse_180400090801,0,0.008079605177044868
test_mse_180400090102,0,0.05904214829206467
test_mse_180400090105,0,0.03982360288500786
test_mae_180400090105,0,0.13176341354846954
test_mse_180400090106,0,0.02448941022157669
test_r2_180400090201,0,0.760499119758606
test_mae_180400090201,0,0.1423150599002838
test_r2_180400090202,0,0.6085159778594971
test_mae_180400090402,0,0.14580149948596954
test_mae_180400090403,0,0.10885994881391525
test_mae_180400090501,0,0.11525863409042358
test_kge_180400090503,0,0.7226494269011188
test_r2_180400090101,0,0.4586658477783203
test_mae_180400090101,0,0.16350919008255005
test_r2_180400090102,0,0.22614681720733643
test_mse_180400090201,0,0.060529693961143494
test_mae_180400090303,0,0.05073010176420212
test_kge_180400090402,0,0.6346126177046278
test_mse_180400090501,0,0.041791122406721115
test_mse_180400090502,0,0.011596995405852795
test_mse_180400090601,0,0.007833100855350494
