Metric,Step,Value
test_mse_170200090109,0,0.028753895312547684
test_mse_170200090109,1,0.02128644846379757
test_mse_170200090109,2,0.02571353316307068
test_mse_170200090109,3,0.021498478949069977
test_mse_170200090109,4,0.026408500969409943
test_mse_170200090109,5,0.02404288575053215
test_mse_170200090109,6,0.023726994171738625
test_mse_170200090109,7,0.024053089320659637
test_mse_170200090109,8,0.02686888352036476
test_mse_170200090109,9,0.022184014320373535
test_kge_170200090109,0,0.3217675942311604
test_kge_170200090109,1,0.44661110071983934
test_kge_170200090109,2,0.3743794317716187
test_kge_170200090109,3,0.450829439855012
test_kge_170200090109,4,0.36186728753324815
test_kge_170200090109,5,0.41228973224171894
test_kge_170200090109,6,0.40112148444677187
test_kge_170200090109,7,0.4085200750305087
test_kge_170200090109,8,0.35987982160189125
test_kge_170200090109,9,0.41975702789482094
train_r2_170200090106,0,0.8705334663391113
train_r2_170200090106,1,0.9096653461456299
train_r2_170200090106,2,0.9133455753326416
train_r2_170200090106,3,0.9134500026702881
train_r2_170200090106,4,0.9008422493934631
train_r2_170200090106,5,0.9102076888084412
train_r2_170200090106,6,0.8988946676254272
train_r2_170200090106,7,0.8820217847824097
train_r2_170200090106,8,0.9306445717811584
train_r2_170200090106,9,0.9310654997825623
train_mae_170200090110,0,0.027296654880046844
train_mae_170200090110,1,0.025734206661581993
train_mae_170200090110,2,0.02770678512752056
train_mae_170200090110,3,0.026461036875844002
train_mae_170200090110,4,0.02433457411825657
train_mae_170200090110,5,0.02439584955573082
train_mae_170200090110,6,0.02394465170800686
train_mae_170200090110,7,0.023415256291627884
train_mae_170200090110,8,0.023658061400055885
train_mae_170200090110,9,0.03301858901977539
test_kge_170200090110,0,0.7074029386298943
test_kge_170200090110,1,0.6624074994139213
test_kge_170200090110,2,0.55094549533905
test_kge_170200090110,3,0.5760603466946873
test_kge_170200090110,4,0.6290101674156225
test_kge_170200090110,5,0.6057174286686235
test_kge_170200090110,6,0.5928616135518697
test_kge_170200090110,7,0.6082314176924501
test_kge_170200090110,8,0.5941411393600009
test_kge_170200090110,9,0.6720454357622043
test_r2_170200090107,0,0.6283783316612244
test_r2_170200090107,1,0.607295036315918
test_r2_170200090107,2,0.45140719413757324
test_r2_170200090107,3,0.7098675966262817
test_r2_170200090107,4,0.6116034984588623
test_r2_170200090107,5,0.5093814134597778
test_r2_170200090107,6,0.7182601690292358
test_r2_170200090107,7,0.6352810263633728
test_r2_170200090107,8,0.6465194225311279
test_r2_170200090107,9,0.6284068822860718
train_kge_170200090107,0,0.9161224581014791
train_kge_170200090107,1,0.9201794349870869
train_kge_170200090107,2,0.866648132718096
train_kge_170200090107,3,0.8963087742430902
train_kge_170200090107,4,0.9212618989161594
train_kge_170200090107,5,0.9024534244160708
train_kge_170200090107,6,0.947057648234571
train_kge_170200090107,7,0.9387827119757287
train_kge_170200090107,8,0.9412618501861859
train_kge_170200090107,9,0.9258539215565742
train_mae_170200090105,0,0.09548976272344589
train_mae_170200090105,1,0.08961055427789688
train_mae_170200090105,2,0.09004667401313782
train_mae_170200090105,3,0.08414752036333084
train_mae_170200090105,4,0.0871194526553154
train_mae_170200090105,5,0.08414585143327713
train_mae_170200090105,6,0.07919704169034958
train_mae_170200090105,7,0.07758770883083344
train_mae_170200090105,8,0.07995756715536118
train_mae_170200090105,9,0.08998584747314453
train_mse_170200090106,0,0.013023101724684238
train_mse_170200090106,1,0.009086805395781994
train_mse_170200090106,2,0.008716612122952938
train_mse_170200090106,3,0.00870610773563385
train_mse_170200090106,4,0.009974326007068157
train_mse_170200090106,5,0.009032251313328743
train_mse_170200090106,6,0.010170230641961098
train_mse_170200090106,7,0.011867484077811241
train_mse_170200090106,8,0.006976494565606117
train_mse_170200090106,9,0.006934155244380236
train_r2_170200090101,0,0.6685980558395386
train_r2_170200090101,1,0.7445063591003418
train_r2_170200090101,2,0.730439305305481
train_r2_170200090101,3,0.8058512210845947
train_r2_170200090101,4,0.8422247171401978
train_r2_170200090101,5,0.8082280158996582
train_r2_170200090101,6,0.8290270566940308
train_r2_170200090101,7,0.8125782012939453
train_r2_170200090101,8,0.7302103638648987
train_r2_170200090101,9,0.7842034101486206
test_mse_170200090108,0,0.027652999386191368
test_mse_170200090108,1,0.03755934536457062
test_mse_170200090108,2,0.0309023167937994
test_mse_170200090108,3,0.03594595193862915
test_mse_170200090108,4,0.03245782479643822
test_mse_170200090108,5,0.03072366490960121
test_mse_170200090108,6,0.043894216418266296
test_mse_170200090108,7,0.03917417675256729
test_mse_170200090108,8,0.035040952265262604
test_mse_170200090108,9,0.03829905390739441
test_kge_170200090104,0,0.8121822683269762
test_kge_170200090104,1,0.8458830937704138
test_kge_170200090104,2,0.7594076595614947
test_kge_170200090104,3,0.8093595745524658
test_kge_170200090104,4,0.8125201580686553
test_kge_170200090104,5,0.7572223061716487
test_kge_170200090104,6,0.7843538391719213
test_kge_170200090104,7,0.8156695732586996
test_kge_170200090104,8,0.7921636732917504
test_kge_170200090104,9,0.8103146631884603
train_mse_170200090101,0,0.03190162032842636
train_mse_170200090101,1,0.024594487622380257
train_mse_170200090101,2,0.025948617607355118
train_mse_170200090101,3,0.018689267337322235
train_mse_170200090101,4,0.015187863260507584
train_mse_170200090101,5,0.0184604711830616
train_mse_170200090101,6,0.0164583008736372
train_mse_170200090101,7,0.018041713163256645
train_mse_170200090101,8,0.02597065456211567
train_mse_170200090101,9,0.02077314630150795
test_mae_170200090109,0,0.13947716355323792
test_mae_170200090109,1,0.11121563613414764
test_mae_170200090109,2,0.12554940581321716
test_mae_170200090109,3,0.113148033618927
test_mae_170200090109,4,0.1267213523387909
test_mae_170200090109,5,0.12185730040073395
test_mae_170200090109,6,0.12103591114282608
test_mae_170200090109,7,0.12106034904718399
test_mae_170200090109,8,0.13003531098365784
test_mae_170200090109,9,0.10853635519742966
test_mse_170200090110,0,0.005120888352394104
test_mse_170200090110,1,0.005541101563721895
test_mse_170200090110,2,0.007985427044332027
test_mse_170200090110,3,0.007517792750149965
test_mse_170200090110,4,0.006420533638447523
test_mse_170200090110,5,0.0070587764494121075
test_mse_170200090110,6,0.007109223399311304
test_mse_170200090110,7,0.006882801186293364
test_mse_170200090110,8,0.007211195304989815
test_mse_170200090110,9,0.005645621567964554
train_r2_170200090102,0,0.8621805310249329
train_r2_170200090102,1,0.8582444190979004
train_r2_170200090102,2,0.8713321685791016
train_r2_170200090102,3,0.8633525371551514
train_r2_170200090102,4,0.7813867926597595
train_r2_170200090102,5,0.8589996099472046
train_r2_170200090102,6,0.8438125848770142
train_r2_170200090102,7,0.8881330490112305
train_r2_170200090102,8,0.8614339232444763
train_r2_170200090102,9,0.877983570098877
train_mae_170200090103,0,0.0716056302189827
train_mae_170200090103,1,0.06616463512182236
train_mae_170200090103,2,0.06621455401182175
train_mae_170200090103,3,0.06680429726839066
train_mae_170200090103,4,0.06177690252661705
train_mae_170200090103,5,0.06964031606912613
train_mae_170200090103,6,0.06321805715560913
train_mae_170200090103,7,0.061520468443632126
train_mae_170200090103,8,0.061277344822883606
train_mae_170200090103,9,0.06400784850120544
train_mae_170200090102,0,0.0786048173904419
train_mae_170200090102,1,0.08014886826276779
train_mae_170200090102,2,0.07672283798456192
train_mae_170200090102,3,0.08287856727838516
train_mae_170200090102,4,0.10289375483989716
train_mae_170200090102,5,0.08279867470264435
train_mae_170200090102,6,0.09168992191553116
train_mae_170200090102,7,0.07048797607421875
train_mae_170200090102,8,0.07726918905973434
train_mae_170200090102,9,0.07482893764972687
test_r2_170200090103,0,0.7939592003822327
test_r2_170200090103,1,0.835766613483429
test_r2_170200090103,2,0.7815390229225159
test_r2_170200090103,3,0.8589977622032166
test_r2_170200090103,4,0.760826051235199
test_r2_170200090103,5,0.7112039923667908
test_r2_170200090103,6,0.6863240003585815
test_r2_170200090103,7,0.6787436008453369
test_r2_170200090103,8,0.7482646107673645
test_r2_170200090103,9,0.8043904304504395
test_mse_170200090104,0,0.013538544066250324
test_mse_170200090104,1,0.010272491723299026
test_mse_170200090104,2,0.01655983179807663
test_mse_170200090104,3,0.012787054292857647
test_mse_170200090104,4,0.012411858886480331
test_mse_170200090104,5,0.016300760209560394
test_mse_170200090104,6,0.012842792086303234
test_mse_170200090104,7,0.011249749921262264
test_mse_170200090104,8,0.012855082750320435
test_mse_170200090104,9,0.01158344466239214
train_kge_170200090105,0,0.9242223563723109
train_kge_170200090105,1,0.9116839474751003
train_kge_170200090105,2,0.9161550646399237
train_kge_170200090105,3,0.9152742795890545
train_kge_170200090105,4,0.9204431719921011
train_kge_170200090105,5,0.9240660828501357
train_kge_170200090105,6,0.93003053599803
train_kge_170200090105,7,0.9174003683209913
train_kge_170200090105,8,0.9154955912899512
train_kge_170200090105,9,0.8947030485380865
train_kge_170200090109,0,0.8508968019552873
train_kge_170200090109,1,0.9399534397354637
train_kge_170200090109,2,0.9034603487548297
train_kge_170200090109,3,0.9329391532981128
train_kge_170200090109,4,0.8848852608679394
train_kge_170200090109,5,0.9149466002391397
train_kge_170200090109,6,0.9038740370110462
train_kge_170200090109,7,0.9176925664290004
train_kge_170200090109,8,0.8942874401886576
train_kge_170200090109,9,0.9217475019325723
test_r2_170200090102,0,0.8673060536384583
test_r2_170200090102,1,0.8461867570877075
test_r2_170200090102,2,0.8655246496200562
test_r2_170200090102,3,0.8310094475746155
test_r2_170200090102,4,0.8293166756629944
test_r2_170200090102,5,0.8239352703094482
test_r2_170200090102,6,0.7832871675491333
test_r2_170200090102,7,0.871188759803772
test_r2_170200090102,8,0.819991409778595
test_r2_170200090102,9,0.8924428224563599
test_mae_170200090105,0,0.12458495795726776
test_mae_170200090105,1,0.16061945259571075
test_mae_170200090105,2,0.16222068667411804
test_mae_170200090105,3,0.15915793180465698
test_mae_170200090105,4,0.1566281020641327
test_mae_170200090105,5,0.14081710577011108
test_mae_170200090105,6,0.15200024843215942
test_mae_170200090105,7,0.1730589121580124
test_mae_170200090105,8,0.15508340299129486
test_mae_170200090105,9,0.18858474493026733
test_kge_170200090107,0,0.715591614763585
test_kge_170200090107,1,0.7167713652516972
test_kge_170200090107,2,0.6988124284475368
test_kge_170200090107,3,0.7958525157742335
test_kge_170200090107,4,0.687400884603671
test_kge_170200090107,5,0.6824984407199223
