Metric,Step,Value
train_kge_180400090103,0,0.8966624171988171
train_kge_180400090103,5,0.4962888562515765
train_kge_180400090103,9,0.9536833030864167
test_mse_180400090104,0,0.025543833151459694
test_mse_180400090104,5,0.01245215255767107
test_mse_180400090104,9,0.01147740799933672
test_r2_180400090104,0,0.8620116710662842
test_r2_180400090104,5,0.9327331781387329
test_r2_180400090104,9,0.9379987716674805
train_r2_180400090104,0,0.8940501809120178
train_r2_180400090104,5,0.9449965357780457
train_r2_180400090104,9,0.9403680562973022
test_mae_180400090403,0,0.07784511893987656
test_mae_180400090403,5,0.087354376912117
test_mae_180400090403,9,0.08781516551971436
test_mse_180400090105,0,0.011543291620910168
test_mse_180400090105,5,0.009276541881263256
test_mse_180400090105,9,0.009840505197644234
train_kge_180400090105,0,0.9533570947827267
train_kge_180400090105,5,0.9651320332345799
train_kge_180400090105,9,0.9681294365508296
test_mse_180400090106,0,0.014335851185023785
test_mse_180400090106,5,0.016650594770908356
test_mse_180400090106,9,0.01503631379455328
test_mse_180400090107,0,0.008422471582889557
test_mse_180400090107,5,0.009449307806789875
test_mse_180400090107,9,0.009043487720191479
train_kge_180400090504,0,-0.49174117077427315
train_kge_180400090504,5,0.901797476415951
train_kge_180400090504,9,0.8641270017901198
train_mse_180400090202,0,0.005780050531029701
train_mse_180400090202,5,0.0040053026750683784
train_mse_180400090202,9,0.0033067013137042522
train_mse_180400090301,0,0.005927692167460918
train_mse_180400090301,5,0.004857780411839485
train_mse_180400090301,9,0.0049736895598471165
test_mse_180400090302,0,0.005455925595015287
test_mse_180400090302,5,0.005055569112300873
test_mse_180400090302,9,0.0053518894128501415
test_kge_180400090302,0,0.9586511963847449
test_kge_180400090302,5,0.962822249390731
test_kge_180400090302,9,0.9569735478443976
test_r2_180400090302,0,0.9301759004592896
test_r2_180400090302,5,0.9352995753288269
test_r2_180400090302,9,0.9315072894096375
train_mse_180400090302,0,0.003288994310423732
train_mse_180400090302,5,0.003217667108401656
train_mse_180400090302,9,0.0031778765842318535
test_kge_180400090404,0,0.9607748351676624
test_kge_180400090404,5,0.8899419844025778
test_kge_180400090404,9,0.8793501362541111
train_mse_180400090404,0,0.0026655076071619987
train_mse_180400090404,5,0.002428394043818116
train_mse_180400090404,9,0.0025258781388401985
test_mae_180400090304,0,0.014218490570783615
test_mae_180400090304,5,0.012600169517099857
test_mae_180400090304,9,0.013885431922972202
train_mae_180400090505,0,0.015205326490104198
train_mae_180400090505,5,0.006921351887285709
train_mae_180400090505,9,0.005811005365103483
test_kge_180400090501,0,0.8818448050523888
test_kge_180400090501,5,0.7636449514098249
test_kge_180400090501,9,0.8608530115430609
test_mse_180400090502,0,0.003465690417215228
test_mse_180400090502,5,0.003341493895277381
test_mse_180400090502,9,0.0031292415224015713
test_kge_180400090502,0,0.8799284475968825
test_kge_180400090502,5,0.8707021231415042
test_kge_180400090502,9,0.8419815672108907
train_mae_180400090502,0,0.029338445514440536
train_mae_180400090502,5,0.02416631206870079
train_mae_180400090502,9,0.024283038452267647
test_mae_180400090101,0,0.16177120804786682
test_mae_180400090101,5,0.07296618819236755
test_mae_180400090101,9,0.06874524056911469
test_r2_180400090103,0,0.9022475481033325
test_r2_180400090103,5,0.34130775928497314
test_r2_180400090103,9,0.9045239686965942
test_r2_180400090107,0,0.8993362188339233
test_r2_180400090107,5,0.8870636820793152
test_r2_180400090107,9,0.8919139504432678
train_mse_180400090502,0,0.0025680779945105314
train_mse_180400090502,5,0.001955515705049038
train_mse_180400090502,9,0.002074606716632843
test_mae_180400090202,0,0.044931575655937195
test_mae_180400090202,5,0.03878377377986908
test_mae_180400090202,9,0.03953304514288902
test_mse_180400090303,0,0.005046575330197811
test_mse_180400090303,5,0.005335231311619282
test_mse_180400090303,9,0.005463292356580496
test_r2_180400090303,0,0.8892917037010193
test_r2_180400090303,5,0.8829593658447266
test_r2_180400090303,9,0.8801500201225281
test_mae_180400090303,0,0.033260758966207504
test_mae_180400090303,5,0.03361814096570015
test_mae_180400090303,9,0.03496376797556877
train_kge_180400090303,0,0.8974757915703231
train_kge_180400090303,5,0.863440536795178
train_kge_180400090303,9,0.910152225774343
train_r2_180400090303,0,0.9137362241744995
train_r2_180400090303,5,0.9086629748344421
train_r2_180400090303,9,0.9182352423667908
test_mae_180400090503,0,0.050087932497262955
test_mae_180400090503,5,0.05396261438727379
test_mae_180400090503,9,0.05371198430657387
test_mae_180400090401,0,0.10884102433919907
test_mae_180400090401,5,0.08356723189353943
test_mae_180400090401,9,0.08729186654090881
train_r2_180400090402,0,0.9631211161613464
train_r2_180400090402,5,0.9589352011680603
train_r2_180400090402,9,0.9479786157608032
test_mse_180400090403,0,0.01864558830857277
test_mse_180400090403,5,0.026834094896912575
test_mse_180400090403,9,0.02806483581662178
train_kge_180400090404,0,0.9650217107283173
train_kge_180400090404,5,0.9239591623900868
train_kge_180400090404,9,0.9088681670575183
train_r2_180400090501,0,0.8904323577880859
train_r2_180400090501,5,0.9526629447937012
train_r2_180400090501,9,0.9462431073188782
test_mse_180400090505,0,0.0003194716409780085
test_mse_180400090505,5,0.0002048456808552146
test_mse_180400090505,9,0.00022504647495225072
train_kge_180400090505,0,-0.7087442992946889
train_kge_180400090505,5,0.425897225157563
train_kge_180400090505,9,0.681265104131674
test_mae_180400090601,0,0.022376548498868942
test_mae_180400090601,5,0.02329663373529911
test_mae_180400090601,9,0.023900674656033516
test_mse_180400090802,0,0.002346745925024152
test_mse_180400090802,5,0.002392144873738289
test_mse_180400090802,9,0.002077203942462802
test_r2_180400090803,0,-0.13811302185058594
test_r2_180400090803,5,0.5471087694168091
test_r2_180400090803,9,0.5493481159210205
train_r2_180400090803,0,-0.178963303565979
train_r2_180400090803,5,0.8550493121147156
train_r2_180400090803,9,0.8709983825683594
test_mse_180400090101,0,0.06895744800567627
test_mse_180400090101,5,0.017828820273280144
test_mse_180400090101,9,0.017645584419369698
test_mae_180400090106,0,0.0641104206442833
test_mae_180400090106,5,0.0664992481470108
test_mae_180400090106,9,0.06498869508504868
train_kge_180400090106,0,0.9161730389798627
train_kge_180400090106,5,0.937633017758777
train_kge_180400090106,9,0.9411406548667218
train_mse_180400090702,0,0.0003725991991814226
train_mse_180400090702,5,0.00032733555417507887
train_mse_180400090702,9,0.0001025404199026525
train_kge_180400090702,0,-1.3659453435107634
train_kge_180400090702,5,-0.7640471481173639
train_kge_180400090702,9,0.6114454059551317
train_mse_180400090107,0,0.0037470273673534393
train_mse_180400090107,5,0.003874829737469554
train_mse_180400090107,9,0.003692069323733449
train_mae_180400090301,0,0.054002925753593445
train_mae_180400090301,5,0.037022318691015244
train_mae_180400090301,9,0.036924995481967926
test_kge_180400090303,0,0.9345623036984367
test_kge_180400090303,5,0.9302845338004704
test_kge_180400090303,9,0.9100305673582301
train_mae_180400090303,0,0.03240589797496796
train_mae_180400090303,5,0.02757868357002735
train_mae_180400090303,9,0.02515401504933834
test_kge_180400090402,0,0.7386985053745472
test_kge_180400090402,5,0.6727255418865896
test_kge_180400090402,9,0.6409568167840081
train_mse_180400090402,0,0.010675735771656036
train_mse_180400090402,5,0.011887483298778534
train_mse_180400090402,9,0.015059207566082478
test_mae_180400090801,0,0.030229920521378517
test_mae_180400090801,5,0.023676354438066483
test_mae_180400090801,9,0.025870203971862793
train_kge_180400090601,0,0.9598333379056597
train_kge_180400090601,5,0.8768577850394293
train_kge_180400090601,9,0.8509212389537776
train_mse_180400090902,0,7.35737121431157e-05
train_mse_180400090902,5,1.5849298506509513e-05
train_mse_180400090902,9,1.065992000803817e-05
test_r2_180400090901,0,0.623154878616333
test_r2_180400090901,5,0.6513323187828064
