Metric,Step,Value
test_mse_171100090403,0,0.003208040725439787
test_mse_171100090403,1,0.007577988319098949
test_mse_171100090403,2,0.008391101844608784
test_mse_171100090403,3,0.005731377750635147
test_mse_171100090403,4,0.006917234044522047
test_mse_171100090403,5,0.006513776257634163
test_mse_171100090403,6,0.005810961592942476
test_mse_171100090403,7,0.0030968659557402134
test_mse_171100090403,8,0.004224366974085569
test_kge_171100090403,0,0.9379027282935951
test_kge_171100090403,1,0.8911484959649846
test_kge_171100090403,2,0.8148043077065845
test_kge_171100090403,3,0.9046987106396731
test_kge_171100090403,4,0.7208646070544595
test_kge_171100090403,5,0.7376528341505251
test_kge_171100090403,6,0.7899247774416167
test_kge_171100090403,7,0.9044413617478798
test_kge_171100090403,8,0.8160099970132041
test_r2_171100090403,0,0.944811999797821
test_r2_171100090403,1,0.8696356415748596
test_r2_171100090403,2,0.855647623538971
test_r2_171100090403,3,0.9014029502868652
test_r2_171100090403,4,0.8810026049613953
test_r2_171100090403,5,0.8879433274269104
test_r2_171100090403,6,0.9000338315963745
test_r2_171100090403,7,0.946724534034729
test_r2_171100090403,8,0.9273281097412109
test_mae_171100090403,0,0.033135075122117996
test_mae_171100090403,1,0.050636034458875656
test_mae_171100090403,2,0.048226498067379
test_mae_171100090403,3,0.04377348721027374
test_mae_171100090403,4,0.05085114762187004
test_mae_171100090403,5,0.041306719183921814
test_mae_171100090403,6,0.04123424366116524
test_mae_171100090403,7,0.03267718479037285
test_mae_171100090403,8,0.038264837116003036
test_recur_mse_171100090403,0,0.009096145629882812
test_recur_mse_171100090403,1,0.0098322294652462
test_recur_mse_171100090403,2,0.006918512750416994
test_recur_mse_171100090403,3,0.02070382982492447
test_recur_mse_171100090403,4,0.007233469281345606
test_recur_mse_171100090403,5,0.007310326676815748
test_recur_mse_171100090403,6,0.003949742764234543
test_recur_mse_171100090403,7,0.002602738095447421
test_recur_mse_171100090403,8,0.01574532687664032
test_recur_kge_171100090403,0,0.7773415029103632
test_recur_kge_171100090403,1,0.8159769376204254
test_recur_kge_171100090403,2,0.7522437976058785
test_recur_kge_171100090403,3,0.3594869473214156
test_recur_kge_171100090403,4,0.7127617501249298
test_recur_kge_171100090403,5,0.7122284890958746
test_recur_kge_171100090403,6,0.8826375095389901
test_recur_kge_171100090403,7,0.9449516423640031
test_recur_kge_171100090403,8,0.5031876012325459
test_recur_r2_171100090403,0,0.8435187339782715
test_recur_r2_171100090403,1,0.8308558464050293
test_recur_r2_171100090403,2,0.8809806108474731
test_recur_r2_171100090403,3,0.6438313722610474
test_recur_r2_171100090403,4,0.8755624294281006
test_recur_r2_171100090403,5,0.8742402195930481
test_recur_r2_171100090403,6,0.9320524334907532
test_recur_r2_171100090403,7,0.9552249908447266
test_recur_r2_171100090403,8,0.7291326522827148
test_recur_mae_171100090403,0,0.05325361713767052
test_recur_mae_171100090403,1,0.05356741324067116
test_recur_mae_171100090403,2,0.04368004947900772
test_recur_mae_171100090403,3,0.09457819908857346
test_recur_mae_171100090403,4,0.043164242058992386
test_recur_mae_171100090403,5,0.04574529454112053
test_recur_mae_171100090403,6,0.039645079523324966
test_recur_mae_171100090403,7,0.02830902859568596
test_recur_mae_171100090403,8,0.07177744060754776
test_mse_171100050902,0,0.013979415409266949
test_mse_171100050902,1,0.037626855075359344
test_mse_171100050902,2,0.010682294145226479
test_mse_171100050902,3,0.03414565324783325
test_mse_171100050902,4,0.06162712350487709
test_mse_171100050902,5,0.01425108127295971
test_mse_171100050902,6,0.013942141085863113
test_mse_171100050902,7,0.024086859077215195
test_mse_171100050902,8,0.023976344615221024
test_kge_171100050902,0,0.7174291994202392
test_kge_171100050902,1,0.3504260974585819
test_kge_171100050902,2,0.8062529551667733
test_kge_171100050902,3,0.35646859484996973
test_kge_171100050902,4,0.1038442757571153
test_kge_171100050902,5,0.6401982546776105
test_kge_171100050902,6,0.6208833488011822
test_kge_171100050902,7,0.4931057556895464
test_kge_171100050902,8,0.4977764280730069
test_r2_171100050902,0,0.8091697692871094
test_r2_171100050902,1,0.4863632917404175
test_r2_171100050902,2,0.8541781306266785
test_r2_171100050902,3,0.5338844656944275
test_r2_171100050902,4,0.15874040126800537
test_r2_171100050902,5,0.8054612874984741
test_r2_171100050902,6,0.8096786141395569
test_r2_171100050902,7,0.6711950898170471
test_r2_171100050902,8,0.672703742980957
test_mae_171100050902,0,0.07786333560943604
test_mae_171100050902,1,0.1234419047832489
test_mae_171100050902,2,0.06701606512069702
test_mae_171100050902,3,0.12554866075515747
test_mae_171100050902,4,0.16554231941699982
test_mae_171100050902,5,0.07476169615983963
test_mae_171100050902,6,0.07811266928911209
test_mae_171100050902,7,0.09920927882194519
test_mae_171100050902,8,0.09646233916282654
test_recur_mse_171100050902,0,0.07159274816513062
test_recur_mse_171100050902,1,0.011513288132846355
test_recur_mse_171100050902,2,0.011339586228132248
test_recur_mse_171100050902,3,0.1207033321261406
test_recur_mse_171100050902,4,0.013373988680541515
test_recur_mse_171100050902,5,0.014321193099021912
test_recur_mse_171100050902,6,0.019240370020270348
test_recur_mse_171100050902,7,0.02226954512298107
test_recur_mse_171100050902,8,0.032655104994773865
test_recur_kge_171100050902,0,0.041598023661249206
test_recur_kge_171100050902,1,0.7995200743779696
test_recur_kge_171100050902,2,0.6964819437797065
test_recur_kge_171100050902,3,-0.2954813331158126
test_recur_kge_171100050902,4,0.6667723964180021
test_recur_kge_171100050902,5,0.6176276759940592
test_recur_kge_171100050902,6,0.5436100633377599
test_recur_kge_171100050902,7,0.5155052649304169
test_recur_kge_171100050902,8,0.38252809378234953
test_recur_r2_171100050902,0,0.022701621055603027
test_recur_r2_171100050902,1,0.8428344130516052
test_recur_r2_171100050902,2,0.845205545425415
test_recur_r2_171100050902,3,-0.6476972103118896
test_recur_r2_171100050902,4,0.8174343109130859
test_recur_r2_171100050902,5,0.8045042753219604
test_recur_r2_171100050902,6,0.7373535633087158
test_recur_r2_171100050902,7,0.6960028409957886
test_recur_r2_171100050902,8,0.5542316436767578
test_mse_170200110401,0,0.012232450768351555
test_mse_170200110401,1,0.02382185123860836
test_mse_170200110401,2,0.06253033131361008
test_mse_170200110401,3,0.025133993476629257
test_mse_170200110401,4,0.009157788939774036
test_mse_170200110401,5,0.0364416167140007
test_mse_170200110401,6,0.03457953780889511
test_mse_170200110401,7,0.02940024621784687
test_mse_170200110401,8,0.018319187685847282
test_kge_170200110401,0,0.9189546661388021
test_kge_170200110401,1,0.8193673935192507
test_kge_170200110401,2,0.5417540876922202
test_kge_170200110401,3,0.7543005674521386
test_kge_170200110401,4,0.8845401484419807
test_kge_170200110401,5,0.6533150861563765
test_kge_170200110401,6,0.6634017863016679
test_kge_170200110401,7,0.697703731159555
test_kge_170200110401,8,0.79396267111447
test_r2_170200110401,0,0.9521192908287048
test_r2_170200110401,1,0.9067556858062744
test_r2_170200110401,2,0.7552415728569031
test_r2_170200110401,3,0.9016196131706238
test_r2_170200110401,4,0.9641542434692383
test_r2_170200110401,5,0.8573589324951172
test_r2_170200110401,6,0.8646475076675415
test_r2_170200110401,7,0.8849205374717712
test_r2_170200110401,8,0.9282943606376648
test_mae_170200110401,0,0.06752530485391617
test_mae_170200110401,1,0.09866519272327423
test_mae_170200110401,2,0.16062556207180023
test_mae_170200110401,3,0.10169237852096558
test_mae_170200110401,4,0.06078425422310829
test_mae_170200110401,5,0.12747430801391602
test_mae_170200110401,6,0.12474033236503601
test_mae_170200110401,7,0.11316817253828049
test_mae_170200110401,8,0.08951447159051895
test_recur_mse_170200110401,0,0.014238093979656696
test_recur_mse_170200110401,1,0.0493612065911293
test_recur_mse_170200110401,2,0.059663500636816025
test_recur_mse_170200110401,3,0.013498851098120213
test_recur_mse_170200110401,4,0.03439721465110779
test_recur_mse_170200110401,5,0.04046555981040001
test_recur_mse_170200110401,6,0.028587060049176216
test_recur_mse_170200110401,7,0.031611405313014984
test_recur_mse_170200110401,8,0.005493955221027136
test_recur_kge_170200110401,0,0.9619729181784987
test_recur_kge_170200110401,1,0.6221262771251056
test_recur_kge_170200110401,2,0.5474401964852449
test_recur_kge_170200110401,3,0.8808206093370854
test_recur_kge_170200110401,4,0.6528438790118409
test_recur_kge_170200110401,5,0.6312655995902323
test_recur_kge_170200110401,6,0.6982814166197968
test_recur_kge_170200110401,7,0.6827683607412522
test_recur_kge_170200110401,8,0.9668498931388299
test_recur_r2_170200110401,0,0.9442687630653381
test_recur_r2_170200110401,1,0.8067886233329773
test_recur_r2_170200110401,2,0.766463041305542
test_recur_r2_170200110401,3,0.9471623301506042
test_recur_r2_170200110401,4,0.865361213684082
test_recur_r2_170200110401,5,0.8416082859039307
test_recur_r2_170200110401,6,0.8881034851074219
test_recur_r2_170200110401,7,0.8762655258178711
test_recur_r2_170200110401,8,0.9784953594207764
test_mse_170200110304,0,0.012812517583370209
test_mse_170200110304,1,0.021334588527679443
test_mse_170200110304,2,0.006958169396966696
test_mse_170200110304,3,0.011210964992642403
test_mse_170200110304,4,0.020694104954600334
test_mse_170200110304,5,0.00683556729927659
test_mse_170200110304,6,0.006516834255307913
test_mse_170200110304,7,0.009438009932637215
test_mse_170200110304,8,0.013101419433951378
test_kge_170200110304,0,0.7569327338483264
test_kge_170200110304,1,0.7277601258674877
test_kge_170200110304,2,0.8874416044774223
test_kge_170200110304,3,0.8005656901404617
test_kge_170200110304,4,0.6234013388948034
test_kge_170200110304,5,0.9407597213422215
test_kge_170200110304,6,0.9094783685615339
test_kge_170200110304,7,0.866124521221963
test_kge_170200110304,8,0.752776900897443
test_r2_170200110304,0,0.8888869285583496
test_r2_170200110304,1,0.8149815797805786
test_r2_170200110304,2,0.9396571516990662
test_r2_170200110304,3,0.9027759432792664
test_r2_170200110304,4,0.8205359578132629
test_r2_170200110304,5,0.9407203793525696
test_r2_170200110304,6,0.9434845447540283
test_r2_170200110304,7,0.9181514382362366
test_r2_170200110304,8,0.8863815069198608
test_mae_170200110304,0,0.06921686977148056
test_mae_170200110304,1,0.08186671882867813
test_mae_170200110304,2,0.047953858971595764
test_mae_170200110304,3,0.06851671636104584
test_mae_170200110304,4,0.09415439516305923
test_mae_170200110304,5,0.04903833568096161
test_mae_170200110304,6,0.04762442409992218
test_mae_170200110304,7,0.055486906319856644
test_mae_170200110304,8,0.07354722172021866
test_recur_mse_170200110304,0,0.03939790651202202
test_recur_mse_170200110304,1,0.00831453688442707
test_recur_mse_170200110304,2,0.006440311670303345
test_recur_mse_170200110304,3,0.05511939525604248
test_recur_mse_170200110304,4,0.005939901806414127
test_recur_mse_170200110304,5,0.0057212794199585915
test_recur_mse_170200110304,6,0.00933215394616127
test_recur_mse_170200110304,7,0.007095112465322018
test_recur_mse_170200110304,8,0.04208820313215256
test_recur_kge_170200110304,0,0.5102321441261025
test_recur_kge_170200110304,1,0.9638851040435518
test_recur_kge_170200110304,2,0.8984645361319372
test_recur_kge_170200110304,3,0.32556849867696414
test_recur_kge_170200110304,4,0.9183994936242172
test_recur_kge_170200110304,5,0.9669899352210928
test_recur_kge_170200110304,6,0.8451851551167882
test_recur_kge_170200110304,7,0.9210524767047891
test_recur_kge_170200110304,8,0.41682600796894154
test_kge_171100050708,0,0.7475506932817045
test_kge_171100050708,1,0.33287063520045546
test_kge_171100050708,2,0.7118170471957945
test_kge_171100050708,3,0.3081240878702083
