Metric,Step,Value
test_kge_170200110101,0,0.8094217873631641
test_kge_170200110101,1,0.8760431752738153
test_kge_170200110101,2,0.8639715912268989
test_kge_170200110101,3,0.8934934067696976
test_kge_170200110101,4,0.8880472052682447
test_kge_170200110101,5,0.859626546654551
test_kge_170200110101,6,0.8952827539306979
test_kge_170200110101,7,0.9044065955044306
test_kge_170200110101,8,0.855338378048333
test_kge_170200110101,9,0.8707351961590548
test_kge_170200110101,10,0.9047093819040628
test_kge_170200110101,11,0.8899102060244195
test_kge_170200110101,12,0.9061270233270666
test_kge_170200110101,13,0.9135763835358953
test_kge_170200110101,14,0.9222271157620474
test_kge_170200110101,15,0.9285806702141929
test_kge_170200110101,16,0.8883979049695403
test_kge_170200110101,17,0.91723616088131
test_kge_170200110101,18,0.9231108860994469
test_kge_170200110101,19,0.9323882397631039
test_kge_170200110101,20,0.9038981300210042
test_kge_170200110101,21,0.8955804897164601
test_kge_170200110101,22,0.9378722941268477
test_kge_170200110101,23,0.8790824243478902
test_kge_170200110101,24,0.914231928588921
test_kge_170200110101,25,0.9184670233291204
test_kge_170200110101,26,0.8924880489654777
test_kge_170200110101,27,0.8915828400929656
test_kge_170200110101,28,0.8884147218293496
test_kge_170200110101,29,0.9031292861158438
test_mae_170200110101,0,0.10551697760820389
test_mae_170200110101,1,0.09124908596277237
test_mae_170200110101,2,0.08806189149618149
test_mae_170200110101,3,0.07977859675884247
test_mae_170200110101,4,0.0808291882276535
test_mae_170200110101,5,0.08821004629135132
test_mae_170200110101,6,0.07824049144983292
test_mae_170200110101,7,0.07983063161373138
test_mae_170200110101,8,0.08533100038766861
test_mae_170200110101,9,0.08261922746896744
test_mae_170200110101,10,0.07281646132469177
test_mae_170200110101,11,0.07468371838331223
test_mae_170200110101,12,0.07791699469089508
test_mae_170200110101,13,0.07295400649309158
test_mae_170200110101,14,0.07660747319459915
test_mae_170200110101,15,0.0702027902007103
test_mae_170200110101,16,0.07947056740522385
test_mae_170200110101,17,0.07777724415063858
test_mae_170200110101,18,0.07350712269544601
test_mae_170200110101,19,0.07416661083698273
test_mae_170200110101,20,0.07538953423500061
test_mae_170200110101,21,0.07640200108289719
test_mae_170200110101,22,0.06975284963846207
test_mae_170200110101,23,0.08114715665578842
test_mae_170200110101,24,0.07569584995508194
test_mae_170200110101,25,0.07444877177476883
test_mae_170200110101,26,0.07820216566324234
test_mae_170200110101,27,0.07688484340906143
test_mae_170200110101,28,0.07761895656585693
test_mae_170200110101,29,0.0751132145524025
test_mse_170200110103,0,0.01679038628935814
test_mse_170200110103,1,0.018466318026185036
test_mse_170200110103,2,0.01794140785932541
test_mse_170200110103,3,0.018041180446743965
test_mse_170200110103,4,0.01621060259640217
test_mse_170200110103,5,0.01762116514146328
test_mse_170200110103,6,0.013445759192109108
test_mse_170200110103,7,0.016832733526825905
test_mse_170200110103,8,0.015443568117916584
test_mse_170200110103,9,0.013647493906319141
test_mse_170200110103,10,0.01692231558263302
test_mse_170200110103,11,0.017341462895274162
test_mse_170200110103,12,0.018035735934972763
test_mse_170200110103,13,0.017540164291858673
test_mse_170200110103,14,0.016817156225442886
test_mse_170200110103,15,0.017213447019457817
test_mse_170200110103,16,0.017544040456414223
test_mse_170200110103,17,0.01739972084760666
test_mse_170200110103,18,0.018967626616358757
test_mse_170200110103,19,0.017928749322891235
test_mse_170200110103,20,0.014854183420538902
test_mse_170200110103,21,0.01817251369357109
test_mse_170200110103,22,0.01486810389906168
test_mse_170200110103,23,0.01776771992444992
test_mse_170200110103,24,0.017146967351436615
test_mse_170200110103,25,0.015606379136443138
test_mse_170200110103,26,0.01412450335919857
test_mse_170200110103,27,0.017370620742440224
test_mse_170200110103,28,0.015040596947073936
test_mse_170200110103,29,0.013118707574903965
test_r2_170300010202,0,0.8315072059631348
test_r2_170300010202,1,0.8581016063690186
test_r2_170300010202,2,0.8523771166801453
test_r2_170300010202,3,0.8523162603378296
test_r2_170300010202,4,0.8566771149635315
test_r2_170300010202,5,0.8488246202468872
test_r2_170300010202,6,0.846071720123291
test_r2_170300010202,7,0.8492746949195862
test_r2_170300010202,8,0.8318778276443481
test_r2_170300010202,9,0.8479419946670532
test_r2_170300010202,10,0.8547911643981934
test_r2_170300010202,11,0.8423579931259155
