Metric,Step,Value
test_mse_170602080301,0,0.004691083915531635
test_mse_170602080301,1,0.020766768604516983
test_mse_170602080301,2,0.0028126980178058147
test_mse_170602080301,3,0.0038396676536649466
test_mse_170602080301,4,0.002150660613551736
test_mse_170602080301,5,0.0028380067087709904
test_mse_170602080301,6,0.001257350668311119
test_mse_170602080301,7,0.0016554654575884342
test_mse_170602080301,8,0.003159934189170599
test_mse_170602080301,9,0.005277696996927261
test_mse_170602080301,10,0.004769972059875727
test_mse_170602080301,11,0.0011915438808500767
test_mse_170602080301,12,0.01566416770219803
test_mse_170602080301,13,0.003712613368406892
test_mse_170602080301,14,0.0011434225598350167
test_mse_170602080301,15,0.002886759350076318
test_mse_170602080301,16,0.014131740666925907
test_mse_170602080301,17,0.0022986936382949352
test_mse_170602080301,18,0.005598937161266804
test_mse_170602080301,19,0.002912466647103429
test_mse_170602080301,20,0.010815785266458988
test_mse_170602080301,21,0.0006256623892113566
test_mse_170602080301,22,0.0010892784921452403
test_mse_170602080301,23,0.006936131976544857
test_mse_170602080301,24,0.0009329591412097216
test_mse_170602080301,25,0.0017356923781335354
test_mse_170602080301,26,0.0009131968836300075
test_mse_170602080301,27,0.0015591986011713743
test_mse_170602080301,28,0.004738698247820139
test_mse_170602080301,29,0.001126493327319622
test_kge_170602080301,0,0.7415613791976643
test_kge_170602080301,1,0.378269499310526
test_kge_170602080301,2,0.8584564436803753
test_kge_170602080301,3,0.7538394362110153
test_kge_170602080301,4,0.9422666624610214
test_kge_170602080301,5,0.8210561634833288
test_kge_170602080301,6,0.909385125550262
test_kge_170602080301,7,0.9360501871239839
test_kge_170602080301,8,0.8300786735813153
test_kge_170602080301,9,0.7422374934703093
test_kge_170602080301,10,0.7842887736922316
test_kge_170602080301,11,0.9029426382434926
test_kge_170602080301,12,0.4377566450967988
test_kge_170602080301,13,0.8172199728726348
test_kge_170602080301,14,0.977979824522272
test_kge_170602080301,15,0.769888388961179
test_kge_170602080301,16,0.5635127250860652
test_kge_170602080301,17,0.8345772357755803
test_kge_170602080301,18,0.7285325409449985
test_kge_170602080301,19,0.805369210055548
test_kge_170602080301,20,0.5965428119259355
test_kge_170602080301,21,0.9790037991107765
test_kge_170602080301,22,0.949805563617272
test_kge_170602080301,23,0.6556596500979311
test_kge_170602080301,24,0.9601816232968213
test_kge_170602080301,25,0.8957290161947341
test_kge_170602080301,26,0.981442304486425
test_kge_170602080301,27,0.8461458047654145
test_kge_170602080301,28,0.7385151350895263
test_kge_170602080301,29,0.9774753566135091
test_r2_170602080301,0,0.9014331102371216
test_r2_170602080301,1,0.5636581778526306
test_r2_170602080301,2,0.9409008622169495
test_r2_170602080301,3,0.919322669506073
test_r2_170602080301,4,0.9548113346099854
test_r2_170602080301,5,0.9403691291809082
test_r2_170602080301,6,0.9735811352729797
test_r2_170602080301,7,0.9652161002159119
test_r2_170602080301,8,0.933604896068573
test_r2_170602080301,9,0.8891074657440186
test_r2_170602080301,10,0.8997755646705627
test_r2_170602080301,11,0.9749638438224792
test_r2_170602080301,12,0.6708717346191406
test_r2_170602080301,13,0.921992301940918
test_r2_170602080301,14,0.9759749174118042
test_r2_170602080301,15,0.9393447637557983
test_r2_170602080301,16,0.7030704021453857
test_r2_170602080301,17,0.9517009258270264
test_r2_170602080301,18,0.8823577165603638
test_r2_170602080301,19,0.938804566860199
test_r2_170602080301,20,0.7727437019348145
test_r2_170602080301,21,0.9868538975715637
test_r2_170602080301,22,0.9771125912666321
test_r2_170602080301,23,0.8542611598968506
test_r2_170602080301,24,0.98039710521698
test_r2_170602080301,25,0.963530421257019
test_r2_170602080301,26,0.9808123111724854
test_r2_170602080301,27,0.9672388434410095
test_r2_170602080301,28,0.9004326462745667
test_r2_170602080301,29,0.9763306379318237
test_mae_170602080301,0,0.03926245868206024
test_mae_170602080301,1,0.09570810198783875
test_mae_170602080301,2,0.030907418578863144
test_mae_170602080301,3,0.03562241420149803
test_mae_170602080301,4,0.028436018154025078
test_mae_170602080301,5,0.028719840571284294
test_mae_170602080301,6,0.02184326946735382
test_mae_170602080301,7,0.023301854729652405
test_mae_170602080301,8,0.03286077827215195
test_mae_170602080301,9,0.04409405589103699
test_mae_170602080301,10,0.04173637181520462
test_mae_170602080301,11,0.020602678880095482
test_mae_170602080301,12,0.08280780911445618
test_mae_170602080301,13,0.03418780118227005
test_mae_170602080301,14,0.01999729312956333
test_mae_170602080301,15,0.0328439362347126
test_mae_170602080301,16,0.0738711729645729
test_mae_170602080301,17,0.028766706585884094
test_mae_170602080301,18,0.04536745324730873
test_mae_170602080301,19,0.03233559429645538
test_mae_170602080301,20,0.06075531989336014
test_mae_170602080301,21,0.014674297533929348
test_mae_170602080301,22,0.02001725323498249
test_mae_170602080301,23,0.05414287745952606
test_mae_170602080301,24,0.01802421547472477
test_mae_170602080301,25,0.025656141340732574
test_mae_170602080301,26,0.017552407458424568
test_mae_170602080301,27,0.024499092251062393
test_mae_170602080301,28,0.04102826118469238
test_mae_170602080301,29,0.02042529359459877
test_mse_170200100101,0,0.008870858699083328
test_mse_170200100101,1,0.028669411316514015
test_mse_170200100101,2,0.007126945070922375
test_mse_170200100101,3,0.00921294279396534
test_mse_170200100101,4,0.007903572171926498
test_mse_170200100101,5,0.009544692933559418
test_mse_170200100101,6,0.0035022853408008814
test_mse_170200100101,7,0.008180688135325909
test_mse_170200100101,8,0.00554668391123414
test_mse_170200100101,9,0.0058000823482871056
test_mse_170200100101,10,0.00993405468761921
test_mse_170200100101,11,0.003153721336275339
test_mse_170200100101,12,0.011314935982227325
test_mse_170200100101,13,0.0031915882136672735
test_mse_170200100101,14,0.0034581285435706377
test_mse_170200100101,15,0.0041614314541220665
test_mse_170200100101,16,0.017616402357816696
test_mse_170200100101,17,0.0048702554777264595
test_mse_170200100101,18,0.006940326653420925
test_mse_170200100101,19,0.005549705121666193
test_mse_170200100101,20,0.02266000024974346
test_mse_170200100101,21,0.004058931954205036
test_mse_170200100101,22,0.0034477084409445524
test_mse_170200100101,23,0.011315472424030304
test_mse_170200100101,24,0.0034461510367691517
test_mse_170200100101,25,0.004178614821285009
test_mse_170200100101,26,0.0036733730230480433
test_mse_170200100101,27,0.0028030150569975376
test_mse_170200100101,28,0.00583121832460165
test_mse_170200100101,29,0.0030900854617357254
test_kge_170200100101,0,0.7931079741460005
test_kge_170200100101,1,0.29457085925490556
test_kge_170200100101,2,0.7257557175636337
test_kge_170200100101,3,0.6960602855331192
test_kge_170200100101,4,0.7902260890535205
test_kge_170200100101,5,0.6615746116439405
test_kge_170200100101,6,0.9530385594861547
test_kge_170200100101,7,0.7040421499840466
test_kge_170200100101,8,0.8126700327150319
test_kge_170200100101,9,0.7755168445788728
test_kge_170200100101,10,0.6530269206558235
test_kge_170200100101,11,0.9245368558556191
test_kge_170200100101,12,0.6013264309439251
test_kge_170200100101,13,0.9487943912984791
test_kge_170200100101,14,0.898294358463448
test_kge_170200100101,15,0.8499191965166909
test_kge_170200100101,16,0.5469257747574334
test_kge_170200100101,17,0.8290655217560893
test_kge_170200100101,18,0.7241270517490678
test_kge_170200100101,19,0.788290035680115
test_kge_170200100101,20,0.3945963606571873
test_kge_170200100101,21,0.951227867484377
test_kge_170200100101,22,0.9536735504135821
test_kge_170200100101,23,0.5939617571748005
test_kge_170200100101,24,0.8704822236552163
test_kge_170200100101,25,0.8673546865240803
test_kge_170200100101,26,0.9188316864301804
test_kge_170200100101,27,0.9365267719757493
test_kge_170200100101,28,0.7840778182424337
test_kge_170200100101,29,0.9460368310676195
test_r2_170200100101,0,0.8340234160423279
test_r2_170200100101,1,0.46358615159988403
test_r2_170200100101,2,0.8666526079177856
test_r2_170200100101,3,0.8276228904724121
test_r2_170200100101,4,0.8521216511726379
test_r2_170200100101,5,0.8214157819747925
test_r2_170200100101,6,0.9344711303710938
test_r2_170200100101,7,0.8469367027282715
test_r2_170200100101,8,0.896219789981842
test_r2_170200100101,9,0.8914785981178284
test_r2_170200100101,10,0.8141306638717651
test_r2_170200100101,11,0.9409928917884827
test_r2_170200100101,12,0.7882939577102661
test_r2_170200100101,13,0.9402843713760376
test_r2_170200100101,14,0.9352973103523254
test_r2_170200100101,15,0.9221382737159729
test_r2_170200100101,16,0.6703914999961853
test_r2_170200100101,17,0.9088759422302246
test_r2_170200100101,18,0.870144248008728
test_r2_170200100101,19,0.8961632251739502
test_r2_170200100101,20,0.5760241746902466
test_r2_170200100101,21,0.9240561127662659
test_r2_170200100101,22,0.9354922771453857
test_r2_170200100101,23,0.7882838845252991
test_r2_170200100101,24,0.9355214238166809
test_r2_170200100101,25,0.9218167662620544
test_r2_170200100101,26,0.9312700033187866
test_r2_170200100101,27,0.9475547075271606
test_r2_170200100101,28,0.8908960223197937
test_r2_170200100101,29,0.9421834945678711
test_mae_170200100101,0,0.050542429089546204
test_mae_170200100101,1,0.11475612968206406
test_mae_170200100101,2,0.05355848744511604
test_mae_170200100101,3,0.05224888026714325
test_mae_170200100101,4,0.05285398289561272
test_mae_170200100101,5,0.05772938206791878
test_mae_170200100101,6,0.0338376984000206
test_mae_170200100101,7,0.05332265421748161
test_mae_170200100101,8,0.04318816214799881
test_mae_170200100101,9,0.04718511924147606
test_mae_170200100101,10,0.06380155682563782
test_mae_170200100101,11,0.0322938896715641
test_mae_170200100101,12,0.06314723938703537
test_mae_170200100101,13,0.0324072539806366
test_mae_170200100101,14,0.03388611972332001
test_mae_170200100101,15,0.03609832376241684
test_mae_170200100101,16,0.08624845743179321
test_mae_170200100101,17,0.03940513730049133
test_mae_170200100101,18,0.049508143216371536
test_mae_170200100101,19,0.0458201989531517
test_mae_170200100101,20,0.09562895447015762
test_mae_170200100101,21,0.03650229424238205
test_mae_170200100101,22,0.033626604825258255
test_mae_170200100101,23,0.06615971028804779
test_mae_170200100101,24,0.03339605778455734
test_mae_170200100101,25,0.0378047339618206
test_mae_170200100101,26,0.034282490611076355
test_mae_170200100101,27,0.030220819637179375
test_mae_170200100101,28,0.04530737176537514
test_mae_170200100101,29,0.030956903472542763
test_mse_170103040101,0,0.024223316460847855
test_mse_170103040101,1,0.007792632095515728
test_mse_170103040101,2,0.00587351294234395
test_mse_170103040101,3,0.030897650867700577
test_mse_170103040101,4,0.008445336483418941
test_mse_170103040101,5,0.004249550402164459
test_mse_170103040101,6,0.01266960147768259
test_mse_170103040101,7,0.005883337464183569
test_mse_170103040101,8,0.004812419414520264
test_mse_170103040101,9,0.004885707050561905
test_mse_170103040101,10,0.003395582316443324
test_mse_170103040101,11,0.014280462637543678
test_mse_170103040101,12,0.0020928410813212395
test_mse_170103040101,13,0.00687218364328146
test_mse_170103040101,14,0.007043964229524136
test_mse_170103040101,15,0.020421991124749184
test_mse_170103040101,16,0.011125463992357254
test_mse_170103040101,17,0.005134894046932459
test_mse_170103040101,18,0.0026833023875951767
test_mse_170103040101,19,0.00556778721511364
test_mse_170103040101,20,0.003194628283381462
test_mse_170103040101,21,0.012553990818560123
test_mse_170103040101,22,0.00952286645770073
test_mse_170103040101,23,0.00211124075576663
test_mse_170103040101,24,0.01646607555449009
test_mse_170103040101,25,0.008546560071408749
test_mse_170103040101,26,0.012876910157501698
test_mse_170103040101,27,0.012697730213403702
test_mse_170103040101,28,0.0038538696244359016
test_mse_170103040101,29,0.008142183534801006
test_kge_170103040101,0,0.5631555150949259
test_kge_170103040101,1,0.8050170029248864
test_kge_170103040101,2,0.8406100267439177
test_kge_170103040101,3,0.4960641705299563
test_kge_170103040101,4,0.814854431511579
test_kge_170103040101,5,0.915233142855788
test_kge_170103040101,6,0.6831786091961565
test_kge_170103040101,7,0.8410893157041376
test_kge_170103040101,8,0.8526709346055669
test_kge_170103040101,9,0.8448488023812873
test_kge_170103040101,10,0.91503522720796
test_kge_170103040101,11,0.6527167772560736
test_kge_170103040101,12,0.9583566737568407
test_kge_170103040101,13,0.7638842633303891
test_kge_170103040101,14,0.7722776782079431
test_kge_170103040101,15,0.5787924176197234
test_kge_170103040101,16,0.8605269593678481
test_kge_170103040101,17,0.8240424842425432
test_kge_170103040101,18,0.9049340195619969
test_kge_170103040101,19,0.8448810036622552
test_kge_170103040101,20,0.9036126580333332
test_kge_170103040101,21,0.7016850359855592
test_kge_170103040101,22,0.7167989403508953
test_kge_170103040101,23,0.9546489566016233
test_kge_170103040101,24,0.6178530782210098
test_kge_170103040101,25,0.7783280766965616
test_kge_170103040101,26,0.6640092022402128
test_kge_170103040101,27,0.6597825745223731
test_kge_170103040101,28,0.8640610163420459
test_kge_170103040101,29,0.732333562809883
test_r2_170103040101,0,0.7784755229949951
test_r2_170103040101,1,0.9287356734275818
test_r2_170103040101,2,0.9462862014770508
test_r2_170103040101,3,0.7174381017684937
test_r2_170103040101,4,0.9227666258811951
test_r2_170103040101,5,0.9611374735832214
test_r2_170103040101,6,0.8841353058815002
test_r2_170103040101,7,0.9461963176727295
test_r2_170103040101,8,0.9559899568557739
test_r2_170103040101,9,0.9553197622299194
test_r2_170103040101,10,0.9689471125602722
test_r2_170103040101,11,0.8694038391113281
test_r2_170103040101,12,0.9808607697486877
test_r2_170103040101,13,0.9371532201766968
test_r2_170103040101,14,0.9355822801589966
test_r2_170103040101,15,0.8132389783859253
test_r2_170103040101,16,0.8982565999031067
test_r2_170103040101,17,0.9530408978462219
test_r2_170103040101,18,0.975460946559906
test_r2_170103040101,19,0.94908207654953
test_r2_170103040101,20,0.9707848429679871
test_r2_170103040101,21,0.8851925730705261
