Metric,Step,Value
test_kge_171100050801,0,0.820721846199193
test_kge_171100050801,1,0.8774940912891839
test_kge_171100050801,2,0.8321346408684411
test_kge_171100050801,3,0.8571501391035855
test_kge_171100050801,4,0.917167911502282
test_kge_171100050801,5,0.9146772184316359
test_kge_171100050801,6,0.8504788091199439
test_kge_171100050801,7,0.9073792826629399
test_kge_171100050801,8,0.8816460805048391
test_kge_171100050801,9,0.9455697660853364
test_kge_171100050803,0,0.8752070049438517
test_kge_171100050803,1,0.612651931354604
test_kge_171100050803,2,0.5304510416416504
test_kge_171100050803,3,0.7241469784499492
test_kge_171100050803,4,0.7120253054681795
test_kge_171100050803,5,0.9110787600944055
test_kge_171100050803,6,0.7231948997763682
test_kge_171100050803,7,0.8121744797280477
test_kge_171100050803,8,0.8104118183092861
test_kge_171100050803,9,0.7425562882356724
train_mse_171100050401,0,0.011220528744161129
train_mse_171100050401,1,0.01697002537548542
train_mse_171100050401,2,0.004210373852401972
train_mse_171100050401,3,0.0036039864644408226
train_mse_171100050401,4,0.002651560353115201
train_mse_171100050401,5,0.0023477913346141577
train_mse_171100050401,6,0.0026337183080613613
train_mse_171100050401,7,0.0022650116588920355
train_mse_171100050401,8,0.0031901304610073566
train_mse_171100050401,9,0.0014169403584674
test_mse_171100050401,0,0.00744670582935214
test_mse_171100050401,1,0.016138534992933273
test_mse_171100050401,2,0.005696579813957214
test_mse_171100050401,3,0.0038344436325132847
test_mse_171100050401,4,0.0035431361757218838
test_mse_171100050401,5,0.00276879477314651
test_mse_171100050401,6,0.0028652381151914597
test_mse_171100050401,7,0.005023512523621321
test_mse_171100050401,8,0.0032998446840792894
test_mse_171100050401,9,0.0048780981451272964
train_kge_171100050401,0,0.8072449853347283
train_kge_171100050401,1,0.6039280782252924
train_kge_171100050401,2,0.9503678971157178
train_kge_171100050401,3,0.8457479145805725
train_kge_171100050401,4,0.9398724974648119
train_kge_171100050401,5,0.8970337902068569
train_kge_171100050401,6,0.890206541687737
train_kge_171100050401,7,0.9401167230522995
train_kge_171100050401,8,0.9327087958872242
train_kge_171100050401,9,0.9713599348494707
test_kge_171100050401,0,0.8871638928083552
test_kge_171100050401,1,0.6440571634191383
test_kge_171100050401,2,0.8337195508351747
test_kge_171100050401,3,0.8973411762213975
test_kge_171100050401,4,0.8547050064294879
test_kge_171100050401,5,0.9471878236786949
test_kge_171100050401,6,0.9540350282103649
test_kge_171100050401,7,0.935446189755055
test_kge_171100050401,8,0.9466455654846471
test_kge_171100050401,9,0.9051208002670073
train_mse_171100050402,0,0.028902458027005196
train_mse_171100050402,1,0.030996836721897125
train_mse_171100050402,2,0.01636628992855549
train_mse_171100050402,3,0.0069654653780162334
train_mse_171100050402,4,0.004751059226691723
train_mse_171100050402,5,0.005763350985944271
