Metric,Step,Value
test_mse_170602070707,0,0.0003040644805878401
test_mse_170602070707,1,0.0014496479416266084
test_mse_170602070707,2,0.0003601879579946399
test_mse_170602070707,3,0.0013640793040394783
test_mse_170602070707,4,0.0022644205018877983
test_mse_170602070707,5,0.002869292860850692
test_mse_170602070707,6,0.002501121023669839
test_mse_170602070707,7,0.0031173976603895426
test_mse_170602070707,8,0.011640758253633976
test_mse_170602070707,9,0.005824674386531115
test_mse_170602070707,10,0.0014677071012556553
test_mse_170602070707,11,0.00368699012324214
test_mse_170602070707,12,0.005056653171777725
test_mse_170602070707,13,0.009028345346450806
test_mse_170602070707,14,0.007784091867506504
test_mse_170602070707,15,0.00549399945884943
test_mse_170602070707,16,0.005109480116516352
test_mse_170602070707,17,0.006567195989191532
test_mse_170602070707,18,0.0026081535033881664
test_mse_170602070707,19,0.0024938955903053284
test_mse_170602070707,20,0.00444908207282424
test_mse_170602070707,21,0.0035011377185583115
test_mse_170602070707,22,0.0003462198073975742
test_mse_170602070707,23,0.003674398409202695
test_mse_170602070707,24,0.006615852937102318
test_mse_170602070707,25,0.004237924702465534
test_mse_170602070707,26,0.0032325780484825373
test_mse_170602070707,27,0.006994438823312521
test_mse_170602070707,28,0.004574989899992943
test_mse_170602070707,29,0.002087935106828809
test_kge_170602070707,0,0.9229231689359337
test_kge_170602070707,1,0.6472814749497707
test_kge_170602070707,2,0.9386501472848199
test_kge_170602070707,3,0.4411543625052706
test_kge_170602070707,4,0.28361371376890676
test_kge_170602070707,5,0.20841797332869683
test_kge_170602070707,6,0.25392828684542135
test_kge_170602070707,7,0.1436627167139204
test_kge_170602070707,8,-0.5938627973285597
test_kge_170602070707,9,-0.11765230008111716
test_kge_170602070707,10,0.4418413205915741
test_kge_170602070707,11,0.12247272435944001
test_kge_170602070707,12,-0.0809960421903837
test_kge_170602070707,13,-0.4418066757808117
test_kge_170602070707,14,-0.3398139055665199
test_kge_170602070707,15,-0.1676276589075485
test_kge_170602070707,16,-0.06252122162546758
test_kge_170602070707,17,-0.2375558492554688
test_kge_170602070707,18,0.33365542696621364
test_kge_170602070707,19,0.2340328521595837
test_kge_170602070707,20,0.11681886626933302
test_kge_170602070707,21,0.5239738888460405
test_kge_170602070707,22,0.802417696975397
test_kge_170602070707,23,0.20224718198831548
test_kge_170602070707,24,-0.2879820695898978
test_kge_170602070707,25,0.017326460111951603
test_kge_170602070707,26,0.12532304935917493
test_kge_170602070707,27,-0.27809029886700753
test_kge_170602070707,28,0.010212067413043147
test_kge_170602070707,29,0.4652706304302666
test_r2_170602070707,0,0.9358121752738953
test_r2_170602070707,1,0.69398033618927
test_r2_170602070707,2,0.9239645600318909
test_r2_170602070707,3,0.712043821811676
test_r2_170602070707,4,0.5219824314117432
test_r2_170602070707,5,0.3942943215370178
test_r2_170602070707,6,0.4720150828361511
test_r2_170602070707,7,0.34191954135894775
test_r2_170602070707,8,-1.4573559761047363
test_r2_170602070707,9,-0.2295846939086914
test_r2_170602070707,10,0.690168023109436
test_r2_170602070707,11,0.2216789722442627
test_r2_170602070707,12,-0.06745588779449463
test_r2_170602070707,13,-0.9058774709701538
test_r2_170602070707,14,-0.6432163715362549
test_r2_170602070707,15,-0.15977942943572998
test_r2_170602070707,16,-0.07860767841339111
test_r2_170602070707,17,-0.3863304853439331
test_r2_170602070707,18,0.44942063093185425
test_r2_170602070707,19,0.47354036569595337
test_r2_170602070707,20,0.06080186367034912
test_r2_170602070707,21,0.2609122395515442
test_r2_170602070707,22,0.9269132614135742
test_r2_170602070707,23,0.22433704137802124
test_r2_170602070707,24,-0.3966020345687866
test_r2_170602070707,25,0.10537707805633545
test_r2_170602070707,26,0.31760501861572266
test_r2_170602070707,27,-0.4765211343765259
test_r2_170602070707,28,0.03422278165817261
test_r2_170602070707,29,0.5592383146286011
test_mae_170602070707,0,0.009943217039108276
test_mae_170602070707,1,0.019796069711446762
test_mae_170602070707,2,0.010554560460150242
test_mae_170602070707,3,0.02225669100880623
test_mae_170602070707,4,0.027260353788733482
test_mae_170602070707,5,0.03196236863732338
test_mae_170602070707,6,0.029863115400075912
test_mae_170602070707,7,0.0341479554772377
test_mae_170602070707,8,0.06914202868938446
test_mae_170602070707,9,0.044609926640987396
test_mae_170602070707,10,0.022379977628588676
test_mae_170602070707,11,0.03515304625034332
test_mae_170602070707,12,0.04649154841899872
test_mae_170602070707,13,0.06351371854543686
test_mae_170602070707,14,0.053384073078632355
test_mae_170602070707,15,0.04550006985664368
test_mae_170602070707,16,0.04236410930752754
test_mae_170602070707,17,0.04752540960907936
test_mae_170602070707,18,0.029301082715392113
test_mae_170602070707,19,0.03147336468100548
test_mae_170602070707,20,0.03832158073782921
test_mae_170602070707,21,0.03562353178858757
test_mae_170602070707,22,0.011118317022919655
test_mae_170602070707,23,0.03813575580716133
test_mae_170602070707,24,0.05200177803635597
test_mae_170602070707,25,0.03858519718050957
test_mae_170602070707,26,0.035023853182792664
test_mae_170602070707,27,0.05333413928747177
test_mae_170602070707,28,0.03877874091267586
test_mae_170602070707,29,0.02411646768450737
test_recur_mse_170602070707,0,0.0003244806721340865
test_recur_mse_170602070707,1,0.0018643478397279978
test_recur_mse_170602070707,2,0.0002895096258725971
test_recur_mse_170602070707,3,0.0022827526554465294
test_recur_mse_170602070707,4,0.0022154052276164293
test_recur_mse_170602070707,5,0.0029376791790127754
test_recur_mse_170602070707,6,0.002484416589140892
test_recur_mse_170602070707,7,0.0035012236330658197
test_recur_mse_170602070707,8,0.013536414131522179
test_recur_mse_170602070707,9,0.004580127540975809
test_recur_mse_170602070707,10,0.0010846643708646297
test_recur_mse_170602070707,11,0.004359643906354904
test_recur_mse_170602070707,12,0.005894800182431936
test_recur_mse_170602070707,13,0.012195165269076824
test_recur_mse_170602070707,14,0.004541614092886448
test_recur_mse_170602070707,15,0.006126179825514555
test_recur_mse_170602070707,16,0.0037386026233434677
test_recur_mse_170602070707,17,0.007401651702821255
test_recur_mse_170602070707,18,0.0015360277611762285
test_recur_mse_170602070707,19,0.003779222024604678
test_recur_mse_170602070707,20,0.0027024997398257256
test_recur_mse_170602070707,21,0.0026825852692127228
test_recur_mse_170602070707,22,0.0002733166329562664
test_recur_mse_170602070707,23,0.005334313493221998
test_recur_mse_170602070707,24,0.008597037754952908
test_recur_mse_170602070707,25,0.002457004738971591
test_recur_mse_170602070707,26,0.0038194814696907997
test_recur_mse_170602070707,27,0.007709633558988571
test_recur_mse_170602070707,28,0.003819465870037675
test_recur_mse_170602070707,29,0.001478876220062375
test_recur_kge_170602070707,0,0.8974017472419549
test_recur_kge_170602070707,1,0.5641639850394553
test_recur_kge_170602070707,2,0.9595992963636676
test_recur_kge_170602070707,3,0.2759270919327794
test_recur_kge_170602070707,4,0.2940172002890429
test_recur_kge_170602070707,5,0.20018204351690283
test_recur_kge_170602070707,6,0.25269463088949107
test_recur_kge_170602070707,7,0.09823197773477865
test_recur_kge_170602070707,8,-0.7340032555650255
test_recur_kge_170602070707,9,0.00012714332604313316
test_recur_kge_170602070707,10,0.5290100215465026
test_recur_kge_170602070707,11,0.049338620857627746
test_recur_kge_170602070707,12,-0.17406668015638993
test_recur_kge_170602070707,13,-0.6814610174306213
test_recur_kge_170602070707,14,-0.03871635046849953
test_recur_kge_170602070707,15,-0.2286978254063574
test_recur_kge_170602070707,16,0.08241354380916666
test_recur_kge_170602070707,17,-0.3052364006498376
test_recur_kge_170602070707,18,0.5445010753889372
test_recur_kge_170602070707,19,0.05388859473646623
test_recur_kge_170602070707,20,0.3610952767288099
test_recur_kge_170602070707,21,0.6086403782069774
test_recur_kge_170602070707,22,0.8513556798017508
test_recur_kge_170602070707,23,0.00024122320480612913
test_recur_kge_170602070707,24,-0.4700113183315866
