Metric,Step,Value
avg_training_mse,0,0.002810821420228817
avg_training_mse,1,0.001241888035994913
avg_training_mse,2,0.0011386836001756019
avg_training_mse,3,0.0011244077395295043
avg_training_mse,4,0.001054056241323053
avg_training_mse,5,0.0010420786286696026
avg_training_mse,6,0.0021753987398901334
avg_training_mse,7,0.006070970607703142
avg_training_mse,8,0.0014726975917961384
avg_training_mse,9,0.0011325261519340628
avg_training_mse,10,0.0010742749929846089
avg_training_mse,11,0.0011304689415847543
avg_training_mse,12,0.003895240810591324
avg_training_mse,13,0.014440188459404788
avg_training_mse,14,0.02143142611875305
avg_training_mse,15,0.023809771857947314
avg_training_mse,16,0.025685989766891498
avg_training_mse,17,0.02398232298293916
avg_training_mse,18,0.024937202874362442
avg_training_mse,19,0.020457792974556195
avg_training_mse,20,0.021095718269533843
avg_training_mse,21,0.02644278327525488
avg_training_mse,22,0.025141008318683464
avg_training_mse,23,0.021693710055247634
avg_training_mse,24,0.024001581977890138
avg_training_mse,25,0.02257759501722314
avg_training_mse,26,0.026212539396093814
avg_training_mse,27,0.039100105325776506
avg_training_mse,28,0.03458907406662051
avg_training_mse,29,0.030319968814183494
train_mse_171100060102,0,-500.0
train_mse_171100060102,1,-500.0
train_mse_171100060102,2,-500.0
train_mse_171100060102,3,-500.0
train_mse_171100060102,4,-500.0
train_mse_171100060102,5,-500.0
train_mse_171100060102,6,-500.0
train_mse_171100060102,7,-500.0
train_mse_171100060102,8,-500.0
train_mse_171100060102,9,-500.0
train_mse_171100060102,10,-500.0
train_mse_171100060102,11,-500.0
train_mse_171100060102,12,-500.0
train_mse_171100060102,13,-500.0
train_mse_171100060102,14,-500.0
train_mse_171100060102,15,-500.0
train_mse_171100060102,16,-500.0
train_mse_171100060102,17,-500.0
train_mse_171100060102,18,-500.0
train_mse_171100060102,19,-500.0
train_mse_171100060102,20,-500.0
train_mse_171100060102,21,-500.0
train_mse_171100060102,22,-500.0
train_mse_171100060102,23,-500.0
train_mse_171100060102,24,-500.0
train_mse_171100060102,25,-500.0
train_mse_171100060102,26,-500.0
train_mse_171100060102,27,-500.0
train_mse_171100060102,28,-500.0
train_mse_171100060102,29,-500.0
train_mse_170200090208,0,-500.0
train_mse_170200090208,1,-500.0
train_mse_170200090208,2,-500.0
train_mse_170200090208,3,-500.0
train_mse_170200090208,4,-500.0
train_mse_170200090208,5,-500.0
train_mse_170200090208,6,-500.0
train_mse_170200090208,7,-500.0
train_mse_170200090208,8,-500.0
train_mse_170200090208,9,-500.0
train_mse_170200090208,10,-500.0
train_mse_170200090208,11,-500.0
train_mse_170200090208,12,-500.0
train_mse_170200090208,13,-500.0
train_mse_170200090208,14,-500.0
train_mse_170200090208,15,-500.0
train_mse_170200090208,16,-500.0
train_mse_170200090208,17,-500.0
train_mse_170200090208,18,-500.0
train_mse_170200090208,19,-500.0
train_mse_170200090208,20,-500.0
train_mse_170200090208,21,-500.0
train_mse_170200090208,22,-500.0
train_mse_170200090208,23,-500.0
train_mse_170200090208,24,-500.0
train_mse_170200090208,25,-500.0
train_mse_170200090208,26,-500.0
train_mse_170200090208,27,-500.0
train_mse_170200090208,28,-500.0
train_mse_170200090208,29,-500.0
test_kge_171100050703,0,0.7768006287074616
test_kge_171100050703,1,0.8517226125493003
test_kge_171100050703,2,0.8493026626776036
test_kge_171100050703,3,0.641673349958468
test_kge_171100050703,4,0.4045550320361172
test_kge_171100050703,5,0.8587085664393064
test_kge_171100050703,6,0.507952157410458
test_kge_171100050703,7,0.33306598508425866
test_kge_171100050703,8,0.8358906049843904
test_kge_171100050703,9,0.7944636192905378
test_kge_171100050703,10,0.7447429773611272
test_kge_171100050703,11,0.4833529446242676
test_kge_171100050703,12,0.8440584464004414
test_kge_171100050703,13,0.3734366682470719
test_kge_171100050703,14,0.6211482687537446
test_kge_171100050703,15,0.4446102419844987
test_kge_171100050703,16,0.7172229813174337
test_kge_171100050703,17,0.6981830636041895
test_kge_171100050703,18,0.7896735023900129
test_kge_171100050703,19,0.5169467875276395
test_kge_171100050703,20,0.2497766658817886
test_kge_171100050703,21,0.035314994675623046
test_kge_171100050703,22,0.48989791496884505
test_kge_171100050703,23,0.7142744205278795
test_kge_171100050703,24,0.050140684532350766
test_kge_171100050703,25,0.11328094170967307
test_kge_171100050703,26,-0.09656274605114068
test_kge_171100050703,27,0.1177169040190309
test_kge_171100050703,28,0.23903587964319983
test_kge_171100050703,29,0.17872933715110229
test_kge_170200110502,0,0.8999352582048534
test_kge_170200110502,1,0.8392578797665328
test_kge_170200110502,2,0.7301127212250399
test_kge_170200110502,3,0.8135230395714677
test_kge_170200110502,4,0.865961309906342
test_kge_170200110502,5,0.6123977832763938
test_kge_170200110502,6,0.4159722054672763
test_kge_170200110502,7,0.9208073600144314
test_kge_170200110502,8,0.6141873708586976
test_kge_170200110502,9,0.9336118631915779
test_kge_170200110502,10,0.8274571917910969
test_kge_170200110502,11,0.8832594400770065
test_kge_170200110502,12,0.8680195926563827
test_kge_170200110502,13,0.45618051058495535
test_kge_170200110502,14,0.6556724865049235
test_kge_170200110502,15,0.09547531986155244
test_kge_170200110502,16,0.5658341088255586
test_kge_170200110502,17,0.6532619356975107
test_kge_170200110502,18,0.7633445290973162
test_kge_170200110502,19,0.8271760177992855
test_kge_170200110502,20,0.15982025123793275
test_kge_170200110502,21,0.1300594144835544
test_kge_170200110502,22,0.6383988013115001
test_kge_170200110502,23,0.7761617755114257
test_kge_170200110502,24,-0.049359390670035586
test_kge_170200110502,25,0.22756781446159935
test_kge_170200110502,26,0.19983493638204353
test_kge_170200110502,27,0.17835154420358568
test_kge_170200110502,28,0.3555311857678801
test_kge_170200110502,29,0.12790554929994935
train_mse_170200110102,0,-500.0
train_mse_170200110102,1,-500.0
train_mse_170200110102,2,-500.0
train_mse_170200110102,3,-500.0
train_mse_170200110102,4,-500.0
train_mse_170200110102,5,-500.0
train_mse_170200110102,6,-500.0
train_mse_170200110102,7,-500.0
train_mse_170200110102,8,-500.0
train_mse_170200110102,9,-500.0
train_mse_170200110102,10,-500.0
train_mse_170200110102,11,-500.0
train_mse_170200110102,12,-500.0
train_mse_170200110102,13,-500.0
train_mse_170200110102,14,-500.0
train_mse_170200110102,15,-500.0
train_mse_170200110102,16,-500.0
train_mse_170200110102,17,-500.0
train_mse_170200110102,18,-500.0
train_mse_170200110102,19,-500.0
train_mse_170200110102,20,-500.0
train_mse_170200110102,21,-500.0
train_mse_170200110102,22,-500.0
train_mse_170200110102,23,-500.0
train_mse_170200110102,24,-500.0
train_mse_170200110102,25,-500.0
train_mse_170200110102,26,-500.0
train_mse_170200110102,27,-500.0
train_mse_170200110102,28,-500.0
train_mse_170200110102,29,-500.0
test_kge_170602080503,0,0.6115416582631871
test_kge_170602080503,1,0.90351590828355
test_kge_170602080503,2,0.9342030629379139
test_kge_170602080503,3,0.1757252333836139
test_kge_170602080503,4,0.6627492736560192
test_kge_170602080503,5,0.7852549952188597
test_kge_170602080503,6,0.8701091893014181
test_kge_170602080503,7,0.9536158243953501
test_kge_170602080503,8,0.8530012452050859
test_kge_170602080503,9,0.49191597022294786
test_kge_170602080503,10,0.8801989037308566
test_kge_170602080503,11,0.5253700654046973
test_kge_170602080503,12,0.5058016134643685
test_kge_170602080503,13,0.6203830679835476
test_kge_170602080503,14,-0.7898258696131144
test_kge_170602080503,15,-2.449086993169814
test_kge_170602080503,16,-1.1736294527994535
test_kge_170602080503,17,-0.5267593040537772
test_kge_170602080503,18,0.3884089427848446
test_kge_170602080503,19,-0.0019814784909275573
test_kge_170602080503,20,0.4940487847730418
test_kge_170602080503,21,0.3323190365198728
test_kge_170602080503,22,0.5378216995000591
test_kge_170602080503,23,0.19224601300131294
test_kge_170602080503,24,0.13474664922847845
test_kge_170602080503,25,0.7400521937997612
test_kge_170602080503,26,0.0520244360439821
test_kge_170602080503,27,0.6668713163348173
test_kge_170602080503,28,0.5743690481967378
test_kge_170602080503,29,0.6682510033852269
train_kge_170103020102,0,-500.0
train_kge_170103020102,1,-500.0
train_kge_170103020102,2,-500.0
train_kge_170103020102,3,-500.0
train_kge_170103020102,4,-500.0
train_kge_170103020102,5,-500.0
train_kge_170103020102,6,-500.0
train_kge_170103020102,7,-500.0
train_kge_170103020102,8,-500.0
train_kge_170103020102,9,-500.0
train_kge_170103020102,10,-500.0
train_kge_170103020102,11,-500.0
train_kge_170103020102,12,-500.0
train_kge_170103020102,13,-500.0
train_kge_170103020102,14,-500.0
train_kge_170103020102,15,-500.0
train_kge_170103020102,16,-500.0
train_kge_170103020102,17,-500.0
train_kge_170103020102,18,-500.0
train_kge_170103020102,19,-500.0
train_kge_170103020102,20,-500.0
train_kge_170103020102,21,-500.0
train_kge_170103020102,22,-500.0
train_kge_170103020102,23,-500.0
train_kge_170103020102,24,-500.0
train_kge_170103020102,25,-500.0
train_kge_170103020102,26,-500.0
train_kge_170103020102,27,-500.0
train_kge_170103020102,28,-500.0
train_kge_170103020102,29,-500.0
train_mse_170200090108,0,-500.0
train_mse_170200090108,1,-500.0
train_mse_170200090108,2,-500.0
train_mse_170200090108,3,-500.0
train_mse_170200090108,4,-500.0
train_mse_170200090108,5,-500.0
train_mse_170200090108,6,-500.0
train_mse_170200090108,7,-500.0
train_mse_170200090108,8,-500.0
train_mse_170200090108,9,-500.0
train_mse_170200090108,10,-500.0
train_mse_170200090108,11,-500.0
train_mse_170200090108,12,-500.0
train_mse_170200090108,13,-500.0
train_mse_170200090108,14,-500.0
train_mse_170200090108,15,-500.0
train_mse_170200090108,16,-500.0
train_mse_170200090108,17,-500.0
train_mse_170200090108,18,-500.0
train_mse_170200090108,19,-500.0
train_mse_170200090108,20,-500.0
train_mse_170200090108,21,-500.0
train_mse_170200090108,22,-500.0
train_mse_170200090108,23,-500.0
train_mse_170200090108,24,-500.0
train_mse_170200090108,25,-500.0
train_mse_170200090108,26,-500.0
train_mse_170200090108,27,-500.0
train_mse_170200090108,28,-500.0
train_mse_170200090108,29,-500.0
test_kge_171100050603,0,0.9041973674011234
test_kge_171100050603,1,0.8281973538086591
test_kge_171100050603,2,0.9179481763061691
test_kge_171100050603,3,0.7422296803787791
test_kge_171100050603,4,0.4936384856561008
test_kge_171100050603,5,0.7175533100570917
test_kge_171100050603,6,0.5738767041444855
test_kge_171100050603,7,0.4901975432512278
test_kge_171100050603,8,0.7063877581996247
test_kge_171100050603,9,0.9552603132427813
test_kge_171100050603,10,0.8838849587690343
test_kge_171100050603,11,0.5893182179696188
test_kge_171100050603,12,0.8449349257450784
test_kge_171100050603,13,0.5682709618261925
test_kge_171100050603,14,0.4203442737617844
test_kge_171100050603,15,0.019700364396052383
test_kge_171100050603,16,0.483382796479935
test_kge_171100050603,17,0.5832529875664463
test_kge_171100050603,18,0.6984319939610034
test_kge_171100050603,19,0.17596186302763384
test_kge_171100050603,20,0.2575398687043168
test_kge_171100050603,21,0.24386238465548038
test_kge_171100050603,22,0.7966399858770338
test_kge_171100050603,23,0.8054132285140463
test_kge_171100050603,24,0.26338865755918417
test_kge_171100050603,25,0.22316026737690264
test_kge_171100050603,26,-0.19833728090513447
test_kge_171100050603,27,0.20565276368643726
test_kge_171100050603,28,0.3018138656865891
test_kge_171100050603,29,0.45826625649051045
train_kge_170103040601,0,-500.0
train_kge_170103040601,1,-500.0
train_kge_170103040601,2,-500.0
train_kge_170103040601,3,-500.0
train_kge_170103040601,4,-500.0
train_kge_170103040601,5,-500.0
train_kge_170103040601,6,-500.0
train_kge_170103040601,7,-500.0
train_kge_170103040601,8,-500.0
train_kge_170103040601,9,-500.0
train_kge_170103040601,10,-500.0
train_kge_170103040601,11,-500.0
train_kge_170103040601,12,-500.0
train_kge_170103040601,13,-500.0
train_kge_170103040601,14,-500.0
train_kge_170103040601,15,-500.0
train_kge_170103040601,16,-500.0
train_kge_170103040601,17,-500.0
train_kge_170103040601,18,-500.0
train_kge_170103040601,19,-500.0
train_kge_170103040601,20,-500.0
train_kge_170103040601,21,-500.0
train_kge_170103040601,22,-500.0
train_kge_170103040601,23,-500.0
train_kge_170103040601,24,-500.0
train_kge_170103040601,25,-500.0
train_kge_170103040601,26,-500.0
train_kge_170103040601,27,-500.0
train_kge_170103040601,28,-500.0
train_kge_170103040601,29,-500.0
train_mse_170200110502,0,-500.0
train_mse_170200110502,1,-500.0
train_mse_170200110502,2,-500.0
train_mse_170200110502,3,-500.0
train_mse_170200110502,4,-500.0
train_mse_170200110502,5,-500.0
train_mse_170200110502,6,-500.0
train_mse_170200110502,7,-500.0
train_mse_170200110502,8,-500.0
train_mse_170200110502,9,-500.0
train_mse_170200110502,10,-500.0
train_mse_170200110502,11,-500.0
train_mse_170200110502,12,-500.0
train_mse_170200110502,13,-500.0
train_mse_170200110502,14,-500.0
train_mse_170200110502,15,-500.0
train_mse_170200110502,16,-500.0
train_mse_170200110502,17,-500.0
train_mse_170200110502,18,-500.0
train_mse_170200110502,19,-500.0
train_mse_170200110502,20,-500.0
train_mse_170200110502,21,-500.0
train_mse_170200110502,22,-500.0
train_mse_170200110502,23,-500.0
train_mse_170200110502,24,-500.0
train_mse_170200110502,25,-500.0
train_mse_170200110502,26,-500.0
train_mse_170200110502,27,-500.0
train_mse_170200110502,28,-500.0
train_mse_170200110502,29,-500.0
test_mse_171100050402,0,0.007743415422737598
test_mse_171100050402,1,0.013613514602184296
test_mse_171100050402,2,0.01936386711895466
test_mse_171100050402,3,0.007464274298399687
test_mse_171100050402,4,0.00415579741820693
test_mse_171100050402,5,0.03452347591519356
test_mse_171100050402,6,0.06700858473777771
test_mse_171100050402,7,0.010371319949626923
test_mse_171100050402,8,0.029565202072262764
test_mse_171100050402,9,0.004739844705909491
test_mse_171100050402,10,0.016273627057671547
test_mse_171100050402,11,0.0042586419731378555
test_mse_171100050402,12,0.01333106029778719
test_mse_171100050402,13,0.06085566058754921
test_mse_171100050402,14,0.04206572473049164
test_mse_171100050402,15,0.15664009749889374
test_mse_171100050402,16,0.04611608758568764
test_mse_171100050402,17,0.055813614279031754
test_mse_171100050402,18,0.048560865223407745
test_mse_171100050402,19,0.028581488877534866
test_mse_171100050402,20,0.098091721534729
test_mse_171100050402,21,0.12366585433483124
test_mse_171100050402,22,0.06704145669937134
test_mse_171100050402,23,0.039855409413576126
test_mse_171100050402,24,0.16781102120876312
test_mse_171100050402,25,0.10269778966903687
test_mse_171100050402,26,0.09314046800136566
test_mse_171100050402,27,0.11708110570907593
test_mse_171100050402,28,0.08604971319437027
test_mse_171100050402,29,0.11722896248102188
test_mse_170602070105,0,0.004314788151532412
test_mse_170602070105,1,0.002043865853920579
test_mse_170602070105,2,0.0038616424426436424
test_mse_170602070105,3,0.010167568922042847
test_mse_170602070105,4,0.0010418671881780028
test_mse_170602070105,5,0.008680918253958225
test_mse_170602070105,6,0.008781053125858307
test_mse_170602070105,7,0.003973608370870352
test_mse_170602070105,8,0.004091343842446804
test_mse_170602070105,9,0.004019053652882576
test_mse_170602070105,10,0.004657354671508074
test_mse_170602070105,11,0.0026781540364027023
test_mse_170602070105,12,0.007354452274739742
test_mse_170602070105,13,0.012174615636467934
test_mse_170602070105,14,0.06611823290586472
test_mse_170602070105,15,0.19494561851024628
test_mse_170602070105,16,0.10776545852422714
test_mse_170602070105,17,0.050328031182289124
test_mse_170602070105,18,0.021714963018894196
test_mse_170602070105,19,0.03665297478437424
test_mse_170602070105,20,0.023862654343247414
test_mse_170602070105,21,0.030538128688931465
test_mse_170602070105,22,0.01188279502093792
test_mse_170602070105,23,0.017780926078557968
test_mse_170602070105,24,0.04088662937283516
test_mse_170602070105,25,0.011591018177568913
test_mse_170602070105,26,0.03539019823074341
test_mse_170602070105,27,0.026748253032565117
test_mse_170602070105,28,0.02791156992316246
test_mse_170602070105,29,0.019211415201425552
test_kge_170103040701,0,0.7859012888911939
test_kge_170103040701,1,0.8832931747628414
test_kge_170103040701,2,0.8053335985357644
test_kge_170103040701,3,0.7443862920238506
test_kge_170103040701,4,0.7738033692533375
test_kge_170103040701,5,0.5793081485792656
test_kge_170103040701,6,0.6063143017392411
test_kge_170103040701,7,0.9117833695147092
test_kge_170103040701,8,0.5857972410611351
test_kge_170103040701,9,0.825982860703216
test_kge_170103040701,10,0.8023306833109232
test_kge_170103040701,11,0.8439137398478483
test_kge_170103040701,12,0.8414210922666744
test_kge_170103040701,13,0.7037604799029689
test_kge_170103040701,14,-0.020503244056930825
test_kge_170103040701,15,-0.621010834485245
test_kge_170103040701,16,-0.05766323669329165
test_kge_170103040701,17,0.13585979483884747
test_kge_170103040701,18,0.4050271833253797
test_kge_170103040701,19,0.23593416462062666
test_kge_170103040701,20,0.16295557303358665
test_kge_170103040701,21,0.39081054325111064
test_kge_170103040701,22,0.6827632681092578
test_kge_170103040701,23,0.521609138458613
test_kge_170103040701,24,0.2684265420066505
test_kge_170103040701,25,0.3804285272063992
test_kge_170103040701,26,-0.13755335117084866
test_kge_170103040701,27,0.39345379146547277
test_kge_170103040701,28,0.36173499737809944
test_kge_170103040701,29,0.5041492236078541
test_mse_170602080206,0,0.011998280882835388
test_mse_170602080206,1,0.0028907922096550465
test_mse_170602080206,2,0.0012933259131386876
test_mse_170602080206,3,0.026912730187177658
test_mse_170602080206,4,0.007428807206451893
test_mse_170602080206,5,0.0015530602540820837
test_mse_170602080206,6,0.007715560961514711
test_mse_170602080206,7,0.003607797436416149
test_mse_170602080206,8,0.0014070242177695036
test_mse_170602080206,9,0.013519571162760258
test_mse_170602080206,10,0.0014612937811762094
test_mse_170602080206,11,0.01331041194498539
test_mse_170602080206,12,0.016871435567736626
test_mse_170602080206,13,0.017464149743318558
test_mse_170602080206,14,0.12555930018424988
test_mse_170602080206,15,0.2860061526298523
test_mse_170602080206,16,0.16124235093593597
test_mse_170602080206,17,0.08903703093528748
test_mse_170602080206,18,0.03265129402279854
test_mse_170602080206,19,0.06197536364197731
test_mse_170602080206,20,0.011321106925606728
test_mse_170602080206,21,0.009492800571024418
test_mse_170602080206,22,0.01672975905239582
test_mse_170602080206,23,0.0335773266851902
test_mse_170602080206,24,0.014538602903485298
test_mse_170602080206,25,0.013558228500187397
test_mse_170602080206,26,0.06288164854049683
test_mse_170602080206,27,0.014324351213872433
test_mse_170602080206,28,0.023980583995580673
test_mse_170602080206,29,0.00754041550680995
train_kge_170602070707,0,-500.0
train_kge_170602070707,1,-500.0
train_kge_170602070707,2,-500.0
train_kge_170602070707,3,-500.0
train_kge_170602070707,4,-500.0
train_kge_170602070707,5,-500.0
train_kge_170602070707,6,-500.0
train_kge_170602070707,7,-500.0
train_kge_170602070707,8,-500.0
train_kge_170602070707,9,-500.0
train_kge_170602070707,10,-500.0
train_kge_170602070707,11,-500.0
train_kge_170602070707,12,-500.0
train_kge_170602070707,13,-500.0
train_kge_170602070707,14,-500.0
train_kge_170602070707,15,-500.0
train_kge_170602070707,16,-500.0
train_kge_170602070707,17,-500.0
train_kge_170602070707,18,-500.0
train_kge_170602070707,19,-500.0
train_kge_170602070707,20,-500.0
train_kge_170602070707,21,-500.0
train_kge_170602070707,22,-500.0
train_kge_170602070707,23,-500.0
train_kge_170602070707,24,-500.0
train_kge_170602070707,25,-500.0
train_kge_170602070707,26,-500.0
train_kge_170602070707,27,-500.0
train_kge_170602070707,28,-500.0
train_kge_170602070707,29,-500.0
