Metric,Step,Value
test_r2_171100090403,0,0.8443722724914551
test_r2_171100090403,1,0.932899534702301
test_r2_171100090403,2,0.7087070941925049
test_r2_171100090403,3,0.9329339265823364
test_r2_171100090403,4,0.8143011927604675
test_r2_171100090403,5,0.9052267670631409
test_r2_171100090403,6,0.7016282081604004
test_r2_171100090403,7,0.9208750128746033
test_r2_171100090403,8,0.39962345361709595
test_r2_171100090403,9,0.8799009323120117
test_r2_171100090403,10,0.9187345504760742
test_r2_171100090403,11,0.8607892394065857
test_r2_171100090403,12,0.9329847097396851
test_r2_171100090403,13,0.6895685195922852
test_r2_171100090403,14,0.8771210312843323
test_r2_171100090403,15,0.6604973077774048
test_r2_171100090403,16,0.9254817366600037
test_mse_171100051007,0,0.008898274041712284
test_mse_171100051007,1,0.0038156486116349697
test_mse_171100051007,2,0.010857132263481617
test_mse_171100051007,3,0.005412623751908541
test_mse_171100051007,4,0.01285647228360176
test_mse_171100051007,5,0.005626368336379528
test_mse_171100051007,6,0.015392197296023369
test_mse_171100051007,7,0.006094495765864849
test_mse_171100051007,8,0.027684099972248077
test_mse_171100051007,9,0.010614038445055485
test_mse_171100051007,10,0.00467582605779171
test_mse_171100051007,11,0.01040093507617712
test_mse_171100051007,12,0.004763868637382984
test_mse_171100051007,13,0.011710477992892265
test_mse_171100051007,14,0.008755392394959927
test_mse_171100051007,15,0.01301602739840746
test_mse_171100051007,16,0.006864916533231735
test_r2_171100051007,0,0.7007719874382019
test_r2_171100051007,1,0.871688723564148
test_r2_171100051007,2,0.6349002122879028
test_r2_171100051007,3,0.8179861903190613
test_r2_171100051007,4,0.5676670670509338
test_r2_171100051007,5,0.8107984662055969
test_r2_171100051007,6,0.48239660263061523
test_r2_171100051007,7,0.7950564622879028
test_r2_171100051007,8,0.06904882192611694
test_r2_171100051007,9,0.6430748701095581
test_r2_171100051007,10,0.8427629470825195
test_r2_171100051007,11,0.6502410173416138
test_r2_171100051007,12,0.8398023247718811
test_r2_171100051007,13,0.6062041521072388
test_r2_171100051007,14,0.7055767774581909
test_r2_171100051007,15,0.5623016357421875
test_r2_171100051007,16,0.7691490054130554
test_mse_170200090203,0,0.01572335883975029
test_mse_170200090203,1,0.012737305834889412
test_mse_170200090203,2,0.02044219709932804
test_mse_170200090203,3,0.012723712250590324
test_mse_170200090203,4,0.021920129656791687
test_mse_170200090203,5,0.0066185020841658115
test_mse_170200090203,6,0.021133486181497574
test_mse_170200090203,7,0.036126758903265
test_mse_170200090203,8,0.02854369953274727
test_mse_170200090203,9,0.006403220351785421
test_mse_170200090203,10,0.04484865069389343
test_mse_170200090203,11,0.02871119976043701
test_mse_170200090203,12,0.007083249278366566
test_mse_170200090203,13,0.015418278984725475
test_mse_170200090203,14,0.006094323005527258
test_mse_170200090203,15,0.0073159122839570045
test_mse_170200090203,16,0.025249389931559563
test_mae_170200090201,0,0.0471770353615284
test_mae_170200090201,1,0.06613265722990036
test_mae_170200090201,2,0.04557936266064644
test_mae_170200090201,3,0.045687638223171234
test_mae_170200090201,4,0.0483446903526783
test_mae_170200090201,5,0.07253046333789825
test_mae_170200090201,6,0.06334942579269409
test_mae_170200090201,7,0.06274134665727615
test_mae_170200090201,8,0.06412483006715775
test_mae_170200090201,9,0.050272051244974136
test_mae_170200090201,10,0.05590231716632843
test_mae_170200090201,11,0.05024700239300728
test_mae_170200090201,12,0.03710803762078285
test_mae_170200090201,13,0.10792598873376846
test_mae_170200090201,14,0.046716831624507904
test_mae_170200090201,15,0.07081593573093414
test_mae_170200090201,16,0.04620855301618576
test_mse_171100090401,0,0.022917548194527626
test_mse_171100090401,1,0.006641749758273363
test_mse_171100090401,2,0.05661284551024437
test_mse_171100090401,3,0.0249894130975008
test_mse_171100090401,4,0.0447859950363636
test_mse_171100090401,5,0.007102668285369873
test_mse_171100090401,6,0.07316835224628448
test_mse_171100090401,7,0.010074964724481106
test_mse_171100090401,8,0.08123437315225601
test_mse_171100090401,9,0.015438769944012165
test_mse_171100090401,10,0.043456267565488815
test_mse_171100090401,11,0.03817632794380188
test_mse_171100090401,12,0.009736539795994759
test_mse_171100090401,13,0.01478095818310976
test_mse_171100090401,14,0.009698919951915741
test_mse_171100090401,15,0.00650519784539938
test_mse_171100090401,16,0.0345311164855957
test_r2_171100090401,0,0.8963510394096375
test_r2_171100090401,1,0.969961404800415
test_r2_171100090401,2,0.7439576387405396
test_r2_171100090401,3,0.8869805932044983
test_r2_171100090401,4,0.7974467873573303
test_r2_171100090401,5,0.9678768515586853
test_r2_171100090401,6,0.6690821647644043
test_r2_171100090401,7,0.9544340372085571
test_r2_171100090401,8,0.6326020956039429
test_r2_171100090401,9,0.930175244808197
test_r2_171100090401,10,0.8034607172012329
test_r2_171100090401,11,0.8273402452468872
test_r2_171100090401,12,0.9559646248817444
test_r2_171100090401,13,0.9331502914428711
test_r2_171100090401,14,0.9561347961425781
test_r2_171100090401,15,0.9705790281295776
test_r2_171100090401,16,0.843826413154602
test_mse_171100090202,0,0.012459605000913143
test_mse_171100090202,1,0.010217074304819107
test_mse_171100090202,2,0.013106516562402248
test_mse_171100090202,3,0.005827850662171841
test_mse_171100090202,4,0.008933552540838718
test_mse_171100090202,5,0.011783856898546219
test_mse_171100090202,6,0.015736931934952736
test_mse_171100090202,7,0.01082153245806694
test_mse_171100090202,8,0.027148175984621048
test_mse_171100090202,9,0.005362599156796932
test_mse_171100090202,10,0.005518611054867506
test_mse_171100090202,11,0.00598510354757309
test_mse_171100090202,12,0.008101648651063442
test_mse_171100090202,13,0.04575291648507118
test_mse_171100090202,14,0.008306469768285751
test_mse_171100090202,15,0.03010222129523754
test_mse_171100090202,16,0.006889014039188623
test_r2_171100090202,0,0.8525137901306152
test_r2_171100090202,1,0.8790589570999146
test_r2_171100090202,2,0.8448562026023865
test_r2_171100090202,3,0.9310148358345032
test_r2_171100090202,4,0.8942521810531616
test_r2_171100090202,5,0.8605127334594727
test_r2_171100090202,6,0.8137195706367493
test_r2_171100090202,7,0.8719038963317871
test_r2_171100090202,8,0.678642988204956
test_r2_171100090202,9,0.9365221261978149
test_r2_171100090202,10,0.934675395488739
test_r2_171100090202,11,0.9291534423828125
test_r2_171100090202,12,0.9040995836257935
test_r2_171100090202,13,0.4584158658981323
test_r2_171100090202,14,0.9016750454902649
test_r2_171100090202,15,0.6436754465103149
test_r2_171100090202,16,0.9184536933898926
test_mae_171100050705,0,0.0786362811923027
test_mae_171100050705,1,0.09783895313739777
test_mae_171100050705,2,0.07829216867685318
test_mae_171100050705,3,0.0736016258597374
test_mae_171100050705,4,0.0621928945183754
test_mae_171100050705,5,0.0979345366358757
test_mae_171100050705,6,0.09504906088113785
test_mae_171100050705,7,0.11500944197177887
test_mae_171100050705,8,0.08819738030433655
test_mae_171100050705,9,0.07802662253379822
test_mae_171100050705,10,0.06558315455913544
test_mae_171100050705,11,0.06344359368085861
test_mae_171100050705,12,0.07865004986524582
test_mae_171100050705,13,0.18450704216957092
test_mae_171100050705,14,0.08340825885534286
test_mae_171100050705,15,0.15185551345348358
test_mae_171100050705,16,0.06001082807779312
test_r2_171100050901,0,0.4083588719367981
test_r2_171100050901,1,0.199152410030365
test_r2_171100050901,2,0.862824022769928
test_r2_171100050901,3,0.6177946329116821
test_r2_171100050901,4,0.880764365196228
test_r2_171100050901,5,0.4146130084991455
test_r2_171100050901,6,0.7589336633682251
test_r2_171100050901,7,0.7072868347167969
test_r2_171100050901,8,0.6905401945114136
test_r2_171100050901,9,0.8030107617378235
test_r2_171100050901,10,0.8049010634422302
test_r2_171100050901,11,0.8299468159675598
test_r2_171100050901,12,0.638062596321106
test_r2_171100050901,13,-0.8982479572296143
test_r2_171100050901,14,0.7283608913421631
test_r2_171100050901,15,-0.5795807838439941
test_r2_171100050901,16,0.8087287545204163
test_mse_170200110404,0,0.004781104624271393
test_mse_170200110404,1,0.008068342693150043
test_mse_170200110404,2,0.004314129240810871
test_mse_170200110404,3,0.002547839190810919
test_mse_170200110404,4,0.005950522143393755
test_mse_170200110404,5,0.011609138920903206
test_mse_170200110404,6,0.007692244835197926
test_mse_170200110404,7,0.01602759212255478
test_mse_170200110404,8,0.011827382259070873
test_mse_170200110404,9,0.0048395609483122826
test_mse_170200110404,10,0.007456643972545862
test_mse_170200110404,11,0.007245577406138182
test_mse_170200110404,12,0.002690643770620227
test_mse_170200110404,13,0.02619210258126259
test_mse_170200110404,14,0.005892638582736254
test_mse_170200110404,15,0.010016282089054585
test_mse_170200110404,16,0.005126815289258957
test_mse_171100050702,0,0.016041923314332962
test_mse_171100050702,1,0.05216130241751671
test_mse_171100050702,2,0.02031114138662815
test_mse_171100050702,3,0.0127527741715312
test_mse_171100050702,4,0.011627692729234695
test_mse_171100050702,5,0.0350223034620285
test_mse_171100050702,6,0.016321921721100807
test_mse_171100050702,7,0.13160203397274017
test_mse_171100050702,8,0.009982681833207607
test_mse_171100050702,9,0.051872383803129196
test_mse_171100050702,10,0.018433937802910805
test_mse_171100050702,11,0.0091513991355896
test_mse_171100050702,12,0.023878460749983788
test_mse_171100050702,13,0.10227198898792267
test_mse_171100050702,14,0.05276165530085564
test_mse_171100050702,15,0.05913769453763962
test_mse_171100050702,16,0.011953030712902546
test_kge_171100050702,0,0.8179027291187617
test_kge_171100050702,1,0.5632673901421895
test_kge_171100050702,2,0.8629082575001861
test_kge_171100050702,3,0.842594105960105
test_kge_171100050702,4,0.9333044971800742
test_kge_171100050702,5,0.6486460116645134
test_kge_171100050702,6,0.912980929147851
test_kge_171100050702,7,0.26914789776803516
test_kge_171100050702,8,0.9051625808242222
test_kge_171100050702,9,0.5533839329224025
test_kge_171100050702,10,0.841299370237104
test_kge_171100050702,11,0.96253577001029
test_kge_171100050702,12,0.7263455779617684
test_kge_171100050702,13,0.3313903889287336
test_kge_171100050702,14,0.5426089392276903
test_kge_171100050702,15,0.5154533065085882
test_kge_171100050702,16,0.9379351146578415
test_mae_171100050702,0,0.08918388187885284
test_mae_171100050702,1,0.15888109803199768
test_mae_171100050702,2,0.09767508506774902
test_mae_171100050702,3,0.07674449682235718
test_mae_171100050702,4,0.07134325057268143
test_mae_171100050702,5,0.12935909628868103
test_mae_171100050702,6,0.0833393931388855
test_mae_171100050702,7,0.25972452759742737
test_mae_171100050702,8,0.06499605625867844
test_mae_171100050702,9,0.16089759767055511
