Metric,Step,Value
test_r2_170200090209,0,0.8993063569068909
test_r2_170200090209,1,0.9067051410675049
test_r2_170200090209,2,0.914477527141571
test_r2_170200090209,3,0.914311945438385
test_r2_170200090209,4,0.8484262228012085
test_r2_170200090209,5,0.8964704871177673
test_r2_170200090209,6,0.9251502752304077
test_r2_170200090209,7,0.9029124975204468
test_r2_170200090209,8,0.9259542226791382
test_r2_170200090209,9,0.8950762748718262
train_r2_170200090302,0,0.9356667995452881
train_r2_170200090302,1,0.9396870136260986
train_r2_170200090302,2,0.9406425356864929
train_r2_170200090302,3,0.9393823146820068
train_r2_170200090302,4,0.930776834487915
train_r2_170200090302,5,0.9366196393966675
train_r2_170200090302,6,0.9358205199241638
train_r2_170200090302,7,0.9321972131729126
train_r2_170200090302,8,0.9349180459976196
train_r2_170200090302,9,0.9369339346885681
train_mse_170200110601,0,0.0001760125014698133
train_mse_170200110601,1,0.00018706855189520866
train_mse_170200110601,2,0.000299546547466889
train_mse_170200110601,3,0.00016466082888655365
train_mse_170200110601,4,0.0001808210217859596
train_mse_170200110601,5,0.00017130661581177264
train_mse_170200110601,6,0.00018100428860634565
train_mse_170200110601,7,0.00014974809892009944
train_mse_170200110601,8,0.00016024232900235802
train_mse_170200110601,9,0.0001617781090317294
train_mae_170300010503,0,0.057221751660108566
train_mae_170300010503,1,0.05895448103547096
train_mae_170300010503,2,0.05360446125268936
train_mae_170300010503,3,0.050059590488672256
train_mae_170300010503,4,0.0542820580303669
train_mae_170300010503,5,0.04951724410057068
train_mae_170300010503,6,0.05010800436139107
train_mae_170300010503,7,0.049354929476976395
train_mae_170300010503,8,0.04386783391237259
train_mae_170300010503,9,0.04698304831981659
train_kge_170300010509,0,0.8379993614572261
train_kge_170300010509,1,0.9141328332883392
train_kge_170300010509,2,0.9666293184605976
train_kge_170300010509,3,0.9348608826801705
train_kge_170300010509,4,0.889275657569605
train_kge_170300010509,5,0.8904308059869279
train_kge_170300010509,6,0.9430142195860045
train_kge_170300010509,7,0.8614146669461562
train_kge_170300010509,8,0.9063417261311265
train_kge_170300010509,9,0.8935427936725657
test_mse_170200090302,0,0.0007352187531068921
test_mse_170200090302,1,0.0007991380989551544
test_mse_170200090302,2,0.0008436744683422148
test_mse_170200090302,3,0.0008107221801765263
test_mse_170200090302,4,0.001015357207506895
test_mse_170200090302,5,0.000960376113653183
test_mse_170200090302,6,0.0009367573074996471
test_mse_170200090302,7,0.000979366130195558
test_mse_170200090302,8,0.0009284400730393827
test_mse_170200090302,9,0.0009526660433039069
test_mae_170200110502,0,0.05782712996006012
test_mae_170200110502,1,0.05524924397468567
test_mae_170200110502,2,0.05016646906733513
test_mae_170200110502,3,0.058563124388456345
