Metric,Step,Value
test_r2_170200110502,0,0.6586402654647827
test_r2_170200110502,1,0.8464398384094238
test_r2_170200110502,2,0.9126167297363281
test_r2_170200110502,3,0.8691866397857666
test_r2_170200110502,4,0.8389055728912354
test_r2_170200110502,5,0.9024638533592224
test_r2_170200110502,6,0.8345476984977722
test_r2_170200110502,7,0.8364080786705017
test_r2_170200110502,8,0.9000616073608398
test_r2_170200110502,9,0.9572823643684387
test_r2_170200110502,10,0.9212384223937988
test_r2_170200110502,11,0.809985339641571
test_r2_170200110502,12,0.7922288775444031
test_r2_170200110502,13,0.8398619890213013
test_r2_170200110502,14,0.6311734914779663
test_r2_170200110502,15,0.8717019557952881
test_r2_170200110502,16,0.8759075403213501
test_r2_170200110502,17,0.9525814056396484
test_r2_170200110502,18,0.8660582304000854
test_r2_170200110502,19,0.7884318232536316
test_r2_170200110502,20,0.6677160859107971
test_r2_170200110502,21,0.46582531929016113
test_r2_170200110502,22,0.15062803030014038
test_r2_170200110502,23,0.45094114542007446
test_mse_170103020101,0,0.0041853999719023705
test_mse_170103020101,1,0.003735837060958147
test_mse_170103020101,2,0.008287917822599411
test_mse_170103020101,3,0.002297299914062023
test_mse_170103020101,4,0.002802429487928748
test_mse_170103020101,5,0.0016462350031360984
test_mse_170103020101,6,0.002120864111930132
test_mse_170103020101,7,0.0024387864395976067
test_mse_170103020101,8,0.02267523668706417
test_mse_170103020101,9,0.010316552594304085
test_mse_170103020101,10,0.010312231257557869
test_mse_170103020101,11,0.0031879073940217495
test_mse_170103020101,12,0.001765123219229281
test_mse_170103020101,13,0.0027558801230043173
test_mse_170103020101,14,0.0040183826349675655
test_mse_170103020101,15,0.0023653546813875437
test_mse_170103020101,16,0.005466488655656576
test_mse_170103020101,17,0.009699116460978985
test_mse_170103020101,18,0.008674153126776218
test_mse_170103020101,19,0.03804566338658333
test_mse_170103020101,20,0.006736885756254196
test_mse_170103020101,21,0.012820755131542683
test_mse_170103020101,22,0.01692030392587185
test_mse_170103020101,23,0.013922803103923798
test_mae_171100060202,0,0.12569426000118256
test_mae_171100060202,1,0.08739335834980011
test_mae_171100060202,2,0.06639079749584198
test_mae_171100060202,3,0.05507326498627663
test_mae_171100060202,4,0.0798310711979866
test_mae_171100060202,5,0.07329986989498138
test_mae_171100060202,6,0.0761544480919838
test_mae_171100060202,7,0.10140897333621979
test_mae_171100060202,8,0.10023541003465652
test_mae_171100060202,9,0.04089828580617905
test_mae_171100060202,10,0.050669264048337936
test_mae_171100060202,11,0.09916014969348907
test_mae_171100060202,12,0.11774445325136185
test_mae_171100060202,13,0.05522505193948746
test_mae_171100060202,14,0.14280278980731964
test_mae_171100060202,15,0.07715659588575363
test_mae_171100060202,16,0.045791856944561005
test_mae_171100060202,17,0.05094880238175392
test_mae_171100060202,18,0.06490594893693924
test_mae_171100060202,19,0.13116759061813354
test_mae_171100060202,20,0.18482758104801178
test_mae_171100060202,21,0.24397148191928864
test_mae_171100060202,22,0.2936026453971863
test_mae_171100060202,23,0.25466030836105347
test_mse_170200110301,0,0.016445927321910858
test_mse_170200110301,1,0.014467225410044193
test_mse_170200110301,2,0.02145155891776085
test_mse_170200110301,3,0.008898522704839706
test_mse_170200110301,4,0.015582910738885403
