Metric,Step,Value
test_recur_r2_170602080502,0,0.5132168531417847
test_recur_r2_170602080502,1,-0.246002197265625
test_recur_r2_170602080502,2,0.5211519002914429
test_recur_r2_170602080502,3,0.9530599117279053
test_recur_r2_170602080502,4,0.8424578905105591
test_recur_r2_170602080502,5,0.7672057151794434
test_recur_r2_170602080502,6,0.7050312757492065
test_recur_r2_170602080502,7,0.974932074546814
test_recur_r2_170602080502,8,0.8436974883079529
test_recur_r2_170602080502,9,0.8130378723144531
test_kge_171100060402,0,0.9796276328584925
test_kge_171100060402,1,0.8472994857722234
test_kge_171100060402,2,0.6125810749875191
test_kge_171100060402,3,0.7443342359756016
test_kge_171100060402,4,0.7779470924652903
test_kge_171100060402,5,-0.05077950416715704
test_kge_171100060402,6,0.7542531564365998
test_kge_171100060402,7,0.7785885786943945
test_kge_171100060402,8,0.2343447827078453
test_kge_171100060402,9,0.5664608556643943
test_kge_170602080108,0,0.9442048026805847
test_kge_170602080108,1,0.4349557945639051
test_kge_170602080108,2,-0.17863334600503644
test_kge_170602080108,3,0.6488500742551007
test_kge_170602080108,4,0.7272192249974541
test_kge_170602080108,5,0.9619021689947959
test_kge_170602080108,6,0.8309159963454931
test_kge_170602080108,7,0.710189173594612
test_kge_170602080108,8,0.5795368036746833
test_kge_170602080108,9,0.9523711596339488
test_r2_170602070701,0,0.9817874431610107
test_r2_170602070701,1,0.915069580078125
test_r2_170602070701,2,0.5228818655014038
test_r2_170602070701,3,0.8761071562767029
test_r2_170602070701,4,0.25800567865371704
test_r2_170602070701,5,0.4659609794616699
test_r2_170602070701,6,0.9193428158760071
test_r2_170602070701,7,0.9271122217178345
test_r2_170602070701,8,0.2099587321281433
test_r2_170602070701,9,0.8170937299728394
test_recur_mse_170602070707,0,0.0007374813430942595
test_recur_mse_170602070707,1,0.0024191774427890778
test_recur_mse_170602070707,2,0.0010101788211613894
test_recur_mse_170602070707,3,0.00499191228300333
test_recur_mse_170602070707,4,0.00433646235615015
test_recur_mse_170602070707,5,0.0005874421913176775
test_recur_mse_170602070707,6,0.0007338477880693972
test_recur_mse_170602070707,7,0.005541832651942968
test_recur_mse_170602070707,8,0.0016765249893069267
test_recur_mse_170602070707,9,0.001519462326541543
test_mse_170200110403,0,0.0013178172521293163
test_mse_170200110403,1,0.015357871539890766
test_mse_170200110403,2,0.04013535752892494
test_mse_170200110403,3,0.023419450968503952
test_mse_170200110403,4,0.008777666836977005
test_mse_170200110403,5,0.010600379668176174
test_mse_170200110403,6,0.01686328649520874
test_mse_170200110403,7,0.01777910441160202
test_mse_170200110403,8,0.016367049887776375
test_mse_170200110403,9,0.010166439227759838
test_kge_171100060102,0,0.9574761449145045
test_kge_171100060102,1,0.6013575874130783
test_kge_171100060102,2,0.5002546306356964
test_kge_171100060102,3,0.44845628817118977
test_kge_171100060102,4,0.7602499076834581
test_kge_171100060102,5,0.9245770794461597
test_kge_171100060102,6,0.5963621065526159
test_kge_171100060102,7,0.5435791093241343
test_kge_171100060102,8,0.9008040947479586
test_kge_171100060102,9,0.6740563147211511
test_recur_r2_170200110502,0,0.5820616483688354
test_recur_r2_170200110502,1,0.50919508934021
test_recur_r2_170200110502,2,0.5795977711677551
test_recur_r2_170200110502,3,0.9048094153404236
test_recur_r2_170200110502,4,0.9124975800514221
test_recur_r2_170200110502,5,0.6884152293205261
test_recur_r2_170200110502,6,0.6635478138923645
test_recur_r2_170200110502,7,0.9592221975326538
test_recur_r2_170200110502,8,0.827354907989502
test_recur_r2_170200110502,9,0.7403209209442139
test_mse_170200090108,0,0.0009022821905091405
test_mse_170200090108,1,0.03572503849864006
test_mse_170200090108,2,0.05430696904659271
test_mse_170200090108,3,0.045514531433582306
test_mse_170200090108,4,0.006630333140492439
test_mse_170200090108,5,0.0073514967225492
test_mse_170200090108,6,0.02990860305726528
test_mse_170200090108,7,0.030301466584205627
test_mse_170200090108,8,0.004562550690025091
test_mse_170200090108,9,0.018080107867717743
test_mse_170602080502,0,0.0008334113517776132
test_mse_170602080502,1,0.03787820041179657
test_mse_170602080502,2,0.09614069759845734
test_mse_170602080502,3,0.03405153006315231
test_mse_170602080502,4,0.004420046228915453
test_mse_170602080502,5,0.013120695948600769
test_mse_170602080502,6,0.01788393035531044
test_mse_170602080502,7,0.020340248942375183
