Metric,Step,Value
test_mse_170200090208,0,0.014106368646025658
test_mse_170200090208,1,0.012134444899857044
test_mse_170200090208,2,0.014729838818311691
test_mse_170200090208,3,0.011750935576856136
test_mse_170200090208,4,0.012415215373039246
test_mse_170200090208,5,0.012107130140066147
test_mse_170200090208,6,0.01224595122039318
test_mse_170200090208,7,0.011286290362477303
test_mse_170200090208,8,0.009634041227400303
test_mse_170200090208,9,0.00823437049984932
test_r2_170200090304,0,0.8561389446258545
test_r2_170200090304,1,0.8663055896759033
test_r2_170200090304,2,0.8150042295455933
test_r2_170200090304,3,0.8672462701797485
test_r2_170200090304,4,0.8355897665023804
test_r2_170200090304,5,0.8392655849456787
test_r2_170200090304,6,0.8029258251190186
test_r2_170200090304,7,0.8493218421936035
test_r2_170200090304,8,0.8720104098320007
test_r2_170200090301,0,0.8694589734077454
test_r2_170200090301,1,0.8226577639579773
test_r2_170200090301,2,0.8326874375343323
test_r2_170200090301,3,0.8365432620048523
test_r2_170200090301,4,0.8131901025772095
test_r2_170200090301,5,0.746873140335083
test_r2_170200090301,6,0.8507015705108643
test_r2_170200090301,7,0.8907214999198914
test_r2_170200090301,8,0.8555376529693604
test_r2_170200090301,9,0.8632444143295288
test_mse_170200090304,0,0.0005121646681800485
test_mse_170200090304,1,0.0004759700386784971
test_mse_170200090304,2,0.0006586096715182066
test_mse_170200090304,3,0.0004726211482193321
test_mse_170200090304,4,0.0005853223847225308
test_mse_170200090304,5,0.0005722360219806433
test_mse_170200090304,6,0.0007016105228103697
test_mse_170200090304,7,0.0005364344688132405
test_mse_170200090304,8,0.00045566007611341774
test_mae_170200090302,0,0.020294751971960068
test_mae_170200090302,1,0.022008227184414864
test_mae_170200090302,2,0.02056676708161831
test_mae_170200090302,3,0.017936836928129196
test_mae_170200090302,4,0.01834503374993801
test_mae_170200090302,5,0.018203508108854294
test_mae_170200090302,6,0.033089037984609604
test_mae_170200090302,7,0.027240656316280365
test_mae_170200090302,8,0.02150004170835018
test_mae_170200090302,9,0.02342323213815689
train_r2_170200090208,0,0.6619195938110352
train_r2_170200090208,1,0.7115156650543213
train_r2_170200090208,2,0.6451766490936279
train_r2_170200090208,3,0.7202510833740234
train_r2_170200090208,4,0.6922329664230347
train_r2_170200090208,5,0.7477117776870728
train_r2_170200090208,6,0.7371745705604553
train_r2_170200090208,7,0.7795106172561646
train_r2_170200090208,8,0.807651162147522
train_r2_170200090208,9,0.7942121028900146
train_mae_170200090208,0,0.07637482136487961
train_mae_170200090208,1,0.07037200778722763
train_mae_170200090208,2,0.07825928926467896
train_mae_170200090208,3,0.06766341626644135
