Metric,Step,Value
test_r2_170200110303,0,0.8889702558517456
test_r2_170200110303,1,0.8943491578102112
test_r2_170200110303,2,0.8961524367332458
test_r2_170200110303,3,0.9130251407623291
test_r2_170200110303,4,0.8907314538955688
test_r2_170200110303,5,0.9024263024330139
test_r2_170200110303,6,0.8982426524162292
test_r2_170200110303,7,0.8997432589530945
test_r2_170200110303,8,0.888826847076416
test_r2_170200110303,9,0.9000282287597656
train_mse_170200110303,0,0.0017849865835160017
train_mse_170200110303,1,0.0017676246352493763
train_mse_170200110303,2,0.0016692423960193992
train_mse_170200110303,3,0.0017276640282943845
train_mse_170200110303,4,0.001911718980409205
train_mse_170200110303,5,0.0018013297813013196
train_mse_170200110303,6,0.0019052381394430995
train_mse_170200110303,7,0.0019055395387113094
train_mse_170200110303,8,0.0018807064043357968
train_mse_170200110303,9,0.0018996145809069276
train_r2_170200110303,0,0.9769740700721741
train_r2_170200110303,1,0.9771980047225952
train_r2_170200110303,2,0.9784671664237976
train_r2_170200110303,3,0.9777135252952576
train_r2_170200110303,4,0.9753392338752747
train_r2_170200110303,5,0.9767632484436035
train_r2_170200110303,6,0.9754228591918945
train_r2_170200110303,7,0.9754189848899841
train_r2_170200110303,8,0.9757393002510071
train_r2_170200110303,9,0.9754953980445862
train_mae_170200110303,0,0.022344233468174934
train_mae_170200110303,1,0.021393494680523872
train_mae_170200110303,2,0.01983555778861046
train_mae_170200110303,3,0.022139139473438263
train_mae_170200110303,4,0.02077636681497097
train_mae_170200110303,5,0.02012161910533905
train_mae_170200110303,6,0.01995283178985119
train_mae_170200110303,7,0.01984509453177452
train_mae_170200110303,8,0.01918540894985199
train_mae_170200110303,9,0.019603155553340912
train_kge_170200110303,0,0.9378625108257405
train_kge_170200110303,1,0.9565452403855029
train_kge_170200110303,2,0.9721526907389078
train_kge_170200110303,3,0.9642615820049871
train_kge_170200110303,4,0.9555220817781749
train_kge_170200110303,5,0.9825580643866452
train_kge_170200110303,6,0.9864364288902023
train_kge_170200110303,7,0.9718109302070269
train_kge_170200110303,8,0.9716628673111698
train_kge_170200110303,9,0.9836698142476354
test_mae_170200110303,0,0.06399891525506973
test_mae_170200110303,1,0.06407173722982407
test_mae_170200110303,2,0.06364549696445465
test_mae_170200110303,3,0.060090258717536926
test_mae_170200110303,4,0.06539555639028549
test_mae_170200110303,5,0.06328059732913971
test_mae_170200110303,6,0.06480534374713898
test_mae_170200110303,7,0.06393447518348694
test_mae_170200110303,8,0.06578372418880463
test_mae_170200110303,9,0.06459491699934006
test_mse_170200110303,0,0.013567088171839714
test_mse_170200110303,1,0.01290981937199831
test_mse_170200110303,2,0.012689472176134586
test_mse_170200110303,3,0.010627740994095802
test_mse_170200110303,4,0.013351877219974995
test_mse_170200110303,5,0.011922849342226982
test_mse_170200110303,6,0.012434062547981739
test_mse_170200110303,7,0.012250698171555996
test_mse_170200110303,8,0.013584612868726254
test_mse_170200110303,9,0.012215878814458847
test_kge_170200110303,0,0.7702639691830022
test_kge_170200110303,1,0.7903716171655839
test_kge_170200110303,2,0.8080745849495482
test_kge_170200110303,3,0.8535841562463073
test_kge_170200110303,4,0.778713536358663
test_kge_170200110303,5,0.8246181979528016
test_kge_170200110303,6,0.8092714379244557
test_kge_170200110303,7,0.7987584021503051
test_kge_170200110303,8,0.7861773888448257
test_kge_170200110303,9,0.8291253289463272
test_kge_170200110304,0,0.8387440953790531
test_kge_170200110304,1,0.8645321354197892
test_kge_170200110304,2,0.8440411306842758
test_kge_170200110304,3,0.8287061011811377
test_kge_170200110304,4,0.8604752646538946
test_kge_170200110304,5,0.8327871176572855
test_kge_170200110304,6,0.8169230787478126
test_kge_170200110304,7,0.8637234420218046
test_kge_170200110304,8,0.8267352112693189
test_kge_170200110304,9,0.8445413519112553
test_mae_170200110304,0,0.06347121298313141
test_mae_170200110304,1,0.06363382935523987
test_mae_170200110304,2,0.06729985773563385
test_mae_170200110304,3,0.06753917038440704
test_mae_170200110304,4,0.0637698844075203
test_mae_170200110304,5,0.0659639909863472
test_mae_170200110304,6,0.06811574846506119
test_mae_170200110304,7,0.06633873283863068
test_mae_170200110304,8,0.06713847070932388
test_mae_170200110304,9,0.06433965265750885
train_kge_170200110304,0,0.9747201833225861
train_kge_170200110304,1,0.9702596415314246
train_kge_170200110304,2,0.9782166544264842
train_kge_170200110304,3,0.9517992948492773
train_kge_170200110304,4,0.984893059153834
train_kge_170200110304,5,0.9571440887141622
train_kge_170200110304,6,0.9570008210857891
train_kge_170200110304,7,0.978624669232196
train_kge_170200110304,8,0.969021000044992
train_kge_170200110304,9,0.9798582956542529
test_mse_170200110304,0,0.011059773154556751
test_mse_170200110304,1,0.010812198743224144
test_mse_170200110304,2,0.012185918167233467
test_mse_170200110304,3,0.012077178806066513
test_mse_170200110304,4,0.011127064004540443
test_mse_170200110304,5,0.011864312924444675
test_mse_170200110304,6,0.01288842037320137
test_mse_170200110304,7,0.011657843366265297
test_mse_170200110304,8,0.012096187099814415
test_mse_170200110304,9,0.011439795605838299
test_kge_170200110305,0,0.6124953465304199
test_kge_170200110305,1,0.6084309584481069
test_kge_170200110305,2,0.6251629509615797
test_kge_170200110305,3,0.6765670169037652
test_kge_170200110305,4,0.6857997450452404
test_kge_170200110305,5,0.7162637650303149
test_kge_170200110305,6,0.6379504093470976
test_kge_170200110305,7,0.6984697964785902
test_kge_170200110305,8,0.666105990926319
test_kge_170200110305,9,0.6594877717418148
test_mse_170200110305,0,0.008356858976185322
test_mse_170200110305,1,0.009140554815530777
test_mse_170200110305,2,0.00828358344733715
test_mse_170200110305,3,0.006999186240136623
test_mse_170200110305,4,0.006660257000476122
test_mse_170200110305,5,0.00652704294770956
test_mse_170200110305,6,0.007751865778118372
test_mse_170200110305,7,0.006459149997681379
test_mse_170200110305,8,0.0070313578471541405
test_mse_170200110305,9,0.007208454888314009
train_mse_170200110304,0,0.002257417654618621
train_mse_170200110304,1,0.002259686589241028
train_mse_170200110304,2,0.0027231574058532715
train_mse_170200110304,3,0.0021625589579343796
train_mse_170200110304,4,0.0018481682054698467
train_mse_170200110304,5,0.0024179527536034584
train_mse_170200110304,6,0.0022525801323354244
train_mse_170200110304,7,0.002257873769849539
train_mse_170200110304,8,0.0021616520825773478
train_mse_170200110304,9,0.0020890457089990377
train_r2_170200110304,0,0.9759863615036011
train_r2_170200110304,1,0.975962221622467
train_r2_170200110304,2,0.9710319638252258
train_r2_170200110304,3,0.9769954681396484
train_r2_170200110304,4,0.9803398251533508
train_r2_170200110304,5,0.9742786288261414
train_r2_170200110304,6,0.976037859916687
train_r2_170200110304,7,0.9759815335273743
train_r2_170200110304,8,0.9770050644874573
train_r2_170200110304,9,0.9777774810791016
train_mae_170200110304,0,0.023918669670820236
train_mae_170200110304,1,0.02376180700957775
train_mae_170200110304,2,0.02594517357647419
train_mae_170200110304,3,0.0240545105189085
train_mae_170200110304,4,0.02139621041715145
train_mae_170200110304,5,0.02500098943710327
train_mae_170200110304,6,0.023759495466947556
train_mae_170200110304,7,0.02400672435760498
train_mae_170200110304,8,0.024273889139294624
train_mae_170200110304,9,0.022703340277075768
test_r2_170200110304,0,0.9199936985969543
test_r2_170200110304,1,0.9217846393585205
test_r2_170200110304,2,0.9118471741676331
test_r2_170200110304,3,0.9126337766647339
test_r2_170200110304,4,0.9195069074630737
test_r2_170200110304,5,0.9141736626625061
test_r2_170200110304,6,0.9067652821540833
test_r2_170200110304,7,0.9156672358512878
test_r2_170200110304,8,0.9124962687492371
test_r2_170200110304,9,0.9172446131706238
train_mse_170200110305,0,0.000769228208810091
train_mse_170200110305,1,0.000680550467222929
train_mse_170200110305,2,0.0006822762661613524
train_mse_170200110305,3,0.0006021852022968233
train_mse_170200110305,4,0.000601037812884897
train_mse_170200110305,5,0.0005967736942693591
train_mse_170200110305,6,0.0005888742161914706
train_mse_170200110305,7,0.0005534836673177779
train_mse_170200110305,8,0.0005414343904703856
