Metric,Step,Value
test_kge_170200090101,0,0.841945891797327
test_kge_170200090101,1,0.1721658529526543
test_kge_170200090101,2,0.7074146496218292
test_kge_170200090101,3,0.8755034724969543
test_kge_170200090101,4,0.8100788842974145
test_kge_170200090101,5,0.8867466789900469
test_mse_170200090109,0,0.007871676236391068
test_mse_170200090110,0,0.007694722153246403
train_mae_170200090111,0,0.05210929736495018
train_mae_170200090111,1,0.04439408704638481
test_mae_170200090101,0,0.1437215656042099
test_mae_170200090101,1,0.31375858187675476
test_mae_170200090101,2,0.1514480859041214
test_mae_170200090101,3,0.1186954453587532
test_mae_170200090101,4,0.09054981917142868
test_mae_170200090101,5,0.07396285980939865
test_kge_170200090109,0,0.9497010233755143
test_r2_170200090102,0,0.9342148900032043
test_r2_170200090102,1,0.9335922002792358
test_r2_170200090102,2,0.9351019859313965
train_kge_170200090107,0,0.9579943373196007
train_kge_170200090101,0,0.8141069687229674
train_kge_170200090101,1,0.2163442423095765
train_kge_170200090101,2,0.6761139508959586
train_kge_170200090101,3,0.8584892307815044
train_kge_170200090101,4,0.7654172561208901
train_kge_170200090101,5,0.9634411523854254
train_mse_170200090101,0,0.0524756945669651
train_mse_170200090101,1,0.13205385208129883
train_mse_170200090101,2,0.06676120311021805
train_mse_170200090101,3,0.03826679289340973
train_mse_170200090101,4,0.031205158680677414
train_mse_170200090101,5,0.011319322511553764
test_mae_170200090110,0,0.05063505098223686
train_mae_170200090113,0,0.06337828189134598
test_kge_170200090202,0,0.8645002453729602
test_r2_170200090101,0,0.7440022230148315
test_r2_170200090101,1,0.24002355337142944
test_r2_170200090101,2,0.6891254186630249
test_r2_170200090101,3,0.8163881301879883
test_r2_170200090101,4,0.8896799683570862
test_r2_170200090101,5,0.9265862703323364
test_mae_170200090109,0,0.05005611479282379
train_r2_170200090110,0,0.9712973237037659
test_r2_170200090201,0,0.9075243473052979
test_r2_170200090201,1,0.9186722636222839
test_r2_170200090202,0,0.8930051922798157
test_r2_170200090103,0,0.9399574995040894
test_r2_170200090103,1,0.9433718919754028
train_mae_170200090103,0,0.04646562039852142
train_mae_170200090103,1,0.04433587193489075
train_mae_170200090104,0,0.057870298624038696
train_r2_170200090108,0,0.9775033593177795
train_mse_170200090110,0,0.0032182633876800537
train_mse_170200110105,0,0.002155461348593235
train_mse_170200110105,1,0.001853134948760271
train_mse_170200110105,2,0.0016070620622485876
train_mse_170200110105,3,0.0011985375313088298
train_mse_170200090104,0,0.007498267572373152
train_mse_170200090113,0,0.010123686864972115
train_r2_170200090107,0,0.9777734875679016
train_mae_170200110203,0,0.03150097280740738
train_mae_170200110203,1,0.025909457355737686
train_mae_170200110203,2,0.025399865582585335
train_mae_170200110203,3,0.022564785555005074
test_kge_170200110108,0,0.8258007132628109
test_mse_170200110109,0,0.012315643019974232
train_kge_170200110111,0,0.9496584516249127
train_kge_170200110111,1,0.9289936439838845
train_kge_170200110111,2,0.9568498448497719
train_r2_171100050707,0,0.9481717348098755
train_r2_171100050707,1,0.9488533139228821
train_r2_171100050707,2,0.947530210018158
train_r2_171100050707,3,0.9457932710647583
train_r2_171100050707,4,0.9491426348686218
train_r2_171100050707,5,0.9562605619430542
train_r2_171100050707,6,0.9537522792816162
train_r2_171100050707,7,0.9513497352600098
train_r2_171100050707,8,0.9536634683609009
train_r2_171100050707,9,0.9552873969078064
train_mse_170200090108,0,0.003516795812174678
test_r2_170200090104,0,0.9326165914535522
test_mae_170200090113,0,0.09680730849504471
train_mae_170200090203,0,0.05507413670420647
