Metric,Step,Value
train_mse_170200110305,0,0.0012584137730300426
train_r2_170200110109,0,0.9485847353935242
train_mae_170200110109,0,0.05595683678984642
test_kge_170200110111,0,0.7899076921155532
test_kge_170200110111,1,0.8750400274961339
test_kge_170200110111,2,0.9105221518393449
test_kge_170200110111,3,0.8647362909353602
test_kge_170200110304,0,0.833566456348638
test_kge_170200110304,1,0.8554149167950611
train_kge_170200110305,0,0.9777811540856933
train_r2_170200110307,0,0.9429820775985718
train_r2_170200110307,1,0.903099000453949
train_r2_170200110307,2,0.9547529220581055
train_r2_170200110307,3,0.9459519982337952
train_r2_170200110307,4,0.9487214684486389
train_r2_170200110307,5,0.9569852948188782
train_mse_170200110401,0,0.015224345959722996
train_mse_170200110401,1,0.012085840106010437
test_r2_170200110403,0,0.9218554496765137
test_mse_171100050405,0,0.0034296561498194933
train_kge_170200110111,0,0.9184081975720733
train_kge_170200110111,1,0.9217116437402002
train_kge_170200110111,2,0.809535125539162
train_kge_170200110111,3,0.9623101956436498
test_r2_170200110202,0,0.902607262134552
test_r2_170200110202,1,0.9337145090103149
test_r2_170200110302,0,0.9294902682304382
test_r2_170200110302,1,0.915431022644043
train_kge_170200110302,0,0.9433537545809226
train_kge_170200110302,1,0.9569642494070355
train_kge_170200110401,0,0.9441227138108161
train_kge_170200110401,1,0.9768211492220211
train_r2_170200110305,0,0.9566808938980103
test_mae_170200110307,0,0.029111649841070175
test_mae_170200110307,1,0.029195012524724007
test_mae_170200110307,2,0.028046010062098503
test_mae_170200110307,3,0.02920670434832573
test_mae_170200110307,4,0.027937602251768112
test_mae_170200110307,5,0.028990386053919792
test_mae_170200110304,0,0.06250521540641785
test_mae_170200110304,1,0.06274151802062988
test_kge_170200110405,0,0.852041693264177
test_kge_170200110405,1,0.8985931454078303
test_kge_170200110405,2,0.8819334043442502
test_kge_170200110405,3,0.8500661030123224
test_kge_170200110405,4,0.8661314482883875
test_kge_170200110405,5,0.8478608794348013
test_kge_170200110405,6,0.864336886655468
test_kge_170200110405,7,0.8535736732931098
test_kge_170200110405,8,0.8084408282949046
test_kge_170200110405,9,0.8316556365495678
train_mae_170200110403,0,0.05492350086569786
test_kge_171100050505,0,0.9487239454239706
train_kge_170200110304,0,0.9410440111407306
train_kge_170200110304,1,0.9697208034307014
test_kge_171100050503,0,0.9401306961364237
train_mse_171100050604,0,0.003274667076766491
train_mae_171100050604,0,0.03676436096429825
test_mae_171100050702,0,0.08059094846248627
test_mae_171100050403,0,0.03921971470117569
train_mse_171100050502,0,0.0023676420096307993
train_mae_171100050502,0,0.031207527965307236
train_mse_171100050503,0,0.00552787259221077
train_mae_171100050505,0,0.04743830859661102
train_kge_170200110702,0,0.9613238396622452
train_r2_170200110703,0,0.9299638867378235
train_r2_170200110703,1,0.937903642654419
train_r2_170200110703,2,0.9354943037033081
