Metric,Step,Value
train_mse_171100090102,0,0.024412784725427628
train_mse_171100090102,1,0.01593434065580368
train_mse_171100090102,2,0.009363139979541302
train_mse_171100090102,3,0.008711954578757286
train_mse_171100090102,4,0.007613510824739933
train_mse_171100090102,5,0.01000414788722992
train_mse_171100090102,6,0.009879826568067074
train_mse_171100090102,7,0.008160463534295559
train_mse_171100090102,8,0.008231348358094692
train_mse_171100090102,9,0.004635827150195837
train_mse_171100090202,0,0.01674623042345047
train_mse_171100090202,1,0.015715129673480988
train_mse_171100090202,2,0.009283855557441711
train_mse_171100090202,3,0.00894706230610609
train_mse_171100090202,4,0.0057198056019842625
train_mse_171100090202,5,0.005649996921420097
train_mse_171100090202,6,0.004785089287906885
train_mse_171100090202,7,0.008103772066533566
train_mse_171100090202,8,0.003994775004684925
train_mse_171100090202,9,0.0035378080792725086
test_mse_171100090303,0,0.015707891434431076
test_mse_171100090303,1,0.020466873422265053
test_mse_171100090303,2,0.012379012070596218
test_mse_171100090303,3,0.009549501352012157
test_mse_171100090303,4,0.011553533375263214
test_mse_171100090303,5,0.00910276174545288
test_mse_171100090303,6,0.010697307996451855
test_mse_171100090303,7,0.015426656231284142
test_mse_171100090303,8,0.014957906678318977
test_mse_171100090303,9,0.012163808569312096
test_kge_171100090202,0,0.5396664606032767
test_kge_171100090202,1,0.7804954380740005
test_kge_171100090202,2,0.661651780937381
test_kge_171100090202,3,0.6684411363442324
test_kge_171100090202,4,0.6733360597320728
test_kge_171100090202,5,0.6529415265728669
test_kge_171100090202,6,0.6233009222149354
test_kge_171100090202,7,0.5238828163392706
test_kge_171100090202,8,0.6256853812682204
test_kge_171100090202,9,0.7300603291347911
train_mse_171100090403,0,0.01573525369167328
train_mse_171100090403,1,0.012314621359109879
train_mse_171100090403,2,0.006292356643825769
train_mse_171100090403,3,0.00585134606808424
train_mse_171100090403,4,0.007117742672562599
train_mse_171100090403,5,0.0053512826561927795
train_mse_171100090403,6,0.003069056896492839
train_mse_171100090403,7,0.0025049003306776285
train_mse_171100090403,8,0.015989193692803383
train_mse_171100090403,9,0.002913564210757613
train_mse_171100090601,0,0.001820534816943109
train_mse_171100090601,1,0.0014516024384647608
train_mse_171100090601,2,0.0008864784031175077
train_mse_171100090601,3,0.0007085627876222134
train_mse_171100090601,4,0.0007259646663442254
train_mse_171100090601,5,0.0008658493752591312
train_mse_171100090601,6,0.0005107278120703995
train_mse_171100090601,7,0.0004337395366746932
train_mse_171100090601,8,0.0005086675519123673
train_mse_171100090601,9,0.0003726118884515017
test_mse_171100090103,0,0.05133257061243057
test_mse_171100090103,1,0.023646986111998558
test_mse_171100090103,2,0.025152957066893578
test_mse_171100090103,3,0.01739925891160965
test_mse_171100090103,4,0.01157281082123518
test_mse_171100090103,5,0.012956228107213974
test_mse_171100090103,6,0.01607237569987774
test_mse_171100090103,7,0.019980289041996002
test_mse_171100090103,8,0.01704314723610878
test_mse_171100090103,9,0.01478138193488121
train_mse_171100090702,0,0.0016186073189601302
train_mse_171100090702,1,0.0040862830355763435
train_mse_171100090702,2,0.0016586596611887217
train_mse_171100090702,3,0.0009196301689371467
train_mse_171100090702,4,0.0007474399171769619
train_mse_171100090702,5,0.0005995134124532342
train_mse_171100090702,6,0.0005664183991029859
train_mse_171100090702,7,0.0013247675960883498
train_mse_171100090702,8,0.000331377872498706
train_mse_171100090702,9,0.0004028095572721213
train_mse_171100090401,0,0.04529628902673721
train_mse_171100090401,1,0.027781827375292778
train_mse_171100090401,2,0.024404581636190414
train_mse_171100090401,3,0.019377684220671654
train_mse_171100090401,4,0.01581721007823944
train_mse_171100090401,5,0.013714374043047428
train_mse_171100090401,6,0.025694837793707848
train_mse_171100090401,7,0.012051282450556755
train_mse_171100090401,8,0.010930071584880352
train_mse_171100090401,9,0.00997940730303526
test_mse_171100090701,0,2.6033883841591887e-05
test_mse_171100090701,1,2.4197854145313613e-05
test_mse_171100090701,2,2.398220749455504e-05
test_mse_171100090701,3,2.4109172954922542e-05
test_mse_171100090701,4,2.3984126528375782e-05
test_mse_171100090701,5,2.4135641069733538e-05
test_mse_171100090701,6,2.3774207875248976e-05
test_mse_171100090701,7,2.4028706320677884e-05
test_mse_171100090701,8,2.3724502170807682e-05
test_mse_171100090701,9,2.3231257728184573e-05
train_mse_171100090701,0,6.3811112340772524e-06
train_mse_171100090701,1,5.112401140650036e-06
train_mse_171100090701,2,4.972454917151481e-06
train_mse_171100090701,3,5.0788380576705094e-06
train_mse_171100090701,4,5.002436864742776e-06
train_mse_171100090701,5,5.108015557198087e-06
train_mse_171100090701,6,4.882242592429975e-06
train_mse_171100090701,7,4.931847342959372e-06
train_mse_171100090701,8,4.838520453631645e-06
train_mse_171100090701,9,4.026675469503971e-06
train_kge_171100090102,0,0.7997232778261495
train_kge_171100090102,1,0.8811777631202502
train_kge_171100090102,2,0.9535722194813924
train_kge_171100090102,3,0.9572276889335722
train_kge_171100090102,4,0.9570479607333499
train_kge_171100090102,5,0.9151834366973784
train_kge_171100090102,6,0.8985453951320048
train_kge_171100090102,7,0.8772605477525983
train_kge_171100090102,8,0.9167211997106696
train_kge_171100090102,9,0.970310207961568
train_kge_171100090202,0,0.7865886091560451
train_kge_171100090202,1,0.7909615309685396
train_kge_171100090202,2,0.8995938403300626
train_kge_171100090202,3,0.9278971876364546
train_kge_171100090202,4,0.8934172904703083
train_kge_171100090202,5,0.8640873342127848
train_kge_171100090202,6,0.8662506628977862
train_kge_171100090202,7,0.7319243427450202
train_kge_171100090202,8,0.8838068076885854
train_kge_171100090202,9,0.9398484990005661
train_kge_171100090303,0,0.8078830916155065
train_kge_171100090303,1,0.554554505260006
train_kge_171100090303,2,0.7773911591653797
train_kge_171100090303,3,0.8400266510927588
train_kge_171100090303,4,0.9307327058362259
train_kge_171100090303,5,0.6961045248925537
train_kge_171100090303,6,0.8362022011006955
train_kge_171100090303,7,0.7493920379684953
train_kge_171100090303,8,0.781197208555023
train_kge_171100090303,9,0.9088680658803697
test_kge_171100090403,0,0.3395257324419866
test_kge_171100090403,1,0.32664662159262337
test_kge_171100090403,2,0.5668363071034203
test_kge_171100090403,3,0.6841465808426719
test_kge_171100090403,4,0.5983496016154939
test_kge_171100090403,5,0.7964353092727672
test_kge_171100090403,6,0.6180384045320935
test_kge_171100090403,7,0.6472751678799165
test_kge_171100090403,8,0.35121041179868395
test_kge_171100090403,9,0.5866304056328411
test_mse_171100090202,0,0.03717752918601036
test_mse_171100090202,1,0.023065919056534767
test_mse_171100090202,2,0.024691903963685036
test_mse_171100090202,3,0.032127901911735535
test_mse_171100090202,4,0.03173905238509178
test_mse_171100090202,5,0.03271283209323883
test_mse_171100090202,6,0.03377665579319
test_mse_171100090202,7,0.041928716003894806
test_mse_171100090202,8,0.034386903047561646
test_mse_171100090202,9,0.026516100391745567
train_kge_171100090601,0,0.803594643123433
train_kge_171100090601,1,0.7841693580650504
train_kge_171100090601,2,0.8601234332471381
train_kge_171100090601,3,0.9168863599844123
train_kge_171100090601,4,0.9407314028828337
train_kge_171100090601,5,0.7601833645746946
train_kge_171100090601,6,0.8965570092194265
train_kge_171100090601,7,0.8517324479785477
train_kge_171100090601,8,0.8446036840486639
train_kge_171100090601,9,0.897191393108357
test_kge_171100090702,0,0.38060862571753584
test_kge_171100090702,1,-0.683836718840821
test_kge_171100090702,2,0.18375868323476074
test_kge_171100090702,3,0.6356707539911128
test_kge_171100090702,4,0.4479213115073595
test_kge_171100090702,5,0.6546943612810869
test_kge_171100090702,6,0.7935352146390424
test_kge_171100090702,7,0.1650211561651248
test_kge_171100090702,8,0.6715187293640279
test_kge_171100090702,9,0.506039611898534
test_mse_171100090403,0,0.043734386563301086
test_mse_171100090403,1,0.0421149879693985
test_mse_171100090403,2,0.02573147788643837
test_mse_171100090403,3,0.021434513852000237
test_mse_171100090403,4,0.02265974134206772
test_mse_171100090403,5,0.016635093837976456
test_mse_171100090403,6,0.02436801604926586
test_mse_171100090403,7,0.024735329672694206
test_mse_171100090403,8,0.044622521847486496
test_mse_171100090403,9,0.028627004474401474
test_kge_171100090102,0,0.8145388305999379
test_kge_171100090102,1,0.8676497049713671
test_kge_171100090102,2,0.8982237634964901
test_kge_171100090102,3,0.8795046276814581
test_kge_171100090102,4,0.8128743412218467
test_kge_171100090102,5,0.9003404600192968
test_kge_171100090102,6,0.8627683725420225
test_kge_171100090102,7,0.8929025566668926
test_kge_171100090102,8,0.8255042237094963
test_kge_171100090102,9,0.9118517841512699
train_mse_171100090203,0,0.015232737176120281
train_mse_171100090203,1,0.005382646806538105
train_mse_171100090203,2,0.005781990941613913
train_mse_171100090203,3,0.010521836578845978
train_mse_171100090203,4,0.0031885490752756596
train_mse_171100090203,5,0.0028165343683212996
train_mse_171100090203,6,0.008020201697945595
train_mse_171100090203,7,0.0035286296624690294
train_mse_171100090203,8,0.00229149148799479
train_mse_171100090203,9,0.0021166361402720213
test_mse_171100090203,0,0.01608606055378914
test_mse_171100090203,1,0.007650434039533138
test_mse_171100090203,2,0.00946260429918766
test_mse_171100090203,3,0.01785808987915516
test_mse_171100090203,4,0.009316647425293922
test_mse_171100090203,5,0.007638546172529459
test_mse_171100090203,6,0.01157568022608757
test_mse_171100090203,7,0.007710689678788185
test_mse_171100090203,8,0.009401267394423485
