Metric,Step,Value
train_mae_170200110503,0,0.014943769201636314
train_mae_170200110503,1,0.013889454305171967
train_mae_170200110503,2,0.014066253788769245
train_mae_170200110503,3,0.013309361413121223
train_mae_170200110503,4,0.012393857352435589
train_mae_170200110503,5,0.012365100905299187
train_mae_170200110503,6,0.012661845423281193
train_mae_170200110503,7,0.012030788697302341
train_mae_170200110503,8,0.012594927102327347
train_mae_170200110503,9,0.011238052509725094
test_r2_170200090304,0,0.8006038665771484
test_r2_170200090304,1,0.8452633619308472
test_r2_170200090304,2,0.8531200289726257
test_r2_170200090304,3,0.8782442808151245
test_r2_170200090304,4,0.8392724990844727
test_r2_170200090304,5,0.8484233617782593
test_r2_170200090304,6,0.8720483779907227
test_r2_170200090304,7,0.872703492641449
test_r2_170200090304,8,0.8415115475654602
test_r2_170200090304,9,0.8817809224128723
test_kge_170200090208,0,-0.4282116589502323
test_kge_170200090208,1,-0.4304804331438956
test_kge_170200090208,2,-0.41987657823631674
test_kge_170200090208,3,-0.42382504684946576
test_kge_170200090208,4,-0.4238308170234273
test_kge_170200090208,5,-0.4272201579809183
test_kge_170200090208,6,-0.4227586142717694
test_kge_170200090208,7,-0.41829166835751574
test_kge_170200090208,8,-0.419811044945138
test_kge_170200090208,9,-0.41710535529013537
train_kge_170200110602,0,0.9309221131545471
train_kge_170200110602,1,0.9264217194988009
train_kge_170200110602,2,0.9321906772020451
train_kge_170200110602,3,0.8589927128392677
train_kge_170200110602,4,0.8709778221313997
train_kge_170200110602,5,0.9353490397310715
train_kge_170200110602,6,0.9333318524180544
train_kge_170200110602,7,0.8380967133822552
train_kge_170200110602,8,0.9052509115149165
train_kge_170200110602,9,0.887655196087987
test_mse_170200110406,0,0.00642727455124259
test_mse_170200110406,1,0.005568256601691246
test_mse_170200110406,2,0.004324548412114382
test_mse_170200110406,3,0.004254351835697889
test_mse_170200110406,4,0.0036275782622396946
test_mse_170200110406,5,0.005438292399048805
test_mse_170200110406,6,0.004305472131818533
test_mse_170200110406,7,0.003859658492729068
test_mse_170200110406,8,0.005105692893266678
test_mse_170200110406,9,0.0041411081328988075
train_kge_170200110502,0,0.8355207859485767
train_kge_170200110502,1,0.877678956755122
train_kge_170200110502,2,0.9062701266942399
train_kge_170200110502,3,0.8396971508620532
train_kge_170200110502,4,0.9063411428242037
train_kge_170200110502,5,0.8977871953843141
train_kge_170200110502,6,0.8031547637698628
train_kge_170200110502,7,0.9169737166366966
train_kge_170200110502,8,0.8948030296146596
train_kge_170200110502,9,0.9350838426402557
test_mse_170200110503,0,0.0006925537018105388
test_mse_170200110503,1,0.0005814690375700593
test_mse_170200110503,2,0.0005590966320596635
test_mse_170200110503,3,0.0005472060875035822
test_mse_170200110503,4,0.0006093513802625239
test_mse_170200110503,5,0.0005940216942690313
test_mse_170200110503,6,0.0005615382688120008
test_mse_170200110503,7,0.0005657816655002534
test_mse_170200110503,8,0.0008980873972177505
test_mse_170200110503,9,0.000730534375179559
test_mae_170200110503,0,0.013927395455539227
test_mae_170200110503,1,0.012643218971788883
test_mae_170200110503,2,0.012809021398425102
test_mae_170200110503,3,0.012958569452166557
test_mae_170200110503,4,0.013113569468259811
test_mae_170200110503,5,0.013086408376693726
test_mae_170200110503,6,0.012244568206369877
test_mae_170200110503,7,0.012628360651433468
test_mae_170200110503,8,0.015486192889511585
test_mae_170200110503,9,0.013955228962004185
train_r2_170200090304,0,0.841084897518158
train_r2_170200090304,1,0.8863932490348816
train_r2_170200090304,2,0.9017194509506226
train_r2_170200090304,3,0.9252880811691284
train_r2_170200090304,4,0.8860737085342407
train_r2_170200090304,5,0.8892611265182495
train_r2_170200090304,6,0.9258479475975037
train_r2_170200090304,7,0.9097274541854858
train_r2_170200090304,8,0.9387097358703613
train_r2_170200090304,9,0.9262632131576538
train_kge_170200090209,0,-0.4177882157558255
train_kge_170200090209,1,-0.4184442549509668
train_kge_170200090209,2,-0.4168692244485528
train_kge_170200090209,3,-0.42214815775250236
train_kge_170200090209,4,-0.418798005008155
train_kge_170200090209,5,-0.41704798943157706
train_kge_170200090209,6,-0.4173770880403458
train_kge_170200090209,7,-0.4173588090041618
train_kge_170200090209,8,-0.41683376724305465
train_kge_170200090209,9,-0.41609772167868453
test_r2_170200110503,0,0.8558859825134277
test_r2_170200110503,1,0.8790017366409302
test_r2_170200110503,2,0.8836572170257568
test_r2_170200110503,3,0.8861315250396729
test_r2_170200110503,4,0.8731996417045593
test_r2_170200110503,5,0.8763896226882935
test_r2_170200110503,6,0.8831491470336914
test_r2_170200110503,7,0.882266104221344
test_r2_170200110503,8,0.8131163716316223
test_r2_170200110503,9,0.8479825854301453
train_r2_170200110503,0,0.883190929889679
train_r2_170200110503,1,0.898190975189209
train_r2_170200110503,2,0.9003326892852783
train_r2_170200110503,3,0.9054214358329773
train_r2_170200110503,4,0.9220622777938843
train_r2_170200110503,5,0.916397213935852
train_r2_170200110503,6,0.9015148282051086
train_r2_170200110503,7,0.9226952791213989
