Metric,Step,Value
train_mse_170200090208,0,0.014095713384449482
train_mse_170200090208,1,0.015699850395321846
train_mse_170200090208,2,0.011665518395602703
train_mse_170200090208,3,0.015071971341967583
train_mse_170200090208,4,0.054236896336078644
train_mse_170200090208,5,0.0521731935441494
train_mse_170200090208,6,0.018282728269696236
train_mse_170200090208,7,0.011291416361927986
train_mse_170200090208,8,0.053161412477493286
train_mse_170200090208,9,0.048866160213947296
test_kge_170200090304,0,0.7953074567093366
test_kge_170200090304,1,0.9165418339502733
train_r2_170200110503,0,0.8870407342910767
train_r2_170200110503,1,0.8845582604408264
train_r2_170200110503,2,0.8897390365600586
train_r2_170200110503,3,0.8724202513694763
train_r2_170200110503,4,0.8367410898208618
train_r2_170200110503,5,0.884870171546936
train_r2_170200110503,6,0.8972856402397156
train_r2_170200110503,7,0.8786444664001465
train_r2_170200110503,8,0.8779846429824829
train_r2_170200110503,9,0.9116397500038147
test_kge_171100050402,0,0.18111402591186176
test_kge_171100050402,1,0.8448872556320892
test_kge_171100050402,2,0.7294863839145094
test_kge_171100050402,3,0.864957158887992
test_kge_171100050402,4,0.8848785040792727
test_kge_171100050402,5,0.9415897157703847
test_kge_171100050402,6,0.9548620836177351
test_kge_171100050402,7,0.8317766171734688
test_r2_171100050501,0,0.8767397999763489
test_r2_171100050501,1,0.9515668749809265
train_mse_170300010201,0,0.011668511666357517
train_mse_170300010201,1,0.0066907680593431
train_mse_170300010201,2,0.005827472545206547
train_mse_170300010201,3,0.0064676543697714806
train_mse_170300010201,4,0.006409605499356985
train_mse_170300010201,5,0.018420832231640816
train_mse_170300010201,6,0.004889842588454485
train_mse_170300010201,7,0.005958837922662497
train_mse_170300010201,8,0.006590472999960184
train_mse_170300010201,9,0.005321348085999489
train_r2_170300010402,0,0.9281258583068848
train_r2_170300010402,1,0.9212468862533569
train_r2_170300010402,2,0.9470511078834534
test_r2_170200090301,0,0.6615889668464661
test_r2_170200090301,1,0.774854302406311
test_r2_170200090301,2,0.8416464924812317
test_r2_170200090301,3,0.6778190732002258
test_r2_170200090301,4,0.8549988269805908
test_r2_170200090301,5,0.8921177387237549
test_r2_170200090301,6,0.8973522186279297
test_r2_170200090301,7,0.9040060043334961
test_r2_170200090301,8,0.8681144118309021
test_r2_170200090301,9,0.9025524854660034
train_mse_170200090301,0,0.007181288208812475
train_mse_170200090301,1,0.0043753208592534065
train_mse_170200090301,2,0.0029827191028743982
train_mse_170200090301,3,0.007054711226373911
train_mse_170200090301,4,0.002635512501001358
train_mse_170200090301,5,0.0019513057777658105
train_mse_170200090301,6,0.0019168355502188206
train_mse_170200090301,7,0.0020746616646647453
train_mse_170200090301,8,0.0021172459237277508
train_mse_170200090301,9,0.0016535301692783833
train_mse_170200110601,0,0.0006203915691003203
train_mse_170200110601,1,0.000461060757515952
train_mse_170200110601,2,0.0008122993167489767
train_mse_170200110601,3,0.0006367376772686839
train_mse_170200110601,4,0.0006189736886881292
train_mse_170200110601,5,0.0006590816774405539
train_mse_170200110601,6,0.0006512535619549453
train_mse_170200110601,7,0.0006719435914419591
train_mse_170200110601,8,0.0005750751006416976
train_mse_170200110601,9,0.0005354814929887652
test_mse_170200090302,0,0.0007931462023407221
test_mse_170200090302,1,0.00079660105984658
test_mse_170200090302,2,0.0008146698237396777
test_mse_170200090302,3,0.0009147829259745777
test_mse_170200090302,4,0.0007910622516646981
test_mse_170200090302,5,0.0008349301060661674
test_mse_170200090302,6,0.0009749586461111903
test_mse_170200090302,7,0.0009790608892217278
test_mse_170200090302,8,0.0008824414107948542
test_mse_170200090302,9,0.0009505043271929026
train_kge_170200110502,0,0.8873800926527585
train_kge_170200110502,1,0.9485700681654595
train_kge_170200110502,2,0.9036974627961771
train_kge_170200110502,3,0.8475495351137667
train_kge_170200110502,4,0.9679353348613077
test_r2_170200090302,0,0.9060850143432617
test_r2_170200090302,1,0.9056759476661682
test_r2_170200090302,2,0.9035364389419556
test_r2_170200090302,3,0.8916822671890259
test_r2_170200090302,4,0.9063317775726318
test_r2_170200090302,5,0.9011374711990356
test_r2_170200090302,6,0.8845569491386414
test_r2_170200090302,7,0.8840712308883667
test_r2_170200090302,8,0.8955117464065552
test_r2_170200090302,9,0.8874525427818298
train_r2_170200110406,0,0.4185013175010681
train_r2_170200110406,1,0.7815631031990051
train_r2_170200110406,2,0.7955737709999084
train_r2_170200110406,3,0.831143319606781
train_r2_170200110406,4,0.7250776290893555
train_r2_170200110406,5,0.8759945631027222
train_r2_170200110406,6,0.8866190910339355
train_r2_170200110406,7,0.8945624828338623
train_r2_170200110406,8,0.8531990647315979
train_r2_170200110406,9,0.9123274683952332
train_mae_170300010201,0,0.06585042923688889
train_mae_170300010201,1,0.04611867293715477
train_mae_170300010201,2,0.04292673617601395
train_mae_170300010201,3,0.04702138528227806
train_mae_170300010201,4,0.043552249670028687
train_mae_170300010201,5,0.08925120532512665
train_mae_170300010201,6,0.037757471203804016
