Metric,Step,Value
test_mae_170300020308,0,0.028966164216399193
test_mae_170300020308,1,0.028953777626156807
test_mae_170300020308,2,0.014697629027068615
test_mae_170300020308,3,0.012349583208560944
test_mae_170300020308,4,0.013459938578307629
test_mae_170300020308,5,0.012323248200118542
train_mse_170300030101,0,0.0018500890582799911
train_mse_170300030101,1,0.0011327533284202218
train_mse_170300030101,2,0.0012242404045537114
train_kge_170300020309,0,0.6036523477465654
train_kge_170300020309,1,0.9614875834010894
train_kge_170300020309,2,0.9755538758969134
train_mae_170300030102,0,0.040132150053977966
train_mae_170300030102,1,0.01796276681125164
train_mae_170300030102,2,0.010772432200610638
train_mae_170300030102,3,0.009076055139303207
train_mae_170300030102,4,0.009309130720794201
train_mae_170300030102,5,0.00946013256907463
train_mae_170300030102,6,0.00830052886158228
train_mae_170300030102,7,0.008878923021256924
train_mae_170300030102,8,0.008577353321015835
train_mae_170300030102,9,0.008976000361144543
train_kge_170300020308,0,0.34019069353224807
train_kge_170300020308,1,0.5746194424684579
train_kge_170300020308,2,0.9379946675730322
train_kge_170300020308,3,0.9464491608992054
train_kge_170300020308,4,0.9504324521503964
train_kge_170300020308,5,0.9737130168001017
train_r2_170200100101,0,0.7412431240081787
train_r2_170200100101,1,0.9127401113510132
train_r2_170200100101,2,0.8987312316894531
train_r2_170200100101,3,0.9260510802268982
train_r2_170200100101,4,0.9124319553375244
train_r2_170200100101,5,0.9336063861846924
train_r2_170200100101,6,0.9362105131149292
train_r2_170200100101,7,0.9369799494743347
train_r2_170200100101,8,0.9210874438285828
train_r2_170200100101,9,0.9354110360145569
train_r2_170200100204,0,0.5569946765899658
train_r2_170200100204,1,0.8608319759368896
train_r2_170200100204,2,0.9283464550971985
train_r2_170200100204,3,0.9388473629951477
train_r2_170200100204,4,0.8897340297698975
train_r2_170200100204,5,0.9437225461006165
train_r2_170200100204,6,0.9484792351722717
train_r2_170200100204,7,0.9352847933769226
train_r2_170200100204,8,0.9307945966720581
train_r2_170200100204,9,0.9466310143470764
test_kge_170300020309,0,0.6294427572195378
test_kge_170300020309,1,0.9077380210532421
test_kge_170300020309,2,0.9386128748912121
test_mse_170300020309,0,0.002525673946365714
test_mse_170300020309,1,0.0011691497638821602
test_mse_170300020309,2,0.0012739516096189618
train_mse_170300020308,0,0.0029000164940953255
train_mse_170300020308,1,0.0018508601933717728
train_mse_170300020308,2,0.0004858473548665643
train_mse_170300020308,3,0.0002538069384172559
train_mse_170300020308,4,0.0002659590682014823
train_mse_170300020308,5,0.00020824161765631288
train_r2_170300030102,0,0.47538846731185913
train_r2_170300030102,1,0.88082355260849
train_r2_170300030102,2,0.9536586999893188
train_r2_170300030102,3,0.9668781161308289
train_r2_170300030102,4,0.9635410308837891
train_r2_170300030102,5,0.9623443484306335
train_r2_170300030102,6,0.9713593125343323
train_r2_170300030102,7,0.9645653963088989
train_r2_170300030102,8,0.968762218952179
train_r2_170300030102,9,0.9671354293823242
test_mse_170200100101,0,0.01311301626265049
test_mse_170200100101,1,0.0071245539002120495
test_mse_170200100101,2,0.00911476369947195
test_mse_170200100101,3,0.006364625412970781
test_mse_170200100101,4,0.008531414903700352
test_mse_170200100101,5,0.00586601160466671
test_mse_170200100101,6,0.006300158798694611
test_mse_170200100101,7,0.006710162851959467
test_mse_170200100101,8,0.006737170275300741
test_mse_170200100101,9,0.006328810937702656
train_mae_170200100101,0,0.07798382639884949
train_mae_170200100101,1,0.04312829300761223
train_mae_170200100101,2,0.05078718438744545
train_mae_170200100101,3,0.038330841809511185
train_mae_170200100101,4,0.04169902950525284
train_mae_170200100101,5,0.03609737381339073
train_mae_170200100101,6,0.03538604825735092
train_mae_170200100101,7,0.035456471145153046
train_mae_170200100101,8,0.03908697888255119
train_mae_170200100101,9,0.03438388556241989
train_r2_170300020308,0,0.5155600905418396
train_r2_170300020308,1,0.6908187866210938
train_r2_170300020308,2,0.9188405275344849
train_r2_170300020308,3,0.9576022624969482
train_r2_170300020308,4,0.955572247505188
train_r2_170300020308,5,0.9652137756347656
train_kge_170300030103,0,0.9585143333348691
train_kge_170300030103,1,0.9448101219010856
train_kge_170300030103,2,0.9197589301934219
train_kge_170300030103,3,0.9592041647388427
train_kge_170300030103,4,0.9600976994015307
train_kge_170300030103,5,0.9287446078246349
train_kge_170300030103,6,0.956699787652961
train_kge_170300030103,7,0.9647164793423043
train_kge_170300030103,8,0.9827510102782505
train_mse_170200100103,0,0.0006566338706761599
train_mse_170200100103,1,0.0005782853695563972
train_mse_170200100103,2,0.00043421468581072986
