Metric,Step,Value
train_mse_160401011101,0,6.683022365905344e-05
train_mse_160401011101,1,6.390221824403852e-05
train_mse_160401011101,2,6.304642010945827e-05
train_mse_160401011101,3,6.0273989220149815e-05
train_mse_160401011101,4,5.665020216838457e-05
train_mse_160401011101,5,6.0353457229211926e-05
train_mse_160401011101,6,5.3292213124223053e-05
train_mse_160401011101,7,5.1952458306914195e-05
train_mse_160401011101,8,5.143318776390515e-05
train_mse_160401011101,9,5.071394480182789e-05
test_mse_160401011101,0,0.00016583240358158946
test_mse_160401011101,1,0.00016020248585846275
test_mse_160401011101,2,0.00015527512005064636
test_mse_160401011101,3,0.0001586080325068906
test_mse_160401011101,4,0.00016713837976567447
test_mse_160401011101,5,0.0001841626362875104
test_mse_160401011101,6,0.00016272542416118085
test_mse_160401011101,7,0.0001707387709757313
test_mse_160401011101,8,0.00016320943541359156
test_mse_160401011101,9,0.00016508216504007578
test_mse_160401011102,0,5.30094766872935e-05
test_mse_160401011102,1,4.8949084884952754e-05
test_mse_160401011102,2,4.6468398068100214e-05
test_mse_160401011102,3,6.926374044269323e-05
test_mse_160401011102,4,5.050453546573408e-05
test_mse_160401011102,5,4.9914789997274056e-05
test_mse_160401011102,6,4.7236087993951514e-05
test_mse_160401011102,7,5.039153984398581e-05
test_mse_160401011102,8,6.312221375992522e-05
test_mse_160401011102,9,5.773431621491909e-05
train_kge_160401011103,0,0.7900865162235118
train_kge_160401011103,1,0.8180140725673525
train_kge_160401011103,2,0.6417289142275444
train_kge_160401011103,3,0.7973761800229505
train_kge_160401011103,4,0.9146514884715863
train_kge_160401011103,5,0.7048517425772487
train_kge_160401011103,6,0.848483553230402
train_kge_160401011103,7,0.8864649415936541
train_kge_160401011103,8,0.8414694853669633
train_kge_160401011103,9,0.7867850989473589
train_kge_160401011101,0,0.894508011386244
train_kge_160401011101,1,0.9102757254854281
train_kge_160401011101,2,0.9225815559897285
train_kge_160401011101,3,0.9084094282876092
train_kge_160401011101,4,0.8397695247489259
train_kge_160401011101,5,0.7462485128643059
train_kge_160401011101,6,0.8723409795320831
train_kge_160401011101,7,0.7999234894476092
train_kge_160401011101,8,0.848557790696824
train_kge_160401011101,9,0.7872834065061275
test_kge_160401011101,0,0.693236915728588
test_kge_160401011101,1,0.7158270810548741
test_kge_160401011101,2,0.7319932446784994
test_kge_160401011101,3,0.6971346470419109
test_kge_160401011101,4,0.6299132596734185
test_kge_160401011101,5,0.5563293021569513
test_kge_160401011101,6,0.6523803433899449
test_kge_160401011101,7,0.593447726223937
test_kge_160401011101,8,0.6222784290168648
test_kge_160401011101,9,0.5978085341179313
train_mse_160401011102,0,4.042256114189513e-05
train_mse_160401011102,1,3.2124091376317665e-05
train_mse_160401011102,2,3.1110575946513563e-05
train_mse_160401011102,3,4.490175342652947e-05
train_mse_160401011102,4,2.9553933927672915e-05
train_mse_160401011102,5,2.9107253794791177e-05
train_mse_160401011102,6,2.7481217330205254e-05
train_mse_160401011102,7,4.885903763351962e-05
train_mse_160401011102,8,4.579655433190055e-05
train_mse_160401011102,9,3.197399200871587e-05
test_kge_160401060301,0,-0.22635854283118895
test_kge_160401060301,1,-0.24903420273448162
test_kge_160401060301,2,-0.3914805944361395
test_kge_160401060301,3,-0.6521378361141901
test_kge_160401060301,4,-0.6400712738231495
test_kge_160401060301,5,-0.6260164029088642
test_kge_160401060301,6,0.39546021074432136
test_kge_160401060301,7,0.5099226739333379
test_kge_160401060301,8,0.5099214770146612
test_kge_160401060301,9,0.5593670518588143
test_mse_160401060204,0,0.00042865643627010286
test_mse_160401060204,1,0.0004259193374309689
test_mse_160401060204,2,0.000422578799771145
test_mse_160401060204,3,0.00041945104021579027
test_mse_160401060204,4,0.000417902396293357
test_mse_160401060204,5,0.0004162206023465842
test_mse_160401060204,6,0.00041415091254748404
test_mse_160401060204,7,0.0008633135003037751
test_mse_160401060204,8,0.0008588916389271617
test_mse_160401060204,9,0.0007379688322544098
train_mse_160401090203,0,0.0006546818185597658
train_mse_160401090203,1,0.0006525664357468486
train_mse_160401090203,2,0.0006523113115690649
train_mse_160401090203,3,0.0006520677707158029
train_mse_160401090203,4,0.0006518879672512412
train_mse_160401090203,5,0.0006514583947136998
train_mse_160401090203,6,0.0006511058309115469
train_mse_160401090203,7,0.0006507314974442124
train_mse_160401090203,8,0.0006501208408735693
train_mse_160401090203,9,0.0006493498804047704
test_kge_160401090204,0,-1.0110570403333088
test_kge_160401090204,1,-1.0039234807562787
test_kge_160401090204,2,-0.9964533707069683
test_kge_160401090204,3,-0.992459823415125
test_kge_160401090204,4,-0.9798152473598836
test_kge_160401090204,5,-0.7377784897437367
test_kge_160401090204,6,-0.2605244485726377
test_kge_160401090204,7,-0.17975669791672821
test_kge_160401090204,8,-0.1563583393916974
test_kge_160401090204,9,-0.8358150957337842
train_mse_160401090301,0,0.003176354570314288
train_mse_160401090301,1,0.003188090166077018
train_mse_160401090301,2,0.0030552695970982313
train_mse_160401090301,3,0.003039948409423232
train_mse_160401090301,4,0.002924602711573243
train_mse_160401090301,5,0.002829180797562003
train_mse_160401090301,6,0.0027729254215955734
train_mse_160401090301,7,0.0027042736764997244
train_mse_160401090301,8,0.002624316606670618
train_mse_160401090301,9,0.00252786953933537
train_kge_160401011102,0,0.5590904062765304
train_kge_160401011102,1,0.8473117632180781
train_kge_160401011102,2,0.8543769369815456
train_kge_160401011102,3,0.4363659979408724
train_kge_160401011102,4,0.8111219593347709
train_kge_160401011102,5,0.8197370201989134
train_kge_160401011102,6,0.7956342985116722
train_kge_160401011102,7,0.6360078650891616
train_kge_160401011102,8,0.5704576744785925
train_kge_160401011102,9,0.7026969662284734
test_kge_160401011102,0,0.4944378979684637
test_kge_160401011102,1,0.7129604422448262
test_kge_160401011102,2,0.728272013242042
test_kge_160401011102,3,0.3243777606863657
test_kge_160401011102,4,0.6495052880389285
test_kge_160401011102,5,0.6614414292014326
test_kge_160401011102,6,0.6452000636456713
test_kge_160401011102,7,0.8011426982604487
test_kge_160401011102,8,0.475474212496089
test_kge_160401011102,9,0.5325250654928588
test_mse_160401011104,0,0.00013448281970340759
test_mse_160401011104,1,6.736216164426878e-05
test_mse_160401011104,2,7.043920777505264e-05
test_mse_160401011104,3,7.329774234676734e-05
test_mse_160401011104,4,6.79731965647079e-05
test_mse_160401011104,5,7.061813812470064e-05
test_mse_160401011104,6,7.511174771934748e-05
test_mse_160401011104,7,7.294430542970076e-05
test_mse_160401011104,8,6.931383541086689e-05
test_mse_160401011104,9,6.962870975257829e-05
test_kge_160401030102,0,0.5498771609412885
