Metric,Step,Value
test_mse_170602070503,0,0.0005810534930787981
test_mse_170602070503,1,0.0006124312058091164
test_mse_170602070503,2,0.0005859853699803352
test_mse_170602070503,3,0.0005895201466046274
test_mse_170602070503,4,0.0005598461139015853
test_mse_170602070503,5,0.0005124612362124026
test_mse_170602070503,6,0.00055337866069749
test_mse_170602070503,7,0.0005193267134018242
test_mse_170602070503,8,0.000593476346693933
test_mse_170602070503,9,0.0005408055149018764
train_mse_170602070503,0,0.00019247476302552968
train_mse_170602070503,1,0.0001750830706441775
train_mse_170602070503,2,0.00015020706632640213
train_mse_170602070503,3,0.00016951488214544952
train_mse_170602070503,4,0.0001543555554235354
train_mse_170602070503,5,0.000145725003676489
train_mse_170602070503,6,0.0001444013905711472
train_mse_170602070503,7,0.0001398868771502748
train_mse_170602070503,8,0.0001596748043084517
train_mse_170602070503,9,0.00014948329771868885
train_kge_170602070503,0,0.9457118855157571
train_kge_170602070503,1,0.9492873447239603
train_kge_170602070503,2,0.983738467841108
train_kge_170602070503,3,0.9364202034141642
train_kge_170602070503,4,0.9836988537905553
train_kge_170602070503,5,0.9825829296534794
train_kge_170602070503,6,0.9830890435046491
train_kge_170602070503,7,0.9853879906044266
train_kge_170602070503,8,0.9798724372322368
train_kge_170602070503,9,0.9786361490198038
test_kge_170602070503,0,0.8413386193200021
test_kge_170602070503,1,0.8538954440685892
test_kge_170602070503,2,0.8748838393054534
test_kge_170602070503,3,0.8404884036341207
test_kge_170602070503,4,0.8723724284151374
test_kge_170602070503,5,0.8849641667931274
test_kge_170602070503,6,0.8538211464642342
test_kge_170602070503,7,0.8841943815760023
test_kge_170602070503,8,0.8812583272336544
test_kge_170602070503,9,0.8843508669068041
test_r2_170602070503,0,0.8928706645965576
test_r2_170602070503,1,0.887085497379303
test_r2_170602070503,2,0.8919613361358643
test_r2_170602070503,3,0.8913096189498901
test_r2_170602070503,4,0.8967806696891785
test_r2_170602070503,5,0.905517041683197
test_r2_170602070503,6,0.8979730606079102
test_r2_170602070503,7,0.9042512774467468
test_r2_170602070503,8,0.8905802369117737
test_r2_170602070503,9,0.9002912044525146
test_mae_170602070503,0,0.012304826639592648
test_mae_170602070503,1,0.012037202715873718
test_mae_170602070503,2,0.011634988710284233
test_mae_170602070503,3,0.012210492976009846
test_mae_170602070503,4,0.011774100363254547
test_mae_170602070503,5,0.011273705400526524
test_mae_170602070503,6,0.011651885695755482
test_mae_170602070503,7,0.011433222331106663
test_mae_170602070503,8,0.012076715007424355
test_mae_170602070503,9,0.011582623235881329
train_r2_170602070503,0,0.9658346176147461
train_r2_170602070503,1,0.9689217209815979
train_r2_170602070503,2,0.9733374118804932
train_r2_170602070503,3,0.9699101448059082
train_r2_170602070503,4,0.9726009964942932
train_r2_170602070503,5,0.9741329550743103
train_r2_170602070503,6,0.9743679165840149
train_r2_170602070503,7,0.97516930103302
train_r2_170602070503,8,0.9716567993164062
train_r2_170602070503,9,0.9734658598899841
train_mae_170602070503,0,0.007162478286772966
train_mae_170602070503,1,0.006571299862116575
train_mae_170602070503,2,0.005984587594866753
train_mae_170602070503,3,0.0063444930128753185
train_mae_170602070503,4,0.0059057301841676235
train_mae_170602070503,5,0.00562062906101346
train_mae_170602070503,6,0.005617599468678236
train_mae_170602070503,7,0.005537912715226412
train_mae_170602070503,8,0.006105146370828152
train_mae_170602070503,9,0.00588478846475482
test_kge_170602070504,0,0.9704666476190772
test_kge_170602070504,1,0.9739879796473463
test_kge_170602070504,2,0.9635320563322098
test_kge_170602070504,3,0.9626065651395139
test_kge_170602070504,4,0.9644243641335329
test_kge_170602070504,5,0.9552509800006235
test_kge_170602070504,6,0.9538935029086911
test_kge_170602070504,7,0.9558278149879464
test_kge_170602070504,8,0.9622756892220307
test_kge_170602070504,9,0.9677088323368621
test_mse_170602070504,0,0.0009689896833151579
test_mse_170602070504,1,0.0009407473262399435
test_mse_170602070504,2,0.0009663649834692478
test_mse_170602070504,3,0.0009505813359282911
test_mse_170602070504,4,0.000942846410907805
test_mse_170602070504,5,0.0009491688688285649
test_mse_170602070504,6,0.0009469407959841192
test_mse_170602070504,7,0.0009595031151548028
test_mse_170602070504,8,0.0009255065815523267
test_mse_170602070504,9,0.0009395169327035546
test_r2_170602070504,0,0.9484665989875793
test_r2_170602070504,1,0.9499685764312744
test_r2_170602070504,2,0.9486061334609985
test_r2_170602070504,3,0.9494456052780151
test_r2_170602070504,4,0.9498569369316101
test_r2_170602070504,5,0.9495207071304321
test_r2_170602070504,6,0.9496392011642456
test_r2_170602070504,7,0.9489710927009583
test_r2_170602070504,8,0.950779139995575
test_r2_170602070504,9,0.9500340223312378
train_r2_170602070504,0,0.9654328227043152
train_r2_170602070504,1,0.9702214002609253
train_r2_170602070504,2,0.972262442111969
train_r2_170602070504,3,0.9731752276420593
train_r2_170602070504,4,0.9738940596580505
train_r2_170602070504,5,0.974402904510498
train_r2_170602070504,6,0.9749842286109924
train_r2_170602070504,7,0.9754542708396912
train_r2_170602070504,8,0.9743903875350952
train_r2_170602070504,9,0.9736464023590088
train_mae_170602070504,0,0.012992171570658684
