Metric,Step,Value
test_mse_171100050707,0,0.01892680861055851
test_recur_mae_171100050708,0,0.04987628385424614
test_r2_171100050802,0,0.9713315367698669
test_r2_171100050707,0,0.9317770600318909
test_recur_mae_171100050801,0,0.0821617916226387
test_mae_171100050902,0,0.05862436816096306
test_r2_171100051001,0,0.9491593241691589
test_recur_mse_171100051007,0,0.0136879812926054
test_recur_r2_171100060101,0,0.913179874420166
test_mse_171100060104,0,0.006452422123402357
test_recur_mae_171100060202,0,0.0508231595158577
test_recur_kge_171100060203,0,0.9282303066175739
test_recur_r2_171100050707,0,0.8234544992446899
test_mae_171100050708,0,0.05191365256905556
test_recur_mse_171100050803,0,0.02171044610440731
test_mae_171100050804,0,0.035576969385147095
test_recur_kge_171100050805,0,0.821131726726372
test_r2_171100050903,0,0.928825855255127
test_recur_mse_171100050904,0,0.014355137944221497
test_r2_171100051004,0,0.9050023555755615
test_recur_kge_171100051006,0,0.6054521746759998
test_mae_171100051103,0,0.04567517340183258
test_recur_r2_171100051103,0,0.7949424982070923
test_kge_171100060104,0,0.9839269810928921
test_mse_171100060201,0,0.0050552175380289555
test_r2_171100060201,0,0.9814658761024475
test_recur_mae_171100060204,0,0.06761069595813751
test_mse_171100060303,0,0.0027869914192706347
test_recur_mae_171100050707,0,0.1349162757396698
test_kge_171100050802,0,0.9655833103736227
test_r2_171100050804,0,0.9363141059875488
test_mae_171100050805,0,0.034214504063129425
test_recur_mae_171100050902,0,0.07631397247314453
test_mae_171100050903,0,0.05165376514196396
test_recur_kge_171100051002,0,0.6344625928758487
test_recur_r2_171100051005,0,0.6002135276794434
test_r2_171100051103,0,0.9042176604270935
test_recur_kge_171100051103,0,0.6685500598957321
test_recur_mae_171100051103,0,0.0631246268749237
test_recur_mae_171100060106,0,0.049711406230926514
test_recur_mse_171100050708,0,0.007694211322814226
test_recur_r2_171100050803,0,0.8591094017028809
test_recur_kge_171100050902,0,0.728364411195376
test_recur_r2_171100050905,0,0.9002160429954529
