Metric,Step,Value
test_mse_170200090303,0,0.0007366077625192702
test_mse_170200090303,1,0.0003391322388779372
test_mse_170200090303,2,0.0004052827425766736
test_mse_170200090303,3,0.0002120454009855166
test_mse_170200090303,4,0.000400720804464072
test_mse_170200090303,5,0.00011558221012819558
test_mse_170200090303,6,0.00017127169121522456
test_mse_170200090303,7,0.0001568660227349028
test_mse_170200090303,8,0.00011586827167775482
test_mse_170200090303,9,0.00010652692435542122
train_r2_170200100306,0,0.8926160931587219
train_r2_170200100306,1,0.8902931213378906
train_r2_170200100306,2,0.8923481702804565
train_r2_170200100306,3,0.9063475728034973
train_r2_170200100306,4,0.9104718565940857
train_r2_170200100306,5,0.9038968086242676
train_r2_170200100306,6,0.8746582865715027
train_r2_170200100306,7,0.905060887336731
train_r2_170200100306,8,0.9054723978042603
train_r2_170200100306,9,0.9069416522979736
train_mae_170200100306,0,0.0035509432200342417
train_mae_170200100306,1,0.003299686359241605
train_mae_170200100306,2,0.003311268985271454
train_mae_170200100306,3,0.003181936452165246
train_mae_170200100306,4,0.0030989213846623898
train_mae_170200100306,5,0.003104663686826825
train_mae_170200100306,6,0.0035555760841816664
train_mae_170200100306,7,0.003108620410785079
train_mae_170200100306,8,0.0031496300362050533
train_mae_170200100306,9,0.003028749255463481
train_mse_170200100313,0,2.5847617507679388e-05
train_mse_170200100313,1,2.4401982955168933e-05
train_mse_170200100313,2,3.87532236345578e-05
train_mse_170200100313,3,2.1878817278775387e-05
train_mse_170200100313,4,2.4528770154574886e-05
train_mse_170200100313,5,2.3694567062193528e-05
train_mse_170200100313,6,2.0141073036938906e-05
train_mse_170200100313,7,4.411821282701567e-05
train_mse_170200100313,8,2.1019013729528524e-05
train_mse_170200100313,9,2.0839426724705845e-05
test_r2_170200090207,0,0.8954681754112244
test_r2_170200090207,1,0.8960589170455933
test_r2_170200090207,2,0.8507574796676636
test_r2_170200090207,3,0.9205575585365295
test_r2_170200090207,4,0.8454940915107727
test_r2_170200090207,5,0.9284158945083618
test_r2_170200090207,6,0.9192253947257996
test_r2_170200090207,7,0.869684100151062
test_r2_170200090207,8,0.8760302066802979
test_r2_170200090207,9,0.8676537275314331
train_r2_170200100313,0,0.8792937994003296
