Metric,Step,Value
train_r2_170300010508,0,0.9006372690200806
train_r2_170300010508,1,0.9337400197982788
train_r2_170300010508,2,0.9306620359420776
train_r2_170300010508,3,0.9270751476287842
train_r2_170300010508,4,0.9452065229415894
train_r2_170300010508,5,0.9444429278373718
train_r2_170300010508,6,0.9416300654411316
train_r2_170300010508,7,0.9336847066879272
train_r2_170300010508,8,0.9348722696304321
train_r2_170300010508,9,0.9497617483139038
train_kge_170300020108,0,0.546306174376948
train_kge_170300020108,1,0.9839467695096403
train_kge_170300020108,2,0.9798705283645576
train_kge_170300020108,3,0.972691527124705
train_kge_170300020108,4,0.9863637776837124
train_kge_170300020108,5,0.9886294684511165
train_kge_170300020108,6,0.9848552094007439
train_kge_170300020108,7,0.9785014762892061
train_kge_170300020108,8,0.949439214828357
train_kge_170300020108,9,0.9870891954874659
train_r2_170300020201,0,0.9679379463195801
train_r2_170300020201,1,0.9662042260169983
train_r2_170300020201,2,0.9602418541908264
train_r2_170300020201,3,0.9679004549980164
train_r2_170300020201,4,0.9618709087371826
train_r2_170300020201,5,0.967477560043335
train_r2_170300020201,6,0.9619225859642029
train_r2_170300020201,7,0.9588584899902344
train_r2_170300020201,8,0.9651272296905518
train_r2_170300020201,9,0.9564144611358643
test_r2_170300020109,0,0.9382590055465698
test_r2_170300020109,1,0.9131344556808472
test_r2_170300020109,2,0.9376803636550903
test_r2_170300020109,3,0.9325996041297913
test_r2_170300020109,4,0.9318039417266846
test_r2_170300020109,5,0.9179643988609314
test_r2_170300020109,6,0.9276076555252075
test_r2_170300020109,7,0.928278386592865
test_r2_170300020109,8,0.9186807870864868
test_r2_170300020109,9,0.9113932847976685
train_mae_170300020203,0,0.014800564385950565
train_mae_170300020203,1,0.013755769468843937
train_mae_170300020203,2,0.013419318944215775
train_mae_170300020203,3,0.013994032517075539
train_mae_170300020203,4,0.013505850918591022
train_mae_170300020203,5,0.012716188095510006
train_mae_170300020203,6,0.013569600880146027
train_mae_170300020203,7,0.014018007554113865
train_mae_170300020203,8,0.013355114497244358
train_mae_170300020203,9,0.012580959126353264
test_mae_170300020203,0,0.027273235842585564
test_mae_170300020203,1,0.026988565921783447
test_mae_170300020203,2,0.027106544002890587
test_mae_170300020203,3,0.027856213971972466
test_mae_170300020203,4,0.027615467086434364
test_mae_170300020203,5,0.027297040447592735
test_mae_170300020203,6,0.027532313019037247
test_mae_170300020203,7,0.028199540451169014
test_mae_170300020203,8,0.027543459087610245
test_mae_170300020203,9,0.027171356603503227
test_mae_170300020205,0,0.030151164159178734
test_mae_170300020205,1,0.028244949877262115
test_mae_170300020205,2,0.029662204906344414
test_mae_170300020205,3,0.029538219794631004
test_mae_170300020205,4,0.02862841822206974
test_mae_170300020205,5,0.028347816318273544
test_mae_170300020205,6,0.02839878387749195
test_mae_170300020205,7,0.027934949845075607
test_mae_170300020205,8,0.029477981850504875
test_mae_170300020205,9,0.029428349807858467
test_mse_170300020306,0,0.0024523064494132996
test_mse_170300020306,1,0.002706073923036456
test_mse_170300020306,2,0.002481254981830716
test_mse_170300020306,3,0.0027907295152544975
test_mse_170300020306,4,0.003059089183807373
test_mse_170300020306,5,0.002737995469942689
test_mse_170300020306,6,0.0027529988437891006
test_mse_170300020306,7,0.002911505289375782
test_mse_170300020306,8,0.002681985031813383
test_mse_170300020306,9,0.0029385285452008247
test_r2_170300020205,0,0.8985982537269592
test_r2_170300020205,1,0.9098062515258789
test_r2_170300020205,2,0.9037200808525085
test_r2_170300020205,3,0.9046880006790161
test_r2_170300020205,4,0.9037259817123413
test_r2_170300020205,5,0.9061806201934814
test_r2_170300020205,6,0.9064238667488098
test_r2_170300020205,7,0.9072167873382568
test_r2_170300020205,8,0.8947157859802246
test_r2_170300020205,9,0.8981249928474426
train_r2_170300020307,0,0.9735996723175049
train_r2_170300020307,1,0.9770919680595398
train_r2_170300020307,2,0.9731225967407227
train_r2_170300020307,3,0.9681638479232788
train_r2_170300020307,4,0.9676771759986877
train_r2_170300020307,5,0.9764626026153564
