Metric,Step,Value
train_mse_170200090104,0,0.005627492442727089
train_mse_170200090104,1,0.0045114317908883095
train_mse_170200090104,2,0.004837455693632364
train_mse_170200090104,3,0.0039014804642647505
train_mse_170200090104,4,0.003669315716251731
train_mse_170200090104,5,0.003484677290543914
train_mse_170200090104,6,0.0035833879373967648
train_mse_170200090104,7,0.004452579654753208
train_mse_170200090104,8,0.0036346628330647945
train_mse_170200090104,9,0.0037774788215756416
test_mse_170200090103,0,0.006396578159183264
test_mse_170200090103,1,0.00747855706140399
test_mse_170200090103,2,0.008273842744529247
test_mse_170200090103,3,0.005499300546944141
test_mse_170200090103,4,0.005871883127838373
test_mse_170200090103,5,0.006374850403517485
test_mse_170200090103,6,0.0058397212997078896
test_mse_170200090103,7,0.007182506378740072
test_mse_170200090103,8,0.007410858757793903
test_mse_170200090103,9,0.006204221863299608
test_kge_170200090105,0,0.9635235167094113
test_kge_170200090105,1,0.9689712464428745
test_kge_170200090105,2,0.9353489494629663
test_kge_170200090105,3,0.956622477914441
test_kge_170200090105,4,0.9334871413461883
test_kge_170200090105,5,0.9491902161508093
test_kge_170200090105,6,0.9146836338191531
test_kge_170200090105,7,0.9617910361994463
test_kge_170200090105,8,0.9477789131393511
test_kge_170200090105,9,0.9480453574858886
train_mae_170200090105,0,0.04460226371884346
train_mae_170200090105,1,0.04509507492184639
train_mae_170200090105,2,0.054651740938425064
train_mae_170200090105,3,0.0444156788289547
train_mae_170200090105,4,0.04647618904709816
train_mae_170200090105,5,0.0434744693338871
train_mae_170200090105,6,0.04798833653330803
train_mae_170200090105,7,0.044402897357940674
train_mae_170200090105,8,0.04114985466003418
train_mae_170200090105,9,0.040629707276821136
test_mae_170200090103,0,0.0488860085606575
test_mae_170200090103,1,0.05181870609521866
test_mae_170200090103,2,0.054958779364824295
test_mae_170200090103,3,0.04485632851719856
test_mae_170200090103,4,0.04541686549782753
test_mae_170200090103,5,0.04883718863129616
test_mae_170200090103,6,0.04775918275117874
test_mae_170200090103,7,0.04982811585068703
test_mae_170200090103,8,0.051129478961229324
test_mae_170200090103,9,0.04720284417271614
test_kge_170200090101,0,0.7562782215193098
test_kge_170200090101,1,0.7123220001894501
test_kge_170200090101,2,0.6343507659958404
test_kge_170200090101,3,0.8544483821191973
test_kge_170200090101,4,0.9569618935867422
test_kge_170200090101,5,0.855136608334099
test_kge_170200090101,6,0.8820493325255617
test_kge_170200090101,7,0.9128658320941402
test_kge_170200090101,8,0.9372652768174418
test_kge_170200090101,9,0.8574838217467721
test_mae_170200090101,0,0.15763485431671143
test_mae_170200090101,1,0.19114576280117035
test_mae_170200090101,2,0.16726841032505035
test_mae_170200090101,3,0.11766946315765381
test_mae_170200090101,4,0.07684310525655746
test_mae_170200090101,5,0.09767740964889526
test_mae_170200090101,6,0.08959086984395981
test_mae_170200090101,7,0.09003373235464096
test_mae_170200090101,8,0.08512547612190247
test_mae_170200090101,9,0.07885892689228058
test_mse_170200090101,0,0.05399281904101372
test_mse_170200090101,1,0.07432345300912857
test_mse_170200090101,2,0.06311267614364624
test_mse_170200090101,3,0.030692320317029953
test_mse_170200090101,4,0.014662801288068295
test_mse_170200090101,5,0.022600896656513214
test_mse_170200090101,6,0.02010376565158367
test_mse_170200090101,7,0.020633291453123093
test_mse_170200090101,8,0.018954910337924957
test_mse_170200090101,9,0.014866180717945099
test_r2_170200090101,0,0.6848333477973938
test_r2_170200090101,1,0.5661594867706299
test_r2_170200090101,2,0.631598949432373
test_r2_170200090101,3,0.8208429217338562
test_r2_170200090101,4,0.9144103527069092
test_r2_170200090101,5,0.8680741190910339
test_r2_170200090101,6,0.8826503753662109
test_r2_170200090101,7,0.8795594573020935
test_r2_170200090101,8,0.8893564939498901
test_r2_170200090101,9,0.9132232069969177
train_r2_170200090101,0,0.6726812124252319
train_r2_170200090101,1,0.5490857362747192
train_r2_170200090101,2,0.6713390946388245
train_r2_170200090101,3,0.815857470035553
train_r2_170200090101,4,0.8682689070701599
train_r2_170200090101,5,0.8804686069488525
train_r2_170200090101,6,0.904745876789093
train_r2_170200090101,7,0.8721014857292175
train_r2_170200090101,8,0.9133824706077576
train_r2_170200090101,9,0.9183269739151001
train_mae_170200090106,0,0.044177763164043427
train_mae_170200090106,1,0.043153904378414154
train_mae_170200090106,2,0.04323284327983856
train_mae_170200090106,3,0.04118083789944649
train_mae_170200090106,4,0.03975686430931091
train_mae_170200090106,5,0.04231410473585129
train_mae_170200090106,6,0.039510007947683334
train_mae_170200090106,7,0.04033384099602699
train_mae_170200090106,8,0.043663766235113144
train_mae_170200090106,9,0.04019462317228317
train_kge_170200090105,0,0.9814843195483602
train_kge_170200090105,1,0.9857554737562026
train_kge_170200090105,2,0.9438849726765715
train_kge_170200090105,3,0.9860191073338767
train_kge_170200090105,4,0.9391643969205627
train_kge_170200090105,5,0.9731739704914979
train_kge_170200090105,6,0.9235510798001698
train_kge_170200090105,7,0.9629281936113443
train_kge_170200090105,8,0.9736899999502863
train_kge_170200090105,9,0.9751013711073346
train_r2_170200090105,0,0.9817805886268616
train_r2_170200090105,1,0.9791934490203857
train_r2_170200090105,2,0.9746339917182922
train_r2_170200090105,3,0.9797635078430176
train_r2_170200090105,4,0.9768335819244385
train_r2_170200090105,5,0.9803068041801453
train_r2_170200090105,6,0.9746040105819702
train_r2_170200090105,7,0.9785548448562622
train_r2_170200090105,8,0.9804397821426392
train_r2_170200090105,9,0.9804230332374573
test_kge_170200090104,0,0.9050044675303542
test_kge_170200090104,1,0.941318233912407
test_kge_170200090104,2,0.9451621817268653
test_kge_170200090104,3,0.9529378430978881
test_kge_170200090104,4,0.9591246964578548
test_kge_170200090104,5,0.9524303521351121
test_kge_170200090104,6,0.9563549587996213
test_kge_170200090104,7,0.9578528715685655
test_kge_170200090104,8,0.9568789342025052
test_kge_170200090104,9,0.9420598724727893
test_mae_170200090104,0,0.0665457621216774
test_mae_170200090104,1,0.06598205119371414
test_mae_170200090104,2,0.06392265856266022
test_mae_170200090104,3,0.06392202526330948
test_mae_170200090104,4,0.06487681716680527
test_mae_170200090104,5,0.0645156130194664
test_mae_170200090104,6,0.06562092900276184
test_mae_170200090104,7,0.06453697383403778
test_mae_170200090104,8,0.06520237773656845
test_mae_170200090104,9,0.06307975202798843
train_mae_170200090101,0,0.16067712008953094
train_mae_170200090101,1,0.20532174408435822
train_mae_170200090101,2,0.1568295657634735
train_mae_170200090101,3,0.1174905002117157
train_mae_170200090101,4,0.0949687659740448
train_mae_170200090101,5,0.09149448573589325
train_mae_170200090101,6,0.07923241704702377
train_mae_170200090101,7,0.09475648403167725
train_mae_170200090101,8,0.07082415372133255
train_mae_170200090101,9,0.07009641826152802
test_mae_170200090102,0,0.0642712339758873
test_mae_170200090102,1,0.06647635996341705
test_mae_170200090102,2,0.06325234472751617
test_mae_170200090102,3,0.06688769906759262
test_mae_170200090102,4,0.06166824698448181
test_mae_170200090102,5,0.06302788853645325
test_mae_170200090102,6,0.06524411588907242
test_mae_170200090102,7,0.057938821613788605
test_mae_170200090102,8,0.06181485205888748
test_mae_170200090102,9,0.06076468899846077
train_mse_170200090102,0,0.007757311221212149
train_mse_170200090102,1,0.010991908609867096
train_mse_170200090102,2,0.010405829176306725
train_mse_170200090102,3,0.0076062786392867565
train_mse_170200090102,4,0.005597561132162809
train_mse_170200090102,5,0.005417515058070421
train_mse_170200090102,6,0.005254161078482866
train_mse_170200090102,7,0.004994342103600502
train_mse_170200090102,8,0.00504134688526392
train_mse_170200090102,9,0.004895415157079697
train_r2_170200090104,0,0.9706676006317139
train_r2_170200090104,1,0.9764848947525024
train_r2_170200090104,2,0.9747855067253113
train_r2_170200090104,3,0.979664146900177
train_r2_170200090104,4,0.980874240398407
train_r2_170200090104,5,0.9818366765975952
train_r2_170200090104,6,0.981322169303894
train_r2_170200090104,7,0.9767916202545166
train_r2_170200090104,8,0.9810549020767212
train_r2_170200090104,9,0.9803104996681213
test_mae_170200090105,0,0.06331333518028259
test_mae_170200090105,1,0.06092757359147072
test_mae_170200090105,2,0.07034014910459518
test_mae_170200090105,3,0.06634022295475006
test_mae_170200090105,4,0.06534421443939209
test_mae_170200090105,5,0.0656585693359375
test_mae_170200090105,6,0.06557884067296982
test_mae_170200090105,7,0.06434208154678345
test_mae_170200090105,8,0.067485012114048
test_mae_170200090105,9,0.06675849109888077
test_kge_170200090102,0,0.9145880216548021
test_kge_170200090102,1,0.8877269785056741
test_kge_170200090102,2,0.9164198274292
test_kge_170200090102,3,0.9029923911729054
test_kge_170200090102,4,0.9684955094361375
test_kge_170200090102,5,0.9026870771393738
test_kge_170200090102,6,0.8912485623730806
test_kge_170200090102,7,0.9666668886931953
test_kge_170200090102,8,0.9066922081033344
test_kge_170200090102,9,0.9616304753518048
test_kge_170200090106,0,0.9614785784661471
test_kge_170200090106,1,0.9322426901659713
test_kge_170200090106,2,0.9444830190387128
test_kge_170200090106,3,0.9671205578732827
test_kge_170200090106,4,0.9424705231768578
test_kge_170200090106,5,0.9361501840760675
test_kge_170200090106,6,0.9656897155264343
test_kge_170200090106,7,0.9698824309572206
test_kge_170200090106,8,0.9577299924853842
test_kge_170200090106,9,0.9607299432263938
train_mae_170200090103,0,0.03537272289395332
train_mae_170200090103,1,0.03877442702651024
train_mae_170200090103,2,0.03937775269150734
train_mae_170200090103,3,0.03350669890642166
train_mae_170200090103,4,0.02995864674448967
train_mae_170200090103,5,0.03317354619503021
train_mae_170200090103,6,0.0315539613366127
train_mae_170200090103,7,0.03293154761195183
train_mae_170200090103,8,0.031036823987960815
train_mae_170200090103,9,0.028468644246459007
test_r2_170200090104,0,0.9397239685058594
test_r2_170200090104,1,0.9384114146232605
test_r2_170200090104,2,0.9403609037399292
test_r2_170200090104,3,0.9417157769203186
test_r2_170200090104,4,0.9373236894607544
test_r2_170200090104,5,0.9393607974052429
test_r2_170200090104,6,0.9397408962249756
test_r2_170200090104,7,0.9342750906944275
test_r2_170200090104,8,0.9398191571235657
test_r2_170200090104,9,0.9399024248123169
train_kge_170200090102,0,0.8871900030292814
train_kge_170200090102,1,0.9319625472048594
train_kge_170200090102,2,0.9362357256936831
train_kge_170200090102,3,0.8943567052987345
train_kge_170200090102,4,0.950516329428365
train_kge_170200090102,5,0.9491080509523719
train_kge_170200090102,6,0.9409099107953223
train_kge_170200090102,7,0.9423509199229556
train_kge_170200090102,8,0.9542991747188887
train_kge_170200090102,9,0.9503322235461269
train_r2_170200090106,0,0.9719274044036865
train_r2_170200090106,1,0.9714758396148682
train_r2_170200090106,2,0.9735683798789978
train_r2_170200090106,3,0.974751353263855
train_r2_170200090106,4,0.975329577922821
train_r2_170200090106,5,0.9736985564231873
train_r2_170200090106,6,0.973878800868988
train_r2_170200090106,7,0.9747648239135742
train_r2_170200090106,8,0.9733669757843018
train_r2_170200090106,9,0.9750736355781555
test_mse_170200090105,0,0.01049872301518917
test_mse_170200090105,1,0.010287382639944553
test_mse_170200090105,2,0.012332356534898281
test_mse_170200090105,3,0.011074207723140717
test_mse_170200090105,4,0.010983857326209545
test_mse_170200090105,5,0.010377367027103901
test_mse_170200090105,6,0.0115260761231184
test_mse_170200090105,7,0.010523948818445206
test_mse_170200090105,8,0.01092980895191431
test_mse_170200090105,9,0.011251521296799183
train_mse_170200090103,0,0.0028217725921422243
train_mse_170200090103,1,0.003569170832633972
train_mse_170200090103,2,0.0035092325415462255
train_mse_170200090103,3,0.0027680578641593456
train_mse_170200090103,4,0.002171500353142619
train_mse_170200090103,5,0.002595141064375639
train_mse_170200090103,6,0.0023499939125031233
train_mse_170200090103,7,0.0026139249093830585
train_mse_170200090103,8,0.0023251366801559925
train_mse_170200090103,9,0.0020909407176077366
test_r2_170200090105,0,0.9552898406982422
test_r2_170200090105,1,0.9561898112297058
test_r2_170200090105,2,0.9474810361862183
test_r2_170200090105,3,0.9528390169143677
test_r2_170200090105,4,0.9532238245010376
test_r2_170200090105,5,0.9558066129684448
test_r2_170200090105,6,0.9509146809577942
test_r2_170200090105,7,0.9551823735237122
test_r2_170200090105,8,0.9534539580345154
test_r2_170200090105,9,0.952083945274353
train_kge_170200090101,0,0.7595840643626804
train_kge_170200090101,1,0.6868014475473682
train_kge_170200090101,2,0.67976137137185
train_kge_170200090101,3,0.8797257043482255
train_kge_170200090101,4,0.9090022038842824
