Metric,Step,Value
train_mse_171100060205,0,0.0014925437280908227
train_mse_171100060205,1,0.0012088007060810924
train_mse_171100060205,2,0.0012055209372192621
train_mse_171100060205,3,0.0013332158559933305
train_mse_171100060205,4,0.0012255363399162889
train_mse_171100060205,5,0.0011390811996534467
train_mse_171100060205,6,0.0011075310176238418
train_mse_171100060205,7,0.0010519755305722356
train_mse_171100060205,8,0.0012034304672852159
train_mse_171100060205,9,0.0012723321560770273
test_mae_171100060204,0,0.042070772498846054
test_mae_171100060204,1,0.04297066479921341
test_mae_171100060204,2,0.0380563959479332
test_mae_171100060204,3,0.04207904636859894
test_mae_171100060204,4,0.041418448090553284
test_mae_171100060204,5,0.04113798215985298
test_mae_171100060204,6,0.0413685142993927
test_mae_171100060204,7,0.04089841991662979
test_mae_171100060204,8,0.04135489836335182
test_mae_171100060204,9,0.039718255400657654
test_kge_171100080103,0,0.8418640954662298
test_kge_171100080103,1,0.9255293747907846
test_kge_171100080103,2,0.858478300039708
test_kge_171100080103,3,0.8755196784798576
test_kge_171100080103,4,0.9218222683959612
test_kge_171100080103,5,0.9071539736180034
test_kge_171100080103,6,0.9127676175905517
test_kge_171100080103,7,0.8238035364009971
test_kge_171100080103,8,0.8852402124216838
test_kge_171100080103,9,0.9267423882998991
train_r2_171100060301,0,0.9849182367324829
train_r2_171100060301,1,0.9856126308441162
train_r2_171100060301,2,0.9810730218887329
train_r2_171100060301,3,0.9859923720359802
train_r2_171100060301,4,0.987082839012146
train_r2_171100060301,5,0.9863219857215881
train_r2_171100060301,6,0.9849427342414856
train_r2_171100060301,7,0.9882035255432129
train_r2_171100060301,8,0.9869179129600525
train_r2_171100060301,9,0.9870204329490662
test_mae_171100080204,0,0.03476998209953308
test_mae_171100080204,1,0.03316899761557579
test_mae_171100080204,2,0.033916570246219635
test_mae_171100080204,3,0.03271365165710449
test_mae_171100080204,4,0.03263647481799126
test_mae_171100080204,5,0.03221500664949417
test_mae_171100080204,6,0.03345228359103203
test_mae_171100080204,7,0.03362250328063965
test_mae_171100080204,8,0.03431103006005287
test_mae_171100080204,9,0.03407292068004608
test_mse_170200100201,0,0.009712007828056812
test_mse_170200100201,1,0.00867555383592844
test_mse_170200100201,2,0.009136320091784
test_mse_170200100201,3,0.009072978980839252
test_mse_170200100201,4,0.008639611303806305
test_mse_170200100201,5,0.009381921030580997
test_mse_170200100201,6,0.0109069449827075
test_mse_170200100201,7,0.00956179853528738
test_mse_170200100201,8,0.010207519866526127
test_mse_170200100201,9,0.011185395531356335
test_kge_171100070106,0,0.7164174361979594
test_kge_171100070106,1,0.7281681439613259
test_kge_171100070106,2,0.760179858026196
test_kge_171100070106,3,0.7581972693588308
test_kge_171100070106,4,0.750429979687645
test_kge_171100070106,5,0.7299299531410031
test_kge_171100070106,6,0.7612998726032612
test_kge_171100070106,7,0.7081025679541879
test_kge_171100070106,8,0.752469173286068
test_kge_171100070106,9,0.770818504626868
test_mse_171100060302,0,0.004594171419739723
test_mse_171100060302,1,0.00538223423063755
test_mse_171100060302,2,0.004666230641305447
test_mse_171100060302,3,0.005178851541131735
test_mse_171100060302,4,0.005223520565778017
test_mse_171100060302,5,0.004903978668153286
test_mse_171100060302,6,0.0051018544472754
test_mse_171100060302,7,0.005143982823938131
test_mse_171100060302,8,0.005177301820367575
test_mse_171100060302,9,0.0056433831341564655
train_r2_171100090102,0,0.9794312119483948
train_r2_171100090102,1,0.9848452806472778
train_r2_171100090102,2,0.9862791895866394
train_r2_171100090102,3,0.9869551062583923
train_r2_171100090102,4,0.9871097207069397
train_r2_171100090102,5,0.987991988658905
train_r2_171100090102,6,0.9878116846084595
train_r2_171100090102,7,0.9881609082221985
train_r2_171100090102,8,0.9875664114952087
train_r2_171100090102,9,0.9879183769226074
train_r2_171100090101,0,0.9816964268684387
train_r2_171100090101,1,0.9829855561256409
train_r2_171100090101,2,0.9848395586013794
train_r2_171100090101,3,0.9862446784973145
train_r2_171100090101,4,0.9870632290840149
train_r2_171100090101,5,0.9875196218490601
train_r2_171100090101,6,0.9887378215789795
train_r2_171100090101,7,0.9881345629692078
train_r2_171100090101,8,0.9880011677742004
train_r2_171100090101,9,0.988842248916626
train_mae_171100090201,0,0.027649346739053726
train_mae_171100090201,1,0.025235658511519432
train_mae_171100090201,2,0.025184405967593193
train_mae_171100090201,3,0.024851085618138313
train_mae_171100090201,4,0.024166027083992958
train_mae_171100090201,5,0.022884799167513847
train_mae_171100090201,6,0.022766318172216415
train_mae_171100090201,7,0.022251049056649208
train_mae_171100090201,8,0.02288733795285225
train_mae_171100090201,9,0.022035647183656693
test_kge_171100060302,0,0.9776774972305321
test_kge_171100060302,1,0.9332741756740042
test_kge_171100060302,2,0.9735271336075763
test_kge_171100060302,3,0.9568582899253805
test_kge_171100060302,4,0.9520848970567514
test_kge_171100060302,5,0.9532723999560045
test_kge_171100060302,6,0.9641818076686247
test_kge_171100060302,7,0.9619961119351229
test_kge_171100060302,8,0.9406931462989946
test_kge_171100060302,9,0.9313068318827503
train_kge_171100080104,0,0.9658188697254666
train_kge_171100080104,1,0.9676414608965406
train_kge_171100080104,2,0.9681857631416303
train_kge_171100080104,3,0.9744970537001515
train_kge_171100080104,4,0.980955071935866
train_kge_171100080104,5,0.9739859815639305
train_kge_171100080104,6,0.9725846673132371
train_kge_171100080104,7,0.9755187563373888
train_kge_171100080104,8,0.9778171567401748
train_kge_171100080104,9,0.9539885236517044
test_r2_171100080103,0,0.8829987645149231
test_r2_171100080103,1,0.8843451142311096
test_r2_171100080103,2,0.8907529711723328
test_r2_171100080103,3,0.8863290548324585
test_r2_171100080103,4,0.8908923864364624
test_r2_171100080103,5,0.899326503276825
test_r2_171100080103,6,0.9009486436843872
test_r2_171100080103,7,0.8930318355560303
test_r2_171100080103,8,0.8992307782173157
test_r2_171100080103,9,0.9031581282615662
train_kge_171100080108,0,0.9231387416451773
train_kge_171100080108,1,0.9038262637649395
train_kge_171100080108,2,0.9674004237495631
train_kge_171100080108,3,0.9537826758702632
train_kge_171100080108,4,0.9223271902040213
train_kge_171100080108,5,0.9703747115095427
train_kge_171100080108,6,0.9655516861718164
train_kge_171100080108,7,0.9473008565150514
train_kge_171100080108,8,0.977047894665442
train_kge_171100080108,9,0.9618686749821805
test_r2_171100090104,0,0.9393569231033325
test_r2_171100090104,1,0.9462306499481201
test_r2_171100090104,2,0.9477370381355286
test_r2_171100090104,3,0.9443209767341614
test_r2_171100090104,4,0.948029100894928
test_r2_171100090104,5,0.9459001421928406
test_r2_171100090104,6,0.9482071399688721
test_r2_171100090104,7,0.9465200304985046
test_r2_171100090104,8,0.9478400349617004
test_r2_171100090104,9,0.9449472427368164
train_r2_171100070102,0,0.9412556886672974
train_r2_171100070102,1,0.9521734714508057
train_r2_171100070102,2,0.9554202556610107
train_r2_171100070102,3,0.94570392370224
train_r2_171100070102,4,0.9557278156280518
train_r2_171100070102,5,0.9542059302330017
train_r2_171100070102,6,0.9572704434394836
train_r2_171100070102,7,0.9607418179512024
train_r2_171100070102,8,0.9598004817962646
train_r2_171100070102,9,0.9542206525802612
test_mse_171100070101,0,0.002810915932059288
test_mse_171100070101,1,0.0029229018837213516
test_mse_171100070101,2,0.002827573800459504
test_mse_171100070101,3,0.002763422206044197
test_mse_171100070101,4,0.0029547426383942366
test_mse_171100070101,5,0.0028927596285939217
test_mse_171100070101,6,0.0030144359916448593
test_mse_171100070101,7,0.003159701358526945
test_mse_171100070101,8,0.002947521861642599
test_mse_171100070101,9,0.0030629043467342854
train_kge_171100070101,0,0.9332180438086535
train_kge_171100070101,1,0.9495777320049084
train_kge_171100070101,2,0.9270935659951121
train_kge_171100070101,3,0.9775719082932985
train_kge_171100070101,4,0.9650050367212486
train_kge_171100070101,5,0.9733590216034849
