Metric,Step,Value
test_kge_170200090207,0,0.9690581623798217
test_kge_170200090207,1,0.9568857367926383
test_kge_170200090207,2,0.9611149090689654
test_kge_170200090207,3,0.9674901492338158
test_kge_170200090207,4,0.9842725170100555
test_kge_170200090207,5,0.9562321013712518
test_kge_170200090207,6,0.977461440330752
test_kge_170200090207,7,0.9586369836091725
test_kge_170200090207,8,0.9521946699785789
test_kge_170200090207,9,0.951909945500583
test_mae_170200090206,0,0.024006344377994537
test_mae_170200090206,1,0.021257009357213974
test_mae_170200090206,2,0.020270371809601784
test_mae_170200090206,3,0.021059619262814522
test_mae_170200090206,4,0.021335968747735023
test_mae_170200090206,5,0.020360244438052177
test_mae_170200090206,6,0.019016603007912636
test_mae_170200090206,7,0.01975783333182335
test_mae_170200090206,8,0.01887579634785652
test_mae_170200090206,9,0.020264746621251106
train_mae_170200090206,0,0.020200392231345177
train_mae_170200090206,1,0.017533421516418457
train_mae_170200090206,2,0.016083166003227234
train_mae_170200090206,3,0.016956396400928497
train_mae_170200090206,4,0.017944954335689545
train_mae_170200090206,5,0.015980415046215057
train_mae_170200090206,6,0.01523108221590519
train_mae_170200090206,7,0.01447745319455862
train_mae_170200090206,8,0.014220149256289005
train_mae_170200090206,9,0.015440496616065502
test_mse_170200090207,0,0.0006529806414619088
test_mse_170200090207,1,0.0006296833162195981
test_mse_170200090207,2,0.0006028139032423496
test_mse_170200090207,3,0.0005486367153935134
test_mse_170200090207,4,0.0005323828663676977
test_mse_170200090207,5,0.0006157013704068959
test_mse_170200090207,6,0.0005741873756051064
test_mse_170200090207,7,0.0005418668151833117
test_mse_170200090207,8,0.0006124991341494024
test_mse_170200090207,9,0.0006521918112412095
test_r2_170200090207,0,0.9711952209472656
test_r2_170200090207,1,0.9722229242324829
test_r2_170200090207,2,0.9734082221984863
test_r2_170200090207,3,0.9757981300354004
test_r2_170200090207,4,0.9765151143074036
test_r2_170200090207,5,0.9728397130966187
test_r2_170200090207,6,0.9746710062026978
test_r2_170200090207,7,0.9760967493057251
test_r2_170200090207,8,0.9729809761047363
test_r2_170200090207,9,0.9712300300598145
train_r2_170200090206,0,0.9555923938751221
train_r2_170200090206,1,0.9644243717193604
train_r2_170200090206,2,0.9684942364692688
train_r2_170200090206,3,0.9668635725975037
train_r2_170200090206,4,0.9639245271682739
train_r2_170200090206,5,0.9682288765907288
train_r2_170200090206,6,0.9698508381843567
train_r2_170200090206,7,0.9721717238426208
train_r2_170200090206,8,0.9724692702293396
train_r2_170200090206,9,0.9700333476066589
test_r2_170200090206,0,0.9493308067321777
test_r2_170200090206,1,0.9584246873855591
test_r2_170200090206,2,0.9601834416389465
test_r2_170200090206,3,0.9579722881317139
test_r2_170200090206,4,0.9602742791175842
test_r2_170200090206,5,0.9602835178375244
test_r2_170200090206,6,0.9640883803367615
test_r2_170200090206,7,0.9617331027984619
test_r2_170200090206,8,0.9628381729125977
test_r2_170200090206,9,0.9589503407478333
train_kge_170300010403,0,0.9697649013736906
train_kge_170300010403,1,0.9525346678467224
train_kge_170300010403,2,0.9781215803826158
train_kge_170300010403,3,0.9724547546795947
train_kge_170300010403,4,0.9891758036067476
train_kge_170300010403,5,0.9860548488907941
train_kge_170300010403,6,0.9854647224599493
train_kge_170300010403,7,0.9698411017515842
train_kge_170300010403,8,0.9742858510822087
train_kge_170300010403,9,0.9838739163275735
train_kge_170200090206,0,0.9509467595107577
train_kge_170200090206,1,0.9655220516513836
train_kge_170200090206,2,0.9450178245288643
train_kge_170200090206,3,0.9315738518538657
train_kge_170200090206,4,0.9378445909249886
train_kge_170200090206,5,0.9764166636735978
train_kge_170200090206,6,0.9687697934647052
train_kge_170200090206,7,0.9702144537656586
train_kge_170200090206,8,0.963433860230276
train_kge_170200090206,9,0.9356678611320266
test_mae_170200090210,0,0.011334155686199665
test_mae_170200090210,1,0.012588299810886383
test_mae_170200090210,2,0.013328286819159985
test_mae_170200090210,3,0.012528580613434315
test_mae_170200090210,4,0.012494314461946487
test_mae_170200090210,5,0.0126827172935009
test_mae_170200090210,6,0.01328094769269228
test_mae_170200090210,7,0.012611769139766693
test_mae_170200090210,8,0.012683456763625145
test_mae_170200090210,9,0.012998423539102077
train_mse_170200090206,0,0.0009351111948490143
train_mse_170200090206,1,0.0007491320720873773
train_mse_170200090206,2,0.0006634307792410254
train_mse_170200090206,3,0.0006977686425670981
train_mse_170200090206,4,0.0007596579380333424
train_mse_170200090206,5,0.0006690188893117011
train_mse_170200090206,6,0.0006348643219098449
train_mse_170200090206,7,0.0005859928205609322
train_mse_170200090206,8,0.0005797267076559365
train_mse_170200090206,9,0.0006310211028903723
test_mse_170200090206,0,0.0012874448439106345
test_mse_170200090206,1,0.0010563804535195231
test_mse_170200090206,2,0.0010116928024217486
test_mse_170200090206,3,0.0010678753023967147
test_mse_170200090206,4,0.001009384635835886
test_mse_170200090206,5,0.0010091495933011174
test_mse_170200090206,6,0.0009124720236286521
test_mse_170200090206,7,0.0009723175899125636
test_mse_170200090206,8,0.0009442387381568551
test_mse_170200090206,9,0.0010430245893076062
test_kge_170200090206,0,0.9315467721594741
test_kge_170200090206,1,0.9497820715091614
test_kge_170200090206,2,0.9148387171108232
test_kge_170200090206,3,0.9005014739882368
test_kge_170200090206,4,0.9432451506237475
test_kge_170200090206,5,0.947000900394118
test_kge_170200090206,6,0.9758591556414403
test_kge_170200090206,7,0.94455841141575
test_kge_170200090206,8,0.9400651816377429
test_kge_170200090206,9,0.9074658087824432
train_r2_170200110604,0,0.9597724676132202
train_r2_170200110604,1,0.9622047543525696
train_r2_170200110604,2,0.9648995399475098
train_r2_170200110604,3,0.9653048515319824
train_r2_170200110604,4,0.9612348675727844
train_r2_170200110604,5,0.963523805141449
train_r2_170200110604,6,0.9669549465179443
train_r2_170200110604,7,0.9678646326065063
train_r2_170200110604,8,0.968704879283905
train_r2_170200110604,9,0.9709305167198181
train_mse_170200090303,0,5.594517642748542e-05
train_mse_170200090303,1,4.693930168286897e-05
train_mse_170200090303,2,4.821302354685031e-05
train_mse_170200090303,3,3.090330574195832e-05
train_mse_170200090303,4,3.2880921935429797e-05
train_mse_170200090303,5,2.5107116016442887e-05
train_mse_170200090303,6,2.5489323888905346e-05
train_mse_170200090303,7,2.689982829906512e-05
train_mse_170200090303,8,3.473179822321981e-05
train_mse_170200090303,9,3.899506918969564e-05
train_mae_170200090303,0,0.0034098697360605
train_mae_170200090303,1,0.0033190471585839987
train_mae_170200090303,2,0.003599753836169839
train_mae_170200090303,3,0.0026209233328700066
train_mae_170200090303,4,0.0026513610500842333
train_mae_170200090303,5,0.0022849293891340494
train_mae_170200090303,6,0.002442121272906661
train_mae_170200090303,7,0.002460317686200142
train_mae_170200090303,8,0.0027770677115768194
train_mae_170200090303,9,0.0029828588012605906
test_mae_170200090207,0,0.014991572126746178
test_mae_170200090207,1,0.014612585306167603
test_mae_170200090207,2,0.01415121927857399
test_mae_170200090207,3,0.013292835094034672
