Metric,Step,Value
test_mse_170200090106,0,0.005901234690099955
test_mse_170200090106,1,0.005364083684980869
test_mse_170200090106,2,0.00586047163233161
test_mse_170200090106,3,0.005783244036138058
test_mse_170200090106,4,0.005697210785001516
test_mse_170200090106,5,0.005815660115331411
test_mse_170200090106,6,0.006509899161756039
test_mse_170200090106,7,0.005543752107769251
test_mse_170200090106,8,0.006169373635202646
test_mse_170200090106,9,0.005956857930868864
test_mae_170200110104,0,0.048052411526441574
test_mae_170200110104,1,0.04824351519346237
test_mae_170200110104,2,0.051589690148830414
test_mae_170200110104,3,0.04834316670894623
test_mae_170200110104,4,0.04870416596531868
test_mae_170200110104,5,0.04788745194673538
test_mae_170200110104,6,0.04962672293186188
test_mae_170200110104,7,0.048599883913993835
test_mae_170200110104,8,0.05002960190176964
test_mae_170200110104,9,0.0522821843624115
test_mse_170200110105,0,0.0020371705759316683
test_mse_170200110105,1,0.0025276115629822016
test_mse_170200110105,2,0.0024264175444841385
test_mse_170200110105,3,0.002797389170154929
test_mse_170200110105,4,0.002967045409604907
test_mse_170200110105,5,0.0033039578702300787
test_mse_170200110105,6,0.0027336254715919495
test_mse_170200110105,7,0.002795186825096607
test_mse_170200110105,8,0.003171608317643404
test_mse_170200110105,9,0.0030971590895205736
train_r2_170200090106,0,0.9884135127067566
train_r2_170200090106,1,0.9874061346054077
train_r2_170200090106,2,0.9824088215827942
train_r2_170200090106,3,0.9879595041275024
train_r2_170200090106,4,0.9887450337409973
train_r2_170200090106,5,0.9888960719108582
train_r2_170200090106,6,0.988447904586792
train_r2_170200090106,7,0.9888883829116821
train_r2_170200090106,8,0.9879081845283508
train_r2_170200090106,9,0.9890803694725037
train_kge_170200090107,0,0.9862860076184591
train_kge_170200090107,1,0.9888257582064386
train_kge_170200090107,2,0.9904265656016132
train_kge_170200090107,3,0.993618361793087
train_kge_170200090107,4,0.9922757503825818
train_kge_170200090107,5,0.9823404388017425
train_kge_170200090107,6,0.9785994251642713
train_kge_170200090107,7,0.9948578643946281
train_kge_170200090107,8,0.9770630520791835
train_kge_170200090107,9,0.9912155837912154
test_r2_170200110103,0,0.9607806205749512
test_r2_170200110103,1,0.9616279602050781
test_r2_170200110103,2,0.9617654085159302
test_r2_170200110103,3,0.9604751467704773
test_r2_170200110103,4,0.9601861238479614
test_r2_170200110103,5,0.9601529836654663
test_r2_170200110103,6,0.9576534628868103
test_r2_170200110103,7,0.9594491720199585
test_r2_170200110103,8,0.9567240476608276
test_r2_170200110103,9,0.9647118449211121
test_r2_170200110104,0,0.967889666557312
test_r2_170200110104,1,0.9688644409179688
test_r2_170200110104,2,0.9646584987640381
test_r2_170200110104,3,0.9677943587303162
test_r2_170200110104,4,0.9685928225517273
test_r2_170200110104,5,0.9690194725990295
test_r2_170200110104,6,0.9663019180297852
test_r2_170200110104,7,0.9674229025840759
test_r2_170200110104,8,0.9647986888885498
test_r2_170200110104,9,0.964293360710144
train_kge_170200110104,0,0.9916626840305144
train_kge_170200110104,1,0.990124327600425
train_kge_170200110104,2,0.9892441226176175
train_kge_170200110104,3,0.996122818523662
train_kge_170200110104,4,0.9967546993817422
train_kge_170200110104,5,0.9960850508913912
train_kge_170200110104,6,0.9874143502811489
train_kge_170200110104,7,0.9846200814160923
train_kge_170200110104,8,0.9935254919507955
train_kge_170200110104,9,0.9867786474684217
test_mse_170200110307,0,0.0025662637781351805
test_mse_170200110307,1,0.002228544559329748
test_mse_170200110307,2,0.0027097035199403763
test_mse_170200110307,3,0.002603843342512846
test_mse_170200110307,4,0.0024375542998313904
test_mse_170200110307,5,0.002466695150360465
test_mse_170200110307,6,0.0024004101287573576
test_mse_170200110307,7,0.0025190163869410753
test_mse_170200110307,8,0.0024304743856191635
test_mse_170200110307,9,0.002444705693051219
test_mae_170200090106,0,0.04710305854678154
test_mae_170200090106,1,0.04511760547757149
test_mae_170200090106,2,0.047282446175813675
test_mae_170200090106,3,0.04705246165394783
test_mae_170200090106,4,0.046883340924978256
test_mae_170200090106,5,0.04890013486146927
test_mae_170200090106,6,0.05015033856034279
test_mae_170200090106,7,0.04631629213690758
test_mae_170200090106,8,0.04932694137096405
test_mae_170200090106,9,0.048471108078956604
train_mae_170200110304,0,0.01756833679974079
train_mae_170200110304,1,0.016788838431239128
train_mae_170200110304,2,0.016510503366589546
train_mae_170200110304,3,0.016973216086626053
train_mae_170200110304,4,0.01624191366136074
train_mae_170200110304,5,0.016668837517499924
train_mae_170200110304,6,0.01632680557668209
train_mae_170200110304,7,0.015793655067682266
train_mae_170200110304,8,0.015833932906389236
train_mae_170200110304,9,0.01675148494541645
test_mse_170200110102,0,0.00566998403519392
test_mse_170200110102,1,0.005527181085199118
test_mse_170200110102,2,0.0062402342446148396
test_mse_170200110102,3,0.005492806434631348
test_mse_170200110102,4,0.0058291032910346985
test_mse_170200110102,5,0.005754753015935421
