Metric,Step,Value
train_kge_170200110105,0,0.979882712859018
train_kge_170200110105,1,0.9619149953089156
train_kge_170200110105,2,0.968378642930504
train_kge_170200110105,3,0.975055024181961
train_kge_170200110105,4,0.9465773743538319
train_kge_170200110105,5,0.9663868572329607
train_kge_170200110105,6,0.9668181068518278
train_kge_170200110105,7,0.9741774406071191
train_kge_170200110105,8,0.9698250641562922
train_kge_170200110105,9,0.9838065130763454
train_kge_170200110105,10,0.9769430954844824
train_kge_170200110105,11,0.9507077229405072
train_kge_170200110105,12,0.9630273942305704
train_kge_170200110105,13,0.9609970271462304
train_kge_170200110105,14,0.9806899468001891
train_kge_170200110105,15,0.9521345789844606
train_kge_170200110105,16,0.9788923814021171
train_kge_170200110105,17,0.9420719773954093
train_kge_170200110105,18,0.9793601601776911
train_kge_170200110105,19,0.9589531251232232
train_kge_170200110105,20,0.9802702882479367
train_kge_170200110105,21,0.9862877430055116
train_kge_170200110105,22,0.9560750674612685
train_kge_170200110105,23,0.9568387393752991
train_kge_170200110105,24,0.9777713045493803
train_kge_170200110105,25,0.9754402271293333
train_kge_170200110105,26,0.9825828382242582
train_kge_170200110105,27,0.9579352584378605
train_kge_170200110105,28,0.9339217315892867
train_kge_170200110105,29,0.9665011514763356
test_mae_171100090401,0,0.09113764017820358
test_mae_171100090401,1,0.09139741212129593
test_mae_171100090401,2,0.09016713500022888
test_mae_171100090401,3,0.09003501385450363
test_mae_171100090401,4,0.09159340709447861
test_mae_171100090401,5,0.09016086161136627
test_mae_171100090401,6,0.08943275362253189
test_mae_171100090401,7,0.08957178890705109
test_mae_171100090401,8,0.08935882151126862
test_mae_171100090401,9,0.09049390256404877
test_mae_171100090401,10,0.0901256799697876
test_mae_171100090401,11,0.08919281512498856
test_mae_171100090401,12,0.09110748022794724
test_mae_171100090401,13,0.09074264764785767
test_mae_171100090401,14,0.08915796875953674
test_mae_171100090401,15,0.08795161545276642
test_mae_171100090401,16,0.08827187120914459
test_mae_171100090401,17,0.08855994045734406
test_mae_171100090401,18,0.08951536566019058
test_mae_171100090401,19,0.0866168662905693
test_mae_171100090401,20,0.08988238871097565
test_mae_171100090401,21,0.08733614534139633
test_mae_171100090401,22,0.0879492461681366
test_mae_171100090401,23,0.08639075607061386
test_mae_171100090401,24,0.0862327367067337
test_mae_171100090401,25,0.0868009701371193
test_mae_171100090401,26,0.08552103489637375
test_mae_171100090401,27,0.08812285959720612
test_mae_171100090401,28,0.08613046258687973
test_mae_171100090401,29,0.08835454285144806
test_mse_170200090204,0,0.011363396421074867
test_mse_170200090204,1,0.013989264145493507
test_mse_170200090204,2,0.014186701737344265
test_mse_170200090204,3,0.013895954936742783
test_mse_170200090204,4,0.014104598201811314
test_mse_170200090204,5,0.012870668433606625
test_mse_170200090204,6,0.013199681416153908
test_mse_170200090204,7,0.014176737517118454
test_mse_170200090204,8,0.012983509339392185
test_mse_170200090204,9,0.012584074400365353
test_mse_170200090204,10,0.012783877551555634
test_mse_170200090204,11,0.013628360815346241
test_mse_170200090204,12,0.013126742094755173
test_mse_170200090204,13,0.0137118985876441
test_mse_170200090204,14,0.013953903689980507
test_mse_170200090204,15,0.01329443883150816
test_mse_170200090204,16,0.0134749636054039
test_mse_170200090204,17,0.012761308811604977
test_mse_170200090204,18,0.01400162372738123
test_mse_170200090204,19,0.012789614498615265
test_mse_170200090204,20,0.01306882407516241
test_mse_170200090204,21,0.013096882030367851
test_mse_170200090204,22,0.012916858308017254
test_mse_170200090204,23,0.012514055706560612
test_mse_170200090204,24,0.013606684282422066
test_mse_170200090204,25,0.01298681553453207
test_mse_170200090204,26,0.013648291118443012
test_mse_170200090204,27,0.013681957498192787
test_mse_170200090204,28,0.01269529853016138
test_mse_170200090204,29,0.012949911877512932
train_kge_170200090204,0,0.9304835550438794
train_kge_170200090204,1,0.9297021277241253
train_kge_170200090204,2,0.9428629766244773
train_kge_170200090204,3,0.9416756095649073
train_kge_170200090204,4,0.9487309655625991
train_kge_170200090204,5,0.9516342436917196
train_kge_170200090204,6,0.9588565901804366
