Metric,Step,Value
train_mae_170200090109,0,0.05461470037698746
train_mae_170200090109,1,0.04527801647782326
train_mae_170200090109,2,0.043003980070352554
train_mae_170200090109,3,0.04168248549103737
train_mae_170200090109,4,0.04426305368542671
train_mae_170200090109,5,0.04145250841975212
train_mae_170200090109,6,0.0404139943420887
train_mae_170200090109,7,0.04216534271836281
train_mae_170200090109,8,0.04277324303984642
train_mae_170200090109,9,0.04172857478260994
test_mae_170200090110,0,0.07477379590272903
test_mae_170200090110,1,0.07296988368034363
test_mae_170200090110,2,0.07419224083423615
test_mae_170200090110,3,0.0768190547823906
test_mae_170200090110,4,0.07300920784473419
test_mae_170200090110,5,0.0723620131611824
test_mae_170200090110,6,0.07316660135984421
test_mae_170200090110,7,0.06688312441110611
test_mae_170200090110,8,0.0697978287935257
test_mae_170200090110,9,0.07294147461652756
train_kge_170200090109,0,0.8558112607458507
train_kge_170200090109,1,0.9073072570314953
train_kge_170200090109,2,0.8955329743628967
train_kge_170200090109,3,0.9010240677553513
train_kge_170200090109,4,0.8687256838589653
train_kge_170200090109,5,0.8867786037219617
train_kge_170200090109,6,0.8893928278956375
train_kge_170200090109,7,0.8699644552295241
train_kge_170200090109,8,0.8639123984155004
train_kge_170200090109,9,0.900756343670033
test_kge_170200090111,0,0.4747373836948472
test_kge_170200090111,1,0.4219808778817262
test_kge_170200090111,2,0.3980822857156855
test_kge_170200090111,3,0.43573057153554406
test_kge_170200090111,4,0.39049089747333154
test_kge_170200090111,5,0.39404168013771934
test_kge_170200090111,6,0.3678531511798395
test_kge_170200090111,7,0.4049111118816886
test_kge_170200090111,8,0.3750602331671504
test_kge_170200090111,9,0.3642891711841618
test_mae_170200090111,0,0.13140036165714264
test_mae_170200090111,1,0.14173027873039246
test_mae_170200090111,2,0.14508917927742004
test_mae_170200090111,3,0.13468800485134125
test_mae_170200090111,4,0.1448470801115036
test_mae_170200090111,5,0.14256295561790466
test_mae_170200090111,6,0.14923307299613953
test_mae_170200090111,7,0.13774487376213074
test_mae_170200090111,8,0.14897634088993073
