Metric,Step,Value
test_r2_171100080109,0,-0.2841777801513672
test_r2_171100080109,1,-0.2721743583679199
test_r2_171100080109,2,-0.1562715768814087
test_r2_171100080109,3,0.1873488426208496
test_r2_171100080109,4,0.3962364196777344
test_r2_171100080109,5,0.6348087191581726
test_r2_171100080109,6,-0.17443084716796875
test_r2_171100080109,7,0.4670981764793396
test_r2_171100080109,8,0.5087063908576965
test_r2_171100080109,9,0.6458882093429565
train_r2_170300020312,0,0.8460592031478882
train_r2_170300020312,1,0.8397796750068665
train_r2_170300020312,2,0.8451125621795654
train_r2_170300020312,3,0.8505312204360962
train_r2_170300020312,4,0.8677322268486023
train_r2_170300020312,5,0.8424949049949646
train_r2_170300020312,6,0.8614981174468994
train_r2_170300020312,7,0.859502911567688
train_r2_170300020312,8,0.8306475281715393
train_r2_170300020312,9,0.8704008460044861
train_r2_171100080301,0,-0.18974363803863525
train_r2_171100080301,1,-0.1895374059677124
train_r2_171100080301,2,-0.18925368785858154
train_r2_171100080301,3,-0.1890336275100708
train_r2_171100080301,4,-0.1888279914855957
train_r2_171100080301,5,-0.1886284351348877
train_r2_171100080301,6,-0.18841803073883057
train_r2_171100080301,7,-0.18821215629577637
train_r2_171100080301,8,-0.18799448013305664
train_r2_171100080301,9,-0.18778419494628906
train_r2_171100080302,0,-0.15795612335205078
train_r2_171100080302,1,-0.07554388046264648
train_r2_171100080302,2,-0.18574583530426025
train_r2_171100080302,3,-0.11078381538391113
train_r2_171100080302,4,-0.10225832462310791
train_r2_171100080302,5,-0.20257270336151123
train_r2_171100080302,6,-0.1908780336380005
train_r2_171100080302,7,-0.14187133312225342
train_r2_171100080302,8,-0.10418200492858887
train_r2_171100080302,9,-0.07449543476104736
test_mse_170300020312,0,1.753117066982668e-05
test_mse_170300020312,1,1.4119184925220907e-05
test_mse_170300020312,2,1.4446755812969059e-05
test_mse_170300020312,3,1.085064923245227e-05
test_mse_170300020312,4,1.5313153198803775e-05
test_mse_170300020312,5,1.5235313185257837e-05
test_mse_170300020312,6,1.1894669114553835e-05
test_mse_170300020312,7,1.1911723959201481e-05
test_mse_170300020312,8,1.2204167433083057e-05
test_mse_170300020312,9,1.4419509170693345e-05
test_r2_171100080205,0,-0.4476311206817627
test_r2_171100080205,1,-0.13653767108917236
test_r2_171100080205,2,-0.1234428882598877
test_r2_171100080205,3,-0.12295937538146973
test_r2_171100080205,4,-0.11132550239562988
test_r2_171100080205,5,-0.09335935115814209
test_r2_171100080205,6,-0.07135164737701416
test_r2_171100080205,7,-0.10645878314971924
test_r2_171100080205,8,-0.09310877323150635
test_r2_171100080205,9,-0.07931399345397949
train_r2_171100080207,0,-0.07231855392456055
train_r2_171100080207,1,-0.22072947025299072
train_r2_171100080207,2,-0.15260732173919678
train_r2_171100080207,3,-0.04806101322174072
train_r2_171100080207,4,-0.1870594024658203
train_r2_171100080207,5,-0.05917978286743164
train_r2_171100080207,6,-0.11455368995666504
train_r2_171100080207,7,-0.08076202869415283
train_r2_171100080207,8,-0.0727308988571167
train_r2_171100080207,9,-0.1119009256362915
test_mse_170300031201,0,7.134570478228852e-05
test_mse_170300031201,1,7.125584670575336e-05
test_mse_170300031201,2,7.119726069504395e-05
test_mse_170300031201,3,7.11477332515642e-05
test_mse_170300031201,4,7.11058164597489e-05
test_mse_170300031201,5,7.103745883796364e-05
test_mse_170300031201,6,7.098642527125776e-05
test_mse_170300031201,7,7.094272586982697e-05
test_mse_170300031201,8,7.089376595104113e-05
test_mse_170300031201,9,7.083381206030026e-05
test_mse_171100080205,0,8.613638783572242e-05
test_mse_171100080205,1,6.762582052033395e-05
test_mse_171100080205,2,6.68466673232615e-05
test_mse_171100080205,3,6.68178909108974e-05
test_mse_171100080205,4,6.612565630348399e-05
test_mse_171100080205,5,6.505664350697771e-05
test_mse_171100080205,6,6.374714575940743e-05
test_mse_171100080205,7,6.58360804663971e-05
test_mse_171100080205,8,6.504172779386863e-05
test_mse_171100080205,9,6.422091973945498e-05
train_mae_171100080302,0,0.002045323373749852
train_mae_171100080302,1,0.0015123883495107293
train_mae_171100080302,2,0.002064982894808054
train_mae_171100080302,3,0.0015744857955724
train_mae_171100080302,4,0.0011389143764972687
train_mae_171100080302,5,0.0021423674188554287
train_mae_171100080302,6,0.002102412050589919
train_mae_171100080302,7,0.0018052755622193217
train_mae_171100080302,8,0.0015313004842028022
train_mae_171100080302,9,0.0012369818286970258
train_mse_171100080102,0,0.04108542948961258
train_mse_171100080102,1,0.008700895123183727
train_mse_171100080102,2,0.0054606106132268906
train_mse_171100080102,3,0.004714054986834526
train_mse_171100080102,4,0.004999883472919464
train_mse_171100080102,5,0.004019927699118853
train_mse_171100080102,6,0.0038446602411568165
train_mse_171100080102,7,0.004047398921102285
train_mse_171100080102,8,0.003695694962516427
train_mse_171100080102,9,0.003592520020902157
test_r2_171100080207,0,-0.07242715358734131
test_r2_171100080207,1,-0.13801217079162598
test_r2_171100080207,2,-0.10298430919647217
test_r2_171100080207,3,-0.04046988487243652
test_r2_171100080207,4,-0.12209737300872803
test_r2_171100080207,5,-0.04751741886138916
test_r2_171100080207,6,-0.0812309980392456
test_r2_171100080207,7,-0.06018483638763428
test_r2_171100080207,8,-0.05485796928405762
test_r2_171100080207,9,-0.07996857166290283
train_kge_171100080303,0,-0.668211757689297
train_kge_171100080303,1,-0.5549825369192705
train_kge_171100080303,2,-0.5123424505642129
train_kge_171100080303,3,-0.5988960237900343
train_kge_171100080303,4,-0.31819597243874465
train_kge_171100080303,5,-0.3716882529414438
train_kge_171100080303,6,-1.7084903530686883
train_kge_171100080303,7,-1.6763102514742467
train_kge_171100080303,8,-1.5757956494387755
train_kge_171100080303,9,-1.5470214609319806
test_kge_170300031202,0,-1.1373891955893418
test_kge_170300031202,1,-0.716589474154649
test_kge_170300031202,2,-1.5882223056028857
test_kge_170300031202,3,-1.3946238102432207
test_kge_170300031202,4,-1.1646099778360162
test_kge_170300031202,5,-1.0216286092194942
test_kge_170300031202,6,-1.3966139628867444
test_kge_170300031202,7,-1.1798897639595545
test_kge_170300031202,8,-0.7397995462870499
test_kge_170300031202,9,-0.17601885152381636
test_r2_170300031202,0,-0.09264564514160156
test_r2_170300031202,1,-0.12982869148254395
test_r2_170300031202,2,-0.18653357028961182
test_r2_170300031202,3,-0.1503751277923584
test_r2_170300031202,4,-0.11532950401306152
test_r2_170300031202,5,-0.08163797855377197
test_r2_170300031202,6,-0.15313339233398438
test_r2_170300031202,7,-0.11319684982299805
test_r2_170300031202,8,-0.03997766971588135
test_r2_170300031202,9,0.23076719045639038
test_mae_170300031202,0,0.001850599655881524
test_mae_170300031202,1,0.0016210984904319048
test_mae_170300031202,2,0.00269869901239872
test_mae_170300031202,3,0.002438925439491868
test_mae_170300031202,4,0.002247918164357543
test_mae_170300031202,5,0.001965237082913518
test_mae_170300031202,6,0.002519006375223398
test_mae_170300031202,7,0.0021468501072376966
test_mae_170300031202,8,0.001483908505178988
test_mae_170300031202,9,0.0011825477704405785
train_kge_170300031202,0,-1.1019576355430512
train_kge_170300031202,1,-0.7502674431876715
train_kge_170300031202,2,-1.9687696614551045
train_kge_170300031202,3,-1.6851841785152084
train_kge_170300031202,4,-1.4728046999586786
train_kge_170300031202,5,-1.1046100573610285
train_kge_170300031202,6,-1.7892110505085466
train_kge_170300031202,7,-1.4037831963692708
train_kge_170300031202,8,-0.8041452800552695
train_kge_170300031202,9,-0.0997646696759853
train_r2_171100080102,0,-0.0782155990600586
train_r2_171100080102,1,0.7716601490974426
train_r2_171100080102,2,0.8566957712173462
train_r2_171100080102,3,0.8762878179550171
train_r2_171100080102,4,0.8687867522239685
train_r2_171100080102,5,0.8945039510726929
train_r2_171100080102,6,0.899103581905365
train_r2_171100080102,7,0.8937830328941345
train_r2_171100080102,8,0.9030129313468933
train_r2_171100080102,9,0.905720591545105
test_mse_171100080106,0,0.0006616134196519852
test_mse_171100080106,1,0.0006056409911252558
test_mse_171100080106,2,0.0005331631400622427
test_mse_171100080106,3,0.0005115155945532024
test_mse_171100080106,4,0.0004944585962221026
test_mse_171100080106,5,0.0004921724321320653
test_mse_171100080106,6,0.00045854420750401914
test_mse_171100080106,7,0.00043857688433490694
