Metric,Step,Value
test_mse_160401010408,0,0.0002504071162547916
test_mse_160401010408,1,0.0002633232797961682
test_mse_160401010408,2,0.00024945964105427265
test_mse_160401010408,3,0.00026534838252700865
test_mse_160401010408,4,0.0002464984718244523
test_mse_160401010408,5,0.0002694987924769521
test_mse_160401010408,6,0.000249990145675838
test_mse_160401010408,7,0.00024454185040667653
test_mse_160401010408,8,0.0002541682042647153
test_mse_160401010408,9,0.0002942176361102611
test_mse_160401010408,10,0.00024281954392790794
test_mse_160401010408,11,0.0002942504652310163
test_mse_160401010408,12,0.0008513665525242686
test_mse_160401010408,13,0.0008589650387875736
test_mse_160401010408,14,0.000958520860876888
test_mse_160401010408,15,0.0009577994933351874
test_mse_160401010408,16,0.0009570784168317914
test_mse_160401010408,17,0.0009563378989696503
test_mse_160401010408,18,0.0009555883007124066
test_mse_160401010408,19,0.0009548153029754758
test_mse_160401010408,20,0.0009540185565128922
test_mse_160401010408,21,0.0009531454998068511
test_mse_160401010408,22,0.000952253642026335
test_mse_160401010408,23,0.0009513062541373074
test_mse_160401010408,24,0.0009502611355856061
test_mse_160401010408,25,0.00094920041738078
test_mse_160401010408,26,0.0009480108856223524
test_mse_160401010408,27,0.0009466716437600553
test_mse_160401010408,28,0.0009450500947423279
test_mse_160401010408,29,0.0009423367446288466
test_mse_160401010603,0,0.00017475048662163317
test_mse_160401010603,1,0.0001872927969088778
test_mse_160401010603,2,0.0002056595403701067
test_mse_160401010603,3,0.00023934061755426228
test_mse_160401010603,4,0.00019380883895792067
test_mse_160401010603,5,0.00018721885862760246
test_mse_160401010603,6,0.00015949267253745347
test_mse_160401010603,7,0.00016380574379581958
test_mse_160401010603,8,0.00020141812274232507
test_mse_160401010603,9,0.0006262239767238498
test_mse_160401010603,10,0.00021258143533486873
test_mse_160401010603,11,0.00018138080486096442
test_mse_160401010603,12,0.00017448521975893527
test_mse_160401010603,13,0.00015745004930067807
test_mse_160401010603,14,0.00016974634490907192
test_mse_160401010603,15,0.0001824575592763722
test_mse_160401010603,16,0.0001919105852721259
test_mse_160401010603,17,0.0001577325601829216
test_mse_160401010603,18,0.0001891501306090504
test_mse_160401010603,19,0.0001900820789160207
test_mse_160401010603,20,0.0001594641653355211
test_mse_160401010603,21,0.00017260998720303178
test_mse_160401010603,22,0.00019769094069488347
test_mse_160401010603,23,0.0002616141573525965
test_mse_160401010603,24,0.0017805249663069844
test_mse_160401010603,25,0.001746599329635501
test_mse_160401010603,26,0.001786984852515161
test_mse_160401010603,27,0.0002823461254592985
test_mse_160401010603,28,0.00022331900254357606
test_mse_160401010603,29,0.00018799299141392112
test_kge_160401010102,0,-0.36878366056184486
test_kge_160401010102,1,-0.6077177006818755
test_kge_160401010102,2,-0.08687011964183844
test_kge_160401010102,3,0.08156212278701369
test_kge_160401010102,4,0.2708858149375085
test_kge_160401010102,5,0.2328869876371561
test_kge_160401010102,6,0.03788774880402901
test_kge_160401010102,7,0.27326754868523795
test_kge_160401010102,8,0.546008166021356
test_kge_160401010102,9,0.6082057114685047
test_kge_160401010102,10,0.5250374276500753
test_kge_160401010102,11,0.3458919717660237
test_kge_160401010102,12,0.4632028424985811
