Metric,Step,Value
test_kge_171100050902,0,0.8162350934407065
test_kge_171100050902,1,0.8247565538285755
test_kge_171100050902,2,0.2781250319587466
test_kge_171100050902,3,0.6947127284527381
test_kge_171100050902,4,0.7198476442378544
test_kge_171100050902,5,0.3029123338119516
test_kge_171100050902,6,0.5028866388443785
test_kge_171100050902,7,0.581010924851185
test_kge_171100050902,8,-0.011469850897595002
test_kge_171100050902,9,0.7077767908939242
test_kge_171100050902,10,0.7896064088676096
test_kge_171100050902,11,0.5881888379905479
test_kge_171100050902,12,0.1651702803254549
test_kge_171100050902,13,0.15305255961209452
test_kge_171100050902,14,0.6781113343146126
test_kge_171100050902,15,0.7465025352733949
test_kge_171100050902,16,0.6448124557910788
test_kge_171100050902,17,0.6397437018271233
test_kge_171100050902,18,0.814144947121119
test_kge_171100050902,19,0.6740244293228654
test_kge_171100050902,20,0.5584970867545616
test_kge_171100050902,21,0.8195650531891846
test_kge_171100050902,22,0.21847816393873842
test_kge_171100050902,23,-0.17280066211185852
test_kge_171100050902,24,0.42376860059548005
test_kge_171100050902,25,0.37303486954660625
test_kge_171100050902,26,0.5428609554826106
test_kge_171100050902,27,0.2185868442474348
test_kge_171100050902,28,0.3098637998423125
test_kge_171100050902,29,0.38658236317666317
test_kge_171100090301,0,0.7095625036297146
test_kge_171100090301,1,0.7094979869248195
test_kge_171100090301,2,0.8500750548993706
test_kge_171100090301,3,0.833623351032378
test_kge_171100090301,4,0.2897585890415867
test_kge_171100090301,5,0.8465524096973776
test_kge_171100090301,6,0.9261726266876394
test_kge_171100090301,7,0.8040022773164388
test_kge_171100090301,8,0.5717928463528983
test_kge_171100090301,9,0.7230909096702094
test_kge_171100090301,10,0.6379126104070263
test_kge_171100090301,11,0.8460168601601955
test_kge_171100090301,12,0.7376900481469025
test_kge_171100090301,13,0.8806773613359983
test_kge_171100090301,14,0.7911473734766861
test_kge_171100090301,15,0.7586206739672334
test_kge_171100090301,16,0.6834860649986818
test_kge_171100090301,17,0.7190253169422265
test_kge_171100090301,18,0.5581971263802683
test_kge_171100090301,19,0.8265991074072643
test_kge_171100090301,20,0.31507991554327497
test_kge_171100090301,21,0.6566100569493738
test_kge_171100090301,22,0.4722788922351877
test_kge_171100090301,23,0.08782062321152684
test_kge_171100090301,24,0.26381326388514625
test_kge_171100090301,25,0.750015767439212
test_kge_171100090301,26,0.668533291085043
test_kge_171100090301,27,0.6667402524675127
test_kge_171100090301,28,0.6294034699704057
test_kge_171100090301,29,0.7375123510076028
test_mse_170200110202,0,0.02156790904700756
test_mse_170200110202,1,0.0179100651293993
test_mse_170200110202,2,0.006693752016872168
test_mse_170200110202,3,0.019922414794564247
test_mse_170200110202,4,0.052131492644548416
test_mse_170200110202,5,0.012067352421581745
test_mse_170200110202,6,0.007250240072607994
test_mse_170200110202,7,0.009129181504249573
test_mse_170200110202,8,0.02040928043425083
test_mse_170200110202,9,0.013594193384051323
test_mse_170200110202,10,0.015045286156237125
test_mse_170200110202,11,0.007967936806380749
test_mse_170200110202,12,0.014821115881204605
test_mse_170200110202,13,0.012978997081518173
test_mse_170200110202,14,0.010630443692207336
test_mse_170200110202,15,0.01415837649255991
test_mse_170200110202,16,0.006150819826871157
test_mse_170200110202,17,0.015374474227428436
test_mse_170200110202,18,0.11139915883541107
test_mse_170200110202,19,0.04315926879644394
test_mse_170200110202,20,0.14924894273281097
test_mse_170200110202,21,0.13012930750846863
test_mse_170200110202,22,0.058213599026203156
test_mse_170200110202,23,0.0866924524307251
test_mse_170200110202,24,0.13280291855335236
test_mse_170200110202,25,0.12673017382621765
test_mse_170200110202,26,0.08198006451129913
test_mse_170200110202,27,0.08507085591554642
test_mse_170200110202,28,0.05574309825897217
test_mse_170200110202,29,0.06894546002149582
test_kge_171100051003,0,0.4280529397885663
test_kge_171100051003,1,0.5100770618360034
test_kge_171100051003,2,0.784796501325537
test_kge_171100051003,3,0.5231646636747425
test_kge_171100051003,4,0.07689300466701243
test_kge_171100051003,5,0.6330395604208257
test_kge_171100051003,6,0.5566460469027916
test_kge_171100051003,7,0.45821524941829617
test_kge_171100051003,8,0.9171046268727545
test_kge_171100051003,9,0.3511760686639924
test_kge_171100051003,10,0.2816246098185996
test_kge_171100051003,11,0.40912771602570974
test_kge_171100051003,12,0.9069333476239165
