Metric,Step,Value
test_mse_170200090106,0,0.025421084836125374
test_mse_170200090106,1,0.01069076731801033
test_mse_170200090106,2,0.018395377323031425
test_mse_170200090106,3,0.005697937216609716
test_mse_170200090106,4,0.01314246840775013
test_mse_170200090106,5,0.008647608570754528
test_mse_170200090106,6,0.023182688280940056
test_mse_170200090106,7,0.04413546621799469
test_mse_170200090106,8,0.01006363332271576
test_mse_170200090106,9,0.016795707866549492
test_mse_170200090106,10,0.005902375094592571
test_mse_170200090106,11,0.02676760032773018
test_mse_170200090106,12,0.04822901263833046
test_mse_170200090106,13,0.009846559725701809
test_mse_170200090106,14,0.016172004863619804
test_mse_170200090106,15,0.020498188212513924
test_mse_170200090106,16,0.01086689904332161
test_mse_170200090106,17,0.039045050740242004
test_mse_170200090106,18,0.020803453400731087
test_mse_170200090106,19,0.006166165228933096
test_mse_170200090106,20,0.010784151032567024
test_mse_170200090106,21,0.009911161847412586
test_mse_170602080302,0,0.002489109756425023
test_mse_170602080302,1,0.007306732703000307
test_mse_170602080302,2,0.0020661111921072006
test_mse_170602080302,3,0.0035182470455765724
test_mse_170602080302,4,0.0012923117028549314
test_mse_170602080302,5,0.001177976024337113
test_mse_170602080302,6,0.0031670304015278816
test_mse_170602080302,7,0.029308363795280457
test_mse_170602080302,8,0.0018484274623915553
test_mse_170602080302,9,0.002585022011771798
test_mse_170602080302,10,0.002515881322324276
test_mse_170602080302,11,0.002825614297762513
test_mse_170602080302,12,0.010977073572576046
test_mse_170602080302,13,0.0026912775356322527
test_mse_170602080302,14,0.0019799366127699614
test_mse_170602080302,15,0.0010775509290397167
test_mse_170602080302,16,0.0018079164437949657
test_mse_170602080302,17,0.005011032335460186
test_mse_170602080302,18,0.006377961952239275
test_mse_170602080302,19,0.0022136573679745197
test_mse_170602080302,20,0.0010931746801361442
test_mse_170602080302,21,0.001781708444468677
test_kge_170602070105,0,0.5644343257869789
test_kge_170602070105,1,0.7887106801686129
test_kge_170602070105,2,0.6715593979731931
test_kge_170602070105,3,0.9184185716736597
test_kge_170602070105,4,0.893040441897895
test_kge_170602070105,5,0.821740538421473
test_kge_170602070105,6,0.5862136965737086
test_kge_170602070105,7,0.2833465118574048
test_kge_170602070105,8,0.8053204719466192
test_kge_170602070105,9,0.9576716388666984
test_kge_170602070105,10,0.8844226489283367
test_kge_170602070105,11,0.6472015287494168
test_kge_170602070105,12,0.7005621792840397
test_kge_170602070105,13,0.9778960194641468
test_kge_170602070105,14,0.6181761829898493
test_kge_170602070105,15,0.8509917258708847
test_kge_170602070105,16,0.6056769827172884
test_kge_170602070105,17,0.8488329938647543
test_kge_170602070105,18,0.3846862939621074
test_kge_170602070105,19,0.9142579633641432
test_kge_170602070105,20,0.7221325082341705
test_kge_170602070105,21,0.779058591356494
test_mse_170103020101,0,0.0012896587140858173
test_mse_170103020101,1,0.002962786005809903
test_mse_170103020101,2,0.0022254548966884613
test_mse_170103020101,3,0.0026851336006075144
test_mse_170103020101,4,0.0037688040174543858
test_mse_170103020101,5,0.0022121851798146963
test_mse_170103020101,6,0.0016079192282631993
test_mse_170103020101,7,0.02990889921784401
test_mse_170103020101,8,0.0016458668978884816
test_mse_170103020101,9,0.01036099623888731
test_mse_170103020101,10,0.0022375781554728746
test_mse_170103020101,11,0.002406401326879859
test_mse_170103020101,12,0.0280933678150177
test_mse_170103020101,13,0.01092853769659996
test_mse_170103020101,14,0.0017371312715113163
test_mse_170103020101,15,0.0011335527524352074
test_mse_170103020101,16,0.002083201427012682
test_mse_170103020101,17,0.01010842714458704
test_mse_170103020101,18,0.0015692263841629028
test_mse_170103020101,19,0.00184664037078619
test_mse_170103020101,20,0.001188422553241253
test_mse_170103020101,21,0.001633214415051043
test_mse_170602070707,0,0.0012254237663000822
test_mse_170602070707,1,0.003733767429366708
test_mse_170602070707,2,0.0005432775360532105
test_mse_170602070707,3,0.004673017654567957
test_mse_170602070707,4,0.0018482619198039174
test_mse_170602070707,5,0.0025535025633871555
test_mse_170602070707,6,0.0014689231757074594
test_mse_170602070707,7,0.020496735349297523
test_mse_170602070707,8,0.0016727749025449157
test_mse_170602070707,9,0.007316069211810827
test_mse_170602070707,10,0.003205853747203946
test_mse_170602070707,11,0.0009503452456556261
test_mse_170602070707,12,0.013329998590052128
test_mse_170602070707,13,0.009284572675824165
test_mse_170602070707,14,0.0004462373035494238
test_mse_170602070707,15,0.0027801755350083113
test_mse_170602070707,16,0.00019424105994403362
test_mse_170602070707,17,0.00605733459815383
test_mse_170602070707,18,0.000274946098215878
test_mse_170602070707,19,0.0020644122269004583
test_mse_170602070707,20,0.0014375492464751005
test_mse_170602070707,21,0.002065212232992053
test_r2_170602080605,0,0.7880131602287292
test_r2_170602080605,1,0.888573944568634
test_r2_170602080605,2,0.7542223930358887
test_r2_170602080605,3,0.9422343373298645
test_r2_170602080605,4,0.876288652420044
test_r2_170602080605,5,0.9041040539741516
test_r2_170602080605,6,0.7325294017791748
test_r2_170602080605,7,0.24837619066238403
test_r2_170602080605,8,0.9052342772483826
test_r2_170602080605,9,0.9477450251579285
test_r2_170602080605,10,0.9308132529258728
test_r2_170602080605,11,0.8238720297813416
test_r2_170602080605,12,0.6930404901504517
test_r2_170602080605,13,0.9562832713127136
test_r2_170602080605,14,0.7616560459136963
test_r2_170602080605,15,0.9389479756355286
test_r2_170602080605,16,0.713843822479248
test_r2_170602080605,17,0.934284508228302
test_r2_170602080605,18,0.5784922242164612
test_r2_170602080605,19,0.9483538269996643
test_r2_170602080605,20,0.875636637210846
test_r2_170602080605,21,0.9042946100234985
test_kge_170200090208,0,0.8301454516134947
test_kge_170200090208,1,0.726464788939666
test_kge_170200090208,2,0.9017260526395624
test_kge_170200090208,3,0.7815086793009194
test_kge_170200090208,4,0.843193608722602
test_kge_170200090208,5,0.8164454802739465
test_kge_170200090208,6,0.8947769024689767
test_kge_170200090208,7,-0.0032544079413501237
test_kge_170200090208,8,0.905289708816871
test_kge_170200090208,9,0.6190461846376055
test_kge_170200090208,10,0.7821745731464618
test_kge_170200090208,11,0.7968510432337431
test_kge_170200090208,12,0.2593486043226122
test_kge_170200090208,13,0.5956034416651268
test_kge_170200090208,14,0.8499273797463022
test_kge_170200090208,15,0.9676881715169733
test_kge_170200090208,16,0.8826516784573228
test_kge_170200090208,17,0.4686584613771815
test_kge_170200090208,18,0.7351430965924562
test_kge_170200090208,19,0.8482193303107183
test_kge_170200090208,20,0.9587992859550774
test_kge_170200090208,21,0.9203936034560364
test_mae_170200090208,0,0.03254192695021629
test_mae_170200090208,1,0.048435311764478683
