Metric,Step,Value
test_r2_170602080108,0,0.8669845461845398
test_r2_170602080108,1,0.26219213008880615
test_r2_170602080108,2,0.24453991651535034
test_r2_170602080108,3,0.5625394582748413
test_r2_170602080108,4,0.8355951309204102
test_r2_170602080108,5,0.8192852735519409
test_r2_170602080108,6,0.7614619731903076
test_r2_170602080108,7,0.8721733093261719
test_r2_170602080108,8,0.8027291297912598
test_r2_170602080108,9,0.8854997754096985
test_r2_170602080108,10,0.71636962890625
test_r2_170602080108,11,0.6061655879020691
test_r2_170602080108,12,-2.590296983718872
test_r2_170602080108,13,0.8414171934127808
test_r2_170602080108,14,0.6464565992355347
test_r2_170602080108,15,-1.508378505706787
test_r2_170602080108,16,0.8540367484092712
test_r2_170602080108,17,0.6105716228485107
test_r2_170602080108,18,0.6959719657897949
test_r2_170602080108,19,0.6310027837753296
test_r2_170602080108,20,0.6614127159118652
test_r2_170602080108,21,0.7410827875137329
test_mse_170602070701,0,0.001130338292568922
test_mse_170602070701,1,0.017765723168849945
test_mse_170602070701,2,0.025646375492215157
test_mse_170602070701,3,0.017623376101255417
test_mse_170602070701,4,0.005671345163136721
test_mse_170602070701,5,0.008503889665007591
test_mse_170602070701,6,0.010514025576412678
test_mse_170602070701,7,0.00716266268864274
test_mse_170602070701,8,0.005632519256323576
test_mse_170602070701,9,0.009107515215873718
test_mse_170602070701,10,0.009692886844277382
test_mse_170602070701,11,0.014892490580677986
test_mse_170602070701,12,0.0622200109064579
test_mse_170602070701,13,0.008798600174486637
test_mse_170602070701,14,0.013240104541182518
test_mse_170602070701,15,0.05365418270230293
test_mse_170602070701,16,0.006755564361810684
test_mse_170602070701,17,0.015591014176607132
test_mse_170602070701,18,0.0077283126302063465
test_mse_170602070701,19,0.011467557400465012
test_mse_170602070701,20,0.013457600958645344
test_mse_170602070701,21,0.010639985091984272
test_kge_170602070701,0,0.8808730719808701
test_kge_170602070701,1,-0.3492002605285327
test_kge_170602070701,2,-0.6476325128886324
test_kge_170602070701,3,-0.413137612175841
test_kge_170602070701,4,0.2512376387079479
test_kge_170602070701,5,0.10433795129310575
test_kge_170602070701,6,-0.03713888080063854
test_kge_170602070701,7,0.14383038748370403
test_kge_170602070701,8,0.2050869563717731
test_kge_170602070701,9,0.010895644435879648
test_kge_170602070701,10,-0.025627773844096646
test_kge_170602070701,11,-0.23544599864857196
test_kge_170602070701,12,-1.762334752254834
test_kge_170602070701,13,-0.013992313248642807
test_kge_170602070701,14,-0.21805969898561228
test_kge_170602070701,15,-1.5847348955836407
test_kge_170602070701,16,0.1339811190919208
test_kge_170602070701,17,-0.3475649335364086
test_kge_170602070701,18,0.10165757769059514
test_kge_170602070701,19,-0.10977936526930199
test_kge_170602070701,20,-0.23119008049845902
test_kge_170602070701,21,-0.011034857981105928
test_mse_170602080302,0,0.004913184326142073
test_mse_170602080302,1,0.010973728261888027
test_mse_170602080302,2,0.009067418053746223
test_mse_170602080302,3,0.004103598650544882
test_mse_170602080302,4,0.0017248843796551228
test_mse_170602080302,5,0.002123226411640644
test_mse_170602080302,6,0.0025339722633361816
test_mse_170602080302,7,0.0011021692771464586
test_mse_170602080302,8,0.002864569192752242
test_mse_170602080302,9,0.0015628995606675744
test_mse_170602080302,10,0.002171795116737485
test_mse_170602080302,11,0.003707822412252426
test_mse_170602080302,12,0.05524253472685814
test_mse_170602080302,13,0.0012895053951069713
test_mse_170602080302,14,0.003147030482068658
test_mse_170602080302,15,0.03791738301515579
test_mse_170602080302,16,0.0016169032314792275
test_mse_170602080302,17,0.0032007142435759306
test_mse_170602080302,18,0.002504589967429638
test_mse_170602080302,19,0.003364867065101862
test_mse_170602080302,20,0.0029383001383394003
test_mse_170602080302,21,0.0020354643929749727
test_mae_170602070603,0,0.020899822935461998
test_mae_170602070603,1,0.08071717619895935
test_mae_170602070603,2,0.09915110468864441
test_mae_170602070603,3,0.0910598561167717
test_mae_170602070603,4,0.045492641627788544
