Metric,Step,Value
train_mse_170200110301,0,0.007433595601469278
train_mse_170200110301,1,0.0048407032154500484
train_mse_170200110301,2,0.0038727675564587116
train_kge_170200110403,0,0.9530877970725159
train_r2_170200110103,0,0.9708725214004517
train_r2_170200110103,1,0.9680191278457642
train_r2_170200110103,2,0.9632726311683655
train_r2_170200110103,3,0.9766489863395691
train_kge_170200090107,0,0.9802993941305556
test_kge_170200090108,0,0.9619670822412011
test_mse_170200090109,0,0.008819743990898132
test_mse_170200090109,1,0.00807213131338358
train_mse_170200090110,0,0.002566663548350334
train_kge_170200090112,0,0.9370641983153639
train_kge_170200090112,1,0.9733977916762838
test_mae_170200090114,0,0.028985192999243736
test_mae_170200090114,1,0.03300654888153076
test_mae_170200090114,2,0.032770682126283646
test_mae_170200090114,3,0.031497806310653687
test_mae_170200090114,4,0.03206859901547432
test_mae_170200090114,5,0.03376195952296257
test_r2_170200110110,0,0.8803785443305969
train_r2_170200090103,0,0.9713884592056274
train_mse_170200090104,0,0.00858885794878006
train_mse_170200090104,1,0.008575237356126308
train_mse_170200090104,2,0.009048523381352425
train_mse_170200090104,3,0.008798625320196152
train_mae_170200090201,0,0.038009051233530045
train_mae_170200090201,1,0.035016708076000214
train_mae_170200090201,2,0.03284658491611481
train_mae_170200090201,3,0.04162417724728584
train_mae_170200090201,4,0.03043496049940586
train_mae_170200090201,5,0.030766965821385384
train_mae_170200110105,0,0.024561328813433647
train_mae_170200110105,1,0.019874250516295433
test_kge_170200110302,0,0.8564718526887873
test_mae_170200110107,0,0.055672988295555115
test_mse_171100050503,0,0.010176744312047958
test_mse_171100050503,1,0.009685332886874676
test_mse_171100050503,2,0.009455467574298382
test_mse_170200110305,0,0.008448077365756035
test_mse_170200110305,1,0.010098304599523544
test_mse_170200110305,2,0.011102174408733845
test_mse_170200110305,3,0.00938030518591404
train_kge_170200110307,0,0.974657115830619
train_mse_170200110405,0,0.004472755361348391
train_mse_170200110405,1,0.00425906665623188
train_kge_171100050403,0,0.9784067333364955
train_mse_170200090106,0,0.007902652025222778
train_mse_170200090106,1,0.006243511103093624
train_r2_170200090113,0,0.9341440796852112
train_r2_170200090113,1,0.8989656567573547
train_r2_170200090113,2,0.9339380860328674
train_mse_170200090101,0,0.05590115860104561
train_mse_170200090101,1,0.053876426070928574
train_mse_170200090101,2,0.04494604095816612
train_mse_170200090101,3,0.01891295239329338
train_mse_170200090101,4,0.013008816167712212
train_mse_170200090101,5,0.00901153963059187
train_r2_170200090101,0,0.6912531852722168
train_r2_170200090101,1,0.7024359703063965
train_r2_170200090101,2,0.7517591714859009
train_r2_170200090101,3,0.8955421447753906
train_r2_170200090101,4,0.9281511902809143
train_r2_170200090101,5,0.9502285122871399
train_mse_170200090108,0,0.004112298134714365
test_r2_170200090114,0,0.913485586643219
test_r2_170200090114,1,0.8907605409622192
test_r2_170200090114,2,0.8936671018600464
test_r2_170200090114,3,0.892867386341095
test_r2_170200090114,4,0.8887878060340881
test_r2_170200090114,5,0.8676726818084717
test_mse_170200090105,0,0.012260418385267258
test_mse_170200090105,1,0.012953795492649078
test_mse_170200090105,2,0.011618707329034805
test_mse_170200090105,3,0.01314795296639204
test_mse_170200090105,4,0.01597125642001629
test_mae_170200090203,0,0.07110718637704849
train_kge_170200090111,0,0.9283404468503318
train_kge_170200090111,1,0.9710958553018669
test_mae_170200090102,0,0.09015645831823349
test_mae_170200090102,1,0.07338646799325943
test_mae_170200090102,2,0.08285131305456161
test_mae_170200090102,3,0.0741676390171051
test_mae_170200090102,4,0.0712260901927948
train_kge_170200110202,0,0.9284349471501245
train_kge_170200110202,1,0.9764132486094675
test_kge_170200110111,0,0.8043036024685919
test_kge_170200110111,1,0.9232315693560382
test_kge_170200110111,2,0.7022888626735985
test_kge_170200110111,3,0.7318294665688885
test_kge_170200110111,4,0.7508980520260802
train_r2_170200110101,0,0.9659252762794495
train_r2_170200110101,1,0.9717971682548523
train_mae_170200110101,0,0.05680976063013077
train_mae_170200110101,1,0.050529759377241135
test_r2_170200110105,0,0.8720169067382812
test_r2_170200110105,1,0.8891862034797668
test_mae_170200110111,0,0.023290224373340607
test_mae_170200110111,1,0.022359613329172134
test_mae_170200110111,2,0.025059085339307785
test_mae_170200110111,3,0.02408253587782383
test_mae_170200110111,4,0.023792676627635956
test_kge_170200110106,0,0.9343049060749177
train_mae_170200110301,0,0.053467534482479095
train_mae_170200110301,1,0.044941678643226624
train_mae_170200110301,2,0.03873235359787941
train_mse_170200110302,0,0.004469983745366335
test_mae_170200110306,0,0.05341991037130356
train_mse_170200090109,0,0.004450781270861626
train_mse_170200090109,1,0.0036838531959801912
test_mae_170200110110,0,0.03202065825462341
train_mse_170200110201,0,0.010819180868566036
train_mse_170200110201,1,0.007898885756731033
test_mse_170200090202,0,0.012892059981822968
test_mse_170200090202,1,0.006961962673813105
test_mse_170200090202,2,0.008949588052928448
train_mse_170200090204,0,0.004067667294293642
train_mse_170200090204,1,0.004016070161014795
train_mse_170200090204,2,0.0036617498844861984
train_mse_170200090204,3,0.003269002540037036
train_mse_170200090204,4,0.0034134278539568186
train_mse_170200090204,5,0.0027488251216709614
test_kge_170200110304,0,0.8252809007724403
train_kge_170200110304,0,0.9708766748695014
train_r2_170200110306,0,0.968578040599823
test_kge_170200110402,0,0.9513241653962244
train_mse_170200110403,0,0.006098136305809021
train_mse_170200090102,0,0.01304515078663826
train_mse_170200090102,1,0.01174094993621111
train_mse_170200090102,2,0.012443359941244125
train_mse_170200090102,3,0.010959753766655922
train_mse_170200090102,4,0.008429941721260548
test_mse_170200110101,0,0.013220712542533875
test_mse_170200110101,1,0.011550766415894032
test_mae_171100050405,0,0.031035955995321274
test_mae_171100050405,1,0.029449140653014183
test_mae_171100050405,2,0.02988649532198906
test_mae_171100050405,3,0.03139350563287735
test_mae_171100050405,4,0.031062759459018707
test_mae_171100050405,5,0.030395515263080597
test_mae_171100050405,6,0.03116631880402565
test_mae_171100050405,7,0.030418645590543747
train_mae_170200090104,0,0.0591430589556694
train_mae_170200090104,1,0.05795030668377876
train_mae_170200090104,2,0.06048138439655304
train_mae_170200090104,3,0.05872735381126404
train_r2_170200090105,0,0.956980288028717
train_r2_170200090105,1,0.9463931918144226
train_r2_170200090105,2,0.9594712853431702
train_r2_170200090105,3,0.9579898715019226
train_r2_170200090105,4,0.9692801237106323
train_r2_171100050503,0,0.9630690813064575
train_r2_171100050503,1,0.968932032585144
train_r2_171100050503,2,0.9706491231918335
train_mse_170200090203,0,0.006606321781873703
test_r2_170200090204,0,0.911257803440094
test_r2_170200090204,1,0.9112640023231506
test_r2_170200090204,2,0.8889425992965698
test_r2_170200090204,3,0.890649676322937
test_r2_170200090204,4,0.9006341695785522
test_r2_170200090204,5,0.8934268355369568
test_kge_170200110405,0,0.9031203145273988
test_kge_170200110405,1,0.92688067679915
test_r2_170200110702,0,0.9008009433746338
test_r2_170200110702,1,0.8878889083862305
test_kge_171100050603,0,0.7800983631120169
train_mae_170200110103,0,0.04123999550938606
train_mae_170200110103,1,0.04141685366630554
train_mae_170200110103,2,0.04735079035162926
train_mae_170200110103,3,0.03695489466190338
test_r2_171100050502,0,0.9349504709243774
train_mae_170200110104,0,0.03404654189944267
train_mae_170200090105,0,0.06871291995048523
train_mae_170200090105,1,0.07406304776668549
train_mae_170200090105,2,0.06712574511766434
train_mae_170200090105,3,0.0670546367764473
train_mae_170200090105,4,0.05994799733161926
test_kge_170200110110,0,0.817368468357746
train_r2_170200090108,0,0.9736940264701843
test_mae_170200110304,0,0.07454551011323929
test_mse_170200110402,0,0.013555672951042652
train_r2_170200110403,0,0.9667796492576599
test_r2_170200090202,0,0.8524035811424255
test_r2_170200090202,1,0.9202950596809387
test_r2_170200090202,2,0.897539496421814
test_mse_170200110404,0,0.003770404029637575
test_mse_170200110404,1,0.0036205793730914593
test_r2_170200090201,0,0.934450089931488
test_r2_170200090201,1,0.8997470736503601
test_r2_170200090201,2,0.8915111422538757
test_r2_170200090201,3,0.9078150391578674
test_r2_170200090201,4,0.8937874436378479
test_r2_170200090201,5,0.9007788896560669
train_kge_170200110301,0,0.9082673891912021
train_kge_170200110301,1,0.9334479044117457
train_kge_170200110301,2,0.9817800963295117
test_kge_170200090203,0,0.9273287307791105
test_mae_170200110302,0,0.08648718893527985
test_mse_170200110303,0,0.0102157611399889
train_mae_170200110304,0,0.034682128578424454
test_kge_170200110307,0,0.7373305914746089
train_mse_170200110307,0,0.0007971039158292115
train_kge_171100050502,0,0.9772908614302188
test_kge_170200110108,0,0.7840430002070895
test_kge_170200110108,1,0.7703769028020141
test_kge_170200110108,2,0.6821612277140896
test_kge_170200110108,3,0.8737083438315676
test_kge_170200110108,4,0.8026806366301291
test_mae_171100050503,0,0.06422331929206848
test_mae_171100050503,1,0.06290694326162338
test_mae_171100050503,2,0.06133360043168068
train_mse_171100050405,0,0.0018173545831814408
train_mse_171100050405,1,0.0014383785892277956
train_mse_171100050405,2,0.0013696067035198212
train_mse_171100050405,3,0.001392247388139367
train_mse_171100050405,4,0.0013314156094565988
train_mse_171100050405,5,0.0012200501514598727
train_mse_171100050405,6,0.0012766780564561486
train_mse_171100050405,7,0.001220756908878684
