Metric,Step,Value
test_mse_170200090301,0,0.000907312030903995
test_mse_170200090301,1,0.0010576596250757575
test_mse_170200090301,2,0.001426223898306489
test_mse_170200090301,3,0.0011680792085826397
test_mse_170200090301,4,0.0014516791561618447
test_mse_170200090301,5,0.0011213463731110096
test_mse_170200090301,6,0.0015744328266009688
test_mse_170200090301,7,0.0012841576244682074
test_mse_170200090301,8,0.001010744133964181
test_mse_170200090301,9,0.0013014613650739193
test_kge_170200090301,0,0.9539867531767523
test_kge_170200090301,1,0.9232086161062637
test_kge_170200090301,2,0.8914143101606826
test_kge_170200090301,3,0.960816152354241
test_kge_170200090301,4,0.8531957127550311
test_kge_170200090301,5,0.9252345328676771
test_kge_170200090301,6,0.8223102597712768
test_kge_170200090301,7,0.8477758120299208
test_kge_170200090301,8,0.9424561297364282
test_kge_170200090301,9,0.8700588469503868
test_r2_170200090301,0,0.9418467283248901
test_r2_170200090301,1,0.932210385799408
test_r2_170200090301,2,0.9085875749588013
test_r2_170200090301,3,0.9251331090927124
test_r2_170200090301,4,0.9069560766220093
test_r2_170200090301,5,0.9281284213066101
test_r2_170200090301,6,0.8990882635116577
test_r2_170200090301,7,0.9176931977272034
test_r2_170200090301,8,0.9352173805236816
test_r2_170200090301,9,0.9165841341018677
test_mae_170200090301,0,0.017695441842079163
test_mae_170200090301,1,0.019113587215542793
test_mae_170200090301,2,0.02074618823826313
test_mae_170200090301,3,0.0198148712515831
test_mae_170200090301,4,0.021222291514277458
test_mae_170200090301,5,0.020258260890841484
test_mae_170200090301,6,0.022979550063610077
test_mae_170200090301,7,0.020813826471567154
test_mae_170200090301,8,0.01910911500453949
test_mae_170200090301,9,0.021420957520604134
train_mse_170200090301,0,0.0011666956124827266
train_mse_170200090301,1,0.0008780864300206304
train_mse_170200090301,2,0.0009228843846358359
train_mse_170200090301,3,0.0009869053028523922
train_mse_170200090301,4,0.0008910226752050221
train_mse_170200090301,5,0.0008403272950090468
train_mse_170200090301,6,0.0009556153090670705
train_mse_170200090301,7,0.0008653897093608975
train_mse_170200090301,8,0.0008984181331470609
train_mse_170200090301,9,0.0008299500914290547
train_kge_170200090301,0,0.8529797992437581
train_kge_170200090301,1,0.9477374666592754
train_kge_170200090301,2,0.9613628961764735
train_kge_170200090301,3,0.9024337208550778
train_kge_170200090301,4,0.9547047992603229
train_kge_170200090301,5,0.9506825746536645
train_kge_170200090301,6,0.9256425923486674
train_kge_170200090301,7,0.9473564743047664
train_kge_170200090301,8,0.9285345296734153
train_kge_170200090301,9,0.9651103815868747
train_r2_170200090301,0,0.9343523979187012
train_r2_170200090301,1,0.9505918622016907
train_r2_170200090301,2,0.9480711817741394
train_r2_170200090301,3,0.9444688558578491
train_r2_170200090301,4,0.9498639702796936
train_r2_170200090301,5,0.9527164697647095
train_r2_170200090301,6,0.9462294578552246
train_r2_170200090301,7,0.9513062834739685
train_r2_170200090301,8,0.9494478106498718
train_r2_170200090301,9,0.953300416469574
test_mse_170200090209,0,0.006913906894624233
test_mse_170200090209,1,0.00594302685931325
test_mse_170200090209,2,0.005754619836807251
test_mse_170200090209,3,0.006201648619025946
test_mse_170200090209,4,0.003485496388748288
test_mse_170200090209,5,0.004575468134135008
test_mse_170200090209,6,0.005435499828308821
test_mse_170200090209,7,0.008158954791724682
test_mse_170200090209,8,0.0043504550121724606
test_mse_170200090209,9,0.006645797286182642
test_kge_170200090209,0,0.7712899350172308
test_kge_170200090209,1,0.8161887696168467
test_kge_170200090209,2,0.8313070024186202
test_kge_170200090209,3,0.7777679965252428
test_kge_170200090209,4,0.8972161644941347
test_kge_170200090209,5,0.9218686732729173
test_kge_170200090209,6,0.8221938085299779
test_kge_170200090209,7,0.6804541542536292
test_kge_170200090209,8,0.9180494066905822
test_kge_170200090209,9,0.7952898923090507
test_r2_170200090209,0,0.8624005317687988
test_r2_170200090209,1,0.8817228078842163
test_r2_170200090209,2,0.8854724764823914
test_r2_170200090209,3,0.876575767993927
test_r2_170200090209,4,0.9306322336196899
test_r2_170200090209,5,0.908939778804779
test_r2_170200090209,6,0.8918235301971436
test_r2_170200090209,7,0.837621808052063
test_r2_170200090209,8,0.9134179353713989
test_r2_170200090209,9,0.8677363991737366
test_mae_170200090209,0,0.050333812832832336
test_mae_170200090209,1,0.0497501976788044
test_mae_170200090209,2,0.04545484855771065
test_mae_170200090209,3,0.04776107892394066
test_mae_170200090209,4,0.03705490753054619
test_mae_170200090209,5,0.04328633099794388
test_mae_170200090209,6,0.04436700418591499
test_mae_170200090209,7,0.05453472584486008
test_mae_170200090209,8,0.03807521238923073
test_mae_170200090209,9,0.04759723320603371
train_mse_170200090209,0,0.0032707464415580034
train_mse_170200090209,1,0.004268372431397438
train_mse_170200090209,2,0.0029499002266675234
train_mse_170200090209,3,0.0029057092033326626
train_mse_170200090209,4,0.0030601148027926683
train_mse_170200090209,5,0.003981800749897957
train_mse_170200090209,6,0.0023537196684628725
train_mse_170200090209,7,0.0035732220858335495
train_mse_170200090209,8,0.0025892448611557484
train_mse_170200090209,9,0.002704575192183256
train_kge_170200090209,0,0.9683255095105354
train_kge_170200090209,1,0.9359165921934393
train_kge_170200090209,2,0.9689143422701344
train_kge_170200090209,3,0.946610279681417
train_kge_170200090209,4,0.9087464310509967
train_kge_170200090209,5,0.8487660364603068
train_kge_170200090209,6,0.9652357920061433
train_kge_170200090209,7,0.8479348653597735
train_kge_170200090209,8,0.9066114519793148
train_kge_170200090209,9,0.9571343449294465
train_r2_170200090209,0,0.9411153197288513
train_r2_170200090209,1,0.9231545925140381
train_r2_170200090209,2,0.9468916654586792
train_r2_170200090209,3,0.9476872682571411
train_r2_170200090209,4,0.9449074268341064
train_r2_170200090209,5,0.9283139109611511
train_r2_170200090209,6,0.9576249718666077
train_r2_170200090209,7,0.9356697201728821
train_r2_170200090209,8,0.9533846974372864
train_r2_170200090209,9,0.9513083696365356
train_mae_170200090209,0,0.03306335583329201
train_mae_170200090209,1,0.03870493173599243
train_mae_170200090209,2,0.032049719244241714
train_mae_170200090209,3,0.03165231645107269
train_mae_170200090209,4,0.03174569457769394
train_mae_170200090209,5,0.03512983396649361
train_mae_170200090209,6,0.02758290432393551
train_mae_170200090209,7,0.03650597855448723
train_mae_170200090209,8,0.028157752007246017
train_mae_170200090209,9,0.030639180913567543
train_mae_170200090301,0,0.019650772213935852
train_mae_170200090301,1,0.016888894140720367
train_mae_170200090301,2,0.017276521772146225
train_mae_170200090301,3,0.017941685393452644
train_mae_170200090301,4,0.017005573958158493
train_mae_170200090301,5,0.015998121351003647
train_mae_170200090301,6,0.017536254599690437
train_mae_170200090301,7,0.01662359945476055
train_mae_170200090301,8,0.016695117577910423
train_mae_170200090301,9,0.015616885386407375
test_mse_170200090304,0,0.00037358151166699827
test_mse_170200090304,1,0.000274378719041124
test_mse_170200090304,2,0.000299254956189543
test_mse_170200090304,3,0.0002962097933050245
test_mse_170200090304,4,0.0002726134262047708
test_mse_170200090304,5,0.00030146713834255934
test_mse_170200090304,6,0.00033519440330564976
test_mse_170200090304,7,0.00033638940658420324
test_mse_170200090304,8,0.00029594424995593727
test_mse_170200090304,9,0.0003363932191859931
test_kge_170200090304,0,0.8041943744304918
test_kge_170200090304,1,0.9409485442623094
test_kge_170200090304,2,0.8525494944538031
test_kge_170200090304,3,0.9531371561587422
test_kge_170200090304,4,0.9081273753527845
test_kge_170200090304,5,0.8818930622116451
test_kge_170200090304,6,0.8895411622754812
test_kge_170200090304,7,0.8505253539342393
test_kge_170200090304,8,0.9485387389122438
test_kge_170200090304,9,0.8280257078780637
test_mae_170200090304,0,0.010096494108438492
test_mae_170200090304,1,0.008739715442061424
test_mae_170200090304,2,0.008434494957327843
test_mae_170200090304,3,0.008756889030337334
test_mae_170200090304,4,0.008019702509045601
test_mae_170200090304,5,0.008587700314819813
test_mae_170200090304,6,0.009316731244325638
test_mae_170200090304,7,0.00877712294459343
test_mae_170200090304,8,0.00847324077039957
test_mae_170200090304,9,0.008297533728182316
test_mse_170200090208,0,0.015032618306577206
test_mse_170200090208,1,0.011210299097001553
test_mse_170200090208,2,0.018942315131425858
test_mse_170200090208,3,0.006943933665752411
test_mse_170200090208,4,0.006743175443261862
test_mse_170200090208,5,0.007909893989562988
