Metric,Step,Value
train_r2_170200090304,0,0.9392260909080505
train_r2_170200090304,1,0.9522302746772766
train_r2_170200090304,2,0.9511827826499939
train_r2_170200090304,3,0.9542580246925354
train_r2_170200090304,4,0.9576967358589172
train_r2_170200090304,5,0.9530762434005737
train_r2_170200090304,6,0.9516927599906921
train_r2_170200090304,7,0.9494947195053101
train_r2_170200090304,8,0.9519943594932556
train_r2_170200090304,9,0.954025149345398
train_r2_170200090304,10,0.9536375403404236
train_r2_170200090304,11,0.95298171043396
train_r2_170200090304,12,0.951321005821228
train_r2_170200090304,13,0.9558115601539612
train_r2_170200090304,14,0.9548020958900452
train_r2_170200090304,15,0.9545694589614868
train_r2_170200090304,16,0.9469519257545471
train_r2_170200090304,17,0.9490528106689453
train_r2_170200090304,18,0.9410379528999329
train_r2_170200090304,19,0.9505359530448914
train_r2_170200090304,20,0.9501915574073792
train_r2_170200090304,21,0.9507343769073486
train_r2_170200090304,22,0.9442733526229858
train_r2_170200090304,23,0.9516507983207703
train_r2_170200090304,24,0.9508973360061646
train_r2_170200090304,25,0.9518542885780334
train_r2_170200090304,26,0.9512038230895996
train_r2_170200090304,27,0.9512877464294434
train_r2_170200090304,28,0.95810467004776
train_r2_170200090304,29,0.957057535648346
train_kge_170200110406,0,0.9196954304558569
train_kge_170200110406,1,0.8842145712411168
train_kge_170200110406,2,0.8161494845383835
train_kge_170200110406,3,0.917583901808642
train_kge_170200110406,4,0.9231891514270024
train_kge_170200110406,5,0.9201804877492518
train_kge_170200110406,6,0.9644280479722824
train_kge_170200110406,7,0.8898164695622741
train_kge_170200110406,8,0.8990525261630612
train_kge_170200110406,9,0.915463876010041
train_kge_170200110406,10,0.9354224340179771
train_kge_170200110406,11,0.8916676310462334
train_kge_170200110406,12,0.9073737573483925
train_kge_170200110406,13,0.909063143713522
train_kge_170200110406,14,0.9396903217838926
train_kge_170200110406,15,0.9399915730016467
train_kge_170200110406,16,0.9096550096688821
train_kge_170200110406,17,0.8878510670539816
train_kge_170200110406,18,0.9338473290727513
train_kge_170200110406,19,0.9263048777343754
train_kge_170200110406,20,0.9399115972853629
train_kge_170200110406,21,0.8954766284082721
train_kge_170200110406,22,0.9316076998008558
train_kge_170200110406,23,0.9329103820701357
train_kge_170200110406,24,0.9013170983526957
train_kge_170200110406,25,0.9541359652883661
train_kge_170200110406,26,0.8804108395027975
train_kge_170200110406,27,0.9389058057871861
train_kge_170200110406,28,0.9611602454732524
train_kge_170200110406,29,0.9173190387683224
test_kge_170200090304,0,0.9172074819097962
test_kge_170200090304,1,0.9266559703578556
test_kge_170200090304,2,0.9338688692594806
test_kge_170200090304,3,0.9286682303314149
test_kge_170200090304,4,0.9264002729783091
test_kge_170200090304,5,0.9105007128059214
test_kge_170200090304,6,0.8688989227948856
test_kge_170200090304,7,0.935037201004215
test_kge_170200090304,8,0.9158381685882104
test_kge_170200090304,9,0.9331191891491577
test_kge_170200090304,10,0.9315492512080943
test_kge_170200090304,11,0.9318363948529793
test_kge_170200090304,12,0.8953285583892836
test_kge_170200090304,13,0.9229896073578137
test_kge_170200090304,14,0.8740806774511471
test_kge_170200090304,15,0.8999473683232461
test_kge_170200090304,16,0.9038431711022834
test_kge_170200090304,17,0.9026531780078487
test_kge_170200090304,18,0.8948559425563667
test_kge_170200090304,19,0.9318963490796293
test_kge_170200090304,20,0.9125992530487518
test_kge_170200090304,21,0.9346121811240559
test_kge_170200090304,22,0.8989009736751367
test_kge_170200090304,23,0.9214608617684446
test_kge_170200090304,24,0.9263070990108461
test_kge_170200090304,25,0.9192743016653188
test_kge_170200090304,26,0.9159367928168384
test_kge_170200090304,27,0.9338770470084831
test_kge_170200090304,28,0.9102854599553932
test_kge_170200090304,29,0.9268015502793648
test_mse_170200110501,0,0.0018665281822904944
test_mse_170200110501,1,0.0013796197017654777
test_mse_170200110501,2,0.001308100763708353
test_mse_170200110501,3,0.001520068384706974
test_mse_170200110501,4,0.001397366519086063
test_mse_170200110501,5,0.0014809338608756661
test_mse_170200110501,6,0.001439570216462016
test_mse_170200110501,7,0.001563969999551773
test_mse_170200110501,8,0.0016050060512498021
test_mse_170200110501,9,0.0011385557008907199
test_mse_170200110501,10,0.001288714585825801
test_mse_170200110501,11,0.001307320431806147
test_mse_170200110501,12,0.0012762326514348388
test_mse_170200110501,13,0.0017001780215650797
test_mse_170200110501,14,0.0014379514614120126
test_mse_170200110501,15,0.00155239412561059
test_mse_170200110501,16,0.0011635246919468045
test_mse_170200110501,17,0.0012159374309703708
test_mse_170200110501,18,0.001241407124325633
test_mse_170200110501,19,0.0014475693460553885
test_mse_170200110501,20,0.0012176476884633303
test_mse_170200110501,21,0.0012043752940371633
test_mse_170200110501,22,0.0016537385527044535
test_mse_170200110501,23,0.0014169799396768212
test_mse_170200110501,24,0.0012301296228542924
test_mse_170200110501,25,0.0012991947587579489
test_mse_170200110501,26,0.0014083668356761336
test_mse_170200110501,27,0.001426903996616602
test_mse_170200110501,28,0.0013843547785654664
test_mse_170200110501,29,0.0010655467631295323
train_r2_170200110503,0,0.8818036913871765
train_r2_170200110503,1,0.9242390394210815
train_r2_170200110503,2,0.9317287802696228
train_r2_170200110503,3,0.9441161751747131
train_r2_170200110503,4,0.9326694011688232
train_r2_170200110503,5,0.9508391618728638
train_r2_170200110503,6,0.9501110315322876
train_r2_170200110503,7,0.9535226225852966
train_r2_170200110503,8,0.9557798504829407
train_r2_170200110503,9,0.9551849961280823
train_r2_170200110503,10,0.9553325176239014
train_r2_170200110503,11,0.9577795267105103
train_r2_170200110503,12,0.9582287073135376
train_r2_170200110503,13,0.9607659578323364
train_r2_170200110503,14,0.9564793705940247
train_r2_170200110503,15,0.9540466070175171
train_r2_170200110503,16,0.9581764936447144
train_r2_170200110503,17,0.9606978297233582
train_r2_170200110503,18,0.9557718634605408
train_r2_170200110503,19,0.9603220224380493
train_r2_170200110503,20,0.9567849636077881
train_r2_170200110503,21,0.9612186551094055
train_r2_170200110503,22,0.9604414701461792
train_r2_170200110503,23,0.9550672173500061
train_r2_170200110503,24,0.9615908265113831
train_r2_170200110503,25,0.9607827663421631
train_r2_170200110503,26,0.9611419439315796
train_r2_170200110503,27,0.963164210319519
train_r2_170200110503,28,0.9617387056350708
train_r2_170200110503,29,0.9615648984909058
train_r2_170200090301,0,0.9234302639961243
train_r2_170200090301,1,0.9295780062675476
train_r2_170200090301,2,0.9423044323921204
train_r2_170200090301,3,0.9355629086494446
train_r2_170200090301,4,0.9401743412017822
train_r2_170200090301,5,0.9468141198158264
train_r2_170200090301,6,0.9504356384277344
train_r2_170200090301,7,0.9451001882553101
train_r2_170200090301,8,0.9447926878929138
train_r2_170200090301,9,0.9281033277511597
train_r2_170200090301,10,0.9441916346549988
train_r2_170200090301,11,0.946487545967102
train_r2_170200090301,12,0.94294673204422
train_r2_170200090301,13,0.943462610244751
train_r2_170200090301,14,0.9481954574584961
train_r2_170200090301,15,0.9500962495803833
train_r2_170200090301,16,0.9508013725280762
train_r2_170200090301,17,0.9485898613929749
train_r2_170200090301,18,0.9491336941719055
train_r2_170200090301,19,0.9473422169685364
train_r2_170200090301,20,0.9444711208343506
train_r2_170200090301,21,0.9074817895889282
train_r2_170200090301,22,0.9493618011474609
train_r2_170200090301,23,0.9510853290557861
train_r2_170200090301,24,0.9570697546005249
train_r2_170200090301,25,0.9512009620666504
train_r2_170200090301,26,0.9541131258010864
train_r2_170200090301,27,0.9537777900695801
train_r2_170200090301,28,0.9452592730522156
