Metric,Step,Value
train_mse_170200090203,0,0.00440535182133317
train_mse_170200090203,1,0.003500676015391946
train_mse_170200090203,2,0.0034560973290354013
train_mse_170200090203,3,0.0035735969431698322
train_mse_170200090203,4,0.003302454948425293
train_mse_170200090203,5,0.003099096240475774
train_mse_170200090203,6,0.003867494408041239
train_mse_170200090203,7,0.0031315390951931477
train_mse_170200090203,8,0.003661727998405695
train_mse_170200090203,9,0.003909875638782978
train_mae_170200090104,0,0.04610147699713707
train_mae_170200090104,1,0.04781819134950638
train_mae_170200090104,2,0.04541297256946564
train_mae_170200090104,3,0.04596784710884094
train_mae_170200090104,4,0.050933290272951126
train_mae_170200090104,5,0.04771561175584793
train_mae_170200090104,6,0.04967370256781578
train_mae_170200090104,7,0.0389365591108799
train_mae_170200090104,8,0.04486483708024025
train_mae_170200090104,9,0.04122413694858551
train_mse_170200090110,0,0.002605714136734605
train_mse_170200090110,1,0.0019385608611628413
train_mse_170200090110,2,0.001964388182386756
train_mse_170200090110,3,0.0018149391980841756
train_mse_170200090110,4,0.0019382080063223839
train_mse_170200090110,5,0.001814046292565763
train_mse_170200090110,6,0.0019259804394096136
train_mse_170200090110,7,0.0017409147694706917
train_mse_170200090110,8,0.00179381447378546
train_mse_170200090110,9,0.0019701251294463873
test_mse_170200090101,0,0.22018298506736755
test_mse_170200090101,1,0.10821849852800369
test_mse_170200090101,2,0.02843307889997959
test_mse_170200090101,3,0.0180664025247097
test_mse_170200090101,4,0.018031558021903038
test_mse_170200090101,5,0.017269980162382126
test_mse_170200090101,6,0.0191706120967865
test_mse_170200090101,7,0.01937296986579895
test_mse_170200090101,8,0.01556275226175785
test_mse_170200090101,9,0.018770214170217514
train_mse_170200090101,0,0.20966336131095886
train_mse_170200090101,1,0.112083800137043
train_mse_170200090101,2,0.028217097744345665
train_mse_170200090101,3,0.015615534037351608
train_mse_170200090101,4,0.018403558060526848
train_mse_170200090101,5,0.014743979088962078
train_mse_170200090101,6,0.01451050490140915
train_mse_170200090101,7,0.014974938705563545
train_mse_170200090101,8,0.01470897439867258
train_mse_170200090101,9,0.01425979658961296
test_mae_170200090111,0,0.0758095309138298
test_mae_170200090111,1,0.07987598329782486
test_mae_170200090111,2,0.08633896708488464
test_mae_170200090111,3,0.08137728273868561
test_mae_170200090111,4,0.0868806540966034
test_mae_170200090111,5,0.08352936059236526
test_mae_170200090111,6,0.0835295021533966
test_mae_170200090111,7,0.08075207471847534
test_mae_170200090111,8,0.08238647878170013
test_mae_170200090111,9,0.0798938199877739
test_kge_170200090113,0,0.8908830801776658
test_kge_170200090113,1,0.8811859099836827
test_kge_170200090113,2,0.8905947426916684
test_kge_170200090113,3,0.9095582965657831
test_kge_170200090113,4,0.866735407504555
test_kge_170200090113,5,0.913005668213635
test_kge_170200090113,6,0.9156614664999742
test_kge_170200090113,7,0.9146019040894865
test_kge_170200090113,8,0.9089479242327498
test_kge_170200090113,9,0.8982112153381929
train_kge_170200090106,0,0.978093797557055
train_kge_170200090106,1,0.9672877568494487
train_kge_170200090106,2,0.9546718593329409
train_kge_170200090106,3,0.9760317003618759
train_kge_170200090106,4,0.9351936503212138
train_kge_170200090106,5,0.9294807557664153
train_kge_170200090106,6,0.9417812890691234
train_kge_170200090106,7,0.9678142286191612
train_kge_170200090106,8,0.9762422472653394
train_kge_170200090106,9,0.9777524825984936
test_kge_170200090109,0,0.9536531174144461
test_kge_170200090109,1,0.9477199178360088
test_kge_170200090109,2,0.9602176025358401
test_kge_170200090109,3,0.9315000970571672
test_kge_170200090109,4,0.964645607358243
test_kge_170200090109,5,0.9565351537057265
test_kge_170200090109,6,0.9625688530438464
test_kge_170200090109,7,0.9694464412853578
test_kge_170200090109,8,0.9450674888008586
test_kge_170200090109,9,0.9571368502773319
test_mse_170200090201,0,0.005814899690449238
test_mse_170200090201,1,0.00568540021777153
test_mse_170200090201,2,0.005740348249673843
test_mse_170200090201,3,0.005675387103110552
test_mse_170200090201,4,0.005337798036634922
test_mse_170200090201,5,0.005229033995419741
test_mse_170200090201,6,0.00579845579341054
test_mse_170200090201,7,0.005096184089779854
test_mse_170200090201,8,0.005673104431480169
test_mse_170200090201,9,0.005316684488207102
test_kge_170200090110,0,0.8986167577894553
test_kge_170200090110,1,0.9439553760091495
test_kge_170200090110,2,0.9427621838055984
test_kge_170200090110,3,0.9363222445854429
test_kge_170200090110,4,0.9507905281530146
test_kge_170200090110,5,0.9235643013980926
test_kge_170200090110,6,0.9562286751932737
test_kge_170200090110,7,0.9509057690181264
test_kge_170200090110,8,0.9187051193374411
test_kge_170200090110,9,0.9564060521339823
test_mae_170200090203,0,0.077939972281456
test_mae_170200090203,1,0.07376600056886673
test_mae_170200090203,2,0.075295090675354
test_mae_170200090203,3,0.07444300502538681
test_mae_170200090203,4,0.07851875573396683
test_mae_170200090203,5,0.0737895518541336
test_mae_170200090203,6,0.07510694116353989
test_mae_170200090203,7,0.07493170350790024
test_mae_170200090203,8,0.07531921565532684
test_mae_170200090203,9,0.07393304258584976
train_kge_170200090203,0,0.949422265920084
train_kge_170200090203,1,0.986354222679684
train_kge_170200090203,2,0.9856484036410118
train_kge_170200090203,3,0.9892359020749946
train_kge_170200090203,4,0.9807813177789898
train_kge_170200090203,5,0.9885999818565603
train_kge_170200090203,6,0.966335716337578
train_kge_170200090203,7,0.9898819348753253
train_kge_170200090203,8,0.9712166280016028
train_kge_170200090203,9,0.982450772257536
train_mse_170200090105,0,0.0056229038164019585
train_mse_170200090105,1,0.006563147064298391
train_mse_170200090105,2,0.010725703090429306
train_mse_170200090105,3,0.007531409151852131
train_mse_170200090105,4,0.013587314635515213
train_mse_170200090105,5,0.008407607674598694
train_mse_170200090105,6,0.00819710735231638
train_mse_170200090105,7,0.008474893867969513
train_mse_170200090105,8,0.0074834362603724
train_mse_170200090105,9,0.00637194886803627
test_kge_170200090102,0,0.8535728736219523
test_kge_170200090102,1,0.8939516736404858
test_kge_170200090102,2,0.9549485849327379
test_kge_170200090102,3,0.90816636412841
test_kge_170200090102,4,0.8724326834816918
test_kge_170200090102,5,0.925061784778086
test_kge_170200090102,6,0.9184004080983067
test_kge_170200090102,7,0.8734742116176746
test_kge_170200090102,8,0.8877528922434287
test_kge_170200090102,9,0.9047921535811212
train_r2_170200090102,0,0.9266889095306396
train_r2_170200090102,1,0.9314769506454468
train_r2_170200090102,2,0.9334339499473572
train_r2_170200090102,3,0.9359517693519592
train_r2_170200090102,4,0.9382074475288391
train_r2_170200090102,5,0.9448743462562561
train_r2_170200090102,6,0.9593268036842346
train_r2_170200090102,7,0.9594173431396484
train_r2_170200090102,8,0.9627721905708313
train_r2_170200090102,9,0.9630338549613953
test_mse_170200090204,0,0.01076363492757082
test_mse_170200090204,1,0.010139324702322483
test_mse_170200090204,2,0.009802653454244137
test_mse_170200090204,3,0.00866107176989317
test_mse_170200090204,4,0.00918794795870781
test_mse_170200090204,5,0.008708126842975616
test_mse_170200090204,6,0.008694497868418694
test_mse_170200090204,7,0.00879454892128706
test_mse_170200090204,8,0.008144918829202652
test_mse_170200090204,9,0.008965053595602512
train_kge_170200090110,0,0.9711361283176208
train_kge_170200090110,1,0.9667979662131012
train_kge_170200090110,2,0.9772530240030871
train_kge_170200090110,3,0.9890346901865635
train_kge_170200090110,4,0.9687104209409572
train_kge_170200090110,5,0.9773914730000929
train_kge_170200090110,6,0.9707394292778574
train_kge_170200090110,7,0.980291230578621
train_kge_170200090110,8,0.9795816189054073
train_kge_170200090110,9,0.9701029661720301
test_r2_170200090113,0,0.8654714822769165
test_r2_170200090113,1,0.8550827503204346
test_r2_170200090113,2,0.8507568836212158
test_r2_170200090113,3,0.8599371314048767
test_r2_170200090113,4,0.8699020743370056
test_r2_170200090113,5,0.8562993407249451
test_r2_170200090113,6,0.8566392660140991
test_r2_170200090113,7,0.8540053367614746
test_r2_170200090113,8,0.8526296615600586
test_r2_170200090113,9,0.844355046749115
train_r2_170200090101,0,-0.1579885482788086
train_r2_170200090101,1,0.3809516429901123
train_r2_170200090101,2,0.8441545963287354
train_r2_170200090101,3,0.9137541055679321
train_r2_170200090101,4,0.8983556032180786
train_r2_170200090101,5,0.9185677766799927
train_r2_170200090101,6,0.9198572635650635
train_r2_170200090101,7,0.9172921180725098
train_r2_170200090101,8,0.9187610745429993
train_r2_170200090101,9,0.9212419390678406
